id,title,authors,venue,paper year
l40,RainForest - A Framework for Fast Decision Tree Construction of Large Datasets,"Johannes Gehrke, Venkatesh Ganti, Raghu Ramakrishnan",VLDB,1998
l41,Databases on the Web: Technologies for Federation Architectures and Case Studies (Tutorial),Ralf Kramer,SIGMOD Conference,1997
l42,Relaxed Transaction Processing,"Darrell Woelk, Munindar P. Singh, Christine Tomlinson",SIGMOD Conference,1994
l43,Optimization of Run-time Management of Data Intensive Web-sites,"Khaled Yagoub, Dan Suciu, Alon Y. Levy, Daniela Florescu",VLDB,1999
l44,Diag-Join: An Opportunistic Join Algorithm for 1:N Relationships,"Sven Helmer, Guido Moerkotte, Till Westmann",VLDB,1998
l45,Cache Fusion: Extending Shared-Disk Clusters with Shared Caches,"Tirthankar Lahiri, N. MacNaughton, Sashikanth Chandrasekaran, Wilson Chan, Vinay Srihari",VLDB,2001
l46,Visual COKO: a debugger for query optimizer development,"Daniel J. Abadi, Mitch Cherniack",SIGMOD Conference,2002
l47,Telcordia's Database Reconciliation and Data Quality Analysis Tool,"Munir Cochinwala, Francesco Caruso, Paolo Missier, Uma Ganapathy, Gail Lalk",VLDB,2000
l48,Oracle Industrial Exhibit,Amy Pogue,VLDB,1998
l49,Wavelet synopses with error guarantees,"Phillip B. Gibbons, Minos N. Garofalakis",SIGMOD Conference,2002
l50,XSB as an Efficient Deductive Database Engine,"David Scott Warren, Konstantinos F. Sagonas, Terrance Swift",SIGMOD Conference,1994
l51,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,"Viswanath Poosala, Yannis E. Ioannidis",VLDB,1996
l52,VOODB: A Generic Discrete-Event Random Simulation Model To Evaluate the Performances of OODBs,"Michel Schneider, Jrme Darmont",VLDB,1999
l53,A Normal Form for Precisely Characterizing Redundancy in Nested Relations,"Yiu-Kai Ng, David W. Embley, Wai Yin Mok",ACM Trans. Database Syst.,1996
l54,Dynamic Buffer Allocation in Video-on-Demand Systems,"Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song, Sang Ho Lee",SIGMOD Conference,2001
l55,GHOST: Fine Granularity Buffering of Indexes,"Cheng Hian Goh, Kian-Lee Tan, Beng Chin Ooi, D. Sim",VLDB,1999
l56,Semantic and Schematic Similarities Between Database Objects: A Context-Based Approach,"Vipul Kashyap, Amit P. Sheth",VLDB J.,1996
l57,OPOSSUM: Desk-Top Schema Management through Customizable Visualization,"Miron Livny, Eben M. Haber, Yannis E. Ioannidis",VLDB,1995
l58,Semistructured und Structured Data in the Web: Going Back and Forth,"Paolo Merialdo, Giansalvatore Mecca, Paolo Atzeni",SIGMOD Record,1997
l59,Generating Call-Level Interfaces for Advanced Database Application Programming,"Theo Hrder, Norbert Ritter, Udo Nink",VLDB,1999
l60,An ebXML infrastructure implementation through UDDI registries and RosettaNet PIPs,"Yildiray Kabak, Gokce Laleci, Sait Pektas, Serkan Toprak, Yusuf Tambag, Gokhan Kurt, Asuman Dogac, Pinar Pembecioglu",SIGMOD Conference,2002
l61,"Information, Communication, and Money: For What Can We Charge and How Can We Meter It?","Henry F. Korth, Stephen Blott, Abraham Silberschatz",VLDB,1998
l62,Materialized View Selection for Multidimensional Datasets,"Jeffrey F. Naughton, Amit Shukla, Prasad Deshpande",VLDB,1998
l63,Transactional Information Systems - Book Review,Marc H. Scholl,SIGMOD Record,2001
l64,Robust and Efficient Fuzzy Match for Online Data Cleaning,"Surajit Chaudhuri, Kris Ganjam, Venkatesh Ganti, Rajeev Motwani",SIGMOD Conference,2003
l65,Loading a Cache with Query Results,"Ioana Ursu, Donald Kossmann, Laura M. Haas",VLDB,1999
l66,"The Glue-Nail Deductive Database System: Design, Implementation, and Evaluation","Geoffrey Phipps, Marcia A. Derr, Shinichi Morishita",VLDB J.,1994
l67,An Approximate Search Engine for Structural Databases,"Kaizhong Zhang, Qicheng Ma, Jason Tsong-Li Wang, Xinhuan Zheng, Xiong Wang, Dennis Shasha, Zasha Weinberg, Bruce A. Shapiro",SIGMOD Conference,2000
l68,Formal Aspects of Concurrency Control in Long-Duration Transaction Systems Using the NT/PV Model,"Henry F. Korth, Gregory D. Speegle",ACM Trans. Database Syst.,1994
l69,Recovery Protocols for Shared Memory Database Systems,"Lory D. Molesky, Krithi Ramamritham",SIGMOD Conference,1995
l70,Query Engines for Web-Accessible XML Data,"Ramez Elmasri, Leonidas Fegaras",VLDB,2001
l71,The XML Typechecking Problem,Dan Suciu,SIGMOD Record,2002
l72,A Monte Carlo algorithm for fast projective clustering,"Michael Jones, Pankaj K. Agarwal, T. M. Murali, Cecilia Magdalena Procopiuc",SIGMOD Conference,2002
l73,Comparative Analysis of Six XML Schema Languages,"Dongwon Lee, Wesley W. Chu",SIGMOD Record,2000
l74,ASSET: A System for Supporting Extended Transactions,"Narain H. Gehani, Krithi Ramamritham, Alexandros Biliris, H. V. Jagadish, Shaul Dar",SIGMOD Conference,1994
l75,On the Discovery of Interesting Patterns in Association Rules,"Sridhar Ramaswamy, Sameer Mahajan, Abraham Silberschatz",VLDB,1998
l76,"Very Large Databases: How Large, How Different?",David Vaskevitch,VLDB,1995
l77,Dynamic XML documents with distribution and replication,"Ioana Manolescu, Serge Abiteboul, Tova Milo, Angela Bonifati, Gregory Cobena",SIGMOD Conference,2003
l78,Managing uncertainty in sensor database,"Sunil Prabhakar, Reynold Cheng",SIGMOD Record,2003
l79,Multidimensional Access Methods: Trees Have Grown Everywhere,"Nick Roussopoulos, Christos Faloutsos, Timos K. Sellis",VLDB,1997
l80,Seeking the Truth About ad hoc Join Costs,"Amit Shukla, Miron Livny, Michael J. Carey, Laura M. Haas",VLDB J.,1997
l81,Efficient Geometry-based Similarity Search of 3D Spatial Databases,Daniel A. Keim,SIGMOD Conference,1999
l82,MultiMediaMiner: A System Prototype for Multimedia Data Mining,"Jenny Chiang, Ze-Nian Li, Osmar R. Zaane, Sonny H. Chee, Jiawei Han",SIGMOD Conference,1998
l83,Extracting Entity Profiles from Semistructured Information Spaces,"Robert A. Nado, Scott B. Huffman",SIGMOD Record,1997
l84,The XPS Approach to Loading and Unloading Terabyte Databases,Sanket Atal,VLDB,1996
l85,Implementation Aspects of an Object-Oriented DBMS,"Ilker Durusoy, Cetin Ozkan, Mehmet Altinel, Asuman Dogac",SIGMOD Record,1995
l86,IBM's DB2 Universal Database demonstrations at VLDB'98,"K. Bernhard Schiefer, Karen Brannon, Guy M. Lohman, Gene Fuh, Jim Kleewein",VLDB,1998
l87,THESUS: Organizing Web document collections based on link semantics,"Benjamin Nguyen, Iraklis Varlamis, Maria Halkidi, Michalis Vazirgiannis",VLDB J.,2003
l88,XSB as a Deductive Database,"Terrance Swift, Konstantinos F. Sagonas, David Scott Warren",SIGMOD Conference,1994
l89,A Comparison of Three User Interfaces to Relational Microcomputer Data Bases,"Carl Medsker, Margaret Christensen, Il-Yeol Song",SIGMOD Record,1995
l90,ProbView: A Flexible Probabilistic Database System,"Nicola Leone, Robert Ross, Laks V. S. Lakshmanan, V. S. Subrahmanian",ACM Trans. Database Syst.,1997
l91,Distributing a Search Tree Among a Growing Number of Processors,"Brigitte Krll, Peter Widmayer",SIGMOD Conference,1994
l92,Providing Better Support for a Class of Decision Support Queries,"Antonio Badia, Dirk Van Gucht, Sudhir Rao",SIGMOD Conference,1996
l93,Wrapping Web Data into XML,"David Buttler, Wei Han, Calton Pu",SIGMOD Record,2001
l94,Mining Email Content for Author Identification Forensics,"George M. Mohay, M. Corney, A. Anderson, Olivier Y. de Vel",SIGMOD Record,2001
l95,Introduction to Constraint Databases - Book Review,Bart Kuijpers,SIGMOD Record,2002
l96,Selectivity Estimation Without the Attribute Value Independence Assumption,"Viswanath Poosala, Yannis E. Ioannidis",VLDB,1997
l97,Efficient Processing of Joins on Set-valued Attributes,Nikos Mamoulis,SIGMOD Conference,2003
l98,Analysis of SIGMOD's co-authorship graph,"Mario A. Nascimento, Jrg Sander, Jeffrey Pound",SIGMOD Record,2003
l99,Data Manager for Evolvable Real-time Command and Control Systems,"Eric Hughes, Roman Ginis, Bhavani M. Thuraisingham, Peter C. Krupp, John A. Maurer",VLDB,1997
l100,From Data Independence to Knowledge Independence: An on-going Story,Laurent Vieille,VLDB,1998
l101,Selectivity Estimation in Extensible Databases - A Neural Network Approach,"Shaoyu Zhou, M. Seetha Lakshmi",VLDB,1998
l102,Online Association Rule Mining,Christian Hidber,SIGMOD Conference,1999
l103,Objectivity Industrial Exhibit,Objectivity,VLDB,1998
l104,"Turmoil at NASA, and Numerous Funding Announcements",Xiaolei Qian,SIGMOD Record,1995
l105,"Fast Similarity Search in the Presence of Noise, Scaling, and Translation in Time-Series Databases","King-Ip Lin, Harpreet S. Sawhney, Rakesh Agrawal, Kyuseok Shim",VLDB,1995
l106,Efficient algorithms for minimizing tree pattern queries,Prakash Ramanan,SIGMOD Conference,2002
l107,Practical Predicate Placement,Joseph M. Hellerstein,SIGMOD Conference,1994
l108,"Using Taxonomy, Discriminants, and Signatures for Navigating in Text Databases","Byron Dom, Rakesh Agrawal, Prabhakar Raghavan, Soumen Chakrabarti",VLDB,1997
l109,A Metadatabase System for Semantic Image Search by a Mathematical Model of Meaning,"Yasushi Kiyoki, Takanari Hayama, Takashi Kitagawa",SIGMOD Record,1994
l110,Application Servers: Born-Again TP Monitors for the Web? (Panel Abstract),C. Mohan,SIGMOD Conference,2001
l111,Probabilistic object bases,"Thomas Eiter, V. S. Subrahmanian, Thomas Lukasiewicz, James J. Lu",ACM Trans. Database Syst.,2001
l112,Improving Access to Environmental Data Using Context Information,"Anthony Tomasic, Eric Simon",SIGMOD Record,1997
l113,Securing XML Documents: the Author-X Project Demonstration,"Elisa Bertino, Elena Ferrari, Silvana Castano",SIGMOD Conference,2001
l114,Jef Wijsen,Temporal FDs on Complex Objects,ACM Trans. Database Syst.,1999
l115,Modularization Techniques for Active Rules Design,"Stefano Ceri, Elena Baralis, Stefano Paraboschi",ACM Trans. Database Syst.,1996
l116,Comparative Analysis of Five XML Query Languages,"Angela Bonifati, Stefano Ceri",SIGMOD Record,2000
l117,Exposing undergraduate students to database system internals,"Anastassia Ailamaki, Joseph M. Hellerstein",SIGMOD Record,2003
l118,Detection and Classification of Intrusions and Faults using Sequences of System Calls,"Joo B. D. Cabrera, Raman K. Mehra, Lundy M. Lewis",SIGMOD Record,2001
l119,Using the Golden Rule of Sampling for Query Estimation,"Amr El Abbadi, Yi-Leh Wu, Divyakant Agrawal",SIGMOD Conference,2001
l120,"w. Bruce kroft, James callan, erik w. Brown",fast incrremental indexiing for fulltext informtion retreval,VLDB,1994
l121,STHoles: A Multidimensional Workload-Aware Histogram,"Luis Gravano, Nicolas Bruno, Surajit Chaudhuri",SIGMOD Conference,2001
l122,Declarative Updates of Relational Databases,Weidong Chen,ACM Trans. Database Syst.,1995
l123,Change-Centric Management of Versions in an XML Warehouse,"Laurent Mignet, Amlie Marian, Gregory Cobena, Serge Abiteboul",VLDB,2001
l124,Data-Driven Understanding and Refinement of Schema Mappings,"Laura M. Haas, Ling-Ling Yan, Ronald Fagin, Rene J. Miller",SIGMOD Conference,2001
l125,Information Systems Research at George Mason University,"Sushil Jajodia, Amihai Motro, Edgar H. Sibley, Alexander Brodsky, Larry Kerschberg, Xiaoyang Sean Wang, Daniel Barbar",SIGMOD Record,1997
l126,Query Optimization by Predicate Move-Around,"Inderpal Singh Mumick, Alon Y. Levy, Yehoshua Sagiv",VLDB,1994
l127,Automating physical database design in a parallel database,"Chun Zhang, Guy M. Lohman, Jun Rao, Nimrod Megiddo",SIGMOD Conference,2002
l128,What is the Data Warehousing Problem? (Are Materialized Views the Answer?),"Inderpal Singh Mumick, Ashish Gupta",VLDB,1996
l129,BigSur: A System For the Management of Earth Science Data,"Paul Brown, Michael Stonebraker",VLDB,1995
l130,Procedures in Object-Oriented Query Languages,"Kazimierz Subieta, Jacek Leszczylowski, Yahiko Kambayashi",VLDB,1995
l131,Evaluating Top-k Selection Queries,"Luis Gravano, Surajit Chaudhuri",VLDB,1999
l132,Amalgamating Knowledge Bases,V. S. Subrahmanian,ACM Trans. Database Syst.,1994
l133,Object Database Evolution Using Separation of Concerns,"Peter Sawyer, Awais Rashid",SIGMOD Record,2000
l134,A Multi-paradigm Querying Approach for a Generic Multimedia Database Management System,"Ji-Rong Wen, Qing Li, Wei-Ying Ma, HongJiang Zhang",SIGMOD Record,2003
l135,Applying an update method to a set of receivers,"Jan Van den Bussche, Marc Andries, Jan Paredaens, Luca Cabibbo",ACM Trans. Database Syst.,2001
l136,Probabilistic Optimization of Top N Queries,"Donko Donjerkovic, Raghu Ramakrishnan",VLDB,1999
l137,Hierarchies and Relative Operators in the OLAP Environment,"Maurizio Rafanelli, Elaheh Pourabbas",SIGMOD Record,2000
l138,Index Research: Forest or Trees? (Panel Abstract),Joseph M. Hellerstein,SIGMOD Conference,2000
l139,A compact B-tree,"Ivan T. Bowman, Peter Bumbulis",SIGMOD Conference,2002
l140,Eliminating Costly Redundant Computations from SQL Trigger Executions,"Franois Llirbat, Franoise Fabret, Eric Simon",SIGMOD Conference,1997
l141,DBMiner: Interactive Mining of Multiple-Level Knowledge in Relational Databases,"Wei Wang, Krzysztof Koperski, Yongjian Fu, Osmar R. Zaane, Jenny Chiang, Jiawei Han",SIGMOD Conference,1996
l142,Approximating Aggregate Queries about Web Pages via Random Walks,"Jittat Fakcharoenphol, Steve Chien, Ziv Bar-Yossef, Alexander Berg, Dror Weitz",VLDB,2000
l143,Report on the NSF Workshop on Building an Infrastructure for Mobile and Wireless Systems,"Ouri Wolfson, S. A. M. Makki, Kia Makki, Charles E. Perkins, Birgitta Knig-Ries, Peter L. Reiher, Niki Pissinou, Peter Scheuermann, Jari Veijalainen",SIGMOD Record,2002
l144,Approximate Join Processing Over Data Streams,"Johannes Gehrke, Abhinandan Das, Mirek Riedewald",SIGMOD Conference,2003
l145,Range Queries in OLAP Data Cubes,"Ching-Tien Ho, Rakesh Agrawal, Nimrod Megiddo, Ramakrishnan Srikant",SIGMOD Conference,1997
l146,OdeFS: A File System Interface to an Object-Oriented Database,"Narain H. Gehani, William D. Roome, H. V. Jagadish",VLDB,1994
l147,The hcC-tree: An Efficient Index Structure for Object Oriented Databases,"B. Sreenath, S. Seshadri",VLDB,1994
l148,XRANK: Ranked Keyword Search over XML Documents,"Feng Shao, Lin Guo, Chavdar Botev, Jayavel Shanmugasundaram",SIGMOD Conference,2003
l149,How To Roll a Join: Asynchronous Incremental View Maintenance,"Kevin S. Beyer, Roberta Cochrane, Kenneth Salem, Bruce G. Lindsay",SIGMOD Conference,2000
l150,Safe Query Languages for Constraint Databases,Peter Z. Revesz,ACM Trans. Database Syst.,1998
l151,Temporal Aggregation in Active Database Rules,"Iakovos Motakis, Carlo Zaniolo",SIGMOD Conference,1997
l152,Versions and Workspaces in Microsoft Repository,"Shankar Pal, Thomas Bergstraesser, Philip A. Bernstein, David Shutt",SIGMOD Conference,1999
l153,Guest Editorial,Alon Y. Halevy,VLDB J.,2002
l154,DBMSs on a Modern Processor: Where Does Time Go?,"David A. Wood, Mark D. Hill, David J. DeWitt, Anastassia Ailamaki",VLDB,1999
l155,"StorHouse Metanoia - New Applications for Database, Storage & Data Warehousing","Felipe Cario, Pekka Kostamaa, Art Kaufmann, John Burgess",SIGMOD Conference,2001
l156,Removing permissions in the flexible authorization framework,"sa Hagstrm, Duminda Wijesekera, Francesco Parisi-Presicce, Sushil Jajodia",ACM Trans. Database Syst.,2003
l157,Efficient View Maintenance at Data Warehouses,"Tolga Yurek, Divyakant Agrawal, Amr El Abbadi, Ambuj K. Singh",SIGMOD Conference,1997
l158,Cost models for overlapping and multiversion structures,"Yufei Tao, Jun Zhang, Dimitris Papadias",ACM Trans. Database Syst.,2002
l159,Integrating Modelling Systems for Environmental Management Information Systems,"David J. Abel, Dean Kuo, Kerry L. Taylor",SIGMOD Record,1997
l160,Heraclitus: Elevating Deltas to be First-Class Citizens in a Database Programming Language,"Dean Jacobs, Shahram Ghandeharizadeh, Richard Hull",ACM Trans. Database Syst.,1996
l161,Information Systems Research at RWTH Aachen,Matthias Jarke,SIGMOD Record,1995
l162,Optimal Histograms with Quality Guarantees,"S. Muthukrishnan, H. V. Jagadish, Kenneth C. Sevcik, Torsten Suel, Nick Koudas, Viswanath Poosala",VLDB,1998
l163,The BT-tree: A Branched and Temporal Access Method,"David B. Lomet, Betty Salzberg, Linan Jiang, Manuel Barrena Garca",VLDB,2000
l164,Interaction of Query Evaluation and Buffer Management for Information Retrieval,"Bjrn r Jnsson, Divesh Srivastava, Michael J. Franklin",SIGMOD Conference,1998
l165,Cache-and-Query for Wide Area Sensor Databases,"Phillip B. Gibbons, Srinivasan Seshan, Suman Kumar Nath, Amol Deshpande",SIGMOD Conference,2003
l166,LockX: A System for Efficiently Querying Secure XML,"SungRan Cho, Laks V. S. Lakshmanan, Divesh Srivastava, Sihem Amer-Yahia",SIGMOD Conference,2003
l167,Maximizing Buffer and Disk Utilizations for News On-Demand,"Raymond T. Ng, Jinhai Yang",VLDB,1994
l168,Balancing Histogram Optimality and Practicality for Query Result Size Estimation,"Yannis E. Ioannidis, Viswanath Poosala",SIGMOD Conference,1995
l169,Bank of America Case Study: The Information Currency Advantage,"Mark Jahnke, Felipe Cario",VLDB,1998
l170,A Performance Evaluation of OID Mapping Techniques,"Andr Eickler, Carsten Andreas Gerlhof, Donald Kossmann",VLDB,1995
l171,"Building a Scaleable Geo-Spatial DBMS: Technology, Implementation, and Evaluation","Curt Ellmann, Roger Lueder, Jignesh M. Patel, Jie-Bing Yu, Nancy E. Hall, Josef Burger, David J. DeWitt, Navin Kabra, Karthikeyan Ramasamy, Shelly Guo, Jeffrey F. Naughton, Biswadeep Nag, Jim Kupsch, Kristin Tufte",SIGMOD Conference,1997
l172,Querying ATSQL databases with temporal logic,"Jan Chomicki, David Toman, Michael H. Bhlen",ACM Trans. Database Syst.,2001
l173,"O-O, What Have They Done to DB2?","Bennet Vance, Richard Swagerman, Michael J. Carey, Srinivasa Narayanan, Nelson Mendona Mattos, Donald D. Chamberlin, Doug Doole, Serge Rielau",VLDB,1999
l174,Optimal Multi-Step k-Nearest Neighbor Search,"Thomas Seidl, Hans-Peter Kriegel",SIGMOD Conference,1998
l175,Applying Data Mining Techniques to a Health Insurance Information System,"Michael J. Rothman, John P. Nearhos, Marisa S. Viveros",VLDB,1996
l176,Gigascope: high performance network monitoring with an SQL interface,"Yuan Gao, Theodore Johnson, Charles D. Cranor, Vladislav Shkapenyuk, Oliver Spatscheck",SIGMOD Conference,2002
l177,Searching in metric spaces with user-defined and approximate distances,"Marco Patella, Paolo Ciaccia",ACM Trans. Database Syst.,2002
l178,XPRESS: A Queriable Compression for XML Data,"Myung-Jae Park, Jun-Ki Min, Chin-Wan Chung",SIGMOD Conference,2003
l179,Database Management Systems and the Internet,Susan Malaika,VLDB,1996
l180,What Is the Nearest Neighbor in High Dimensional Spaces?,"Charu C. Aggarwal, Alexander Hinneburg, Daniel A. Keim",VLDB,2000
l181,PC Database Systems - Present and Future,Philip A. Bernstein,VLDB,1994
l182,A Toolkit for Negotiation Support Interfaces to Multi-Dimensional Data,"Matthias Jarke, Stephan Jacobs, Michael Gebhardt",SIGMOD Conference,1997
l183,Statistical synopses for graph-structured XML databases,"Minos N. Garofalakis, Neoklis Polyzotis",SIGMOD Conference,2002
l184,Evolvable View Environment (EVE): Non-Equivalent View Maintenance under Schema Changes,"Andreas Koeller, Amy J. Lee, Xin Zhang, Anisoara Nica, Elke A. Rundensteiner, Amber van Wyk, Yong Li",SIGMOD Conference,1999
l185,Extraction of Object-Oriented Structures from Existing Relational Databases,"Julia E. Hodges, Shekar Ramanathan",SIGMOD Record,1997
l186,Flexible Relations - Operational Support of Variant Relational Structures,"Peter Dadam, Christian Kalus",VLDB,1995
l187,Schema Mapping as Query Discovery,"Rene J. Miller, Mauricio A. Hernndez, Laura M. Haas",VLDB,2000
l188,An Early Look at XQuery,"Andrew Eisenberg, Jim Melton",SIGMOD Record,2002
l189,"Panel: Future Directions of Database Research - The VLDB Broadening Strategy, Part 1",Hans-Jrg Schek,VLDB,2000
l190,The Asilomar Report on Database Research,"Gerald Held, Hector Garcia-Molina, Michael Lesk, Jim Gray, Philip A. Bernstein, David Maier, H. V. Jagadish, Michael Stonebraker, Stefano Ceri, Joseph M. Hellerstein, David J. DeWitt, Jeffrey D. Ullman, Michael L. Brodie, Jeffrey F. Naughton, Michael J. Franklin, Hamid Pirahesh",SIGMOD Record,1998
l191,Adaptive Filters for Continuous Queries over Distributed Data Streams,"Jennifer Widom, Chris Olston, Jing Jiang",SIGMOD Conference,2003
l192,Information Gathering in the World-Wide Web: The W3QL Query Language and the W3QS System,"David Konopnicki, Oded Shmueli",ACM Trans. Database Syst.,1998
l193,Continuous Queries over Data Streams,"Jennifer Widom, Shivnath Babu",SIGMOD Record,2001
l194,Anatomy of a native XML base management system,"Thorsten Fiebig, Till Westmann, Robert Schiele, Guido Moerkotte, Carl-Christian Kanne, Julia Neumann, Sven Helmer",VLDB J.,2002
l195,The Structured Information Manager: A Database System for SGML Documents,Ron Sacks-Davis,VLDB,1996
l196,A Close Look at the IFO Data Model,Magdy S. Hanna,SIGMOD Record,1995
l197,Data Access for the Masses through OLE DB,Jos A. Blakeley,SIGMOD Conference,1996
l198,The Dangers of Replication and a Solution,"Dennis Shasha, Jim Gray, Patrick E. O'Neil, Pat Helland",SIGMOD Conference,1996
l199,Data Warehousing and OLAP for Decision Support (Tutorial),"Surajit Chaudhuri, Umeshwar Dayal",SIGMOD Conference,1997
l200,"Gangam - A Solution to Support Multiple Data Models, their Mappings and Maintenance","Elke A. Rundensteiner, Gail Mitchell, Wang-Chien Lee, Harumi A. Kuno, Xin Zhang, Hong Su, Kajal T. Claypool",SIGMOD Conference,2001
l201,Temporal statement modifiers,"Richard T. Snodgrass, Christian S. Jensen, Michael H. Bhlen",ACM Trans. Database Syst.,2000
l202,An Annotated Bibliography on Real-Time Database Systems,zgr Ulusoy,SIGMOD Record,1995
l203,Ontology-based Support for Digital Government,"Ahmed K. Elmagarmid, Athman Bouguettaya, Mourad Ouzzani, Brahim Medjahed",VLDB,2001
l204,Rate-based query optimization for streaming information sources,"Jeffrey F. Naughton, Stratis Viglas",SIGMOD Conference,2002
l205,Architectures for Internal Web Services Deployment,Oded Shmueli,VLDB,2001
l206,An Asymptotically Optimal Multiversion B-Tree,"Thomas Ohler, Peter Widmayer, Bruno Becker, Stephan Gschwind, Bernhard Seeger",VLDB J.,1996
