ID,Brand,Name,Amazon_Price,Original_Price,Features
12,Asus,"ASUS Zenbook UX305LA 13.3-Inch Laptop (Intel Core i5, 8GB, 256 GB SSD, Titanium Gold) with Windows 10",$749.99,$849.99,"13.3-Inch Full-HD IPS Anti-Glare Matte Display with an Ultra-wide 170�� Viewing Angle.. Powerful 5th-generation Intel Core i5-5200U 2.2GHz (Turbo up to 2.7GHz) Broadwell.. 8 GB RAM/ 256 GB Solid State Drive; 10-Hours Battery Life. 1.2 MP High Definition Webcam.. Equipped WiFi 802.11ac. This is almost 3x faster than the typical 802.11n. Bluetooth 4.0.. Designed to be ultra-slim with an all-aluminum body. The unit weighs only 2.86 lbs, is less than .6-inch thin."
13,Dell,2015 Newest DELL Inspiron 15.6\  Laptop / Intel Celeron N3050 / 2GB Memory / 32GB eMMC / DVD RW / Bluetooth / WiFi / Webcam / Windows 10 / Diamond Black,$259.99,$399.99,"Intel? Celeron? Processor N3050 (2M Cache, up to 2.16 GHz). 14.0-inch HD (1366 x 768) Truelife LED-Backlit Display;  Intel? HD Graphics. 2GB Single Channel DDR3 1600MHz (2GBx1); 32GB (eMMC). Windows 10 Home with OneDrive 64-bit English. 3-in-1 Media Card Reader and USB 3.0;  802.11bgn + Bluetooth 4.0, 2.4 GHz, 1x1;   Stereo speakers + MaxxAudio"
14,Other,RCA Viking Pro 10.1\  2-in-1 Tablet 32GB Quad Core Computer Laptop Purple Touchscreen WIFI Bluetooth Android 5.0 OS (Lollipop),$159.99,,"Back 2MP webcam and front 2MP webcam with microphone. USB 2.0 port, microUSB 2.0 port, microHDMI port, headphone jack. 32GB onboard storage memory, additional memory via microSD card slot. Up to 6 hours of run time on a full charge. 1.4GHz Quad-Core processor 1GB DDR3 of system memory"
15,Other,BESTRUNNER 2.4G 1600DPI 3D Car Shape Wireless Optical Mouse USB Receiver For Laptop PC,$8.99,$12.99,Interface: USB. Mouse type: Wireless Optical Mouse. Dimensions (approx.): 10.5 (L) * 5.0 cm (W). Power Supply: 2 x AAA Battery (not included). USB Reciver is inside the back case!!!!!
16,Other,NIID - Decode Slim Laptop Backpack,$69.99,$99.99,"Ultra slim compact design, for MacBook and any 13-15.6\  laptop. Durable Eco-Polyester exterior with water repellent coating. Abrasion proof soft-touch satin linings with water repellent coating. GCC splash-proof zipper. Dedicated laptop compartment, equipped with Air-Armor shock absorber. Easy-Access front compartment. Anti-Theft security pocket for your wallet and valuable items. Air-Flow back padding made with premium breathable mesh. 33 x 9 x 45 CM / 0.95 KG. Limited 3-Year Warranty"
17,HP,"2015 Newest Model HP Pavilion X360 2-in-1(laptop or Tablet) 13.3-inch Touch-screen Convertible Laptop(5th Gen Intel? Coretm I3-5010u Processor 3MB L3 Cache 2.1GHz , 4GB DDR3L SDRAM, 500GB HDD, WLED HD Touchscreen Display, Windows 8.1 64-bit, Silver)",$499.99,$699.00,"5th Gen Intel Core i3-5010U processor Features a 3MB L3 cache and 2.1GHz processor speed, Intel HD Graphics 5500. 4GB DDR3L SDRAM, 500GB hard drive (5400 rpm), Audio. 13.3 inch touch screen.. Bluetooth, Built-in 10/100Base-T Ethernet LAN,  just 0.84. Windows 8.1 64-bit, Digital media reader(SD format compatible), No optical drive"
18,Toshiba,"Toshiba  CB35-B3340 13.3 Inch Chromebook (Intel Celeron, 4GB, 16GB SSD, Silver) Full HD-Screen",$299.00,$299.99,"Intel Celeron Processor N2840. 4 GB DDR3L SDRAM memory, 9-hour battery life. 16 GB Solid-State Drive. 13-inch IPS Screen, Intel HD graphics. Refer support.toshiba.com for laptop related queries"
19,Apple,"Apple MacBook Air MJVE2LL/A 13-inch Laptop (1.6 GHz Intel Core i5,4GB RAM,128 GB SSD Hard Drive, Mac OS X)",$894.80,$999.99,"1.6 GHz Intel Core i5 (Broadwell) 4GB of 1600 MHz LPDDR3 RAM. 128GB PCIe-Based Flash Storage Integrated Intel HD Graphics 6000. 13.3\  LED-Backlit Glossy Display 1440 x 900 Native Resolution. 802.11ac Wi-Fi, Bluetooth 4.0 USB 3.0, Thunderbolt 2. 720p FaceTime HD Camera, SDXC Card Slot Mac OS X 10.10 Yosemite"
20,Asus,"ASUS N550JX FHD 15.6 Inch Laptop (Intel Core i7, 8 GB, 1TB HDD, Silver) Nvidia GTX950M- Free Upgrade to Windows 10",$929.00,"$1,099.00",Intel Core i7-4720HQ 2.6 GHz Processor. 8 GB DDR3 RAM; Nvidia GTX950M. 1TB HDD Storage; DL DVD��RW/CD-RW. 15.6 inches 1920*1080 pixels LED-lit Screen. Windows 8.1 Operating System; Silver Chassis
21,HP,HP 15-g020dx 15.6\  Laptop PC - AMD Quad-Core A6 / 4GB Memory / 1TB HD / DVD��RW/CD-RW / HD Webcam / Windows 8.1 64-bit (Black Licorice),$382.95,$449.95,AMD Quad-Core A6-5200 Accelerated Processor with AMD Radeon HD 8400 integrated graphics. 4GB DDR3L SDRAM / 1TB hard drive. 15.6\  WLED-backlit high-definition display. DVD��RW/CD-RW drive / HP TrueVision high-definition webcam. Windows 8.1 64-bit / 802.11b/g/n WLAN
22,Dell,Laptop Notebook Charger for PA3E DELL LA90PE1-01 90W Adapter Power Supply (Power Cord Included),$25.78,,Brand New Replacement Laptop Charger. 12 Month Warranty. FREE USA Power Cord. EAN: 5053071526158
23,Asus,ASUS X551 15-Inch Laptop [OLD VERSION],$272.87,"$1,299.00","Intel Celeron processor N2830 2.16 GHz. 500 GB Hard Drive, 4 GB RAM. 15.6-Inch Display. Webcam.. 1x USB 3.0, 1x USB 2.0, HDMI, VGA, ethernet port, SD card reader. Wireless 802.11N. Trackpad."
24,Toshiba,"Toshiba Satellite 15.6\  Touch-screen Notebook, Intel i3, 4GB Memory, 500GB Hard Drive, Optical Drive *FREE UPGRADE TO WINDOWS 10",$399.99,$499.99,"Intel Core i3 - 4005U 1.7 GHz, 3MB Cache, 4GB DDR3L SDRAM. 500.00 GB Serial ATA 5400 RPM, Intel HD Graphics, DVD SuperMulti drive. 15.6 inch 1366x768 HD TruBrite Touchscreen, 1 USB 3.0, 2 USB 2.0. windows 8.1, free upgrade to windows 10. A 2 Year limited Warranty through BuyTaxFree included in the purchase"
25,Dell,"Newest Dell Inspiron 15 5000 Laptop with Windows 7 Professional (5th Gen Intel Core i5-5200U Processor up to 2.7 GHz, 8GB DDR3 RAM, 1TB HDD, 802.11a/c WiFi Bluetooth, DVD-RW, Backlit Keyboard)",$679.00,$899.00,"Dell 2015 Newest Version of Inspiron 15-5000 Series Premium-built Laptop;. Windows 7 Professional English 64 bit per installed on laptop. Windows 8.1 DVD included in package; Eligible for free upgrade to Windows 10 at your choice;. 5th Generation Intel Core i5-5200U 3MB Cache 2.2GHz with 2.7GHz Turbo Frequency, 8GB (2x4GB) DDR3L 1600Mhz, 1TB 5400 rpm HDD;. 15.6 inch LED Backlit Display with Truelife and HD resolution (1366 x 768),802.11 A/C Wireless Connectivity + Bluetooth 4.0, Intel HD Graphics 5500;. 3-in-1 Media Card Reader and USB 3.0 (2 USB 3.0, 1 USB 2.0), FastAccess Facial Recognition, Stereo speakers + MaxxAudio;  Kensington lock slot."
26,Dell,"2015 Newest Edition Dell Inspiron 15.6 Inch Laptop with Flagship Specs (Windows 7 Professional, 5th Generation Intel Core i5-5200U Processor, 8GB RAM, 1TB Hard Drive, DVD Super Multi Burner",$679.00,$899.00,"5th Gen Intel Core i5-5200U Processor (3M Smart Cache, 2.2GHz, turbo boost up to 2.70GHz), Dual Core, and 4 Theads. 8 GB DDR3L RAM, 1 TB Hard Drive, SuperMulti DVDRW, Webcam, Media card reader. 15.6 Inch HD Antiglare LED-backlit Display with Resolution 1366x768, Intel HD Graphics 5500. 1 x Ethernet, 1 x HDMI, Bluetooth 4.0, 1xUSB 3.0, 2x USB 2.0,Full-size island-style with numeric keypad. Windows 7 Professional with Windows 8.1 Pro License, free Upgrade to Windows 10"
27,Toshiba,Toshiba Satellite L55-C5384 15.6-Inch Laptop,$699.99,,"Intel Core i7-5500U 2.4 GHz Processor. 8 GB RAM. 1 TB 5400 rpm Hard Drive. 15.6-Inch Screen, Mobile Intel HD graphics. Windows 10"
28,HP,HP Pavilion 17-f247cl 17\  Notebook PC - AMD A8-6410 2.4GHz 6GB 1TB DVDRW Windows 8.1 (Certified Refurbished),$329.99,$529.99,"This Certified Refurbished product is tested &amp; certified by HP to look and work like new. The product includes accessories, and is backed by a 90 Day warranty.. 2.4/2.0GHz AMD Quad-Core A8-6410 APU. 6GB DDR3L SDRAM (2 DIMM) - 1TB 5400RPM hard drive with HP ProtectSmart Hard Drive Protection. 17.3-inch diagonal HD+ BrightView WLED-backlit display (1600 x 900). Microsoft Windows 8.1 (64-Bit)"
29,HP,"HP Pavilion 13.3-Inch Convertible 2 in 1 Touchscreen Laptop (Intel Core i3-5010U 2.1 GHz Processor, 4 GB DDR3L RAM, 500 GB HDD, Windows 8.1 64 Bit Operating System) (Silver)",$578.00,,Intel Core i3-5010U 2.1 GHz Processor. 4 GB DDR3L SDRAM. 500 GB Storage; No Optical Drive. 13.3 inches 1366x768 pixels LED-lit Screen. Windows 8.1 Operating System; Silver Chassis
30,Other,AmazonBasics Laptop Backpack - Fits Up To 17-Inch Laptops,$29.99,,"Large multi-compartment backpack with a padded sleeve for laptops. Holds up to 17\  notebook computer. Mesh water bottle pockets at side. Organizational compartments for pens, keys, and cell phone. Internal Dimensions: 12\  x 4.5\  x 17.5\  (LxWxH). External dimensions: 15\  x 7\  x 19\  (LxWxH)"
31,Dell,"Dell Inspiron 13 7000 Series 13-Inch 2-in-1 Convertible Touchscreen Laptop, Intel Core i3-5010U Processor, 4GB RAM, 500GB HDD",$509.00,$750.10,"13.3-inch HD (1366 x 768) Truelife LED-Backlit Touch Display with Wide Viewing Angle (IPS) with build in webcam. 5th Generation Intel Core i3-5010U Processor (3M Cache, 2.10 GHz), 4GB Single Channel DDR3L 1600MHz (4GBx1), 500GB HDD. Intel HD Graphics 5500, 802.11ac + Bluetooth 4.0, Dual Band 2.4&amp;5GHz, 2x2,. Windows 10 Home 64-bit English, 2 x USB 3.0 (1 with Power Share), 2 x USB 2.0, 1 x HDMI, Security slot, 1 x Passive Stylus (Standard), 1 x Headphone/Microphone Combo Jack, 2-in-1 (SD, MMC)"
32,Toshiba,Toshiba Tecra PT545U-00W004 15-Inch Laptop (Silver),"$1,199.00",,"Intel Core i5-4288U 1.9 GHz (3 MB Cache). 8 GB DDR3L SDRAM. 320 GB 7200 rpm Hard Drive. 15-Inch Screen, Intel HD Graphics 4400. Windows 7 Professional, 8.6-hour battery life"
33,Asus,ASUS X550JX 15.6\  Laptop FHD 1080p Intel Corei7-4720HQ 12GB Memory 1TB HDD NVIDIA GTX 950M 2GB DVD-RW Bluetooth 4.0 1 Year Accidental Damage Protection,$899.99,$999.99,Intel? CoreTM i7-4720HQ Processor 2.6GHz - 12GB DDR3L - 1TB 5400RPM HDD - 15.6\  FHD (1920 x 1080) Matte Display No Touch. NVIDIA GTX 950M 2GB Graphics - 2 x USB 3.0 - 1 x USB 2.0 - 1 x VGA - 1 x HDMI - 1x SD Card Slot. 10/100/1000Mbps LAN - Wireless-AC WLAN - Bluetooth 4.0 - Webcam - DVD-RW (Writes to DVD/CD). 4-cell 44WH Battery - Standard Keyboard - Windows 8.1 64bit Free Upgarde to Windows 10. 1 Year Accidental Damage Protection
34,Dell,Dell Inspiron 13 7000 Series 13.3-Inch Touchscreen Laptop (i7348-5001SLV),$944.97,,"Intel Core i7-5500U Processor (4M Cache, 2.16 GHz). 8 GB DDR3. 500 GB 5400 rpm Hard Drive. 13.3Inch Screen. Windows 8.1; Free upgrade to Windows 10 when available"
35,HP,"HP 15.6 Inch Laptop with Genuine 64-bit Windows 7 Home Premium, Quad-Core A8-6410 2.0GHz, 4GB RAM, 750GB HDD (Certified Refurbished)",$390.00,$599.00,"This Certified Refurbished product is tested &amp; certified by HP to look and work like-new. The product includes all original accessories, and is backed by a 90-Day warranty.. AMD Quad-Core A8-6410  Processor up to 2.4GHz Frequency, 4GB DDR3 RAM (2 slots, 1 user accessible), 750G HDD;. 15.6\  HD BrightView Display with WLED Backlighting 1366x768, AMD Radeon R5 Built-in Graphics;. SuperMulti DVD Burner, HD Webcam with Mic, 1 USB 3.0 Port, 2 USB 2.0 Ports, 1 HDMI Port, 802.11b/g/n WiFi;. Genuine Windows 7 Home Premium 64-bit, English."
36,HP,HP  Pavilion 15-p100dx 15.6-Inch Laptop -4 Gen Intel Core i7-4510U/  6GB Memory / 750GB HD / DVD��RW/CD-RW / Webcam / Windows 8.1 64-bit,$598.00,,"4th Gen Intel? CoreTM i7-4510U processor Features a 2.0GHz processor speed with Turbo Boost up to 3.1GHz. 15.6\  WLED-backlit high-definition display With BrightView technology and 1366 x 768 resolution showcases movies, games and more in striking clarity. 750GB Serial ATA hard drive (5400 rpm) Offers spacious storage and fast read/write times. HP ProtectSmart hard drive protection safeguards your data. Multiformat DVD��RW/CD-RW drive Create custom DVDs and CDs"
37,HP,HP Pavilion 17-g120nr 17.3-Inch Laptop,$559.99,,AMD A8-7410 2.2 GHz Processor. 4 GB DDR3L SDRAM. 750 GB 5400 RPM Hard Drive. 17.3-Inch Screen. Windows 10
38,Dell,"Dell Latitude E6420 Premium-Built 14.1-Inch Business Laptop, Intel Core i5 2.5GHz with 3.2G Turbo Frequency, 8GB RAM, 120GB SSD, Windows 7 Professional 64-bit (Certified Refurbished)",$419.00,$799.00,"This Certified Refurbished product is manufacturer refurbished, shows limited or no wear, and includes all original accessories plus a 90 day warranty.. 14 Inch HD 1366 x 768 Display with build in webcam, DVDROM, Intel HD Graphics 3000, 10/100/1000 Gigabit Ethernet. Intel Core i5-2520M 3MB Cache, 2.5GHz, Max Turbo Frequency 3.2GHz, 8GB DDR3, 120GB SSD Hard Drive;. Network connector (RJ-45), Optional Modem connector (RJ-11), USB 2.0 (4), Microphone jack, Headphone/speaker out, IEEE 1394, Docking Connector, VGA, DisplayPort, SmartCard Reader and optional Contactless SmartCard Reader. MIL-STD 810G tested, spill-resistant keyboard, protective LCD seal.6-in-1 card reader; PCMCIA or ExpressCard 54; Recovery partition only, no recovery disc."
39,Lenovo,"Newest Model Lenovo G50 15.6 Inch Laptop, Intel Core i7 5500U 2.40 GHz, 16 GB Memory, 1 TB HDD, Intel HD Graphics 5500, DVD��R/RW, Bluetooth, Windows 8.1 64-Bit - Free Upgrade to Windows 10",$719.90,$899.99,"Intel Core i7-5500U 2.4 GHz Processor, Intel HD Graphics 5500. 16 GB DDR3L RAM, 1TB 5400 RPM HDD Storage, DVD��R/RW. 15.6 Inches HD Widescreen Display (1366 x 768). 802.11ac Wireless LAN, Bluetooth 4.0, 2 x USB 2.0, 1 x USB 3.0, 1 x HDMI. Windows 8.1 Operating System - Free Upgrade to Windows 10; Black"
40,HP,"HP 15-g014dx AMD Quad-Core A8, 15.6 TouchSmart LED Win 8.1 Notebook (Certified Refurbished)",$319.99,$549.99,"This Certified Refurbished product is tested &amp; certified by HP to look and work like-new. The product includes all original accessories, and is backed by a 90 day warranty.. AMD Quad-Core A8-6410 Processor. 4GB DDR3L SDRAM &amp; 500GB 5400RPM hard drive. 15.6\  HD BrightView WLED-backlit Touchscreen display (1366x768). Windows 8.1"
41,Dell,"Dell Inspiron 15 5000 series i5547-7475sLV 15.6-Inch Touchscreen Laptop (1.70 GHz Intel Core i5-4210u processor, 8GB Memory, 1TB Hard drive, Backlit Keyboard, Wifi, Bluetooth, Win 8.1)",$560.25,"$1,199.00","Intel Core i5-4210U Processor,  Windows 8.1 (64Bit) English. 8GB DDR3 Memory, 1TB 5400RPM SATA Hard Drive. 15.6 inch LED Backlit Touch Display with HD resolution (1366 x 768). Intel Centrino Wireless-AC 3160 + Bluetooth 4.0. Optical Drive Not included,  Backlit Keyboard - English, Integrated Graphics"
42,Dell,"Dell Inspiron 15 5000 Series i5548-2501SLV 16-Inch Touchscreen Laptop (Intel i5-5200U Processor, 8GB Memory , 1TB Hard Drive, Backlit Keyboard, Bluetooth 4.0, Windows 8.1)",$629.95,$749.99,"Intel Core i5-5200U Processor (3M Cache, up to 2.70 GHz). 8 GB DDR3L SDRAM. 1000 GB 5400 rpm Hard Drive. 15.6 inch LED Backlit Touch Display with HD resolution (1366 x 768). Windows 8.1; Free upgrade to Windows 10 when available"
43,Acer,Acer Aspire E 11 ES1-111M-P2YU 11.6-Inch Laptop (Diamond Black),$229.00,$269.99,"Intel Pentium N3540 Quad-Core Processor (2.16 GHz). 2 GB DDR3L SDRAM. No CD Drive.. 250 GB 5400 rpm Hard Drive. 11.6-Inch Screen, Intel HD Graphics. Windows 8.1, 5-hour battery life"
44,Lenovo,Lenovo IdeaPad G510s 15.6\  Notebook PC - Intel Core i5-4200M 2.5GHz 8GB 1TB Windows 8 (Certified Refurbished),$399.99,$799.99,"This Certified Refurbished product is tested &amp; certified by Lenovo to look and work like new. The product includes accessories, and is backed by a 90 Day warranty.. Intel Core i5-4200M 2.5GHz (3.1GHz Turbo) Processor. 8GB DDR3 Memory - 1TB SATA Hard Drive. 15.6-inch HD Display (1366 x 768). Windows 8 (64-Bit)"
45,Dell,"Dell Inspiron 15 - 3542 Laptop - 15.6 inch LED display, Intel Core i3-4030U, 4GB RAM, 1TB Hard Drive, DVD/CD Drive, Non-Touch (Certified Refurbished)",$379.00,$599.00,"This Certified Refurbished product is manufacturer refurbished, shows limited or no wear, and includes all original accessories plus a 180 day warranty.. 15.6 Inch LED Backlit Display with Truelife and HD resolution (1366 x 768) with build in HD (720p) capable webcam, microphone. Processor: Intel Core 4th Generation i3-4030U processor (3M Cache, 1.9 GHz), 4GB DDR3L at 1600MHz, 1TB SATA Hard Drive (5400 RPM). 1 HDMI 1.4a, 1 USB 3.0, 2 USB 2.0, Security slot, 1 Media Card (SD, SDHC, SDXC). Windows 8.1, free upgrade to windows 10, 8X DVD +/- RW Drive, Full size spill-resistant keyboard"
46,Asus,Asus U52F Replacement AC Power Adapter,$9.19,$47.99,Safety circuitry to protect your laptop. Output over voltage limiter. Output current limiter. Output short circuit shutdown. Guaranteed to meet or exceed manufacturer specifications
47,HP,HP Stream 14 Quad Core Laptop with Beats Audio (Natural Silver),$399.99,,"AMD Quad Core A4 6400t 1.0 GHz (Up to 1.6 Ghz Turbo)(2 MB Cache). 2 GB DDR3L SDRAM. 32 GB Solid-State Drive and 100GB OneDrive Cloud Storage for 2 years. 14.0-Inch Screen, AMD Radeon R3 graphics, four Beats Audio speakers,Keyboard island with clickable trackpad, brushed aluminum metal deck and aluminum top cover.. Windows 8.1, 6.5-hour battery life"
48,Other,"Coavas Portable Folding Adjustable Laptop Desk, Computer Notebook Stand for Table, Sofa and Bed",,,"Lightweight; Foldable Legs for easy carrying and storage. Special-processed Surface withstands heat. Arriving fully assembled, used as breakfast tray or tray table;. Moisture resistant and easy to clean;. Color:earth yellow,size:65* 30* 30*CM. With the Plastic protective cover on the foot, which make the table more stable no matter on the bed, sofa or ground."
49,Micro-Star International,CUK MSI GT72 Dominator 17.3-inch Intel Skylake i7-6820HK 32GB 2x256GB SSD + 2TB HDD NVIDIA GTX 970M 3GB Windows 10 Full HD Blu-Ray Gaming Laptop Computer,"$1,984.00",,"Processor: Intel Core i7-6820HK Quad Core Processor (6M Cache, 2.7GHz-3.6GHz) 45W. RAM: 32GB RAM DDR3 1600MHz | Hard Drive: 2 x 256GB SSD + 2TB 5400rpm Hard Disk Drive. Optical Drive: BD-RW with SuperMulti 8X DVD+/-R/RW Dual Layer | Operating System: Windows 10 x64. Graphics Card: NVIDIA GeForce GTX 970M 3GB GDDR5 | Display: 17.3-inch Full HD Non Reflection Display (1920 x 1080). 32GB RAM / 2 x 256GB SSD + 2TB HDD / BD-RW Upgrade* | View Product Description for more details."
50,HP,HP Smart Ac Adapter 120W (VE025AA#ABA),$20.56,$99.99,"Input voltage: 100 ~ 240 V 2.0A 50 ~ 60 Hz. 19.0V 6.32A Max 120W. HP Envy 15-1000, 17-1000, 17-2000; HP HDX18; HP Pavilion dv6-1000, dv6-2000, dv6-3000, dv6-4000, dv6-6000, dv7-2000, dv7-3000, dv7-4000, dv7-5000, dv7-6000, dv8-1000."
51,Asus,Asus X555LA-DH31(WX) 15.6-Inch Laptop,$429.54,$449.00,Intel Core i3-4005U 1.7 GHz. 4 GB. 500 GB 5400 rpm Hard Drive. 15.6-Inch Screen. Windows 10
52,Panasonic,Panasonic Toughbook CF-53SSLZYLM 14-Inch Laptop (Silver),"$1,962.00","$2,299.00","Intel Core i5-3339Y 2.7 GHz (3 MB Cache). 4 GB DDR3L SDRAM. 500 GB 7200 rpm Hard Drive. 14-Inch Screen, Intel HD Graphics 4000. Windows 7 Professional, 7-hour battery life"
53,HP,HP Stream X360 11.6-inch Touch-Screen Convertible Laptop Tablet Intel N2840 up to 2.58GHz 2GB DDR3L with 1 year office 365,$294.98,$379.99,"360-degree hinge for ultimate flexibility. Keep up with your Office documents anywhere with a one-year office 365 Personal subscription. Get 1TB of storage for one year with OneDrive. Includes HP Connected Apps: Photo, Music. HP TrueVision Webcam"
54,Lenovo,"Lenovo Y50 15.6-Inch Gaming Laptop - Intel Core i7-4720HQ, 15.6\  Full HD IPS Display, 4GB NVIDIA GeForce GTX 960M Graphics, 256GB SSD, 16GB RAM, Free Upgrade to Windows 10","$1,096.91","$1,679.99","4th Gen Intel Core i7-4720HQ (2.6GHz/3.6GHz) Quad Core Processor, Genuine Windows 8.1 64-Bit. 15.6\  Full HD IPS LED Backlight (1920x1080) NON-Touch, JBL? speakers, SPDIF, HDMI, Gigabit LAN. 4GB GDDR5 Nvidia GeForce GTX 960M Graphics; 16GB PC3-12800 DDR3L SDRAM 1600MHz (2 Dimm). 256GB Eluktro Pro Performance (SSD) Solid State SATA III; Wi-Fi AC Wireless (2x2) + Bluetooth v4.0. Red Backlit AccuType? Keyboard, Dolby? Home TheaterTM v4, 4-cell Battery, HD Webcam, 1 Year Warranty"
55,Toshiba,Toshiba Satellite L55Dt-C5238 15.6-Inch Touchscreen Laptop,$598.72,,"AMD A8-7410 2.2 GHz. 8 GB DDR3L SDRAM. 1 TB 5400 rpm Hard Drive. 15.6-Inch Touchscreen Display, AMD Radeon R5. Windows 10"
56,Acer,Acer Aspire E 15 E5-573G-52G3 15.6-inch Full HD Notebook - Charcoal Gray (Windows 10),$554.99,$599.99,"Intel Core i5-5200U 2.2 GHz (3 MB Cache). 8 GB DDR3L SDRAM. 1 TB 5400 rpm Hard Drive. 15.6-Inch Full HD Screen, NVIDIA GeForce 940M with 2GB VRAM. Windows 10"
