_id,ltable.id,rtable.id,ltable.authors,ltable.title,ltable.venue,ltable.year,rtable.authors,rtable.title,rtable.venue,rtable.year,gold
17,conf/sigmod/BraumandlKK99,304573,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",Database Patchwork on the Internet,SIGMOD Conference,1999.0,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",Database patchwork on the Internet,International Conference on Management of Data,1999,1
18,conf/sigmod/Brewer98,276372,Eric A. Brewer,Delivering High Availability for Inktomi Search Engines,SIGMOD Conference,1998.0,Eric A. Brewer,Delivering high availability for Inktomi search engines,International Conference on Management of Data,1998,1
19,conf/sigmod/BrinkhoffKSS94,191880,"Ralf Schneider, Thomas Brinkhoff, Bernhard Seeger, Hans-Peter Kriegel",Multi-Step Processing of Spatial Joins,SIGMOD Conference,1994.0,"Thomas Brinkhoff, Hans-Peter Kriegel, Ralf Schneider, Bernhard Seeger",Multi-step processing of spatial joins,International Conference on Management of Data,1994,1
20,conf/sigmod/BrinkhoffKSS94a,191988,"Thomas Brinkhoff, Hans-Peter Kriegel, Ralf Schneider, Bernhard Seeger",GENESYS: A System for Efficient Spatial Query Processing,SIGMOD Conference,1994.0,"Thomas Brinkhoff, Hans-Peter Kriegel, Ralf Schneider, Bernhard Seeger",GENESYS: a system for efficient spatial query processing,International Conference on Management of Data,1994,1
21,conf/sigmod/BryanMCLG94,191955,"George M. Bryan, J. Geyer, Wayne E. Moore, B. J. Curry, K. W. Lodge",The MEDUSA Project: Autonomous Data Management in a Shared-Nothing Parallel Database Machine,SIGMOD Conference,1994.0,"G. M. Bryan, W. E. Moore, B. J. Curry, K. W. Lodge, J. Geyer",The MEDUSA project: autonomous data management in a shared-nothing parallel database machine,International Conference on Management of Data,1994,1
22,conf/sigmod/BryanMCLG94,309870,"George M. Bryan, J. Geyer, Wayne E. Moore, B. J. Curry, K. W. Lodge",The MEDUSA Project: Autonomous Data Management in a Shared-Nothing Parallel Database Machine,SIGMOD Conference,1994.0,"E. Forte, F. Haenni, K. Warkentyne, E. Duval, K. Cardinaels, E. Vervaet, K. Hendrikx, M. Wentland Forte, F. Simillion",Semantic and pedagogic interoperability mechanisms in the ARIADNE educational repository,ACM SIGMOD Record,1999,0
23,conf/sigmod/BumbulisB02,564753,"Ivan T. Bowman, Peter Bumbulis",A compact B-tree,SIGMOD Conference,2002.0,"Peter Bumbulis, Ivan T. Bowman",A compact B-tree,International Conference on Management of Data,2002,1
24,conf/sigmod/BunemanDHS96,373697,"Gerd G. Hillebrand, Peter Buneman, Susan B. Davidson, Dan Suciu",A Query Language and Optimization Techniques for Unstructured Data,SIGMOD Conference,1996.0,"Peter Buneman, Wenfei Fan, Jrme Simon, Scott Weinstein",Constraints for semistructured data and XML,ACM SIGMOD Record,2001,0
25,conf/sigmod/CandanLLHA01,672041,"Qiong Luo, Divyakant Agrawal, Wen-Syan Li, Wang-Pin Hsiung, K. Seluk Candan",Enabling Dynamic Content Caching for Database-Driven Web Sites,,2001.0,"Qiong Luo, Jeffrey F. Naughton",Form-Based Proxy Caching for Database-Backed Web Sites,Very Large Data Bases,2001,0
26,conf/sigmod/Carey94,191955,Michael J. Carey,Parallel Database Systems in the 1990's,SIGMOD Conference,1994.0,"G. M. Bryan, W. E. Moore, B. J. Curry, K. W. Lodge, J. Geyer",The MEDUSA project: autonomous data management in a shared-nothing parallel database machine,International Conference on Management of Data,1994,0
27,conf/sigmod/CareyCNVDRSM99,304234,"Richard Swagerman, Nelson Mendona Mattos, Michael J. Carey, Srinivasa Narayanan, Bennet Vance, Doug Doole, Serge Rielau, Donald D. Chamberlin","O-O, What's Happening to DB2?",SIGMOD Conference,1999.0,"M. Carey, D. Chamberlin, D. Doole, S. Rielau, N. Mattos, S. Narayanan, B. Vance, R. Swagerman","O-O, what's happening to DB2?",International Conference on Management of Data,1999,1
28,conf/sigmod/CatarciS01,223886,"Tiziana Catarci, Giuseppe Santucci",The Prototype of the DARE System,SIGMOD Conference,2001.0,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi, Giuseppe Psaila",The Algres testbed of CHIMERA: an active object-oriented database system,International Conference on Management of Data,1995,0
29,conf/sigmod/CeriFPP95,185828,"Giuseppe Psaila, Stefano Ceri, Stefano Paraboschi, Piero Fraternali",The Algres Testbed of CHIMERA: An Active Object-Oriented Database System,SIGMOD Conference,1995.0,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi, Letizia Tanca",Automatic generation of production rules for integrity maintenance,ACM Transactions on Database Systems (TODS),1994,0
30,conf/sigmod/CeriFPP95,223886,"Giuseppe Psaila, Stefano Ceri, Stefano Paraboschi, Piero Fraternali",The Algres Testbed of CHIMERA: An Active Object-Oriented Database System,SIGMOD Conference,1995.0,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi, Giuseppe Psaila",The Algres testbed of CHIMERA: an active object-oriented database system,International Conference on Management of Data,1995,1
31,conf/sigmod/Chamberlin03,872877,Donald D. Chamberlin,XQuery: A Query Language for XML,,2003.0,Don Chamberlin,XQuery: a query language for XML,International Conference on Management of Data,2003,1
32,conf/sigmod/ChanI98,276336,"Yannis E. Ioannidis, Chee Yong Chan",Bitmap Index Design and Evaluation,SIGMOD Conference,1998.0,"Chee-Yong Chan, Yannis E. Ioannidis",Bitmap index design and evaluation,International Conference on Management of Data,1998,1
33,conf/sigmod/ChanI99,950484,"Chee Yong Chan, Yannis E. Ioannidis",An Efficient Bitmap Encoding Scheme for Selection Queries,SIGMOD Conference,1999.0,"Chee-Yong Chan, Minos Garofalakis, Rajeev Rastogi",RE-tree: an efficient index structure for regular expressions,The VLDB Journal  The International Journal on Very Large Data Bases,2003,0
34,conf/sigmod/ChaudhuriD97,253373,"Surajit Chaudhuri, Umeshwar Dayal",Data Warehousing and OLAP for Decision Support (Tutorial),SIGMOD Conference,1997.0,"Surajit Chaudhuri, Umeshwar Dayal",Data warehousing and OLAP for decision support,International Conference on Management of Data,1997,1
35,conf/sigmod/ChaudhuriDN01,375694,"Vivek R. Narasayya, Gautam Das, Surajit Chaudhuri","A Robust, Optimization-Based Approach for Approximate Answering of Aggregate Queries",SIGMOD Conference,2001.0,"Surajit Chaudhuri, Gautam Das, Vivek Narasayya","A robust, optimization-based approach for approximate answering of aggregate queries",International Conference on Management of Data,2001,1
36,conf/sigmod/ChaudhuriDY95,673153,"Umeshwar Dayal, Surajit Chaudhuri, Tak W. Yan",Join Queries with External Text Sources: Execution and Optimization Techniques,SIGMOD Conference,1995.0,"Tak W. Yan, Hector Garcia-Molina",Duplicate Removal in Information System Dissemination,Very Large Data Bases,1995,0
37,conf/sigmod/ChaudhuriG96,233323,"Luis Gravano, Surajit Chaudhuri",Optimizing Queries over Multimedia Repositories,SIGMOD Conference,1996.0,"Surajit Chaudhuri, Luis Gravano",Optimizing queries over multimedia repositories,International Conference on Management of Data,1996,1
38,conf/sigmod/ChaudhuriG96,375774,"Luis Gravano, Surajit Chaudhuri",Optimizing Queries over Multimedia Repositories,SIGMOD Conference,1996.0,"Eugene Agichtein, Luis Gravano, Jeff Pavel, Viktoriya Sokolova, Aleksandr Voskoboynik",Snowball: a prototype system for extracting relations from large text collections,International Conference on Management of Data,2001,0
39,conf/sigmod/ChaudhuriGN02,564747,"Surajit Chaudhuri, Ashish Kumar Gupta, Vivek R. Narasayya",Compressing SQL workloads,SIGMOD Conference,2002.0,"Surajit Chaudhuri, Ashish Kumar Gupta, Vivek Narasayya",Compressing SQL workloads,International Conference on Management of Data,2002,1
40,conf/sigmod/ChaudhuriN98,276337,"Surajit Chaudhuri, Vivek R. Narasayya",AutoAdmin 'What-if' Index Analysis Utility,SIGMOD Conference,1998.0,"Surajit Chaudhuri, Vivek Narasayya",AutoAdmin what-if index analysis utility,International Conference on Management of Data,1998,1
41,conf/sigmod/ChawatheG97,253266,"Hector Garcia-Molina, Sudarshan S. Chawathe",Meaningful Change Detection in Structured Data,SIGMOD Conference,1997.0,"Sudarshan S. Chawathe, Hector Garcia-Molina",Meaningful change detection in structured data,International Conference on Management of Data,1997,1
42,conf/sigmod/ChawatheRGW96,765852,"Jennifer Widom, Sudarshan S. Chawathe, Hector Garcia-Molina, Anand Rajaraman",Change Detection in Hierarchically Structured Information,SIGMOD Conference,1996.0,"Gennady Antoshenkov, Mohamed Ziauddin",Query processing and optimization in Oracle Rdb,The VLDB Journal  The International Journal on Very Large Data Bases,1996,0
43,conf/sigmod/CherniackZ96,233356,"Mitch Cherniack, Stanley B. Zdonik",Rule Languages and Internal Algebras for Rule-Based Optimizers,SIGMOD Conference,1996.0,"Mitch Cherniack, Stanley B. Zdonik",Rule languages and internal algebras for rule-based optimizers,International Conference on Management of Data,1996,1
44,conf/sigmod/ChristophidesCS00,335395,"Jrme Simon, Vassilis Christophides, Sophie Cluet",On Wrapping Query Languages and Efficient XML Integration,SIGMOD Conference,2000.0,"Vassilis Christophides, Sophie Cluet, Jrme Simon",On wrapping query languages and efficient XML integration,International Conference on Management of Data,2000,1
45,conf/sigmod/CohenM03,872787,"Yossi Matias, Saar Cohen",Spectral Bloom Filters,SIGMOD Conference,2003.0,"Saar Cohen, Yossi Matias",Spectral bloom filters,International Conference on Management of Data,2003,1
46,conf/sigmod/CookKWZ96,233358,"Artur Klauser, Alexander L. Wolf, Benjamin G. Zorn, Jonathan E. Cook","Semi-automatic, Self-adaptive Control of Garbage Collection Rates in Object Databases",SIGMOD Conference,1996.0,"Vassilis Christophides, Sophie Cluet, Guido Moerkotte",Evaluating queries with generalized path expressions,International Conference on Management of Data,1996,0
47,conf/sigmod/CorralMTV00,335414,"Yannis Theodoridis, Yannis Manolopoulos, Antonio Corral, Michael Vassilakopoulos",Closest Pair Queries in Spatial Databases,SIGMOD Conference,2000.0,"Antonio Corral, Yannis Manolopoulos, Yannis Theodoridis, Michael Vassilakopoulos",Closest pair queries in spatial databases,International Conference on Management of Data,2000,1
48,conf/sigmod/DasGR03,375665,"Johannes Gehrke, Abhinandan Das, Mirek Riedewald",Approximate Join Processing Over Data Streams,SIGMOD Conference,2003.0,"Johannes Gehrke, Flip Korn, Divesh Srivastava",On computing correlated aggregates over continual data streams,International Conference on Management of Data,2001,0
49,conf/sigmod/DeutschFS99,304220,"Alin Deutsch, Mary F. Fernandez, Dan Suciu",Storing Semistructured Data with STORED,SIGMOD Conference,1999.0,"Alin Deutsch, Mary Fernandez, Dan Suciu",Storing semistructured data with STORED,International Conference on Management of Data,1999,1
50,conf/sigmod/DraperHW01,945732,"Daniel S. Weld, Alon Y. Halevy, Denise Draper",The Nimble Integration Engine,SIGMOD Conference,2001.0,"Igor Tatarinov, Zachary Ives, Jayant Madhavan, Alon Halevy, Dan Suciu, Nilesh Dalvi, Xin (Luna) Dong, Yana Kadiyska, Gerome Miklau, Peter Mork",The Piazza peer data management project,ACM SIGMOD Record,2003,0
51,conf/sigmod/Englert94,191945,Susanne Englert,NonStop SQL: Scalability and Availability for Decision Support,SIGMOD Conference,1994.0,Susanne Englert,Nonstop SQL: scalability and availability for decision support,International Conference on Management of Data,1994,1
52,conf/sigmod/FegarasSRM00,335494,"Arvind Rajendran, David Maier, Leonidas Fegaras, Chandrasekhar Srinivasan",lambda-DB: An ODMG-Based Object-Oriented DBMS,SIGMOD Conference,2000.0,"Leonidas Fegaras, Chandrasekhar Srinivasan, Arvind Rajendran, David Maier",lambda-DB: an ODMG-based object-oriented DBMS,International Conference on Management of Data,2000,1
53,conf/sigmod/FernandezS96,233346,"Donovan A. Schneider, Phillip M. Fernandez",The Ins and Outs (and Everthing in Between) of Data Warehousing,,1996.0,"B. Liskov, A. Adya, M. Castro, S. Ghemawat, R. Gruber, U. Maheshwari, A. C. Myers, M. Day, L. Shrira",Safe and efficient sharing of persistent objects in Thor,International Conference on Management of Data,1996,0
54,conf/sigmod/FernandezS96,775454,"Donovan A. Schneider, Phillip M. Fernandez",The Ins and Outs (and Everthing in Between) of Data Warehousing,,1996.0,"A. Sheth, S. Thacker, S. Patel",Complex relationships and knowledge discovery support in the InfoQuilt system,The VLDB Journal  The International Journal on Very Large Data Bases,2003,0
55,conf/sigmod/FlorescuGKR02,564779,"Andreas Grnhagen, Steffen Rost, Donald Kossmann, Daniela Florescu",XL: a platform for web services,SIGMOD Conference,2002.0,"Daniela Florescu, Andreas Grnhagen, Donald Kossmann, Steffen Rost",XL: a platform for web services,International Conference on Management of Data,2002,1
56,conf/sigmod/FreireHRRS02,564726,"Jayant R. Haritsa, Juliana Freire, Maya Ramanath, Prasan Roy, Jrme Simon",StatiX: making XML count,SIGMOD Conference,2002.0,Prakash Ramanan,Efficient algorithms for minimizing tree pattern queries,International Conference on Management of Data,2002,0
57,conf/sigmod/FungSG02,767131,"Wai Fu Fung, David Sun, Johannes Gehrke",COUGAR: the network is the database,SIGMOD Conference,2002.0,"Ling Feng, Jeffrey Xu Yu, Hongjun Lu, Jiawei Han",A template model for multidimensional inter-transactional association rules,The VLDB Journal  The International Journal on Very Large Data Bases,2002,0
58,conf/sigmod/GarofalakisGR02,564794,"Minos N. Garofalakis, Rajeev Rastogi, Johannes Gehrke",Querying and mining data streams: you only get one look a tutorial,SIGMOD Conference,2002.0,"Minos Garofalakis, Johannes Gehrke, Rajeev Rastogi",Querying and mining data streams: you only get one look a tutorial,International Conference on Management of Data,2002,1
59,conf/sigmod/GeorgeH97,253362,"Binto George, Jayant R. Haritsa",Secure Transaction Processing in Firm Real-Time Database Systems,SIGMOD Conference,1997.0,"Binto George, Jayant Haritsa",Secure transaction processing in firm real-time database systems,International Conference on Management of Data,1997,1
60,conf/sigmod/GibbsBT94,191856,"Simon J. Gibbs, Christian Breiteneder, Dennis Tsichritzis",Data Modeling of Time-Based Media,SIGMOD Conference,1994.0,"Simon Gibbs, Christian Breiteneder, Dennis Tsichritzis",Data modeling of time-based media,International Conference on Management of Data,1994,1
61,conf/sigmod/Golding95,223865,Rob Golding,Things Every Update Replication Customer Should Know,SIGMOD Conference,1995.0,Rob Goldring,Things every update replication customer should know (abstract),International Conference on Management of Data,1995,1
62,conf/sigmod/GraySSU03,872873,"Hans-Jrg Schek, Michael Stonebraker, Jim Gray, Jeffrey D. Ullman",The Lowell Report,SIGMOD Conference,,"Jim Gray, Hans Schek, Michael Stonebraker, Jeff Ullman",The Lowell report,International Conference on Management of Data,2003,1
63,conf/sigmod/GriffinL95,223849,"Leonid Libkin, Timothy Griffin",Incremental Maintenance of Views with Duplicates,SIGMOD Conference,,"Timothy Griffin, Leonid Libkin",Incremental maintenance of views with duplicates,International Conference on Management of Data,1995,1
64,conf/sigmod/GuhaRS98,276312,"Sudipto Guha, Rajeev Rastogi, Kyuseok Shim",CURE: An Efficient Clustering Algorithm for Large Databases,SIGMOD Conference,1998.0,"Sudipto Guha, Rajeev Rastogi, Kyuseok Shim",CURE: an efficient clustering algorithm for large databases,International Conference on Management of Data,1998,1
65,conf/sigmod/HaasH01,375800,"Peter J. Haas, Joseph M. Hellerstein",Online Query Processing,SIGMOD Conference,2001.0,"Peter J. Haas, Joseph M. Hellerstein",Online query processing: a tutorial,International Conference on Management of Data,2001,1
66,conf/sigmod/HaasH99,304208,"Peter J. Haas, Joseph M. Hellerstein",Ripple Joins for Online Aggregation,SIGMOD Conference,1999.0,"Peter J. Haas, Joseph M. Hellerstein",Ripple joins for online aggregation,International Conference on Management of Data,1999,1
67,conf/sigmod/HacigumusILM02,564717,"Hakan Hacigms, Chen Li, Sharad Mehrotra, Balakrishna R. Iyer",Executing SQL over encrypted data in the database-service-provider model,SIGMOD Conference,2002.0,"Hakan Hacigm, Bala Iyer, Chen Li, Sharad Mehrotra",Executing SQL over encrypted data in the database-service-provider model,International Conference on Management of Data,2002,1
68,conf/sigmod/HanFWCZK96,280356,"Wei Wang, Krzysztof Koperski, Yongjian Fu, Osmar R. Zaane, Jenny Chiang, Jiawei Han",DBMiner: Interactive Mining of Multiple-Level Knowledge in Relational Databases,SIGMOD Conference,1996.0,"Jaiwei Han, Youngjian Fu, Wei Wang, Jenny Chiang, Osmar R. Zaane, Krzysztof Koperski",DBMiner: interactive mining of multiple-level knowledge in relational databases,International Conference on Management of Data,1996,1
69,conf/sigmod/HellersteinA00,335420,"Ron Avnur, Joseph M. Hellerstein",Eddies: Continuously Adaptive Query Processing,SIGMOD Conference,2000.0,"Ron Avnur, Joseph M. Hellerstein",Eddies: continuously adaptive query processing,International Conference on Management of Data,2000,1
70,conf/sigmod/HristidisKP01,673466,"Yannis Papakonstantinou, Vagelis Hristidis, Nick Koudas",PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,SIGMOD Conference,2001.0,"Kenneth C. Sevcik, Nick Koudas",Filter Trees for Managing Spatial Data over a Range of Size Granularities,Very Large Data Bases,1996,0
71,conf/sigmod/HsiaoCY94,765551,"Philip S. Yu, Hui-I Hsiao, Ming-Syan Chen",On Parallel Execution of Multiple Pipelined Hash Joins,SIGMOD Conference,1994.0,"Ming-Syan Chen, Hui-I Hsiao, Philip S. Yu",On applying hash filters to improving the execution of multi-join queries,The VLDB Journal  The International Journal on Very Large Data Bases,1997,0
72,conf/sigmod/IoannidisLANT97,673496,"Anastassia Ailamaki, Andrew Therber, Yannis E. Ioannidis, Anand Narayanan, Miron Livny",ZOO: A Desktop Emperiment Management Environment,SIGMOD Conference,1997.0,"Yannis E. Ioannidis, Miron Livny, S. Gupta, Nagavamsi Ponnekanti",ZOO: A Desktop Experiment Management Environment,Very Large Data Bases,1996,0
73,conf/sigmod/KeoghCMP01,375680,"Kaushik Chakrabarti, Sharad Mehrotra, Eamonn J. Keogh, Michael J. Pazzani",Locally Adaptive Dimensionality Reduction for Indexing Large Time Series Databases,SIGMOD Conference,2001.0,"Eamonn Keogh, Kaushik Chakrabarti, Michael Pazzani, Sharad Mehrotra",Locally adaptive dimensionality reduction for indexing large time series databases,International Conference on Management of Data,2001,1
74,conf/sigmod/KotidisR98,672174,"Yannis Kotidis, Nick Roussopoulos",An Alternative Storage Organization for ROLAP Aggregate Views Based on Cubetrees,SIGMOD Conference,1998.0,"Anna C. Gilbert, Yannis Kotidis, S. Muthukrishnan, Martin Strauss",Surfing Wavelets on Streams: One-Pass Summaries for Approximate Aggregate Queries,Very Large Data Bases,2001,0
75,conf/sigmod/LakhamrajuRSS00,335381,"S. Sudarshan, Rajeev Rastogi, S. Seshadri, Mohana Krishna Lakhamraju",On-line Reorganization in Object Databases,SIGMOD Conference,2000.0,"Mohana K. Lakhamraju, Rajeev Rastogi, S. Seshadri, S. Sudarshan",On-line reorganization in object databases,International Conference on Management of Data,2000,1
76,conf/sigmod/LakshmananPZ03a,383894,"Yan Zhao, Laks V. S. Lakshmanan, Jian Pei",SOCQET: Semantic OLAP Compressed Cube Summarization,SIGMOD Conference,2003.0,"Sushil Jajodia, Pierangela Samarati, Maria Luisa Sapino, V. S. Subrahmanian",Flexible support for multiple access control policies,ACM Transactions on Database Systems (TODS),2001,0
77,conf/sigmod/LangS01,276353,"Christian A. Lang, Ambuj K. Singh",Modeling High-Dimensional Index Structures using Sampling,SIGMOD Conference,2001.0,"Stefan Berchtold, Daniel A. Keim",High-dimensional index structures database support for next decade's applications (tutorial),International Conference on Management of Data,1998,0
78,conf/sigmod/LeeWMS01,375709,"Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song, Sang Ho Lee",Dynamic Buffer Allocation in Video-on-Demand Systems,SIGMOD Conference,2001.0,"Sang-Ho Lee, Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song",Dynamic buffer allocation in video-on-demand systems,International Conference on Management of Data,2001,1
79,conf/sigmod/LiGS02,564711,"Richard T. Snodgrass, Wei Li, Dengfeng Gao",Skew handling techniques in sort-merge join,SIGMOD Conference,2002.0,"Wei Li, Dengfeng Gao, Richard Thomas Snodgrass",Skew handling techniques in sort-merge join,International Conference on Management of Data,2002,1
80,conf/sigmod/LiVCAHMWBCHIKSS99,564774,"Kazuyuki Shimazu, Sougata Mukherjea, Yi-Leh Wu, Divyakant Agrawal, Kyoji Hirata, Yukiyoshi Saito, Quoc Vu, Corey Bufi, Wen-Syan Li, Kevin Chen-Chuan Chang, Edward Y. Chang, Reiko Ito, Yoshinori Hara, Yutaka Kimura","PowerBookmarks: A System for Personalizable Web Information Organization, Sharing, and Management",SIGMOD Conference,1999.0,"Tengjiao Wang, Shiwei Tang, Dongqing Yang, Jun Gao, Yuqing Wu, Jian Pei","COMMIX: towards effective web information extraction, integration and query answering",International Conference on Management of Data,2002,0
81,conf/sigmod/LiefkeS00,362138,"Hartmut Liefke, Dan Suciu",XMILL: An Efficient Compressor for XML Data,SIGMOD Conference,2000.0,"Thomas Vetterli, Anca Vaduva, Martin Staudt",Metadata standards for data warehousing: open information model vs. common warehouse metadata,ACM SIGMOD Record,2000,0
82,conf/sigmod/LometW98,276345,"David B. Lomet, Gerhard Weikum",Efficient and Transparent Application Recovery in Client-Server Information Systems,SIGMOD Conference,1998.0,"David Lomet, Gerhard Weikum",Efficient transparent application recovery in client-server information systems,International Conference on Management of Data,1998,1
83,conf/sigmod/MaddenFHH03,959083,"Samuel Madden, Wei Hong, Joseph M. Hellerstein, Michael J. Franklin",The Design of an Acquisitional Query Processor For Sensor Networks,SIGMOD Conference,2003.0,"Hans J. Lenz, Panos Vassiliadis, Manfred Jeusfeld, Martin Staudt",Report on the 5th international workshop on the design and management of data warehouses (DMDW'03),ACM SIGMOD Record,2003,0
