id,movie_name,year,directors,actors,critic_rating,genre,pg_rating,duration
20,Delirious,2007,,"Michael Pitt,Steve Buscemi,Alison Lohman,Gina Gershon,Joseph D'Onofrio,Rodrigo Lopresti,Cinque Lee",3.5,"Comedy, Drama, Indie, Romance",Rated NR,107 minutes
21,Self Medicated,2007,,"Monty Lapica,Diane Venora,Kristina Anapau,William Stanford Davis",3,"Drama, Indie",Rated R,107 minutes
22,Death Sentence,2007,James Wan,"Kevin Bacon,Aisha Tyler,Kelly Preston,Stuart Lafferty,Garrett Hedlund,Matthew O'Leary,John Goodman",2.5,"Action, Crime, Drama, Thriller",Rated R,105 minutes
23,Trade,2007,Marco Kreuzpaintner,"Kevin Kline,Cesar Ramos,Alicja Bachleda-Curus,Paulina Gaitan,Linda Emond",1,"Drama, Indie, Thriller",Rated R,119 minutes
24,Children of Men,2007,Alfonso Cuaron,"Clive Owen,Julianne Moore,Michael Caine,Chiwetel Ejiofor,Clare-Hope Ashitey,Pam Ferris",4,"Action, Adventure, Drama, Foreign, Science Fiction, Thriller",Rated R,109 minutes
25,Feast of Love,2007,Robert Benton,"Morgan Freeman,Jane Alexander,Greg Kinnear,Selma Blair,Radha Mitchell,Stana Katic,Fred Ward,Alexa Davalos,Billy Burke,Sherilyn Lawson",2,"Comedy, Drama, Romance",Rated R,101 minutes
26,Into the Wild,2007,,"Emile Hirsch,Vince Vaughn,Catherine Keener,Brian Dierker,Hal Holbrook,Marcia Gay Harden,William Hurt,Kristen Stewart,Jena Malone",4,"Action, Adventure, Drama",Rated R,148 minutes
27,The Great Dictator,1940,,"Chaplin,Jack Oakie,Paulette Goddard,Reginald Gardiner",4,Comedy,Rated G,125 minutes
28,The Darjeeling Limited,2007,,"Owen Wilson,Adrien Brody,Jason Schwartzman,Amara Karan,Camilla Rutherford,Wally Wolodarsky,Waris Ahluwalia,Barbet Schroeder,Irfan Khan,Bill Murray,Anjelica Huston,Natalie Portman",3.5,"Adventure, Comedy, Drama",Rated R,91 minutes
29,I Want Someone to Eat Cheese With,2007,,"Jeff Garlin,Bonnie Hunt,Sarah Silverman,Amy Sedaris,Joey Slotnick,Gina Gershon,Paul Mazursky,Mina Kolb,Richard Kind,Dan Castellaneta,Tim Kazurinsky,Steve Dahl",3,"Comedy, Indie, Romance",Rated NR,
30,Michael Clayton,2007,,"George Clooney,Sean Cullen,Tom Wilkinson,Tilda Swinton,Sydney Pollack,Michael O'Keefe,Ken Howard,Denis O'Hare",4,"Drama, Mystery, Thriller",Rated R,119 minutes
31,"Lust, Caution",2007,Ang Lee,"Tony Leung,Joan Chen,Tang Wei,Chu Tsz-ying,Wang Lee Hom",3,"Action, Drama, Foreign, Indie, Romance, Thriller",Rated NC-17,156 minutes
32,The Heartbreak Kid,2007,"Bobby,Peter Farrelly","Ben Stiller,Malin Akerman,Michelle Monaghan,Jerry Stiller,Rob Corddry,Carlos Mencia,Kathy Lamkin",2,"Comedy, Romance",Rated R,116 minutes
33,The Assassination of Jesse James by the Coward Robert Ford,2007,,"Brad Pitt,Casey Affleck,Sam Shepard,Mary-Louise Parker,Paul Schneider,Jeremy Renner,Garret Dillahunt,Zooey Deschanel,Michael Parks,Ted Levine,Sam Rockwell,Alison Elliott,James Carville,Tom Aldredge,Kailin See,Hugh Ross",3.5,"Action, Drama, Western",Rated R,160 minutes
34,We Own the Night,2007,,"Joaquin Phoenix,Mark Wahlberg,Robert Duvall,Eva Mendes,Tony Musante,Moni Moshonov,Alex Veadov",3,"Action, Drama",Rated R,117 minutes
35,El Topo,1970,,"Alejandro Jodorowsky,Brontis Jodorowsky,Jose Legarreta,Alfonso Arau",4,"Action, Adventure, Drama, Foreign, Western",Rated NR,125 minutes
36,Elizabeth: The Golden Age,2007,Shekhar Kapur,"Cate Blanchett,Geoffrey Rush,Clive Owen,Samantha Morton,Rhys Ifans,Abbie Cornish,Jordi Molla",2.5,"Drama, Foreign, History, Romance",Rated PG-13,114 minutes
37,Sleuth,2007,Kenneth Branagh,"Michael Caine,Jude Law,Alec Cawthorne,Eve Channing",3,Thriller,Rated R,86 minutes
38,Shut Up and Sing,2007,"Barbara Kopple,Cecilia Peck","Natalie Maines,Emily Robison,Martie McGuire,Simon Renshaw",3.5,Documentary,,93 minutes
39,Away from Her,2006,,"Julie Christie,Gordon Pinsent,Olympia Dukakis,Michael Murphy,Kristen Thomson,Wendy Crewson,Alberta Watso",4,"Drama, Indie, Romance",Rated PG-13,110 minutes
40,Canvas,2007,,"Joe Pantoliano,Marcia Gay Harden,Devon Gearhart,Sophia Bairley",3,"Drama, Indie",Rated PG-13,101 minutes
41,Rendition,2007,Gavin Hood,"Jake Gyllenhaal,Reese Witherspoon,Omar Metwally,Meryl Streep,Alan Arkin,Peter Sarsgaard",4,"Drama, Mystery, Thriller",Rated R,120 minutes
42,Lars and the Real Girl,2007,Craig Gillespie,"Ryan Gosling,Emily Mortimer,Paul Schneider,Patricia Clarkson,Kelli Garner,Lauren Ash,Nancy Beatty",3.5,"Comedy, Indie, Romance",Rated PG-13,106 minutes
43,30 Days of Night,2007,David Slade,"Josh Hartnett,Danny Huston,Ben Foster,Melissa George,Manu Bennett",2.5,"Action, Horror, Thriller",Rated R,113 minutes
44,Broken,2007,Alan White,"Heather Graham,Jeremy Sisto,Jake Busey,Tess Harper,Linda Hamilton,Chad Cunningham",2,"Drama, Foreign, Horror, Thriller",Rated R,97 minutes
45,Things We Lost in the Fire,2007,Susanne Bier,"Halle Berry,Benicio Del Toro,David Duchovny,Alison Lohman,Omar Benson Miller,John Carroll Lynch",3,Drama,Rated R,113 minutes
46,Gone Baby Gone,2007,Ben Affleck,"Casey Affleck,Michelle Monaghan,Morgan Freeman,Ed Harris,John Ashton,Amy Ryan,Amy Madigan,Titus Welliver",3.5,"Crime, Drama, Mystery, Thriller",Rated R,114 minutes
47,Across the Universe,2007,Julie Taymor,"Jim Sturgess,Joe Anderson,Dana Fuchs,T.V. Carpio,Bono,Eddie Izzard,Martin Luther McCoy",4,"Adventure, Drama, Music, Romance",Rated PG-13,133 minutes
48,In the Valley of Elah,2007,Paul Haggis,"Tommy Lee Jones,Charlize Theron,Jason Patric,Susan Sarandon,Jonathan Tucker,James Franco",4,"Crime, Drama, Mystery, Thriller",Rated R,124 minutes
49,December Boys,2007,Rod Hardy,"Daniel Radcliffe,Lee Cormie,Christian Byers,James Fraser,Teresa Palmer,Victoria Hill",2,"Drama, Foreign, Romance",Rated PG-13,105 minutes
50,Good Luck Chuck,2007,Mark Helfrich,"Dane Cook,Jessica Alba,Dan Fogler,Michelle Harrison,Ellia English,Sasha Pieterse",1,"Comedy, Drama, Fantasy, Romance",Rated R,101 minutes
51,The Lives of Others,2007,,"Ulrich Muehe,Sebastian Koch,Martina Gedeck,Ulrich Tukur,Thomas Thieme,Hans Uwe Bauer",4,"Action, Drama, Foreign, Thriller",Rated R,137 minutes
52,Babel,2006,Alejandro Gonzalez Inarritu,,4,"Drama, Indie",Rated R,143 minutes
53,Dedication,2007,Justin Theroux,"Billy Crudup,Mandy Moore,Tom Wilkinson,Martin Freeman,Bob Balaban,Dianne Wiest,Bobby Cannavale,Amy Sedaris,Peter Bogdanovich",2,"Comedy, Drama, Indie, Romance",Rated R,95 minutes
54,Jane Austen Book Club,2007,,"Kathy Baker,Maria Bello,Emily Blunt,Amy Brenneman,Hugh Dancy,Maggie Grace,Lynn Redgrave,Jimmy Smits,Nancy Travis",3.5,"Comedy, Drama, Romance",Rated PG-13,106 minutes
55,King of California,2007,,"Michael Douglas,Evan Rachel Wood,Willis Burks II,Greg Davis Jr.,Gerald Emerick",3,"Comedy, Indie",Rated PG-13,96 minutes
56,Harry Potter and the Order of the Phoenix,2007,David Yates,"Daniel Radcliffe,Rupert Grint,Emma Watson,Maggie Smith,Michael Gambon,Alan Rickman,Imelda Staunton,Helena Bonham-Carter,Robbie Coltrane,Ralph Fiennes,Gary Oldman,Brendan Gleeson,Richard Griffiths,Jason Isaacs",2.5,"Adventure, Family, Fantasy, Science Fiction",Rated PG-13,138 minutes
57,Cabiria,1914,Giovanni Pastrone,,4,"Drama, Foreign, History",Rated NR,148 minutes
58,The Devil Wears Prada,2006,David Frankel,"Meryl Streep,Anne Hathaway,Emily Blunt,Stanley Tucci,Adrian Grenier,Tracie Thoms,Simon Baker",2,Comedy,Rated PG-13,109 minutes
59,"You, Me and Dupree",2006,"Anthony Russo,Joe Russo","Owen Wilson,Matt Dillon,Kate Hudson,Michael Douglas,Amanda Detmer,Seth Rogen",2,"Comedy, Romance",Rated PG-13,108 minutes
60,Lady in the Water,2006,,"Paul Giamatti,Bryce Dallas Howard,Jeffrey Wright,Bob Balaban,M. Night Shyamalan,Cindy Cheung",1.5,"Comedy, Drama, Fantasy, Horror, Mystery, Science Fiction, Thriller",Rated PG-13,110 minutes
61,John Tucker Must Die,2006,Betty Thomas,"Jesse Metcalfe,Brittany Snow,Ashanti,Sophia Bush,Arrielle Kebbel,Penn Badgley,Jenny McCarthy,Fatso-Fasano",2,"Comedy, Family, Romance",Rated PG-13,89 minutes
62,Scoop,2006,,,2,"Comedy, Drama, Foreign, Mystery, Romance, Science Fiction, Thriller",Rated PG-13,96 minutes
63,Talladega Nights: The Ballad of Ricky Bobby,2005,Adam McKay,"Will Ferrell,John C. Reilly,Sacha Baron Cohen,Gary Cole,Michael Clarke Duncan,Leslie Bibb,Jane Lynch,Amy Adams,Andy Richter,Molly Shannon",3.5,"Action, Comedy",Rated PG-13,108 minutes
64,The Descent,2006,,"Shauna Macdonald,Natalie Mendoza,Alex Reid,Saskia Mulder,MyAnna Buring,Nora-Jane Noone",4,"Adventure, Foreign, Horror",Rated R,99 minutes
65,Little Miss Sunshine,2006,"Jonathan Dayton,Valerie Farris","Greg Kinnear,Steve Carell,Toni Collette,Alan Arkin,Abigail Breslin,Paul Dano",3.5,"Comedy, Drama, Indie",Rated R,102 minutes
66,The Night Listener,2006,Patrick Stettner,"Robin Williams,Toni Collette,Rory Culkin,Sandra Oh",3,"Drama, Indie, Thriller",Rated R,91 minutes
67,World Trade Center,2006,Oliver Stone,"Nicolas Cage,Maria Bello,Michael Pena,Maggie Gyllenhaal,Stephen Dorff,Jay Hernandez,Patti D'Arbanville",2.5,"Action, Disaster, Drama, History",Rated PG-13,128 minutes
68,Quinceañera,2006,,"Emily Rios,Jesse Garcia,Chalo Gonzalez,David W. Ross,J.R. Cruz,Araceli Guzman-Rico,Jesus Castanos-Chima,Johnny Chavez,Alicia Sixtos",2.5,Drama,Rated R,
69,The Illusionist,2006,,"Edward Norton,Paul Giamatti,Jessica Biel",3.5,"Drama, Fantasy, Romance, Thriller",Rated PG-13,110 minutes
70,Boynton Beach Club,2006,Susan Seidelman,"Joseph Bologna,Dyan Cannon,Len Cariou,Sally Kellerman,Michael Nouri,Brenda Vaccaro,Renee Taylor",2.5,"Comedy, Drama, Indie, Romance",Rated NR,105 minutes
71,Marie Antoinette,2006,,"Kirsten Dunst,Jason Schwartzman,Judy Davis,Rip Torn,Rose Byrne,Asia Argento,Molly Shannon,Shirley Henderson",4,"Drama, History, Romance",Rated PG-13,123 minutes
72,Factotum,2006,Bent Hamer,"Matt Dillon,Lili Taylor,Marisa Tomei,Fisher Stevens,Didier Flamand",2.5,"Comedy, Drama, Indie, Romance",Rated R,94 minutes
73,Rescue Dawn,2007,,"Christian Bale,Steve Zahn,Jeremy Davies,Zach Grenier",3.5,"Action, Adventure, Drama, History, Indie",Rated PG-13,126 minutes
74,Conversations with Other Women,2006,,"Helena Bonham-Carter,Aaron Eckhart,Nora Zehetner,Erik Eidem,Olivia Wilde,Thomas Lennon,Cerina Vincent,Brianna Brown,Brian Geraghty",3.5,"Comedy, Drama, Indie, Romance",Rated R,84 minutes
75,Half Nelson,2006,Ryan Fleck,"Ryan Gosling,Shareeka Epps,Anthony Mackie,Karen Chilton",4,"Drama, Indie",Rated R,107 minutes
76,This Film Is Not Yet Rated,2006,Kirby Dick,,3,Documentary,Rated NR,97 minutes
77,The Science of Sleep,2006,,"Gael Garcia Bernal,Charlotte Gainsbourg,Alain Chabat,Miou-Miou,Pierre Vaneck",2.5,"Comedy, Drama, Fantasy, Foreign, Romance, Science Fiction",Rated R,105 minutes
78,The U.S. vs. John Lennon,2006,,,3,"Documentary, Indie, Music",Rated PG-13,99 minutes
79,Shortbus,2006,,"Sook-Yin Lee,Paul Dawson,PJ DeBoy,Raphael Barker,Peter Stickles,Jay Brannan",3.5,"Drama, Indie, Romance",Rated NR,101 minutes
80,The Queen,2006,Stephen Frears,"Helen Mirren,Michael Sheen,James Cromwell,Sylvia Syms,Paul Barrett,Helen McCrory",4,"Drama, Foreign",Rated PG-13,103 minutes
81,Little Children,2006,Todd Field,"Kate Winslet,Jennifer Connelly,Patrick Wilson,Jackie Earle Haley,Noah Emmerich,Gregg Edelman",2.5,"Comedy, Drama, Indie, Romance",Rated R,136 minutes
82,Infamous,2006,Douglas McGrath,"Toby Jones,Sandra Bullock,Daniel Craig,Lee Pace,Juliet Stevenson,Sigourney Weaver,Jeff Daniels,Peter Bogdanovich,Hope Davis,Gwyneth Paltrow,Isabella Rossellini",2.5,Drama,Rated R,110 minutes
83,Man Push Cart,2006,,"Ahmad Razvi,Leticia Dolera,Charles Daniel Sandoval,Ali Reza",4,"Drama, Indie",Rated NR,87 minutes
84,The Bridge,2006,Eric Steel,,4,Documentary,Rated R,93 minutes
85,Old Joy,2006,Kelly Reichart,"Will Oldham,Daniel London,Tanya Smith",4,"Drama, Indie",Rated NR,73 minutes
86,49 Up,2006,Michael Apted,,4,"Documentary, Foreign",Rated NR,180 minutes
87,Stranger Than Fiction,2006,Marc Forster,"Will Ferrell,Emma Thompson,Maggie Gyllenhaal,Dustin Hoffman,Queen Latifah,Linda Hunt",3.5,"Comedy, Drama, Fantasy, Romance, Science Fiction",Rated PG-13,113 minutes
88,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Larry Charles,"Sacha Baron Cohen,Ken Vavitian,Herself",4,Comedy,Rated R,82 minutes
89,51 Birch Street,2006,Doug Block,,4,Documentary,Rated NR,90 minutes
90,Fur: An Imaginary Portrait of Diane Arbus,2006,Steven Shainberg,"Nicole Kidman,Robert Downey Jr.,Ty Burrell",2.5,"Drama, Mystery, Romance",Rated R,122 minutes
91,For Your Consideration,2006,Christopher Guest,"Catherine O'Hara,Harry Shearer,Bob Balaban,Ricky Gervais,Christopher Guest,Eugene Levy,Michael McKean,Parker Posey,Fred Willard",3.5,"Comedy, Documentary, Drama",Rated PG-13,86 minutes
92,Jonestown: The Life and Death of Peoples Temple,2006,Stanley Nelson,,3,"Documentary, History",Rated NR,86 minutes
93,Volver,2006,,"Penelope Cruz,Carmen Maura,Lola Duenas,Blanca Portillo,Yohana Cobo",4,"Comedy, Drama, Foreign, Romance",Rated R,121 minutes
94,The Good Shepherd,2006,Robert De Niro,"Matt Damon,Angelina Jolie,Alec Baldwin,Billy Crudup,Robert De Niro,Keir Dullea",2,"Action, Drama, Thriller",Rated R,167 minutes
95,Perfume: The Story of a Murderer,2007,Tom Tykwer,"Ben Whishaw,Dustin Hoffman,Alan Rickman,John Hurt,Rachel Hurd-Wood,Karoline Herfurth,David Calder",4,"Drama, Fantasy, Foreign",Rated R,147 minutes
96,Letters from Iwo Jima,2007,Clint Eastwood,"Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara,Ryo Kase,Shidou Nakamura",4,"Action, Adventure, Drama, Foreign, War",Rated R,141 minutes
97,Inland Empire,2007,,"Laura Dern,Jeremy Irons,Harry Dean Stanton,Justin Theroux,Peter J. Lucas",4,"Drama, Indie, Mystery, Thriller",Rated R,172 minutes
98,Tears of the Black Tiger,2007,,"Chartchai Ngamsan,Stella Malucchi,Suwinit Panjamawat,Supakorn Kitsuwon,Arawat Ruangvuth,Sombati Medhanee",3,"Action, Drama, Foreign, Romance, Western",Rated NR,110 minutes
99,Climates,2007,,"Ebru Ceylan,Nuri Bilge Ceylan,Nazan Kirilmis,Mehmet Eryilmaz,Arif Asci",3.5,"Drama, Foreign, Indie, Romance",Rated NR,101 minutes
100,Days of Glory,2007,Rachid Bouchareb,"Jamel Debbouze,Samy Naceri,Roschdy Zem,Sami Bouajila,Bernard Blancan",3.5,,Rated R,
101,Black Snake Moan,2007,,"Samuel L. Jackson,Christina Ricci,John Cothran Jr.,Justin Timberlake,S. Epatha Merkerson",3,"Drama, Indie",Rated R,116 minutes
102,An Unreasonable Man,2007,,,2,Documentary,Rated NR,122 minutes
103,Breaking and Entering,2007,,"Jude Law,Juliette Binoche,Robin Wright Penn,Vera Farmiga,Rafi Gavron,Poppy Rogers",2,"Drama, Foreign, Romance",Rated R,129 minutes
104,The Host,2007,Bong Joon-ho,"Song Kang-Ho,Byun Hee-Bong,Park Hae-Il,KoA-Sung,Bae Doo-Na,Scott Wilson",3.5,"Comedy, Drama, Foreign, Horror",Rated R,119 minutes
105,Mafioso,2007,,,3.5,"Action, Comedy, Crime, Drama, Foreign",Rated Not rated,105 minutes
106,Talk to Me,2007,Kasi Lemmons,"Don Cheadle,Chiwetel Ejiofor,Mike Epps,Martin Sheen,Vondie Curtis-Hall",3.5,"Drama, Musical",Rated R,118 minutes
107,WR: Mysteries of the Organism,1971,,"Milena Dravic,Jagoda Kaloper,Ivica Vidovic,Zoran Radmilovic,Tuli Kupferberg,Jackie Curtis,Michael Gelovani",4,"Comedy, Drama, Fantasy",,84 minutes
108,Sunshine,2007,Danny Boyle,"Michelle Yeoh,Cillian Murphy,Chris Evans,Troy Garity,Rose Byrne,Cliff Curtis,Benedict Wong,Hiroyuki Sanada",3,"Adventure, Foreign, Science Fiction, Thriller",Rated R,107 minutes
109,Interview,2007,Steve Buscemi,"Steve Buscemi,Sienna Miller,Tara Elders,Molly Griffith",3,"Drama, Indie",Rated NR,100 minutes
110,Goya's Ghosts,2007,Milos Forman,"Javier Bardem,Natalie Portman,Stellan Skarsgard,Randy Quaid,Jose Luis Gomez,Michael Lonsdale,Blanca Portillo",3,Drama,Rated R,114 minutes
111,Hairspray,2007,Adam Shankman,"Nikki Blonsky,John Travolta,Michelle Pfeiffer,Christopher Walken,Amanda Bynes,James Marsden,Queen Latifah,Zac Efron,Jerry Stiller",3.5,"Comedy, Music",Rated PG,115 minutes
112,Cashback,2007,,"Sean Biggerstaff,Emilia Fox,Shaun Evans,Michelle Ryan,Stuart Goodwin,Michael Dixon,Michael Lambourne,Marc Pickering",2.5,"Comedy, Drama, Foreign, Romance",Rated R,102 minutes
113,Broken English,2007,,"Parker Posey,Melvil Poupaud,Drea de Matteo,Justin Theroux,Josh Hamilton,Tim Guinee,Gena Rowlands,Peter Bogdanovich,Roy Thinnes",2.5,"Comedy, Drama, Indie, Romance",Rated PG-13,97 minutes
114,My Best Friend,2007,Patrice Leconte,"Daniel Auteuil,Dany Boon,Julie Gayet,Julie Durand,Henri Garcin",3,"Comedy, Drama, Foreign, Indie",Rated PG-13,90 minutes
115,Vitus,2007,Fredi M. Murer,"Julika Jenkins,Urs Jucker,Bruno Ganz,Eleni Haupt",3,"Drama, Foreign, Indie, Music",Rated PG,100 minutes
116,The Simpsons Movie,2007,David Silverman,"Dan Castellaneta,Julie Kavner,Nancy Cartwright,Yeardley Smith,Hank Azaria,Harry Shearer,Kelsey Grammer,Joe Mantegna",3,"Animation, Comedy, Family",Rated PG-13,87 minutes
117,No Reservations,2007,Scott Hicks,"Catherine Zeta-Jones,Aaron Eckhart,Abigail Breslin,Patricia Clarkson,Bob Balaban,Brian F. O'Byrne",2,"Comedy, Drama, Romance",Rated PG,104 minutes
118,Killer of Sheep,1977,,"Henry Gayle Sanders,Kaycee Moore",4,"Drama, Indie",,83 minutes
119,Hot Rod,2007,Akiva Schaffer,"Andy Samberg,Jorma Taccone,Isla Fisher,Bill Hader,Ian McShane,Sissy Spacek,Will Arnett,Danny McBride",3,"Action, Comedy",Rated PG-13,88 minutes
120,El Cantante,2007,Leon Ichaso,"Marc Anthony,Jennifer Lopez,John Ortiz,Manny Perez,Federico Castelluccio,Nelson Vasquez",2,"Drama, Music",Rated R,116 minutes
121,Arctic Tale,2007,Sarah Robertson,,2,"Documentary, Family",Rated G,86 minutes
122,The Real Dirt on Farmer John,2007,,,3.5,Documentary,,82 minutes
123,Becoming Jane,2007,Julian Jarrold,"Anne Hathaway,James McAvoy,Julie Walters,James Cromwell,Maggie Smith,Joe Anderson",3,"Drama, Romance",Rated PG,120 minutes
124,Stardust,2007,Matthew Vaughn,"Claire Danes,Charlie Cox,Robert De Niro,Sienna Miller,Michelle Pfeiffer,Jason Flemyng,Peter O'Toole,Rupert Everett,Ian McKellen",2.5,"Action, Adventure, Comedy, Family, Fantasy, Foreign, Romance, Science Fiction",Rated PG-13,127 minutes
125,The Wind That Shakes the Barley,2007,Ken Loach,"Cillian Murphy,Padraic Delaney,Liam Cunningham,Orla Fitzgerald,Gerard Kearney,William Ruane",4,"Action, Drama, Foreign, History",Rated NR,124 minutes
126,Color Me Kubrick,2007,Brian W. Cook,"John Malkovich,Jim Davidson,Richard E. Grant,William Hootkins,Marisa Berenson,Robert Powell,Ken Russell",2.5,"Comedy, Drama",Rated NR,86 minutes
127,Into Great Silence,2007,,,3.5,"Documentary, Foreign",Rated NR,76 minutes
128,Walking to Werner,2007,,,3,,Rated NR,
129,Red Road,2007,,"Kate Dickie,Tony Curran,Martin Compston,Nathalie Press,Andrew Armour,John Comerford",3.5,"Drama, Foreign, Indie, Thriller",Rated NR,108 minutes
130,The Bourne Ultimatum,2007,Paul Greengrass,"Matt Damon,Julia Stiles,David Strathairn,Joan Allen",3.5,"Action, Drama, Mystery, Thriller",Rated PG-13,115 minutes
131,Rush Hour 3,2007,Brett Ratner,"Jackie Chan,Chris Tucker,Max von Sydow,Yvan Attal,Dana Ivey,Roman Polanski",2,"Action, Adventure, Comedy, Crime, Thriller",Rated PG-13,91 minutes
132,This is England,2007,,"Thomas Turgoose,Joe Gilgun,Stephen Graham,Andrew Shim,Jo Hartley",3.5,"Crime, Drama, Foreign, Indie",Rated R,101 minutes
133,Fay Grim,2007,,"Parker Posey,Jeff Goldblum,James Urbaniak,Saffron Burrows,Thomas Jay Ryan",2,"Action, Comedy, Drama, Thriller",Rated NR,118 minutes
134,Shrek the Third,2007,Chris Miller,"Mike Myers,Eddie Murphy,Cameron Diaz,Antonio Banderas,Justin Timberlake,John Cleese,Julie Andrews,Rupert Everett",2.5,"Adventure, Animation, Comedy, Family, Fantasy, Science Fiction",Rated PG,93 minutes
135,Brand Upon the Brain!,2007,Guy Maddin,"Gretchen Krich,Sullivan Brown,Maya Lawson,Katherine E. Scharhon,Todd Moore,Andy Loviska,Kellan Larson,Erik Steffen Maahs",3.5,"Drama, Fantasy, Indie",Rated R,95 minutes
136,Bug,2007,William Friedkin,"Ashley Judd,Michael Shannon,Brian F. O'Byrne,Harry Connick Jr.",3.5,"Horror, Indie, Thriller",Rated R,102 minutes
137,Black Sheep,2007,,"Nathan Meister,Peter Feeney,Danielle Mason,Oliver Driver,Tammy Davis",2,"Comedy, Foreign, Horror",Rated NR,87 minutes
138,Angel-A,2007,,"Jamel Debbouze,Rie Rasmussen,Gilbert Melki,Serge Riaboukine",2,"Comedy, Drama, Fantasy",Rated R,91 minutes
139,Stephanie Daley,2007,,"Amber Tamblyn,Tilda Swinton,Timothy Hutton,Denis O'Hare,Jim Gaffigan,Melissa Leo",3.5,"Drama, Indie",Rated R,92 minutes
140,Crazy Love,2007,"Dan Klores,Fisher Stevens",,2.5,"Documentary, Romance",Rated NR,92 minutes
141,La Vie en Rose,2007,Olivier Dahan,"Marion Cotillard,Clotilde Courau,Jean Paul Rouve,Sylvie Testud,Pascal Greggory,Jean Pierre Martins,Emmanuelle Seigner,Gerard Depardieu,Catherine Allegret,Caroline Silhol",4,"Drama, Foreign, Musical",Rated PG-13,140 minutes
