ID,publisher,isbn,title,series,author,year,ENTRYTYPE,journal,number,volume,link,pages,booktitle,crossref
20,,,"Automatic diagnosis of vocal fold paresis by employing phonovibrogram features and machine learning methods",,"Daniel Voigt and Michael D{\""{o}}llinger and Anxiong Yang and Ulrich Eysholdt and J{\""{o}}rg Lohscheller",2010,article,Computer Methods and Programs in Biomedicine,3,99,http://dx.doi.org/10.1016/j.cmpb.2010.01.004,275--288,,
21,,,"{CADIS} (abstract only): a kernel approach toward the development of intelleigent data management support for computer-aided design systems",,Dorothy Landis,1985,inproceedings,,,,http://doi.acm.org/10.1145/320599.322465,421,"Proceedings of the 13th {ACM} Annual Conference on Computer Science, New Orleans, Louisiana, USA, 1985",DBLP:conf/acm/1985
22,,,A multimedia semantic analysis SoC (SASoC) with machine-learning engine,,"Tse{-}Wei Chen and Yi{-}Ling Chen and Teng{-}Yuan Cheng and Chi{-}Sun Tang and Pei{-}Kuei Tsung and Tzu{-}Der Chuang and Liang{-}Gee Chen and Shao{-}Yi Chien",2010,inproceedings,,,,http://dx.doi.org/10.1109/ISSCC.2010.5433887,338--339,"{IEEE} International Solid-State Circuits Conference, {ISSCC} 2010, Digest of Technical Papers, San Francisco, CA, USA, 7-11 February, 2010",DBLP:conf/isscc/2010
23,,,Mining frequent closed rooted trees,,"Jos{\'{e}} L. Balc{\'{a}}zar and Albert Bifet and Antoni Lozano",2010,article,Machine Learning,01-Feb,78,http://dx.doi.org/10.1007/s10994-009-5123-9,1--33,,
24,,,"Supervised Machine Learning Applied to Link Prediction in Bipartite Social Networks",,"Nesserine Benchettara and
Rushed Kanawati and C{\'{e}}line Rouveirol",2010,inproceedings,,,,http://doi.ieeecomputersociety.org/10.1109/ASONAM.2010.87,326--330,"International Conference on Advances in Social Networks Analysis and
Mining, {ASONAM} 2010, Odense, Denmark, August 9-11, 2010",DBLP:conf/asunam/2010
25,,,"Deep Transfer Learning via Restricted Boltzmann Machine for Document
Classification",,Jian Zhang,2011,inproceedings,,,,http://dx.doi.org/10.1109/ICMLA.2011.51,323--326,"10th International Conference on Machine Learning and Applications
and Workshops, {ICMLA} 2011, Honolulu, Hawaii, USA, December 18-21, 2011. Volume 1: Main Conference",DBLP:conf/icmla/2011-1
26,,,"The Data of Levy and Levy {(2002)} ""Prospect Theory: Much Ado About
Nothing?"" Actually Support Prospect Theory",,Peter P. Wakker,2003,article,Management Science,7,49,http://dx.doi.org/10.1287/mnsc.49.7.979.16383,979--981,,
27,,,Ontology-Based Categorization of Web Services with Machine Learning,,"Adam Funk and
Kalina Bontcheva",2010,inproceedings,,,,http://www.lrec-conf.org/proceedings/lrec2010/summaries/170.html,,"Proceedings of the International Conference on Language Resources
and Evaluation, {LREC} 2010, 17-23 May 2010, Valletta, Malta",DBLP:conf/lrec/2010
28,,,{EFTA:} {A} Database Retrieval Algebra for Feature Terms,,"Thomas Ludwig and
Bernd Walter",1991,article,{IWBS} Report,,150,,,,
29,,,"An e-Marketplace Infrastructure for Model-Based Matchmaking between
Consumers and Providers of Multimodal Earth Science Data",,"Chung{-}Sheng Li and
Yuan{-}Chi Chang and
John R. Smith",2001,inproceedings,,,,http://dx.doi.org/10.1109/ICME.2001.1237952,,"Proceedings of the 2001 {IEEE} International Conference on Multimedia
and Expo, {ICME} 2001, August 22-25, 2001, Tokyo, Japan",DBLP:conf/icmcs/2001
30,,,"A supervised machine learning approach of extracting coexpression
relationship among genes from literature",,"Richa Tiwari and Chengcui Zhang and Thamar  Solorio",2010,inproceedings,,,,http://dx.doi.org/10.1109/IRI.2010.5558956,98--103,"Proceedings of the {IEEE} International Conference on Information Reuse and Integration, {IRI} 2010, 4-6 August 2010, Las Vegas, Nevada, {USA}",DBLP:conf/iri/2010
31,,,"{DNA} Data Bank of Japan {(DDBJ)} for genome scale research in life science",,"Yoshio Tateno and Tadashi Imanishi and
Satoru Miyazaki and Kaoru Fukami{-}Kobayashi and Naruya Saitou and Hideaki Sugawara and Takashi Gojobori",2002,article,Nucleic Acids Research,1,30,http://dx.doi.org/10.1093/nar/30.1.27,27--30,,
32,,,Sort Processing in a Deductive Database System,,"Albert Maier and
Michael Ley and Erich Gehlen",1991,article,{IWBS} Report,,154,,,,
33,,,"A method of transferring cones of intersection form to cones of sum
form and its applications in data envelopment analysis models",,"Hong Yan and
Quanling Wei",2000,article,Int. J. Systems Science,5,31,http://dx.doi.org/10.1080/002077200290939,629--638,,
34,,,"Predicting ""Essential"" Genes across Microbial Genomes: {A} Machine
Learning Approach",,"Krishnaveni Palaniappan and
Sumitra Mukherjee",2011,inproceedings,,,,http://dx.doi.org/10.1109/ICMLA.2011.114,189--194,"10th International Conference on Machine Learning and Applications
and Workshops, {ICMLA} 2011, Honolulu, Hawaii, USA, December 18-21, 2011. Volume 2: Special Sessions and Workshop",DBLP:conf/icmla/2011-2
35,,,SOM,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_766,906,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
36,,,Machine Learning Approaches for Modeling Spammer Behavior,,"Md. Saiful Islam and
Abdullah Al Mahmud and
Md. Rafiqul Islam",2010,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-17187-1_24,251--260,"Information Retrieval Technology - 6th Asia Information Retrieval
Societies Conference, {AIRS} 2010, Taipei, Taiwan, December 1-3, 2010.
Proceedings",DBLP:conf/airs/2010
37,,,A Generalization of the Trie Data Structure,,"Richard H. Connelly and
F. Lockwood Morris",1995,article,Mathematical Structures in Computer Science,3,5,http://dx.doi.org/10.1017/S0960129500000803,381--418,,
38,,,Belief State Markov Decision Processes,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_70,97,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
39,,,Recursive Median Partitioning for Virtual Screening of Large Databases,,"Jeffrey W. Godden and
John R. Furr and
J{\""{u}}rgen Bajorath",2003,article,Journal of Chemical Information and Computer Sciences,1,43,http://dx.doi.org/10.1021/ci0203848,182--188,,
40,,,Bayesian Model Averaging,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_64,81,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
41,,,Clustering from Data Streams,,Jo{\~{a}}o Gama,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_127,180--183,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
42,,,Bayes Adaptive Markov Decision Processes,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_60,74,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
43,,,Baum-Welch Algorithm,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_59,74,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
44,,,Bias-Variance-Covariance Decomposition,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_77,111,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
45,,,Bias-Variance Trade-offs,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_76,110,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
46,,,Bias Variance Decomposition,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_74,100--101,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
47,,,Average-Cost Optimization,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_47,63,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
48,,,On Finding Predictors for Arbitrary Families of Processes,,Daniil Ryabko,2010,article,Journal of Machine Learning Research,,11,http://doi.acm.org/10.1145/1756006.1756023,581--602,,
49,,,AUC,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_44,53,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
50,,,Mis and the Behavioral Sciences: Research Patterns and Prescriptions,,"Martin L. Bariff and
Michael J. Ginzberg",1982,article,{DATA} {BASE},1,14,http://doi.acm.org/10.1145/1017702.1017707,19--26,,
51,,,"DiscoveryLink: {A} system for integrated access to life sciences data
sources",,"Laura M. Haas and Peter M. Schwarz and Prasad Kodali and Elon Kotlar and Julia E. Rice and
William C. Swope",2001,article,{IBM} Systems Journal,2,40,http://dx.doi.org/10.1147/sj.402.0489,489--511,,
52,,,Model Selection: Beyond the Bayesian/Frequentist Divide,,"Isabelle Guyon and
Amir Saffari and Gideon Dror and Gavin C. Cawley",2010,article,Journal of Machine Learning Research,,11,http://doi.acm.org/10.1145/1756006.1756009,61--87,,
53,,,"Preprocessing data patterns to simplify the identification of fuzzy
models",,O. Ping,1999,article,Int. J. Systems Science,5,30,http://dx.doi.org/10.1080/002077299292227,479--489,,
54,,,Simple Bayes,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_761,906,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
55,,,"Predicting the Start of Protein \emph{alpha}-Helices Using Machine
Learning Algorithms",,"Rui Camacho and Rita Ferreira and Natacha Rosa and V{\^{a}}nia Guimar{\~{a}}es and
Nuno A. Fonseca and V{\'{\i}}tor Santos Costa and Miguel de Sousa and Alexandre Magalh{\~{a}}es",2010,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-13214-8_5,33--41,"Advances in Bioinformatics - 4th International Workshop on Practical Applications of Computational Biology and Bioinformatics 2010 {(IWPACBB}
2010), Guimar{\~{a}}es, Portugal, 16-18 June 2010",DBLP:conf/isami/2010iwpacbb
56,,,Basic Lemma,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_56,73,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
57,,,Model-based Boosting 2.0,,"Torsten Hothorn and Peter B{\""{u}}hlmann and Thomas Kneib and Matthias Schmid and
Benjamin Hofner",2010,article,Journal of Machine Learning Research,,11,http://portal.acm.org/citation.cfm?id=1859922,2109--2113,,
58,,,"Strange Beta: An Assistance System for Indoor Rock Climbing Route
Setting Using Chaotic Variations and Machine Learning",,"Caleb Phillips and
Lee Becker and Elizabeth Bradley",2011,article,CoRR,,abs/1110.0532,http://arxiv.org/abs/1110.0532,,,
59,,,Bake-Off,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_53,73,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
60,,,Machine Learning Based Autonomous Network Flow Identifying Method,,"Hongbo Shi and
Tomoki Hamagami and Haoyuan Xu",2011,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-30493-4_43,447--457,"Wireless Internet - 6th International {ICST} Conference, {WICON} 2011, Xi'an, China, October 19-21, 2011, Revised Selected Papers",DBLP:conf/wicon/2011
61,,,Backprop,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_50,69--73,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
62,,,Average-Payoff Reinforcement Learning,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_892,64,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
63,,,A Coded Data Bank for Chemical Instrumentation,,Reuben Rudman,1977,article,Journal of Chemical Information and Computer Sciences,4,17,http://dx.doi.org/10.1021/ci60012a006,208--210,,
64,,,"The impact of geographical information systems on the role of spatial
data libraries",,"Pohchin Lai and
Charles F. Gillies",1991,article,International Journal of Geographical Information Science,2,5,http://dx.doi.org/10.1080/02693799108927846,241--251,,
65,,,Solution Concept,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_764,906,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
66,,,Sequential Inductive Transfer,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_755,902,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
67,,,Construction of Model of Structured Documents Based on Machine Learning,,Sergey Golubev,2011,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-21786-9_69,424--431,"Pattern Recognition and Machine Intelligence - 4th International Conference, PReMI 2011, Moscow, Russia, June 27 - July 1, 2011. Proceedings",DBLP:conf/premi/2011
68,,,"Global Strategy of Active Machine Learning for Complex Systems: Embryogenesis
Application on Cell Division Detection",,"Emmanuel Faure and
Carla Taramasco and Jacques Demongeot and Louise Duloquin and Benoit Lombardot and Nadine Peyri{\'{e}}ras and
Paul Bourgine",2010,inproceedings,,,,http://dx.doi.org/10.1109/WAINA.2010.80,802--809,"24th {IEEE} International Conference on Advanced Information Networking and Applications Workshops, {WAINA} 2010, Perth, Australia, 20-13 April 2010",DBLP:conf/aina/2010w
71,Springer,3-540-56694-5,"Live Data Structures in Logic Programs: Derivation by Means of Abstract
Interpretation",Lecture Notes in Computer Science,Anne Mulkers,1993,book,,,675,http://dx.doi.org/10.1007/3-540-56694-5,,,
72,,,Morphological Analyzer for Malayalam Using Machine Learning,,"V. P. Abeera and S. Aparna and R. U. Rekha and M. Anand Kumar and V. Dhanalakshmi and K. P. Soman and S. Rajendran",2010,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-27872-3_38,252--254,"Data Engineering and Management - Second International Conference, {ICDEM} 2010, Tiruchirappalli, India, July 29-31, 2010. Revised Selected
Papers",DBLP:conf/icdem/2010
73,,,China's Natural Resources Database {(CNRD)},,Zehui Li,2002,article,Data Science Journal,2,1,http://dx.doi.org/10.2481/dsj.1.238,108--116,,
74,Springer,3-540-42623-X,"Databases in Telecommunications II, {VLDB} 2001 International Workshop, DBTel 2001 Rome, Italy, September 10, 2001, Proceedings",Lecture Notes in Computer Science,,2001,proceedings,,,2209,,,,
75,,,"Poster: PanDA: Next Generation Workload Management and Analysis System
for Big Data",,"Kaushik De and Alexei Klimentov and S. Panitkin and M. Titov and A. Vaniachine and T. Wenaus and D. Yu and
Gergely V. Z{\'{a}}ruba",2012,inproceedings,,,,http://dx.doi.org/10.1109/SC.Companion.2012.302,1523,"2012 {SC} Companion: High Performance Computing, Networking Storage
and Analysis, Salt Lake City, UT, USA, November 10-16, 2012",DBLP:conf/sc/2012c
76,,,"A Bayesian approach to localized multi-kernel learning using the relevance
vector machine",,"R. Close and
Joseph N. Wilson and
Paul D. Gader",2011,inproceedings,,,,http://dx.doi.org/10.1109/IGARSS.2011.6049389,1103--1106,"2011 {IEEE} International Geoscience and Remote Sensing Symposium, {IGARSS} 2011, Vancouver, BC, Canada, July 24-29, 2011",DBLP:conf/igarss/2011
77,,,"A machine learning approach for tracing regulatory codes to product
specific requirements",,"Jane Cleland{-}Huang and
Adam Czauderna and
Marek Gibiec and
John Emenecker",2010,inproceedings,,,,http://doi.acm.org/10.1145/1806799.1806825,155--164,"Proceedings of the 32nd {ACM/IEEE} International Conference on Software
Engineering - Volume 1, {ICSE} 2010, Cape Town, South Africa, 1-8
May 2010",DBLP:conf/icse/2010-1
78,,,"Advances in Spatial Data Handling. Edited by Dianne Richardson and
Peter van Oosterom (Berlin: Springer Verlag, 2002). [Pp. xii+562+CD-ROM].
{ISBN} 3-540-43802-5",,Peter A. Burrough,2004,article,International Journal of Geographical Information Science,2,18,http://dx.doi.org/10.1080/13658810310001620889,203--204,,
79,,,"Integrating spatial data analysis and {GIS:} a new implementation
using the Component Object Model {(COM)}",,"Matthew J. Ungerer and
Michael F. Goodchild",2002,article,International Journal of Geographical Information Science,1,16,http://dx.doi.org/10.1080/13658810110095066,41--53,,
80,,,"Classification of abnormalities in digitized mammograms using Extreme
Learning Machine",,"Gopalan Vani and
Ramaswamy Savitha and
Narasimhan Sundararajan",2010,inproceedings,,,,http://dx.doi.org/10.1109/ICARCV.2010.5707794,2114--2117,"11th International Conference on Control, Automation, Robotics and
Vision, {ICARCV} 2010, Singapore, 7-10 December 2010, Proceedings",DBLP:conf/icarcv/2010
81,,,Active Learning and Crowd-Sourcing for Machine Translation,,"Vamshi Ambati and
Stephan Vogel and
Jaime G. Carbonell",2010,inproceedings,,,,http://www.lrec-conf.org/proceedings/lrec2010/summaries/244.html,,"Proceedings of the International Conference on Language Resources
and Evaluation, {LREC} 2010, 17-23 May 2010, Valletta, Malta",DBLP:conf/lrec/2010
82,,,"What next?: a half-dozen data management research goals for big data
and the cloud",,Surajit Chaudhuri,2012,inproceedings,,,,http://doi.acm.org/10.1145/2213556.2213558,1--4,"Proceedings of the 31st {ACM} {SIGMOD-SIGACT-SIGART} Symposium on
Principles of Database Systems, {PODS} 2012, Scottsdale, AZ, USA, May 20-24, 2012",DBLP:conf/pods/2012
83,,,Overview of the {NAS/NRC} Conference on Large Data Bases,,Martha E. Williams,1975,article,Journal of Chemical Information and Computer Sciences,1,15,http://dx.doi.org/10.1021/ci60001a002,3--5,,
84,Springer,3-540-64199-8,"Semantics in Databases, Selected Papers from a Workshop, Prague, Czech
Republic, 1995",Lecture Notes in Computer Science,,1998,proceedings,,,1358,,,,
85,,,Regression,,"Novi Quadrianto and
Wray L. Buntine",2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_710,838--842,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
86,Springer,3-540-19121-6,"{MFDBS} 87, 1st Symposium on Mathematical Fundamentals of Database
Systems, Dresden, GDR, January 19-23, 1987, Proceedings",Lecture Notes in Computer Science,,1988,proceedings,,,305,,,,
87,Springer,978-3-642-23807-9,"Machine Learning and Knowledge Discovery in Databases - European Conference, {ECML} {PKDD} 2011, Athens, Greece, September 5-9, 2011, Proceedings, Part {III}",Lecture Notes in Computer Science,,2011,proceedings,,,6913,http://dx.doi.org/10.1007/978-3-642-23808-6,,,
88,Springer,978-3-642-23782-9,"Machine Learning and Knowledge Discovery in Databases - European Conference, {ECML} {PKDD} 2011, Athens, Greece, September 5-9, 2011, Proceedings, Part {II}",Lecture Notes in Computer Science,,2011,proceedings,,,6912,http://dx.doi.org/10.1007/978-3-642-23783-6,,,
89,Springer,978-3-642-23779-9,"Machine Learning and Knowledge Discovery in Databases - European Conference, {ECML} {PKDD} 2011, Athens, Greece, September 5-9, 2011. Proceedings, Part {I}",Lecture Notes in Computer Science,,2011,proceedings,,,6911,http://dx.doi.org/10.1007/978-3-642-23780-5,,,
90,,,Mixture Model,,Rohan A. Baxter,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_547,680--682,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
91,,,"Toward more efficient and flexible expert systems via database design
(abstract only)",,"Frank D. Anger and
Rita V. Rodr{\'{\i}}guez and
Douglas D. Dankel II",1987,inproceedings,,,,http://doi.acm.org/10.1145/322917.323039,378,"Proceedings of the 15th {ACM} Annual Conference on Computer Science, St. Louis, Missouri, USA, February 16-19, 1987",DBLP:conf/acm/1987
92,,,"The design and development of a social science data warehouse: {A}
case study of the Human Resources Development Data Warehouse Project
of the Human Sciences Research Council, South Africa",,Andrew Paterson,2003,article,Data Science Journal,,2,http://dx.doi.org/10.2481/dsj.2.12,12--24,,
93,,,Online Learning for Interactive Statistical Machine Translation,,"Daniel Ortiz{-}Mart{\'{\i}}nez and
Ismael Garc{\'{\i}}a{-}Varea and
Francisco Casacuberta",2010,inproceedings,,,,http://www.aclweb.org/anthology/N10-1079,546--554,"Human Language Technologies: Conference of the North American Chapter
of the Association of Computational Linguistics, Proceedings, June
2-4, 2010, Los Angeles, California, {USA}",DBLP:conf/naacl/2010
94,,,"Computer Aided Method for Chemical Structure Elucidation Using Spectral
Databases and 13C {NMR} Correlation Tables",,"Igor I. Strokov and
Konstantin S. Lebedev",1999,article,Journal of Chemical Information and Computer Sciences,4,39,http://dx.doi.org/10.1021/ci980184p,659--665,,
95,,,"Towards Better Receptor-Ligand Prioritization: How Machine Learning
on Protein-Protein Interaction Data Can Provide Insight Into Receptor-Ligand
Pairs",,"Ernesto Iacucci and
Yves Moreau",2010,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-15819-3_35,267--271,"Artificial Neural Networks - {ICANN} 2010 - 20th International Conference, Thessaloniki, Greece, September 15-18, 2010, Proceedings, Part {I}",DBLP:conf/icann/2010-1
96,Springer,3-540-51251-9,"{MFDBS} 89, 2nd Symposium on Mathematical Fundamentals of Database
Systems, Visegr{\'{a}}d, Hungary, June 26-30, 1989",Lecture Notes in Computer Science,,1989,proceedings,,,364,,,,
97,,,"Opinion Detection by Combining Machine Learning {\&} Linguistic
Tools",,"Olena Zubaryeva and
Jacques Savoy",2010,inproceedings,,,,http://research.nii.ac.jp/ntcir/workshop/OnlineProceedings8/NTCIR/02-NTCIR8-MOAT-ZubaryevaO.pdf,221--227,"Proceedings of the 8th {NTCIR} Workshop Meeting on Evaluation of Information
Access Technologies: Information Retrieval, Question Answering and
Cross-Lingual Information Access, NTCIR-8, National Center of Sciences, Tokyo, Japan, June 15-18, 2010",DBLP:conf/ntcir/2010
98,,,"Visual analytics for the big data era - {A} comparative review of
state-of-the-art commercial systems",,"Leishi Zhang and Andreas Stoffel and Michael Behrisch and Sebastian Mittelst{\""{a}}dt and Tobias Schreck and Ren{\'{e}} Pompl and Stefan Weber and Holger Last and Daniel A. Keim",2012,inproceedings,,,,http://dx.doi.org/10.1109/VAST.2012.6400554,173--182,"2012 {IEEE} Conference on Visual Analytics Science and Technology, {VAST} 2012, Seattle, WA, USA, October 14-19, 2012",DBLP:conf/ieeevast/2012
99,,,Exploring research issues over large graphs,,Jeffrey Xu Yu,2012,inproceedings,,,,http://doi.ieeecomputersociety.org/10.1109/GrC.2012.6468709,18,"2012 {IEEE} International Conference on Granular Computing, GrC 2012, Hangzhou, China, August 11-13, 2012",DBLP:conf/grc/2012
100,,,K-Reach: Who is in Your Small World,,"James Cheng and Zechao Shang and Hong Cheng and Haixun Wang and Jeffrey Xu Yu",2012,article,CoRR,,abs/1208.0090,http://arxiv.org/abs/1208.0090,,,
101,,,"Supporting Keyword Queries on Structured Databases with Limited Search
Interfaces",,"Nurcan Yuruk and Xiaowei Xu and Chen Li and Jeffrey Xu Yu",2008,inproceedings,,,,http://dx.doi.org/10.1007/978-3-540-78568-2_32,432--439,"Database Systems for Advanced Applications, 13th International Conference, {DASFAA} 2008, New Delhi, India, March 19-21, 2008. Proceedings",DBLP:conf/dasfaa/2008
102,,,"Detection of Shape Anomalies: {A} Probabilistic Approach Using Hidden
Markov Models",,"Zheng Liu and Jeffrey Xu Yu and Lei Chen and Di Wu",2008,inproceedings,,,,http://dx.doi.org/10.1109/ICDE.2008.4497544,1325--1327,"Proceedings of the 24th International Conference on Data Engineering, {ICDE} 2008, April 7-12, 2008, Canc{\'{u}}n, M{\'{e}}xico",DBLP:conf/icde/2008
