id,bike_name,city_posted,km_driven,color,fuel_type,price,model_year,owner_type,url
197,"Bajaj Pulsar 220 F",Bangalore,23000,black,Petrol,60000,2009,First,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-Pulsar-S197/
213,"Hyosung GT250R Standard",Mumbai,38000,red,Petrol,175000,2003,Second,http://www.bikewale.com/used/bikes-in-mumbai/hyosung-gt250r-S213/
226,"Hero Karizma R",Mumbai,35000,yellow,Petrol,40000,2006,Second,http://www.bikewale.com/used/bikes-in-mumbai/hero-karizma-S226/
229,"Bajaj Pulsar 150 DTS- i",Bangalore,59500,silver,Petrol,25000,2006,First,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-Pulsar-S229/
230,"Hero Karizma R",Mumbai,28000,black,Petrol,55000,2008,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-karizma-S230/
231,"Honda CB Unicorn Standard",Bangalore,19000,orange,Petrol,50000,2007,First,http://www.bikewale.com/used/bikes-in-bangalore/honda-cbunicorn-S231/
234,"Bajaj Platina Platina 100 Spoke Wheel",Bangalore,50000,blue,Petrol,25000,2007,First,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-platina-S234/
240,"Bajaj Pulsar 150 DTS- i",Mumbai,8000,black,Petrol,25000,2006,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S240/
245,"Bajaj Pulsar 150 DTS- i",Mumbai,77000,black,Petrol,25000,2003,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S245/
252,"Honda CB Unicorn Standard",Mumbai,60000,red,Petrol,22000,2004,Second,http://www.bikewale.com/used/bikes-in-mumbai/honda-cbunicorn-S252/
255,"Bajaj Avenger 220 DTS- i",Bangalore,40000,black,Petrol,40000,2006,Second,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-avenger-S255/
272,"Bajaj Discover 125 Drum",Mumbai,40000,black,Petrol,23000,2006,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Discover-S272/
277,"Yamaha Rx 135",Bangalore,53487,white,Petrol,75000,1990,Fourth,http://www.bikewale.com/used/bikes-in-bangalore/yamaha-rx-S277/
283,"Honda CB Shine Electric Start/Disc/Alloy",Mumbai,14800,black,Petrol,40000,2007,First,http://www.bikewale.com/used/bikes-in-mumbai/honda-cbshine-S283/
284,"Honda CB Unicorn Dazzler Standard",Mumbai,27000,black,Petrol,54000,2010,First,http://www.bikewale.com/used/bikes-in-mumbai/honda-cbunicorndazzler-S284/
290,"Hero Xtreme Rear Disc Brake",Mumbai,41000,black,Petrol,48000,2009,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-xtreme-S290/
308,"Hero Hunk Rear Disc Brake",Mumbai,3353,red,Petrol,59551,2011,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-hunk-S308/
313,"Honda Activa Deluxe",Mumbai,29000,silver,Petrol,38000,2008,First,http://www.bikewale.com/used/bikes-in-mumbai/honda-activa-S313/
316,"Hero Xtreme Gold",Mumbai,50000,green,Petrol,18000,2000,Second,http://www.bikewale.com/used/bikes-in-mumbai/hero-xtreme-S316/
318,"Yamaha FZ S Standard",Bangalore,10000,yellow,Petrol,70000,2011,First,http://www.bikewale.com/used/bikes-in-bangalore/yamaha-fzs-S318/
328,"Yamaha Rx 135",Bangalore,70000,silver,Petrol,30000,1995,First,http://www.bikewale.com/used/bikes-in-bangalore/yamaha-rx-S328/
333,"Bajaj Pulsar 180 DTS- i",Mumbai,23000,black,Petrol,25000,2006,Second,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S333/
336,"Bajaj Pulsar 150 DTS- i",Mumbai,20000,black,Petrol,25000,2006,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S336/
341,"Honda Activa Deluxe",Bangalore,6500,white,Petrol,55000,2012,First,http://www.bikewale.com/used/bikes-in-bangalore/honda-activa-S341/
343,"Bajaj Pulsar 150 DTS- i",Delhi,35000,black,Petrol,38000,2010,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Pulsar-S343/
344,"Yamaha Rx 135",Bangalore,15000,black,Petrol,34000,1998,Second,http://www.bikewale.com/used/bikes-in-bangalore/yamaha-rx-S344/
348,"Honda Activa Deluxe",Mumbai,15000,white,Petrol,42000,2009,First,http://www.bikewale.com/used/bikes-in-mumbai/honda-activa-S348/
350,"Bajaj Pulsar 180 DTS- i",Mumbai,40000,red,Petrol,23999,2008,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S350/
357,"Bajaj Pulsar 150 DTS- i",Bangalore,33000,red,Petrol,20000,2004,Second,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-Pulsar-S357/
360,"Honda Activa Deluxe",Mumbai,25000,grey,Petrol,40000,2011,First,http://www.bikewale.com/used/bikes-in-mumbai/honda-activa-S360/
362,"Bajaj Pulsar 220 F",Delhi,20000,red,Petrol,57000,2011,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Pulsar-S362/
363,"Bajaj Pulsar 220 F",Bangalore,15500,black,Petrol,65000,2009,First,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-Pulsar-S363/
365,"TVS Star City Alloy wheels",Delhi,60050,blue,Petrol,12000,2007,First,http://www.bikewale.com/used/bikes-in-newdelhi/tvs-starcity-S365/
373,"Bajaj Pulsar 180 DTS- i",Mumbai,41000,red,Petrol,20000,2005,Second,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S373/
379,"Hero HF Dawn Standard",Mumbai,200000,black,Petrol,20000,2002,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-hfdawn-S379/
385,"Royal Enfield Bullet Electra Twinspark Disc/Electric start",Delhi,35000,black,Petrol,80000,2005,First,http://www.bikewale.com/used/bikes-in-newdelhi/royalenfield-bulletelectratwinspark-S385/
387,"Honda CB Shine Electric Start/Disc/Alloy",Bangalore,40000,black,Petrol,45000,2009,First,http://www.bikewale.com/used/bikes-in-bangalore/honda-cbshine-S387/
390,"Honda CB Unicorn Dazzler Deluxe",Mumbai,20000,red,Petrol,50000,2011,First,http://www.bikewale.com/used/bikes-in-mumbai/honda-cbunicorndazzler-S390/
391,"TVS Star City Spoke Wheels",Bangalore,50000,red,Petrol,22000,2007,First,http://www.bikewale.com/used/bikes-in-bangalore/tvs-starcity-S391/
393,"Bajaj Pulsar 220 F",Mumbai,45000,blue,Petrol,55000,2010,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S393/
394,"Hero Splendor Plus Electric Start",Delhi,35000,silver,Petrol,30000,2009,First,http://www.bikewale.com/used/bikes-in-newdelhi/hero-splendorplus-S394/
398,"Bajaj Pulsar 150 DTS- i",Mumbai,15000,black,Petrol,30000,2006,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S398/
402,"Kawasaki Ninja 250R Standard",Mumbai,3012,green,Petrol,280000,2012,First,http://www.bikewale.com/used/bikes-in-mumbai/kawasaki-ninja250r-S402/
403,"Bajaj Pulsar 180 DTS- i",Delhi,6000,red,Petrol,70000,2011,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Pulsar-S403/
404,"TVS Apache RTR 180 Standard",Delhi,6000,white,Petrol,72000,2012,First,http://www.bikewale.com/used/bikes-in-newdelhi/tvs-apachertr180-S404/
405,"Hero Splendor PRO Kick Start",Delhi,35000,black,Petrol,28000,2006,First,http://www.bikewale.com/used/bikes-in-newdelhi/hero-splendorpro-S405/
409,"Hero Xtreme Rear Drum Brake",Bangalore,30000,black,Petrol,35000,2006,First,http://www.bikewale.com/used/bikes-in-bangalore/hero-xtreme-S409/
411,"Bajaj Pulsar 180 DTS- i",Delhi,2000,black,Petrol,67000,2012,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Pulsar-S411/
412,"Yamaha Fazer Standard",Delhi,15461,blue,Petrol,45000,2010,First,http://www.bikewale.com/used/bikes-in-newdelhi/yamaha-fazer-S412/
432,"TVS Fiero F2 Disc",Mumbai,100000,black,Petrol,20000,2004,First,http://www.bikewale.com/used/bikes-in-mumbai/tvs-fiero-S432/
438,"Royal Enfield Bullet 350 Twinspark Drum /Kick start",Delhi,30000,black,Petrol,55000,1991,Third,http://www.bikewale.com/used/bikes-in-newdelhi/royalenfield-bullet350twinspark-S438/
439,"Yamaha FZ16 Standard",Bangalore,650,black,Petrol,800000,2012,First,http://www.bikewale.com/used/bikes-in-bangalore/yamaha-fz16-S439/
449,"Bajaj Discover 150",Delhi,9000,black,Petrol,42000,2011,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Discover-S449/
450,"Bajaj Xcd 125 cc",Delhi,23000,black,Petrol,18000,2008,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-xcd-S450/
451,"Honda CBF Stunner Kick",Bangalore,20000,black,Petrol,50000,2010,First,http://www.bikewale.com/used/bikes-in-bangalore/honda-cbfstunner-S451/
459,"Hero Passion PRO Kick Alloy",Mumbai,20000,black,Petrol,30000,2008,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-passionpro-S459/
463,"Bajaj Discover 125 Disc",Delhi,62470,black,Petrol,25000,2007,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Discover-S463/
464,"Bajaj Pulsar 150 DTS- i",Delhi,13000,red,Petrol,20000,2009,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Pulsar-S464/
472,"TVS Apache RTR 160 Rear Disc Brake",Delhi,35000,red,Petrol,29000,2006,Second,http://www.bikewale.com/used/bikes-in-newdelhi/tvs-apachertr160-S472/
486,"Bajaj Pulsar 180 DTS- i",Delhi,29000,black,Petrol,38000,2008,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Pulsar-S486/
491,"Yamaha YZF R15 V 2.0",Bangalore,2300,red,Petrol,85000,2008,First,http://www.bikewale.com/used/bikes-in-bangalore/yamaha-yzfr15-S491/
493,"Bajaj Avenger 220 DTS- i",Delhi,2000,black,Petrol,60000,2009,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-avenger-S493/
497,"Bajaj Discover 100 ES 4G",Mumbai,56000,black,Petrol,25000,2010,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Discover-S497/
503,"Hero Hunk Rear Drum Brake",Mumbai,16500,silver,Petrol,51000,2010,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-hunk-S503/
504,"Bajaj Pulsar 150 DTS- i",Delhi,47000,black,Petrol,20000,2005,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Pulsar-S504/
509,"Hero Hunk Rear Disc Brake",Mumbai,23000,red,Petrol,35000,2008,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-hunk-S509/
535,"Bajaj Xcd 125 cc",Delhi,45000,blue,Petrol,25000,2009,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-xcd-S535/
536,"Bajaj Pulsar 180 DTS- i",Mumbai,11800,blue,Petrol,55000,2010,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S536/
538,"Hero Karizma R",Delhi,28350,red,Petrol,18000,2007,Second,http://www.bikewale.com/used/bikes-in-newdelhi/hero-karizma-S538/
540,"Kawasaki Ninja 250R Standard",Delhi,2500,black,Petrol,255000,2010,First,http://www.bikewale.com/used/bikes-in-newdelhi/kawasaki-ninja250r-S540/
542,"Bajaj Pulsar 150 DTS- i",Delhi,30000,black,Petrol,45000,2012,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Pulsar-S542/
545,"Yamaha Fazer Standard",Delhi,19000,black,Petrol,52000,2011,First,http://www.bikewale.com/used/bikes-in-newdelhi/yamaha-fazer-S545/
546,"Bajaj Pulsar 150 DTS- i",Bangalore,51050,black,Petrol,40000,2010,First,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-Pulsar-S546/
557,"Bajaj Discover 100 ES 4G",Mumbai,27000,red,Petrol,20000,2005,Second,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Discover-S557/
560,"Honda Activa Deluxe",Mumbai,10950,blue,Petrol,42000,2009,First,http://www.bikewale.com/used/bikes-in-mumbai/honda-activa-S560/
561,"Vespa LX 125",Mumbai,700,white,Petrol,65000,2012,First,http://www.bikewale.com/used/bikes-in-mumbai/vespa-lx-S561/
566,"Bajaj Discover 125 Disc",Bangalore,27000,black,Petrol,45000,2011,First,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-Discover-S566/
571,"Hero Hunk Rear Disc Brake",Mumbai,23000,black,Petrol,51000,2011,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-hunk-S571/
573,"Bajaj Avenger 220 DTS- i",Delhi,2000,black,Petrol,65000,2010,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-avenger-S573/
576,"Hero Glamour Disc Brake",Delhi,21000,black,Petrol,30000,2008,First,http://www.bikewale.com/used/bikes-in-newdelhi/hero-glamour-S576/
578,"Bajaj Pulsar 150 DTS- i",Delhi,12000,black,Petrol,50000,2010,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Pulsar-S578/
583,"Bajaj Xcd 125 cc",Delhi,48000,black,Petrol,25000,2008,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-xcd-S583/
586,"Honda CB Unicorn Dazzler Standard",Mumbai,14000,gold,Petrol,60000,2011,First,http://www.bikewale.com/used/bikes-in-mumbai/honda-cbunicorndazzler-S586/
589,"Bajaj Pulsar 150 DTS- i",Mumbai,40000,blue,Petrol,35000,2007,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S589/
590,"Bajaj Pulsar 135 LS",Delhi,39544,black,Petrol,40000,2011,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Pulsar-S590/
594,"Honda CB Unicorn Standard",Bangalore,58000,black,Petrol,50000,2007,First,http://www.bikewale.com/used/bikes-in-bangalore/honda-cbunicorn-S594/
602,"Hero Karizma R",Mumbai,42000,black,Petrol,45000,2008,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-karizma-S602/
612,"Hero Karizma R",Delhi,28350,red,Petrol,18000,2006,Second,http://www.bikewale.com/used/bikes-in-newdelhi/hero-karizma-S612/
613,"Hero Karizma R",Delhi,28360,yellow,Petrol,18000,2006,Second,http://www.bikewale.com/used/bikes-in-newdelhi/hero-karizma-S613/
614,"Hero Splendor PRO Kick Start",Mumbai,39000,blue,Petrol,20000,2002,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-splendorpro-S614/
616,"Honda Dio Deluxe",Bangalore,41000,bule,Petrol,35000,2010,First,http://www.bikewale.com/used/bikes-in-bangalore/honda-dio-S616/
618,"Honda CBF Stunner Kick",Delhi,6000,black,Petrol,40000,2010,First,http://www.bikewale.com/used/bikes-in-newdelhi/honda-cbfstunner-S618/
619,"Yamaha FZ S Standard",Delhi,40000,red,Petrol,45000,2009,First,http://www.bikewale.com/used/bikes-in-newdelhi/yamaha-fzs-S619/
627,"Royal Enfield Classic 350 Standard",Bangalore,30000,blue,Petrol,85000,1997,Second,http://www.bikewale.com/used/bikes-in-bangalore/royalenfield-classic350-S627/
628,"Bajaj Pulsar 180 DTS- i",Mumbai,45000,black,Petrol,30000,2007,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S628/
629,"Hero Xtreme Gold",Delhi,41000,black,Petrol,40000,2008,First,http://www.bikewale.com/used/bikes-in-newdelhi/hero-xtreme-S629/
630,"Suzuki GS150R Standard",Bangalore,38000,black,Petrol,52000,2009,First,http://www.bikewale.com/used/bikes-in-bangalore/suzuki-gs150r-S630/
633,"Yamaha YZF R15 V 2.0",Mumbai,15000,black,Petrol,90000,2011,First,http://www.bikewale.com/used/bikes-in-mumbai/yamaha-yzfr15-S633/
636,"Hero Xtreme Rear Disc Brake",Mumbai,56000,black,Petrol,34000,2009,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-xtreme-S636/
639,"Hero Splendor Plus Electric Start",Delhi,120,black,Petrol,40000,2012,Second,http://www.bikewale.com/used/bikes-in-newdelhi/hero-splendorplus-S639/
651,"Bajaj Pulsar 150 DTS- i",Delhi,10000,black,Petrol,60000,2011,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Pulsar-S651/
652,"Bajaj Pulsar 220 F",Mumbai,30000,red,Petrol,50000,2007,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S652/
664,"Royal Enfield Classic 500 Standard",Mumbai,2800,black,Petrol,130000,2011,First,http://www.bikewale.com/used/bikes-in-mumbai/royalenfield-classic500-S664/
668,"Hero Karizma R",Mumbai,37000,black,Petrol,55000,2009,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-karizma-S668/
669,"Bajaj Pulsar 220 F",Bangalore,17000,black,Petrol,69000,2010,First,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-Pulsar-S669/
677,"Hero Splendor Plus Electric Start",Bangalore,18500,black,Petrol,30000,2007,First,http://www.bikewale.com/used/bikes-in-bangalore/hero-splendorplus-S677/
682,"Hero Xtreme Rear Drum Brake",Mumbai,47000,black,Petrol,40000,2008,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-xtreme-S682/
685,"Hero Hunk Rear Drum Brake",Mumbai,37000,red,Petrol,42000,2009,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-hunk-S685/
688,"Hero Splendor Plus Electric Start",Delhi,44000,black,Petrol,30000,2008,First,http://www.bikewale.com/used/bikes-in-newdelhi/hero-splendorplus-S688/
692,"Suzuki Bandit 1250SA",Mumbai,3300,silver,Petrol,775000,2011,First,http://www.bikewale.com/used/bikes-in-mumbai/suzuki-bandit-S692/
695,"Bajaj Avenger 220 DTS- i",Mumbai,46000,red,Petrol,40000,2006,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-avenger-S695/
697,"Bajaj Pulsar 150 DTS- i",Mumbai,27000,black,Petrol,35000,2006,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S697/
710,"Bajaj Pulsar 150 DTS- i",Bangalore,19000,black,Petrol,34000,2009,First,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-Pulsar-S710/
711,"Bajaj Pulsar 150 DTS- i",Bangalore,19000,black,Petrol,34000,2006,First,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-Pulsar-S711/
715,"Bajaj Pulsar 180 DTS- i",Bangalore,38000,black,Petrol,37000,2003,First,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-Pulsar-S715/
716,"Hero Hunk Rear Disc Brake",Delhi,36235,black,Petrol,35000,2009,First,http://www.bikewale.com/used/bikes-in-newdelhi/hero-hunk-S716/
722,"Honda CB Unicorn Standard",Mumbai,31000,red,Petrol,41000,2008,First,http://www.bikewale.com/used/bikes-in-mumbai/honda-cbunicorn-S722/
731,"Bajaj Avenger 220 DTS- i",Delhi,42000,black,Petrol,40000,2005,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-avenger-S731/
732,"Royal Enfield Bullet Electra Twinspark Disc/Electric start",Mumbai,40000,green,Petrol,115000,2007,Second,http://www.bikewale.com/used/bikes-in-mumbai/royalenfield-bulletelectratwinspark-S732/
737,"Kawasaki Ninja 250R Standard",Mumbai,650,green,Petrol,300000,2012,First,http://www.bikewale.com/used/bikes-in-mumbai/kawasaki-ninja250r-S737/
750,"Bajaj Pulsar 150 DTS- i",Mumbai,40500,black,Petrol,32000,2005,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S750/
752,"Yamaha FZ S Standard",Bangalore,4500,black,Petrol,77000,2012,First,http://www.bikewale.com/used/bikes-in-bangalore/yamaha-fzs-S752/
754,"Hero Karizma R",Mumbai,35000,black,Petrol,35000,2010,Second,http://www.bikewale.com/used/bikes-in-mumbai/hero-karizma-S754/
757,"Royal Enfield Classic 350 Standard",Delhi,20000,silver,Petrol,65000,1991,Second,http://www.bikewale.com/used/bikes-in-newdelhi/royalenfield-classic350-S757/
763,"Bajaj Pulsar 150 DTS- i",Mumbai,35000,silver,Petrol,35000,2005,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S763/
774,"Hero Passion X Pro Disc Self Alloy",Delhi,65,red,Petrol,55000,2012,First,http://www.bikewale.com/used/bikes-in-newdelhi/hero-passionxpro-S774/
777,"Hero Karizma R",Delhi,27000,black,Petrol,50000,2009,First,http://www.bikewale.com/used/bikes-in-newdelhi/hero-karizma-S777/
784,"Yamaha SZ R Standard",Bangalore,15000,black,Petrol,50000,2010,First,http://www.bikewale.com/used/bikes-in-bangalore/yamaha-szr-S784/
786,"Hero Hunk Rear Disc Brake",Delhi,20000,black,Petrol,50000,2010,First,http://www.bikewale.com/used/bikes-in-newdelhi/hero-hunk-S786/
793,"Bajaj Xcd 125 cc",Bangalore,21000,black,Petrol,33000,2009,First,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-xcd-S793/
801,"Bajaj Pulsar 150 DTS- i",Delhi,68000,black,Petrol,26000,2008,Second,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Pulsar-S801/
803,"Hero Karizma R",Delhi,20000,red,Petrol,50000,2011,First,http://www.bikewale.com/used/bikes-in-newdelhi/hero-karizma-S803/
807,"Royal Enfield Thunderbird Twinspark",Mumbai,7000,black,Petrol,90000,2009,First,http://www.bikewale.com/used/bikes-in-mumbai/royalenfield-Thunderbird-S807/
822,"Honda CBR250R Pearl Sunbeam White-ABS",Mumbai,78,silver,Petrol,150000,2011,First,http://www.bikewale.com/used/bikes-in-mumbai/honda-cbr250r-S822/
835,"Honda Activa Deluxe",Delhi,35000,black,Petrol,22000,2005,First,http://www.bikewale.com/used/bikes-in-newdelhi/honda-activa-S835/
837,"Hero Glamour Disc Brake",Mumbai,25000,blue,Petrol,25000,2007,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-glamour-S837/
841,"Hero Glamour Disc Brake",Mumbai,5000,red,Petrol,39999,2011,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-glamour-S841/
845,"Hyosung GT650R n Standard",Mumbai,1500,white,Petrol,500000,2011,First,http://www.bikewale.com/used/bikes-in-mumbai/hyosung-GT650R%20n-S845/
850,"Honda CB Unicorn Standard",Mumbai,52000,black,Petrol,48000,2009,First,http://www.bikewale.com/used/bikes-in-mumbai/honda-cbunicorn-S850/
862,"Hero Splendor Plus Electric Start",Delhi,42000,black,Petrol,25500,2005,First,http://www.bikewale.com/used/bikes-in-newdelhi/hero-splendorplus-S862/
866,"Bajaj Pulsar 150 DTS- i",Delhi,35000,black,Petrol,27000,2006,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Pulsar-S866/
867,"Bajaj Pulsar 180 DTS- i",Delhi,20000,silver,Petrol,65000,2009,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Pulsar-S867/
869,"Yamaha SZ R Standard",Mumbai,9000,red,Petrol,49000,2011,First,http://www.bikewale.com/used/bikes-in-mumbai/yamaha-szr-S869/
871,"Bajaj Pulsar 150 DTS- i",Bangalore,26500,black,Petrol,60000,2010,First,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-Pulsar-S871/
873,"Bajaj Pulsar 220 F",Delhi,31500,blue,Petrol,52000,2010,First,http://www.bikewale.com/used/bikes-in-newdelhi/bajaj-Pulsar-S873/
878,"Yamaha Rx 135",Bangalore,55000,black,Petrol,60000,2005,First,http://www.bikewale.com/used/bikes-in-bangalore/yamaha-rx-S878/
881,"Honda Activa Deluxe",Bangalore,9000,grey,Petrol,25000,2011,First,http://www.bikewale.com/used/bikes-in-bangalore/honda-activa-S881/
882,"Bajaj Pulsar 150 DTS- i",Mumbai,25000,black,Petrol,31000,2005,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S882/
885,"Hyosung GT650R n Standard",Mumbai,1500,white,Petrol,500000,2011,First,http://www.bikewale.com/used/bikes-in-mumbai/hyosung-GT650R%20n-S885/
890,"Hero Karizma ZMR Standard",Delhi,19000,black,Petrol,70000,2010,First,http://www.bikewale.com/used/bikes-in-newdelhi/hero-karizmazmr-S890/
