id,title,authors,venue,paper year
r15,On supporting containment queries in relational database management systems,"Chun Zhang, Jeffrey Naughton, David DeWitt, Qiong Luo, Guy Lohman",International Conference on Management of Data,2001
r16,Using sets of feature vectors for similarity search on voxelized CAD objects,"Hans-Peter Kriegel, Stefan Brecheisen, Peer Kröger, Martin Pfeifle, Matthias Schubert",International Conference on Management of Data,2003
r17,Similarity Search in High Dimensions via Hashing,"Aristides Gionis, Piotr Indyk, Rajeev Motwani",Very Large Data Bases,1999
r18,Query by humming: in action with its technology revealed,"Yunyue Zhu, Dennis Shasha, Xiaojian Zhao",International Conference on Management of Data,20003
r19,Belief reasoning in MLS deductive databases,Hasan M. Jamil,International Conference on Management of Data,1999
r20,A Prototype Content-Based Retrieval System that Uses Virtual Images to Save Space,"Leonard Brown, Le Gruenwald",Very Large Data Bases,2001
r21,From Nested-Loop to Join Queries in OODB,"Hennie J. Steenhagen, Peter M. G. Apers, Henk M. Blanken, Rolf A. de By",Very Large Data Bases,1994
r22,Adaptive algorithms for set containment joins,"Sergey Melnik, Hector Garcia-Molina",ACM Transactions on Database Systems (TODS),20003
r23,The SR-tree: an index structure for high-dimensional nearest neighbor queries,"Norio Katayama, Shin'ichi Satoh",International Conference on Management of Data,1997
r24,Copy detection mechanisms for digital documents,"Sergey Brin, James Davis, Héctor García-Molina",International Conference on Management of Data,1995
r25,Processing Object-Oriented Queries with Invertible Late Bound Functions,"Staffan Flodin, Tore Risch",Very Large Data Bases,1995
r26,Fast image retrieval using color-spatial information,"Beng Chin Ooi, Kian-Lee Tan, Tat Seng Chua, Wynne Hsu",The VLDB Journal — The International Journal on Very Large Data Bases,1999
r27,Electronic market: the roadmap for university libraries and members to survive in the information jungle,"Michael Christoffel, Sebastian Pulkowski, Bethina Schmitt, Peter C. Lockemann",ACM SIGMOD Record,1998
r28,Managing multiple and distributed ontologies on the Semantic Web,"A. Maedche, B. Motik, L. Stojanovic",The VLDB Journal — The International Journal on Very Large Data Bases,20003
r29,SPRINT: A Scalable Parallel Classifier for Data Mining,"John C. Shafer, Rakesh Agrawal, Manish Mehta",Very Large Data Bases,1996
r30,The MLPQ/GIS constraint database system,"Peter Revesz, Rui Chen, Pradip Kanjamala, Yiming Li, Yuguo Liu, Yonghui Wang",International Conference on Management of Data,2000
r31,Space optimization in deductive databases,"Divesh Srivastava, S. Sudarshan, Raghu Ramakrishnan, Jeffrey F. Naughton",ACM Transactions on Database Systems (TODS),1995
r32,Using Referential Integrity To Easily Define Consistent Subset Replicas,Brad Hammond,Very Large Data Bases,1996
r33,Catalog management in websphere commerce suite,Thomas Maguire,International Conference on Management of Data,2001
r34,"PowerBookmarks: a system for personalizable Web information organization, sharing, and management","Wen-Syan Li, Quoc Vu, Edward Chang, Divyakant Agrawal, Kyoji Hirata, Sougata Mukherjea, Yi-Leh Wu, Corey Bufi, Chen-Chuan Kevin Chang, Yoshinori Hara, Reiko Ito, Yutaka Kimura, Kezuyuki Shimazu, Yukiyoshi Saito",International Conference on Management of Data,1999
r35,PTool: a light weight persistent object manager,"R. L. Grossman, D. Hanley, X. Qin",International Conference on Management of Data,1995
r36,Knowledge discovery in data warehouses,Themistoklis Palpanas,ACM SIGMOD Record,2000
r37,Finding Data in the Neighborhood,"André Eickler, Alfons Kemper, Donald Kossmann",Very Large Data Bases,1997
r38,"Shutdown, budget, and funding",Xiaolei Qian,ACM SIGMOD Record,1996
r39,TAM: a system for dynamic transactional activity management,"Tong Zhou, Ling Liu, Calton Pu",International Conference on Management of Data,1999
r40,New programs at DARPA and NSF,Xiolai Qian,ACM SIGMOD Record,1996
r41,Miro Web: Integrating Multiple Data Sources through Semistructured Data Types,"Luc Bouganim, Tatiana Chan-Sine-Ying, Tuyet-Tram Dang-Ngoc, Jean-Luc Darroux, Georges Gardarin, Fei Sha",Very Large Data Bases,1999
r42,Internet traffic warehouse,"Chung-Min Chen, Munir Cochinwala, Claudio Petrone, Marc Pucci, Sunil Samtani, Patrizia Santa",International Conference on Management of Data,2000
r43,AQR-toolkit: an adaptive query routing middleware for distributed data intensive systems,"Ling Liu, Calton Pu, David Buttler, Wei Han, Henrique Paques, Wei Tang",International Conference on Management of Data,2001
r44,Robust and efficient fuzzy match for online data cleaning,"Surajit Chaudhuri, Kris Ganjam, Venkatesh Ganti, Rajeev Motwani",International Conference on Management of Data,20003
r45,Dynamic Memory Adjustment for External Mergesort,"Weiye Zhang, Per-Åke Larson",Very Large Data Bases,1997
r46,Polymorphism and type inference in database programming,"Peter Buneman, Atsushi Ohori",ACM Transactions on Database Systems (TODS),1996
r47,Optimizing Queries Across Diverse Data Sources,"Laura M. Haas, Donald Kossmann, Edward L. Wimmers, Jun Yang",Very Large Data Bases,1997
r48,The NAOS system,"C. Collet, T. Coupaye",International Conference on Management of Data,1995
r49,Reasoning on regular path queries,"D. Calvanese, G. De Giacomo, M. Lenzerini, M. Y. Vardi",ACM SIGMOD Record,20003
r50,MPEG-7 and multimedia database systems,Harald Kosch,ACM SIGMOD Record,2002
r51,Real-time database - similarity and resource scheduling,"Tei-Wei Kuo, Aloysius K. Mok",ACM SIGMOD Record,1996
r52,PUBLIC: A Decision Tree Classifier that Integrates Building and Pruning,"Rajeev Rastogi, Kyuseok Shim",Very Large Data Bases,1998
r53,A workflow-based electronic marketplace on the Web,"Asuman Dogac, Ilker Durusoy, Sena Arpinar, Nesime Tatbul, Pinar Koksal, Ibrahim Cingil, Nazife Dimililer",ACM SIGMOD Record,1998
r54,A Transaction Replication Scheme for a Replicated Database with Node Autonomy,"Ada Wai-Chee Fu, David Wai-Lok Cheung",Very Large Data Bases,1994
r55,Merge replication in Microsoft's SQL server 7.0,Brad Hammond,International Conference on Management of Data,1999
r56,Efficient integration and aggregation of historical information,"Mirek Riedewald, Divyakant Agrawal, Amr El Abbadi",International Conference on Management of Data,2002
r57,Data Integration in the Large: The Challenge of Reuse,"Arnon Rosenthal, Leonard J. Seligman",Very Large Data Bases,1994
r58,Incremental data structures and algorithms for dynamic query interfaces,"Egemen Tanin, Richard Beigel, Ben Shneiderman",ACM SIGMOD Record,1996
r59,Dynamic buffer allocation in video-on-demand systems,"Sang-Ho Lee, Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song",International Conference on Management of Data,2001
r60,Indexing the Distance: An Efficient Method to KNN Processing,"Cui Yu, Beng Chin Ooi, Kian-Lee Tan, H. V. Jagadish",Very Large Data Bases,2001
r61,French government activity in the conservation of data and electronic documents,Serge Novaretti,Very Large Data Bases,2001
r62,Understanding the global semantics of referential actions using logic rules,"Wolfgang May, Bertram Ludäscher",ACM Transactions on Database Systems (TODS),2002
r63,Recovering Information from Summary Data,"Christos Faloutsos, H. V. Jagadish, Nikolaos Sidiropoulos",Very Large Data Bases,1997
r64,A critique of ANSI SQL isolation levels,"Hal Berenson, Phil Bernstein, Jim Gray, Jim Melton, Elizabeth O'Neil, Patrick O'Neil",International Conference on Management of Data,1995
r65,Hot Block Clustering for Disk Arrays with Dynamic Striping,"Kazuhiko Mogi, Masaru Kitsuregawa",Very Large Data Bases,1995
r66,Design and Implementation of a Genetic-Based Algorithm for Data Mining,Sunil Choenni,Very Large Data Bases,2000
r67,Ordered shared locks for real-time databases,"Divyakant Agrawal, Amr El Abbadi, Richard Jeffers, Lijing Lin",The VLDB Journal — The International Journal on Very Large Data Bases,1995
r68,A Performance Evaluation of OID Mapping Techniques,"André Eickler, Carsten Andreas Gerlhof, Donald Kossmann",Very Large Data Bases,1995
r69,Efficient algorithms for minimizing tree pattern queries,Prakash Ramanan,International Conference on Management of Data,2002
r70,An optimal and progressive algorithm for skyline queries,"Dimitris Papadias, Yufei Tao, Greg Fu, Bernhard Seeger",International Conference on Management of Data,20003
r71,Infosphere project: system support for information flow applications,"Calton Pu, Karsten Schwan, Jonathan Walpole",ACM SIGMOD Record,2001
r72,Querying ATSQL databases with temporal logic,"Jan Chomicki, David Toman, Michael H. Böhlen",ACM Transactions on Database Systems (TODS),2001
r73,MOCHA: a database middleware system featuring automatic deployment of application-specific functionality,"Manuel Rodríguez-Martínez, Nick Roussopoulos, John M. McGann, Stephen Kelley, Vadim Katz, Zhexuan Song, Joseph JáJá",International Conference on Management of Data,2000
r74,Guest editorial,"Philip A. Bernstein, Yannis Ioannidis, Raghu Ramakrishnan",The VLDB Journal — The International Journal on Very Large Data Bases,20003
r75,Implementing Abstract Objects with Inheritance in Datalogneg,Hasan M. Jamil,Very Large Data Bases,1997
r76,Effective timestamping in databases,"Kristian Torp, Christian S. Jensen, Richard Thomas Snodgrass",The VLDB Journal — The International Journal on Very Large Data Bases,2000
r77,Implementation aspects of an object-oriented DBMS,"Asuman Dogac, Mehmet Altinel, Cetin Ozkan, Ilker Durusoy",ACM SIGMOD Record,1995
r78,Using the CALANDA time series management system,"Werner Dreyer, Angelika Kotz Dittrich, Duri Schmidt",International Conference on Management of Data,1995
r79,Are Web Services the Next Revolution in e-Commerce? (Panel),"Shalom Tsur, Serge Abiteboul, Rakesh Agrawal, Umeshwar Dayal, Johannes Klein, Gerhard Weikum",Very Large Data Bases,2001
r80,Hierarchical Compact Cube for Range-Max Queries,"Sin Yeung Lee, Tok Wang Ling, Hua-Gang Li",Very Large Data Bases,2000
r81,Redo Recovery after System Crashes,"David B. Lomet, Mark R. Tuttle",Very Large Data Bases,1995
r82,The WorlInfo Assistant: Spatio-Temporal Information Integration on the Web,"José Luis Ambite, Craig A. Knoblock, Mohammad R. Kolahdouzan, Maria Muslea, Cyrus Shahabi, Snehal Thakkar",Very Large Data Bases,2002
r83,On Processing XML in LDAP,"Pedro José Marrón, Georg Lausen",Very Large Data Bases,2001
r84,Data access (tutorial session),"José A. Blakeley, Anand Deshpande",International Conference on Management of Data,2000
r85,The Propel Distributed Services Platform,"Michael J. Carey, Steve Kirsch, Mary Roth, Bert Van der Linden, Nicolas Adiba, Michael Blow, Daniela Florescu, David Li, Ivan Oprencak, Rajendra Panwar, Runping Qi, David Rieber, John C. Shafer, Brian Sterling, Tolga Urhan, Brian Vickery, Dan Wineman, Kuan Yee",Very Large Data Bases,2001
r86,"Don't Scrap It, Wrap It! A Wrapper Architecture for Legacy Data Sources","Mary Tork Roth, Peter M. Schwarz",Very Large Data Bases,1996
r87,"Of crawlers, portals, mice, and men: is there more to mining the Web?","Minos N. Garofalakis, Sridhar Ramaswamy, Rajeev Rastogi, Kyuseok Shim",International Conference on Management of Data,1999
r88,Will database researchers have any role in data security? (panel session),"Arnon Rosenthal, Klaus Dittrich, Jim Donahue, Bill Maimone",International Conference on Management of Data,2001
r89,Indexing the positions of continuously moving objects,"Simonas Šaltenis, Christian S. Jensen, Scott T. Leutenegger, Mario A. Lopez",International Conference on Management of Data,2000
r90,Objects and SQL (panel session): strange relations?,Donald R. Deutsch,International Conference on Management of Data,1995
r91,The data that you won't find in databases: tutorial panel on data exchange formats,"Peter Buneman, David Maier",International Conference on Management of Data,1995
r92,Standard for multimedia databases,John R. Smith,International Conference on Management of Data,2001
r93,Publish/Subscribe on the Web at Extreme Speed,"João Pereira, Françoise Fabret, François Llirbat, Radu Preotiuc-Pietro, Kenneth A. Ross, Dennis Shasha",Very Large Data Bases,2000
r94,"Some remarks on variable independence, closure, and orthographic dimension in constraint databases",Leonid Libkin,ACM SIGMOD Record,1998
r95,Selectivity Estimation Without the Attribute Value Independence Assumption,"Viswanath Poosala, Yannis E. Ioannidis",Very Large Data Bases,1997
r96,Editorial,"Peter Apers, Stefano Ceri, Richard Snodgrass",The VLDB Journal — The International Journal on Very Large Data Bases,2002
r97,Data management for earth system science,"James Frew, Jeff Dozier",ACM SIGMOD Record,1997
r98,QBI: query by icons,"Antonio Massari, Stefano Pavani, Lorenzo Saladini, Panos K. Chrysanthis",International Conference on Management of Data,1995
r99,Random sampling techniques for space efficient online computation of order statistics of large datasets,"Gurmeet Singh Manku, Sridhar Rajagopalan, Bruce G. Lindsay",International Conference on Management of Data,1999
r100,Optimal clip ordering for multi-clip queries,"Raymond T. Ng, Paul Shum",The VLDB Journal — The International Journal on Very Large Data Bases,1998
r101,"Object-relational database systems (tutorial): principles, products and challenges","Michael J. Carey, Nelson M. Mattos, Anil K. Nori",International Conference on Management of Data,1997
r102,Performance Measurements of Compressed Bitmap Indices,Theodore Johnson,Very Large Data Bases,1999
r103,Kweelt: more than just yet another framework to query XML!,Arnaud Sahuguet,International Conference on Management of Data,2002
r104,Rethinking Database System Architecture: Towards a Self-Tuning RISC-Style Database System,"Surajit Chaudhuri, Gerhard Weikum",Very Large Data Bases,2000
r105,Histogram-Based Approximation of Set-Valued Query-Answers,"Yannis E. Ioannidis, Viswanath Poosala",Very Large Data Bases,1999
r106,Research in database engineering at the University of Namur,Jean-Luc Hainaut,ACM SIGMOD Record,2002
r107,Ontology-based Support for Digital Government,"Athman Bouguettaya, Ahmed K. Elmagarmid, Brahim Medjahed, M. Ouzzani",Very Large Data Bases,2001
r108,Hash Joins and Hash Teams in Microsoft SQL Server,"Goetz Graefe, Ross Bunker, Shaun Cooper",Very Large Data Bases,1997
r109,"Workflow automation: applications, technology and research",Amit Sheth,International Conference on Management of Data,1995
r110,Monitoring business processes through event correlation based on dependency model,"Asaf Adii, David Botzer, Opher Etzion, Tali Yatzkar-Haham",International Conference on Management of Data,2001
r111,METU interoperable database system,"Asuman Dogac, Ugur Halici, Ebru Kilic, Gokhan Ozhan, Fatma Ozcan, Sena Nural, Cevdet Dengi, Sema Mancuhan, Budak Arpinar, Pinar Koksal, Cem Evrendilek",International Conference on Management of Data,1996
r112,Optimization of dynamic query evaluation plans,"Richard L. Cole, Goetz Graefe",International Conference on Management of Data,1994
r113,Providing better support for a class of decision support queries,"Sudhir G. Rao, Antonio Badia, Dirk van Gucht",International Conference on Management of Data,1996
r114,Fault tolerant design of multimedia servers,"Steven Berson, Leana Golubchik, Richard R. Muntz",International Conference on Management of Data,1995
r115,"Domains, relations and religious wars",R. Camps,ACM SIGMOD Record,1996
r116,Multi-dimensional clustering: a new data layout scheme in DB2,"Sriram Padmanabhan, Bishwaranjan Bhattacharjee, Tim Malkemus, Leslie Cranston, Matthew Huras",International Conference on Management of Data,2003
r117,DTL's DataSpot: database exploration as easy as browsing the Web...,"Shaul Dar, Gadi Entin, Shai Geva, Eran Palmon",International Conference on Management of Data,1998
r118,Scientific OLAP for the Biotech Domain,Nam Huyn,Very Large Data Bases,2001
r119,Querying XML Views of Relational Data,"Jayavel Shanmugasundaram, Jerry Kiernan, Eugene J. Shekita, Catalina Fan, John Funderburk",Very Large Data Bases,2001
r120,CapBasED-AMS: a capability-based and event-driven activity management system,"Patrick C. K. Hung, Helen P. Yeung, Kamalakar Karlapalem",International Conference on Management of Data,1996
r121,Statistical schema matching across web query interfaces,"Bin He, Kevin Chen-Chuan Chang",International Conference on Management of Data,2003
r122,Implementing Lazy Database Updates for an Object Database System,"Fabrizio Ferrandina, Thorsten Meyer, Roberto Zicari",Very Large Data Bases,1994
r123,An active functionality service for e-business applications,"M. Cilia, A. P. Buchmann",ACM SIGMOD Record,2002
r124,Cost-based optimization of decision support queries using transient-views,"Subbu N. Subramanian, Shivakumar Venkataraman",International Conference on Management of Data,1998
r125,Combining Histograms and Parametric Curve Fitting for Feedback-Driven Query Result-size Estimation,"Arnd Christian König, Gerhard Weikum",Very Large Data Bases,1999
r126,Implementing deductive databases by mixed integer programming,"Colin Bell, Anil Nerode, Raymond T. Ng, V. S. Subrahmanian",ACM Transactions on Database Systems (TODS),1996
r127,The 3W Model and Algebra for Unified Data Mining,"Theodore Johnson, Laks V. S. Lakshmanan, Raymond T. Ng",Very Large Data Bases,2000
r128,Reasoning About Spatial Relationships in Picture Retrieval Systems,"A. Prasad Sistla, Clement T. Yu, R. Haddad",Very Large Data Bases,1994
r129,Multigranularity locking in multiple job classes transaction processing system,"Shan-hoi Ng, Sheung-lun Hung",ACM SIGMOD Record,1995
r130,BOAT-optimistic decision tree construction,"Johannes Gehrke, Venkatesh Ganti, Raghu Ramakrishnan, Wei-Yin Loh",International Conference on Management of Data,1999
r131,New sampling-based summary statistics for improving approximate query answers,"Phillip B. Gibbons, Yossi Matias",International Conference on Management of Data,1999
r132,Mapping data in peer-to-peer systems: semantics and algorithmic issues,"Anastasios Kementsietsidis, Marcelo Arenas, Renée J. Miller",International Conference on Management of Data,2002
r133,Oracle's symmetric replication technology and implications for application design,"Dean Daniels, Lip Boon Doo, Alan Downing, Curtis Elsbernd, Gary Hallmark, Sandeep Jain, Bob Jenkins, Peter Lim, Gordon Smith, Benny Souder, Jim Stamos",International Conference on Management of Data,1994
r134,Altruistic locking,"Kenneth Salem, Héctor García-Molina, Jeannie Shands",ACM Transactions on Database Systems (TODS),1994
r135,PSoup: a system for streaming queries over streaming data,"Sirish Chandrasekaran, Michael J. Franklin",The VLDB Journal — The International Journal on Very Large Data Bases,2003
r136,Orthogonally persistent object systems,"Malcolm Atkinson, Ronald Morrison",The VLDB Journal — The International Journal on Very Large Data Bases,1995
r137,Time series similarity measures and time series indexing (abstract only),"Dimitrios Gunopulos, Gautam Das",International Conference on Management of Data,2000
r138,Automatic segmentation of text into structured records,"Vinayak Borkar, Kaustubh Deshmukh, Sunita Sarawagi",International Conference on Management of Data,2001
r139,Near Neighbor Search in Large Metric Spaces,Sergey Brin,Very Large Data Bases,1995
r140,Parallelism and its price: a case study of nonstop SQL/MP,"Susanne Englert, Ray Glasstone, Waqar Hasan",ACM SIGMOD Record,1995
r141,Multi-table joins through bitmapped join indices,"Patrick O'Neil, Goetz Graefe",ACM SIGMOD Record,1995
r142,Query optimization in compressed database systems,"Zhiyuan Chen, Johannes Gehrke, Flip Korn",International Conference on Management of Data,2001
r143,Report on the 1995 international workshop on temporal databases,"Arie Segev, Christian S. Jensen, Richard Thomas Snodgrass",ACM SIGMOD Record,1995
r144,"A distributed scientific data archive using the Web, XML and SQL/MED","Mark Papiani, Jasmin L. Wason, Alistair N. Dunlop, Denis A. Nicole",ACM SIGMOD Record,1999
r145,Bridging Heterogeneity: Research and Practice of Database Middleware Technology,"Fernando de Ferreira Rezende, Günter Sauter",Very Large Data Bases,1998
r146,Discovering all most specific sentences,"Dimitrios Gunopulos, Roni Khardon, Heikki Mannila, Sanjeev Saluja, Hannu Toivonen, Ram Sewak Sharma",ACM Transactions on Database Systems (TODS),2003
r147,Semantic B2B integration: issues in ontology-based approaches,"Zhan Cui, Dean Jones, Paul O'Brien",ACM SIGMOD Record,2002
r148,Database research at NTHU and ITRI,Arbee L. P. Chen,ACM SIGMOD Record,1995
r149,The aggregate data problem: a system for their definition and management,"M. Rafanelli, A. Bezenchek, L. Tininini",ACM SIGMOD Record,1996
r150,SPARTAN: a model-based semantic compression system for massive data tables,"Shivnath Babu, Minos Garofalakis, Rajeev Rastogi",International Conference on Management of Data,2001
r151,lambda-DB: an ODMG-based object-oriented DBMS,"Leonidas Fegaras, Chandrasekhar Srinivasan, Arvind Rajendran, David Maier",International Conference on Management of Data,2000
r152,The MultiView project: object-oriented view technology and applications,"E. A. Rundensteiner, H. A. Kuno, Y.-G. Ra, V. Crestana-Taube, M. C. Jones, P. J. Marron",International Conference on Management of Data,1996
r153,Evolving teradata decision support for massively parallel processing with UNIX,Carrie Ballinger,International Conference on Management of Data,1995
r154,Selectivity estimation in spatial databases,"Swarup Acharya, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data,1999
r155,The multidimensional database system RasDaMan,"P. Baumann, A. Dehmel, P. Furtado, R. Ritsch, N. Widmann",International Conference on Management of Data,1998
r156,Parallel mining algorithms for generalized association rules with classification hierarchy,"Takahiko Shintani, Masaru Kitsuregawa",International Conference on Management of Data,1998
r157,Semistructured and structured data in the Web: going back and forth,"Paolo Atzeni, Giansalvatore Mecca, Paolo Merialdo",ACM SIGMOD Record,1997
r158,Experiments on Access to Digital Libraries: How can Images and Text be Used Together,Michael Lesk,Very Large Data Bases,1994
r159,Dynamic itemset counting and implication rules for market basket data,"Sergey Brin, Rajeev Motwani, Jeffrey D. Ullman, Shalom Tsur",International Conference on Management of Data,1997
r160,Bringing object-relational technology to the mainstream,"Vishu Krishnamurthy, Sandeepan Banerjee, Anil Nori",International Conference on Management of Data,1999
r161,PLASTIC: reducing query optimization overheads through plan recycling,"Vibhuti S. Sengar, Jayant R. Haritsa",International Conference on Management of Data,2003
r162,Optimization of constrained frequent set queries with 2-variable constraints,"Laks V. S. Lakshmanan, Raymond Ng, Jiawei Han, Alex Pang",International Conference on Management of Data,1999
r163,User-Optimizer Communication using Abstract Plans in Sybase ASE,"Mihnea Andrei, Patrick Valduriez",Very Large Data Bases,2001
r164,The Clio project: managing heterogeneity,"Renée J. Miller, Mauricio A. Hernández, Laura M. Haas, Lingling Yan, C. T. Howard Ho, Ronald Fagin, Lucian Popa",ACM SIGMOD Record,2001
r165,Relaxed transaction processing,"Munindar P. Singh, Christine Tomlinson, Darrell Woelk",International Conference on Management of Data,1994
r166,Client-site query extensions,"Tobias Mayr, Praveen Seshadri",International Conference on Management of Data,1999
r167,Data Warehouse Configuration,"Dimitri Theodoratos, Timos K. Sellis",Very Large Data Bases,1998
r168,Keynote address,Larry J. Ellison,International Conference on Management of Data,1995
r169,BigSur: A System For the Management of Earth Science Data,"Paul Brown, Michael Stonebraker",Very Large Data Bases,1995
r170,Efficient Incremental Garbage Collection for Client-Server Object Database Systems,"Laurent Amsaleg, Michael J. Franklin, Olivier Gruber",Very Large Data Bases,1995
r171,Scientific Journals: Extinction or Explosion? (Panel),"Raghu Ramakrishnan, Hector Garcia-Molina, Gerhard Rossbach, Abraham Silberschatz, Gio Wiederhold, Jaco Zijlstra",Very Large Data Bases,1995
r172,Supporting Incremental Join Queries on Ranked Inputs,"Apostol Natsev, Yuan-Chi Chang, John R. Smith, Chung-Sheng Li, Jeffrey Scott Vitter",Very Large Data Bases,2001
r173,Distributed Processing over Stand-alone Systems and Applications,"Gustavo Alonso, Claus Hagen, Hans-Jörg Schek, Markus Tresch",Very Large Data Bases,1997
r174,Approximate query mapping: Accounting for translation closeness,"Kevin Chen-Chuan Chang, Héctor García-Molina",The VLDB Journal — The International Journal on Very Large Data Bases,2001
r175,Editorial,Richard Snodgrass,ACM Transactions on Database Systems (TODS),2001
r176,Manipulating Interpolated Data is Easier than You Thought,"Stéphane Grumbach, Philippe Rigaux, Luc Segoufin",Very Large Data Bases,2000
r177,METU object-oriented DBMS,"Asuman Dogac, Budak Arpinar, Cem Evrendilek, Cetin Ozkan, Ilker Altintas, Ilker Durusoy, Mehmet Altinel, Tansel Okay, Yuksel Saygin",International Conference on Management of Data,1994
r178,How System 11 SQL Server Became Fast,T. K. Rengarajan,Very Large Data Bases,1996
r179,Proximity Search in Databases,"Roy Goldman, Narayanan Shivakumar, Suresh Venkatasubramanian, Hector Garcia-Molina",Very Large Data Bases,1998
r180,Data page layouts for relational databases on deep memory hierarchies,"Anastassia Ailamaki, David J. DeWitt, Mark D. Hill",The VLDB Journal — The International Journal on Very Large Data Bases,2002
r181,AMDB: an access method debugging tool,"Marcel Kornacker, Mehul Shah, Joseph M. Hellerstein",International Conference on Management of Data,1998
r182,"A response to R. Camps' article Domains, relations and religious wars",C. J. Date,ACM SIGMOD Record,1996
r183,Incremental maintenance of recursive views using relational calculus/SQL,"Guozhu Dong, Jianwen Su",ACM SIGMOD Record,2000
r184,Small Materialized Aggregates: A Light Weight Index Structure for Data Warehousing,Guido Moerkotte,Very Large Data Bases,1998
r185,Data Compression Support in Databases,"Balakrishna R. Iyer, David Wilhite",Very Large Data Bases,1994
r186,DataGuides: Enabling Query Formulation and Optimization in Semistructured Databases,"Roy Goldman, Jennifer Widom",Very Large Data Bases,1997
r187,Querying network directories,"H. V. Jagadish, Laks V. S. Lakshmanan, Tova Milo, Divesh Srivastava, Dimitra Vista",International Conference on Management of Data,1999
r188,Optimizing Multi-Feature Queries for Image Databases,"Ulrich Güntzer, Wolf-Tilo Balke, Werner Kießling",Very Large Data Bases,2000
r189,Parameterized complexity for the database theorist,Martin Grohe,ACM SIGMOD Record,2002
r190,Towards a theory of cost management for digital libraries and electronic commerce,"A. Prasad Sistla, Ouri Wolfson, Yelena Yesha, Robert Sloan",ACM Transactions on Database Systems (TODS),1998
r191,Constraint databases: a tutorial introduction,Jan Van den Bussche,ACM SIGMOD Record,1999
r192,Scalablity and Availability in Oracle7 7.3,Dieter Gawlick,Very Large Data Bases,1996
r193,Semantic integration of environmental models for application to global information systems and decision-making,D. Scott Mackay,ACM SIGMOD Record,1999
r194,Using metadata for the intelligent browsing of structured media objects,"William I. Grosky, Farshad Fotouhi, Ishwar K. Sethi, Bogdan Capatina",ACM SIGMOD Record,1994
r195,Gigascope: a stream database for network applications,"Chuck Cranor, Theodore Johnson, Oliver Spataschek, Vladislav Shkapenyuk",International Conference on Management of Data,2003
r196,A predicate-based caching scheme for client-server database architectures,"Arthur M. Keller, Julie Basu",The VLDB Journal — The International Journal on Very Large Data Bases,1996
r197,Continuous queries over data streams,"Shivnath Babu, Jennifer Widom",ACM SIGMOD Record,2001
r198,Querying Shapes of Histories,"Rakesh Agrawal, Giuseppe Psaila, Edward L. Wimmers, Mohamed Zaït",Very Large Data Bases,1995
r199,Energy and rate based MAC protocol for wireless sensor networks,"Rajgopal Kannan, Ram Kalidindi, S. S. Iyengar, Vijay Kumar",ACM SIGMOD Record,2003
r200,Algorithms for Mining Distance-Based Outliers in Large Datasets,"Edwin M. Knorr, Raymond T. Ng",Very Large Data Bases,1998
r201,XML document versioning,"Shu Yao Chien, Vassilis J. Tsotras, Carlo Zaniolo",ACM SIGMOD Record,2001
r202,SOCQET: semantic OLAP with compressed cube and summarization,"Laks V. S. Lakshmanan, Jian Pei, Yan Zhao",International Conference on Management of Data,2003
r203,EOS: an extensible object store,"Alexandros Biliris, Euthimios Panagos",International Conference on Management of Data,1994
