ID,Title,Episodes,Producers,Genres,Type,Year,Rating
14,Mobile Suit Gundam: The Origin,1+,Sunrise,"['Mecha', 'Outer Space', 'Sci Fi']",OVA,2015,4.38
15,Nisemonogatari,11,Shaft,"['Based on a Light Novel', 'Comedy', 'Ecchi', 'Supernatural', 'Tsundere']",TV,2012,4.38
16,Sword Art Online,25,A-1 Pictures,"['Action', 'Adventure', 'Based on a Light Novel', 'Fantasy', 'High Stakes Games', 'MMORPG', 'Person in a Strange World', 'RPG', 'Sci Fi', 'Virtual Reality']",TV,2012,4.38
17,To Aru Kagaku no Railgun S,24,J.C.Staff,"['Action', 'Magic', 'Psychic Powers', 'Sci Fi', 'Supernatural']",TV,2013,4.38
18,Nekomonogatari (Black),4,Shaft,"['Based on a Light Novel', 'Comedy', 'Ecchi', 'Supernatural']",TV,2012,4.38
19,Gintama: Shinyaku Benizakura-hen Special,1,Sunrise,"['Aliens', 'Comedy', 'Feudal Japan', 'Parody', 'Samurai', 'Sci Fi']",DVD Special,2010,4.38
20,Legend of the Galactic Heroes: A Hundred Billion Stars A Hundred Billion Lights,24,,"['Based on a Novel', 'Outer Space', 'Space Opera']",OVA,1998,4.38
21,Ginga Eiyuu Densetsu: Sen'oku no Hoshi Sen'oku no Hikari,24,,"['Based on a Novel', 'Outer Space', 'Space Opera']",OVA,1998,4.38
22,Ace of the Diamond: Second Season,30+,Production I.G,"['Baseball', 'Based on a Manga', 'Sports']",TV,2015,4.38
23,Daiya no A ~Second Season~,30+,Production I.G,"['Baseball', 'Based on a Manga', 'Sports']",TV,2015,4.38
24,Natsume Yuujinchou,13,Brains-Base,"['Based on a Manga', 'Drama', 'Episodic', 'Japanese Mythology', 'Slice of Life', 'Supernatural']",TV,2008,4.38
25,Natsume's Book of Friends,13,Brains-Base,"['Based on a Manga', 'Drama', 'Episodic', 'Japanese Mythology', 'Slice of Life', 'Supernatural']",TV,2008,4.38
26,Welcome to the NHK!,24,GONZO,"['Based on a Light Novel', 'Comedy', 'Drama', 'Otaku Culture', 'Psychological', 'Slice of Life']",TV,2006,4.38
27,NHK ni Youkoso!,24,GONZO,"['Based on a Light Novel', 'Comedy', 'Drama', 'Otaku Culture', 'Psychological', 'Slice of Life']",TV,2006,4.38
28,Zankyou no Terror,11,Mappa,"['Action', 'Detectives', 'Drama', 'noitaminA', 'Psychological', 'Terrorism', 'Thriller']",TV,2014,4.38
29,Terror in Resonance,11,Mappa,"['Action', 'Detectives', 'Drama', 'noitaminA', 'Psychological', 'Terrorism', 'Thriller']",TV,2014,4.38
30,Uchuu Kyoudai,99,A-1 Pictures,"['Astronauts', 'Based on a Manga', 'Comedy', 'Drama', 'Sci Fi', 'Seinen', 'Work Life']",TV,2012,4.38
31,Space Brothers,99,A-1 Pictures,"['Astronauts', 'Based on a Manga', 'Comedy', 'Drama', 'Sci Fi', 'Seinen', 'Work Life']",TV,2012,4.38
32,Trigun,26,MADHOUSE,"['Action', 'Adventure', 'Based on a Manga', 'Comedy', 'Drama', 'Episodic', 'Gunfights', 'Shounen', 'Violence', 'Western']",TV,1998,4.38
33,My Love Story!!,24,MADHOUSE,"['Based on a Manga', 'Comedy', 'Drama', 'Romance', 'Shoujo']",TV,2015,4.38
34,Ore Monogatari!!,24,MADHOUSE,"['Based on a Manga', 'Comedy', 'Drama', 'Romance', 'Shoujo']",TV,2015,4.38
35,Black Lagoon: Roberta's Blood Trail,5,MADHOUSE,"['Action', 'Gunfights', 'Mercenaries', 'Physical Abuse', 'Revenge', 'Sexual Abuse', 'Violence']",OVA,2010,4.38
36,Tiger & Bunny The Movie: The Rising,1,Sunrise,"['Action', 'Comedy', 'Original Work', 'Sci Fi', 'Superpowers']",Movie,2014,4.37
37,Yowamushi Pedal: Grande Road,24,TMS Entertainment,"['Based on a Manga', 'Cycling', 'School Club', 'School Life', 'Sports']",TV,2014,4.37
38,Gekijouban Kara no Kyoukai: Mirai Fukuin - The Garden of Sinners Recalled Out Summer,1,ufotable,"['Based on a Light Novel', 'Mystery', 'Supernatural']",Movie,2013,4.37
39,The Garden of Sinners: Mirai Fukuin,1,ufotable,"['Based on a Light Novel', 'Mystery', 'Supernatural']",Movie,2013,4.37
40,Kara no Kyoukai: Mirai Fukuin,1,ufotable,"['Based on a Light Novel', 'Mystery', 'Supernatural']",Movie,2013,4.37
41,Yona of the Dawn,24,Studio Pierrot,"['Adventure', 'Based on a Manga', 'Fantasy', 'Political', 'Shoujo']",TV,2014,4.37
42,Akatsuki no Yona,24,Studio Pierrot,"['Adventure', 'Based on a Manga', 'Fantasy', 'Political', 'Shoujo']",TV,2014,4.37
43,Gintama: Jump Festa 2008,1,Sunrise,"['Action', 'Aliens', 'Comedy', 'Crude', 'Feudal Japan', 'Parody', 'Samurai', 'Sci Fi', 'Shorts', 'Swordplay', 'Violence']",Other,2008,4.37
44,Non Non Biyori Repeat,12,SILVER LINK,"['Based on a Manga', 'Comedy', 'Countryside', 'School Life', 'Slice of Life']",TV,2015,4.37
45,Mahou Shoujo Madoka Magica Movie 1: Hajimari no Monogatari,1,Shaft,"['Fantasy', 'Magic', 'Magical Girl', 'Psychological', 'Recap', 'School Life']",Movie,2012,4.37
46,Puella Magi Madoka Magica the Movie Part 1: Beginnings,1,Shaft,"['Fantasy', 'Magic', 'Magical Girl', 'Psychological', 'Recap', 'School Life']",Movie,2012,4.37
47,One Piece,715+,Toei Animation,"['Action', 'Adventure', 'Based on a Manga', 'Comedy', 'Pirates', 'Shounen', 'Superpowers']",TV,1999,4.37
48,Hajime no Ippo - Mashiba vs Kimura,1,MADHOUSE,"['Boxing', 'Hand to Hand Combat', 'Sports']",OVA,2003,4.37
49,Boruto -Naruto the Movie-,1,Studio Pierrot,"['Based on a Manga', 'Ninja', 'Shounen']",Movie,2015,4.55
50,Mushi-shi -Next Passage- Path of Thorns,2,Artland,"['Fantasy', 'Seinen', 'Supernatural']",TV Special,2014,4.55
51,Mushishi Zoku Shou Special,2,Artland,"['Fantasy', 'Seinen', 'Supernatural']",TV Special,2014,4.55
52,Shingeki no Kyojin,25,Production I.G,"['Action', 'Based on a Manga', 'Fantasy', 'Horror', 'Military', 'Violence']",TV,2013,4.55
53,Attack on Titan,25,Production I.G,"['Action', 'Based on a Manga', 'Fantasy', 'Horror', 'Military', 'Violence']",TV,2013,4.55
54,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Part 2),1,ufotable,"['Based on a Light Novel', 'Mystery', 'Supernatural']",Movie,2009,4.55
55,Great Teacher Onizuka,43,Studio Pierrot,"['Comedy', 'School Life', 'Work Life']",TV,1999,4.55
56,Mononoke Hime,1,Studio Ghibli,"['Action', 'Adventure', 'Environmental', 'Fantasy', 'Japanese Mythology', 'Original Work']",Movie,1997,4.54
57,Princess Mononoke,1,Studio Ghibli,"['Action', 'Adventure', 'Environmental', 'Fantasy', 'Japanese Mythology', 'Original Work']",Movie,1997,4.54
58,Steins;Gate Special,1,WHITE FOX,"['Based on a Visual Novel']",DVD Special,2012,4.54
59,Fate/stay night: Unlimited Blade Works TV,12,ufotable,"['Action', 'Based on an Eroge', 'Based on a Visual Novel', 'Fantasy', 'Magic', 'Superpowers']",TV,2014,4.54
60,Bakuman. (2012),25,J.C.Staff,"['Based on a Manga', 'Drama', 'Manga Industry', 'Otaku Culture', 'Shounen']",TV,2012,4.54
61,Hajime no Ippo Rising,25,MADHOUSE,"['Action', 'Based on a Manga', 'Boxing', 'Drama', 'Hand to Hand Combat', 'Sports']",TV,2013,4.54
62,No Game No Life,12,MADHOUSE,"['Adventure', 'Based on a Light Novel', 'Ecchi', 'Fantasy', 'Person in a Strange World']",TV,2014,4.53
63,Howl's Moving Castle,1,Studio Ghibli,"['Adventure', 'Based on a Novel', 'Family Friendly', 'Fantasy', 'Magic']",Movie,2004,4.53
64,Ano Hi Mita Hana no Namae o Boku-tachi wa Mada Shiranai.,11,A-1 Pictures,"['Coming of Age', 'Drama', 'noitaminA', 'Original Work', 'Romance', 'Supernatural']",TV,2011,4.53
65,Anohana: The Flower We Saw That Day,11,A-1 Pictures,"['Coming of Age', 'Drama', 'noitaminA', 'Original Work', 'Romance', 'Supernatural']",TV,2011,4.53
66,Cowboy Bebop,26,Sunrise,"['Action', 'Adventure', 'Bounty Hunters', 'Drama', 'Drug Use', 'Episodic', 'Original Work', 'Sci Fi', 'Violence', 'Western']",TV,1998,4.53
67,Natsume Yuujinchou San,13,Brains-Base,"['Based on a Manga', 'Drama', 'Episodic', 'Japanese Mythology', 'Slice of Life', 'Supernatural']",TV,2011,4.52
68,Natsume's Book of Friends Season 3,13,Brains-Base,"['Based on a Manga', 'Drama', 'Episodic', 'Japanese Mythology', 'Slice of Life', 'Supernatural']",TV,2011,4.52
69,Haikyuu!!,25,Production I.G,"['Based on a Manga', 'School Club', 'School Life', 'Shounen', 'Sports', 'Tournaments']",TV,2014,4.52
70,Kuinaki Sentaku,2,Wit Studio,"['Action', 'Based on a Manga', 'Explicit Violence', 'Fantasy', 'Military']",OVA,2014,4.52
71,Attack on Titan: No Regrets - Birth of Levi,2,Wit Studio,"['Action', 'Based on a Manga', 'Explicit Violence', 'Fantasy', 'Military']",OVA,2014,4.52
72,Shingeki no Kyojin: Kuinaki Sentaku,2,Wit Studio,"['Action', 'Based on a Manga', 'Explicit Violence', 'Fantasy', 'Military']",OVA,2014,4.52
73,Fate/stay night: Unlimited Blade Works TV 2,13,ufotable,"['Action', 'Based on an Eroge', 'Based on a Visual Novel', 'Fantasy', 'Magic', 'Superpowers']",TV,2015,4.52
74,Food Wars! Shokugeki no Souma,24,J.C.Staff,"['Based on a Manga', 'Comedy', 'Culinary School', 'Ecchi', 'Food and Beverage', 'School Life', 'Shounen']",TV,2015,4.52
75,Shokugeki no Souma,24,J.C.Staff,"['Based on a Manga', 'Comedy', 'Culinary School', 'Ecchi', 'Food and Beverage', 'School Life', 'Shounen']",TV,2015,4.52
76,Ginga Eiyuu Densetsu,110,Kitty Films,"['Based on a Novel', 'Drama', 'Military', 'Outer Space', 'Political', 'Sci Fi', 'Space Opera', 'War']",OVA,1988,4.52
77,Legend of the Galactic Heroes,110,Kitty Films,"['Based on a Novel', 'Drama', 'Military', 'Outer Space', 'Political', 'Sci Fi', 'Space Opera', 'War']",OVA,1988,4.52
78,Death Note,37,MADHOUSE,"['Based on a Manga', 'Detectives', 'Mystery', 'Psychological', 'Shinigami', 'Shounen', 'Supernatural', 'Thriller']",TV,2006,4.52
79,Chihayafuru 2,25,MADHOUSE,"['Based on a Manga', 'Drama', 'Josei', 'Love Triangle', 'Romance', 'School Club', 'School Life', 'Sports', 'Tournaments']",TV,2013,4.52
80,Gintama: Shinyaku Benizakura-hen,1,Sunrise,"['Action', 'Aliens', 'Based on a Manga', 'Comedy', 'Drama', 'Feudal Japan', 'Recap', 'Samurai', 'Sci Fi', 'Swordplay']",Movie,2010,4.51
81,Gintama: The Movie,1,Sunrise,"['Action', 'Aliens', 'Based on a Manga', 'Comedy', 'Drama', 'Feudal Japan', 'Recap', 'Samurai', 'Sci Fi', 'Swordplay']",Movie,2010,4.51
82,Hellsing Ultimate,10,Graphinica,"['Action', 'Based on a Manga', 'Europe', 'Explicit Violence', 'Horror', 'Master-Servant Relationship', 'Vampires']",OVA,2006,4.51
83,Evangelion: 2.0 You Can (Not) Advance,1,Studio Khara,"['Action', 'Drama', 'Mecha', 'Post-apocalyptic', 'Sci Fi']",Movie,2009,4.51
84,Rebuild of Evangelion: 2.0,1,Studio Khara,"['Action', 'Drama', 'Mecha', 'Post-apocalyptic', 'Sci Fi']",Movie,2009,4.51
85,Neon Genesis Evangelion: 2.0 You Can (Not) Advance,1,Studio Khara,"['Action', 'Drama', 'Mecha', 'Post-apocalyptic', 'Sci Fi']",Movie,2009,4.51
86,Zoku Natsume Yuujinchou,13,Brains-Base,"['Based on a Manga', 'Drama', 'Episodic', 'Japanese Mythology', 'Slice of Life', 'Supernatural']",TV,2009,4.51
87,Natsume's Book of Friends Season 2,13,Brains-Base,"['Based on a Manga', 'Drama', 'Episodic', 'Japanese Mythology', 'Slice of Life', 'Supernatural']",TV,2009,4.51
88,Kuroko's Basketball,25,Production I.G,"['Based on a Manga', 'Basketball', 'School Club', 'Shounen', 'Sports', 'Tournaments']",TV,2012,4.5
89,One Piece Movie 10: Strong World,1,Toei Animation,"['Action', 'Adventure', 'Comedy', 'Pirates', 'Shounen']",Movie,2009,4.5
90,When Marnie Was There,1,Studio Ghibli,"['Based on a Novel', 'Coming of Age', 'Drama']",Movie,2014,4.5
91,Omoide no Marnie,1,Studio Ghibli,"['Based on a Novel', 'Coming of Age', 'Drama']",Movie,2014,4.5
92,Major Season 5,25,Studio Hibari,"['Baseball', 'Based on a Manga', 'Drama', 'Shounen', 'Sports']",TV,2009,4.5
93,Fate/stay night: Unlimited Blade Works TV Prologue,1,ufotable,"['Action', 'Fantasy', 'Magic', 'Superpowers']",Other,2014,4.5
94,Barakamon,12,Kinema Citrus,"['Based on a Manga', 'Comedy', 'Countryside', 'Slice of Life']",TV,2014,4.5
95,Mushishi,26,Artland,"['Based on a Manga', 'Episodic', 'Fantasy', 'Seinen', 'Supernatural']",TV,2005,4.49
96,The Girl Who Leapt Through Time,1,MADHOUSE,"['Based on a Novel', 'Romance', 'School Life', 'Sci Fi', 'Slice of Life', 'Time Travel']",Movie,2006,4.49
97,Fullmetal Alchemist: Brotherhood,64,Bones,"['Action', 'Adventure', 'Animal Abuse', 'Based on a Manga', 'Drama', 'Fantasy', 'Military', 'Mystery', 'Violence']",TV,2009,4.71
98,Hagane no Renkinjutsushi (2009),64,Bones,"['Action', 'Adventure', 'Animal Abuse', 'Based on a Manga', 'Drama', 'Fantasy', 'Military', 'Mystery', 'Violence']",TV,2009,4.71
99,Gintama The Movie: The Final Chapter: Be Forever Yorozuya,1,Sunrise,"['Action', 'Aliens', 'Based on a Manga', 'Comedy', 'Drama', 'Feudal Japan', 'Samurai', 'Sci Fi', 'Swordplay', 'Time Travel']",Movie,2013,4.67
100,Gekijouban Gintama Kanketsuhen: Yorozuya yo Eien Nare,1,Sunrise,"['Action', 'Aliens', 'Based on a Manga', 'Comedy', 'Drama', 'Feudal Japan', 'Samurai', 'Sci Fi', 'Swordplay', 'Time Travel']",Movie,2013,4.67
101,Steins;Gate,24,WHITE FOX,"['Based on a Visual Novel', 'LGBT Themes', 'Psychological', 'Sci Fi', 'Thriller', 'Time Travel']",TV,2011,4.66
102,Gintama (2015),29+,BN Pictures,"['Action', 'Aliens', 'Based on a Manga', 'Comedy', 'Crude', 'Drama', 'Feudal Japan', 'Parody', 'Samurai', 'Sci Fi', 'Swordplay']",TV,2015,4.65
103,Gintama,29+,BN Pictures,"['Action', 'Aliens', 'Based on a Manga', 'Comedy', 'Crude', 'Drama', 'Feudal Japan', 'Parody', 'Samurai', 'Sci Fi', 'Swordplay']",TV,2015,4.65
104,Code Geass: Lelouch of the Rebellion R2,25,Sunrise,"['Mecha', 'Original Work', 'Political', 'Psychological', 'Sci Fi', 'Superpowers']",TV,2008,4.64
105,Clannad After Story,24,Kyoto Animation,"['Based on a Visual Novel', 'Comedy', 'Coming of Age', 'Drama', 'Romance']",TV,2008,4.63
106,Hunter x Hunter (2011),148,MADHOUSE,"['Action', 'Adventure', 'Based on a Manga', 'Shounen', 'Superpowers', 'Violence']",TV,2011,4.62
107,Mushishi Zoku Shou 2,10,Artland,"['Based on a Manga', 'Episodic', 'Fantasy', 'Seinen', 'Supernatural']",TV,2014,4.62
108,Gintama (2012),13,Sunrise,"['Action', 'Aliens', 'Based on a Manga', 'Comedy', 'Crude', 'Drama', 'Feudal Japan', 'Parody', 'Samurai', 'Sci Fi', 'Swordplay']",TV,2012,4.62
109,Haikyuu!! Second Season,4+,Production I.G,"['Based on a Manga', 'School Club', 'School Life', 'Sports']",TV,2015,4.62
110,Mushishi Zoku Shou: Suzu no Shizuku,1,Artland,"['Fantasy', 'Seinen', 'Supernatural']",Movie,2015,4.61
111,Ookami Kodomo no Ame to Yuki,1,Studio Chizu,"['Childcare', 'Coming of Age', 'Countryside', 'Fantasy', 'Slice of Life']",Movie,2012,4.61
112,Wolf Children,1,Studio Chizu,"['Childcare', 'Coming of Age', 'Countryside', 'Fantasy', 'Slice of Life']",Movie,2012,4.61
113,Gintama',51,Sunrise,"['Action', 'Aliens', 'Based on a Manga', 'Comedy', 'Crude', 'Drama', 'Feudal Japan', 'Parody', 'Samurai', 'Sci Fi', 'Swordplay']",TV,2011,4.61
114,Suzumiya Haruhi no Shoushitsu,1,Kyoto Animation,"['Drama', 'Psychological', 'Sci Fi', 'Time Travel']",Movie,2010,4.6
115,The Disappearance of Haruhi Suzumiya,1,Kyoto Animation,"['Drama', 'Psychological', 'Sci Fi', 'Time Travel']",Movie,2010,4.6
116,Mushishi Zoku Shou,10,Artland,"['Episodic', 'Fantasy', 'Seinen', 'Supernatural']",TV,2014,4.6
117,Mushi-shi -Next Passage-,10,Artland,"['Episodic', 'Fantasy', 'Seinen', 'Supernatural']",TV,2014,4.6
118,Kuroko's Basketball 3,25,Production I.G,"['Based on a Manga', 'Basketball', 'School Club', 'Shounen', 'Sports', 'Tournaments']",TV,2015,4.59
119,Hajime no Ippo: New Challenger,26,MADHOUSE,"['Action', 'Based on a Manga', 'Boxing', 'Drama', 'Hand to Hand Combat', 'Sports', 'Tournaments']",TV,2009,4.58
120,Code Geass: Lelouch of the Rebellion,25,Sunrise,"['Mecha', 'Original Work', 'Political', 'Psychological', 'Revenge', 'Sci Fi', 'Superpowers']",TV,2006,4.58
121,Kara no Kyoukai Movie 5: Mujun Rasen,1,ufotable,"['Based on a Light Novel', 'Mystery', 'Supernatural']",Movie,2008,4.58
122,Shigatsu wa Kimi no Uso,22,A-1 Pictures,"['Based on a Manga', 'Classical Music', 'Drama', 'Music', 'noitaminA', 'Psychological', 'Romance', 'School Life', 'Tournaments']",TV,2014,4.58
123,Your lie in April,22,A-1 Pictures,"['Based on a Manga', 'Classical Music', 'Drama', 'Music', 'noitaminA', 'Psychological', 'Romance', 'School Life', 'Tournaments']",TV,2014,4.58
124,Fate/Zero 2,12,ufotable,"['Action', 'Based on a Light Novel', 'Fantasy', 'Magic', 'Superpowers', 'Violence']",TV,2012,4.58
125,Kuroko's Basketball 2,25,Production I.G,"['Based on a Manga', 'Basketball', 'School Club', 'Shounen', 'Sports', 'Tournaments']",TV,2013,4.58
126,Mushishi Tokubetsu-hen: Hihamukage,1,Artland,"['Fantasy', 'Seinen', 'Supernatural']",TV Special,2014,4.57
127,Mushishi Special: Sun-Eating Shade,1,Artland,"['Fantasy', 'Seinen', 'Supernatural']",TV Special,2014,4.57
128,Natsume's Book of Friends Season 4,13,Brains-Base,"['Based on a Manga', 'Drama', 'Episodic', 'Japanese Mythology', 'Slice of Life', 'Supernatural']",TV,2012,4.57
129,Natsume Yuujinchou Shi,13,Brains-Base,"['Based on a Manga', 'Drama', 'Episodic', 'Japanese Mythology', 'Slice of Life', 'Supernatural']",TV,2012,4.57
130,Bunny Drop,11,Production I.G,"['Based on a Manga', 'Childcare', 'Drama', 'noitaminA', 'Slice of Life']",TV,2011,4.56
131,Usagi Drop,11,Production I.G,"['Based on a Manga', 'Childcare', 'Drama', 'noitaminA', 'Slice of Life']",TV,2011,4.56
132,Fighting Spirit,76,MADHOUSE,"['Action', 'Based on a Manga', 'Boxing', 'Drama', 'Hand to Hand Combat', 'Shounen', 'Sports']",TV,2000,4.56
133,Hajime no Ippo: The Fighting!,76,MADHOUSE,"['Action', 'Based on a Manga', 'Boxing', 'Drama', 'Hand to Hand Combat', 'Shounen', 'Sports']",TV,2000,4.56
134,Parasyte -the maxim-,24,MADHOUSE,"['Action', 'Aliens', 'Animal Abuse', 'Based on a Manga', 'Body Sharing', 'Bullying', 'Explicit Violence', 'Horror', 'Psychological', 'Sci Fi']",TV,2014,4.56
135,Kiseijuu: Sei no Kakuritsu,24,MADHOUSE,"['Action', 'Aliens', 'Animal Abuse', 'Based on a Manga', 'Body Sharing', 'Bullying', 'Explicit Violence', 'Horror', 'Psychological', 'Sci Fi']",TV,2014,4.56
136,Steins;Gate: Fuka Ryouiki no Dj vu,1,WHITE FOX,"['Based on a Visual Novel', 'Drama', 'Time Travel']",Movie,2013,4.56
137,Steins;Gate The Movie,1,WHITE FOX,"['Based on a Visual Novel', 'Drama', 'Time Travel']",Movie,2013,4.56
138,Monogatari Series: Second Season,26,Shaft,"['Based on a Light Novel']",TV,2013,4.56
139,Sen to Chihiro no Kamikakushi,1,Studio Ghibli,"['Adventure', 'Family Friendly', 'Fantasy', 'Japanese Mythology', 'Magic', 'Original Work', 'Person in a Strange World']",Movie,2001,4.56
140,Spirited Away,1,Studio Ghibli,"['Adventure', 'Family Friendly', 'Fantasy', 'Japanese Mythology', 'Magic', 'Original Work', 'Person in a Strange World']",Movie,2001,4.56
141,To the Forest of Firefly Lights,1,Brains-Base,"['Based on a Manga', 'Coming of Age', 'Japanese Mythology', 'Romance', 'Shoujo', 'Supernatural']",Movie,2011,4.56
142,Hotarubi no Mori e,1,Brains-Base,"['Based on a Manga', 'Coming of Age', 'Japanese Mythology', 'Romance', 'Shoujo', 'Supernatural']",Movie,2011,4.56
143,Rurouni Kenshin: Tsuiokuhen,4,Studio Deen,"['Feudal Japan', 'Romance', 'Samurai', 'Swordplay', 'Violence']",OVA,1999,4.56
144,Samurai X: Trust and Betrayal,4,Studio Deen,"['Feudal Japan', 'Romance', 'Samurai', 'Swordplay', 'Violence']",OVA,1999,4.56
145,Initial D Fifth Stage,14,Synergy SP,"['Action', 'Based on a Manga', 'Cars', 'Drama', 'Racing', 'Seinen', 'Sports']",TV,2012,4.34
146,Kokoro Connect: Michi Random,4,SILVER LINK,"['Based on a Light Novel', 'Drama', 'School Club', 'School Life', 'Supernatural']",TV Special,2012,4.34
147,Kenshin,94,Gallop,"['Action', 'Based on a Manga', 'Feudal Japan', 'Samurai', 'Shounen', 'Swordplay']",TV,1996,4.34
148,Rurouni Kenshin,94,Gallop,"['Action', 'Based on a Manga', 'Feudal Japan', 'Samurai', 'Shounen', 'Swordplay']",TV,1996,4.34
149,Kimi ni Todoke 2nd Season,12,Production I.G,"['Based on a Manga', 'Comedy', 'Drama', 'Romance', 'School Life', 'Shoujo']",TV,2011,4.34
150,Nurarihyon no Mago: Sennen Makyou,24,Studio Deen,"['Action', 'Based on a Manga', 'Demons', 'Monsters', 'Shounen', 'Supernatural']",TV,2011,4.34
151,Nura: Rise of the Yokai Clan: Demon Capital,24,Studio Deen,"['Action', 'Based on a Manga', 'Demons', 'Monsters', 'Shounen', 'Supernatural']",TV,2011,4.34
152,Sekai-ichi Hatsukoi: Yokozawa Takafumi no Baai,1,Studio Deen,"['Comedy', 'Drama', 'LGBT Themes', 'Romance', 'Shounen-ai']",Movie,2014,4.34
153,Detective Conan Movie 6: The Phantom of Baker Street,1,TMS Entertainment,"[]",Movie,2002,4.34
154,Case Closed Movie 6: The Phantom of Baker Street,1,TMS Entertainment,"[]",Movie,2002,4.34
155,Meitantei Conan Movie 6: Baker Street no Bourei,1,TMS Entertainment,"[]",Movie,2002,4.34
156,Tentai Senshi Sunred 2,26,AIC A.S.T.A.,"['Based on a Manga', 'Comedy', 'Monsters', 'Parody']",TV,2009,4.34
157,Eden of the East,11,Production I.G,"['High Stakes Games', 'Mystery', 'noitaminA', 'Original Work']",TV,2009,4.34
158,Higashi no Eden,11,Production I.G,"['High Stakes Games', 'Mystery', 'noitaminA', 'Original Work']",TV,2009,4.34
159,Nana,47,MADHOUSE,"['Based on a Manga', 'Coming of Age', 'Drama', 'Josei', 'Love Triangle', 'Mature Themes', 'Music', 'Rock Music', 'Romance']",TV,2006,4.34
160,Major: Message,1,,"['Baseball', 'Drama', 'Sports']",OVA,2010,4.34
161,Kidou Senshi Gundam Unicorn,7,Sunrise,"['Mecha', 'Sci Fi']",OVA,2010,4.34
162,Mobile Suit Gundam Unicorn,7,Sunrise,"['Mecha', 'Sci Fi']",OVA,2010,4.34
163,Gundam Unicorn,7,Sunrise,"['Mecha', 'Sci Fi']",OVA,2010,4.34
164,Nichijou TV,26,Kyoto Animation,"['Based on a Manga', 'Comedy', 'School Life', 'Slice of Life']",TV,2011,4.34
165,My Ordinary Life,26,Kyoto Animation,"['Based on a Manga', 'Comedy', 'School Life', 'Slice of Life']",TV,2011,4.34
166,Ghost in the Shell: Stand Alone Complex - The Laughing Man,1,Production I.G,"['Cyberpunk', 'Cyborgs', 'Hacking', 'Sci Fi']",Movie,2005,4.34
167,The Secret World of Arrietty,1,Studio Ghibli,"['Based on a Novel', 'Family Friendly', 'Fantasy']",Movie,2010,4.34
168,Karigurashi no Arrietty,1,Studio Ghibli,"['Based on a Novel', 'Family Friendly', 'Fantasy']",Movie,2010,4.34
169,Gin no Saji,11,A-1 Pictures,"['Agriculture', 'Based on a Manga', 'Comedy', 'Coming of Age', 'noitaminA', 'School Life', 'Slice of Life']",TV,2013,4.33
170,Silver Spoon,11,A-1 Pictures,"['Agriculture', 'Based on a Manga', 'Comedy', 'Coming of Age', 'noitaminA', 'School Life', 'Slice of Life']",TV,2013,4.33
171,Detroit Metal City,12,Studio 4C,"['Based on a Manga', 'Comedy', 'Crude', 'Music', 'Rock Music']",OVA,2008,4.33
172,Meitantei Conan: Chinmoku no Quarter,1,TMS Entertainment,"['Action', 'Detectives', 'Mystery']",Movie,2011,4.33
173,Detective Conan Movie 15: Quarter of Silence,1,TMS Entertainment,"['Action', 'Detectives', 'Mystery']",Movie,2011,4.33
174,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,1,Kitty Films,"['Based on a Novel', 'Drama', 'Military', 'Outer Space', 'Political', 'Sci Fi', 'Space Opera', 'War']",Movie,1988,4.33
