ID,Title,Episodes,Producers,Genres,Type,Year,Rating
18,Kuroko no Basket 3rd Season NG-shuu,9,"['Production I.G', 'Bandai Visual']","['Comedy', 'Sports']", Special,2015,8.19
19,Major: Yuujou no Ikkyuu,1,['Xebec'],"['Action', 'Shounen', 'Sports']", Movie,2008,8.19
20,Nurarihyon no Mago: Sennen Makyou,24,"['Studio Deen', 'Yomiuri Telecasting Corporation', 'Viz Media', 'Yomiko Advertising', 'Pony Canyon', 'Toho Company']","['Action', 'Demons', 'Shounen', 'Supernatural']", TV,2011,8.19
21,School Rumble Ni Gakki,26,"['Sotsu Agency', 'Marvelous Entertainment', 'FUNimation Entertainment', 'Studio Comet', 'Studio Jack']","['Comedy', 'Romance', 'School', 'Shounen']", TV,2006,8.19
22,xxxHOLiC Shunmuki,2,"['Production I.G', 'Kodansha']","['Comedy', 'Drama', 'Mystery', 'Psychological', 'Supernatural']", OVA,2009,8.19
23,Mirai Nikki (TV),26,"['FUNimation Entertainment', 'Lantis', 'Kadokawa Shoten', 'Asread', 'Rakuonsha', 'Kadokawa Pictures Japan', 'The Klock Worx', 'chara-ani.com', '12 Diary Holders', 'Dwango', 'Sakura Create']","['Action', 'Mystery', 'Psychological', 'Shounen', 'Supernatural', 'Thriller']", TV,2011,8.19
24,Aria The OVA: Arietta,1,"['Hal Film Maker', 'Right Stuf']","['Fantasy', 'Sci-Fi', 'Slice of Life']", OVA,2007,8.18
25,Cardcaptor Sakura,70,"['Madhouse', 'Geneon Universal Entertainment', 'NHK', 'Kodansha', 'Sogo Vision', 'Nelvana', 'YTV', 'NHK Enterprises', 'NIS America, Inc.']","['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'School', 'Shoujo']", TV,1998,8.18
26,Hanada Shounen-shi,25,"['Madhouse', 'VAP', 'Nippon Television Network Corporation']","['Comedy', 'Drama', 'Slice of Life', 'Supernatural']", TV,2002,8.18
27,ef: A Tale of Memories.,12,"['Shaft', 'Rondo Robe', 'Sentai Filmworks']","['Drama', 'Mystery', 'Romance']", TV,2007,8.18
28,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,1,"['Toei Animation', 'EMI']","['Adventure', 'Drama', 'Music', 'Sci-Fi']", Music,2003,8.18
29,Kara no Kyoukai: Mirai Fukuin,1,"['ufotable', 'Aniplex of America', 'Notes']","['Drama', 'Mystery', 'Seinen', 'Supernatural']", Movie,2013,8.17
30,Ashita no Joe,79,['Mushi Productions'],"['Drama', 'Sports']", TV,1970,8.17
31,Initial D First Stage,26,"['Studio Gallop', 'OB Planning', 'FUNimation Entertainment', 'Studio Comet', 'Fuji TV']","['Action', 'Cars', 'Drama', 'Seinen', 'Sports']", TV,1998,8.17
32,Dragon Ball,153,"['Toei Animation', 'FUNimation Entertainment', 'Fuji TV']","['Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen', 'Super Power']", TV,1986,8.17
33,Mirai Shounen Conan,26,['Nippon Animation'],"['Adventure', 'Drama', 'Sci-Fi']", TV,1978,8.17
34,Juuni Kokuki,45,"['Studio Pierrot', 'Sogo Vision', 'Media Blasters', 'TOKYOPOP']","['Action', 'Adventure', 'Fantasy', 'Magic', 'Supernatural']", TV,2002,8.17
35,Junjou Romantica,12,"['Studio Deen', 'Frontier Works', 'Right Stuf', 'Memory-Tech']","['Comedy', 'Drama', 'Romance', 'Shounen Ai']", TV,2008,8.17
36,One Piece Film: Strong World Episode 0,1,['Toei Animation'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Super Power']", OVA,2010,8.17
37,Black Lagoon: Roberta's Blood Trail,5,"['Madhouse', 'Geneon Universal Entertainment', 'FUNimation Entertainment']","['Action', 'Seinen']", OVA,2010,8.16
38,Slayers Next,26,"['FUNimation Entertainment', 'SoftX', 'Easy Film', 'E&G Films']","['Adventure', 'Comedy', 'Demons', 'Fantasy', 'Magic', 'Shounen']", TV,1996,8.17
39,Overlord,13,"['Madhouse', 'FUNimation Entertainment']","['Action', 'Adventure', 'Fantasy', 'Game', 'Supernatural']", TV,2015,8.17
40,Ookiku Furikabutte,25,"['Aniplex', 'A-1 Pictures', 'FUNimation Entertainment', 'Mainichi Broadcasting', 'TBS', 'Kodansha', 'Movic', 'Rakuonsha']","['Comedy', 'Sports']", TV,2007,8.17
41,There She Is!!,5,['SamBakZa'],"['Comedy', 'Romance']", ONA,2003,8.17
42,Paprika,1,"['Madhouse', 'Sony Pictures Entertainment', 'Cyclone Graphics inc']","['Fantasy', 'Horror', 'Mystery', 'Psychological', 'Sci-Fi', 'Thriller']", Movie,2006,8.17
43,Tiger & Bunny,25,"['Sunrise', 'Viz Media']","['Action', 'Comedy', 'Mystery', 'Super Power']", TV,2011,8.17
44,Detective Conan Movie 15: Quarter of Silence,1,"['Shogakukan Productions', 'Tokyo Movie Shinsha', 'Toho Company']","['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']", Movie,2011,8.15
45,Ginga Sengoku Gunyuuden Rai,52,"['TV Tokyo', 'SoftX', 'E&G Films']","['Adventure', 'Romance', 'Sci-Fi', 'Shounen', 'Space']", TV,1994,8.16
46,Ginga Nagareboshi Gin,21,"['Toei Animation', 'TV Asahi']","['Action', 'Adventure', 'Drama', 'Shounen']", TV,1986,8.16
47,Perfect Blue,1,['Madhouse'],"['Dementia', 'Drama', 'Horror', 'Psychological']", Movie,1998,8.16
48,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,1,['Madhouse'],"['Action', 'Historical', 'Military', 'Sci-Fi', 'Space']", Movie,1988,8.16
49,K-On!!,26,"['Kyoto Animation', 'Pony Canyon', 'TBS', 'Movic', 'Rakuonsha', 'Sentai Filmworks', 'Animation Do']","['Comedy', 'Music', 'School', 'Slice of Life']", TV,2010,8.16
50,Dragon Ball Z,291,"['Toei Animation', 'FUNimation Entertainment', 'Fuji TV']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen', 'Super Power']", TV,1989,8.32
51,Kimi to Boku. 2,13,"['J.C.Staff', 'TV Tokyo', 'Aniplex', 'Square Enix', 'NAS', 'Movic', 'Kimi To Boku Production Partners']","['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Slice of Life']", TV,2012,8.16
52,Junjou Romantica 2,12,"['Studio Deen', 'Frontier Works', 'Right Stuf', 'Memory-Tech']","['Comedy', 'Drama', 'Romance', 'Shounen Ai']", TV,2008,8.32
53,Yowamushi Pedal: Grande Road,24,"['TMS Entertainment', 'Discotek', 'TOHO animation']","['Comedy', 'Drama', 'Shounen', 'Sports']", TV,2014,8.32
54,Detroit Metal City,12,"['Studio 4C', 'Sentai Filmworks', 'Sony Music Entertainment']","['Comedy', 'Music']", OVA,2008,8.31
55,Diamond no Ace: Second Season,  Unknown,"['Production I.G', 'Madhouse', 'TV Tokyo']","['Comedy', 'School', 'Shounen', 'Sports']", TV,2015,8.3
56,Eve no Jikan,6,"['Studio Rikka', 'Directions', 'Code', 'Trick Block']","['Sci-Fi', 'Slice of Life']", ONA,2008,8.32
57,Detective Conan Movie 14: The Lost Ship in the Sky,1,"['Shogakukan Productions', 'Tokyo Movie Shinsha']","['Action', 'Mystery', 'Police', 'Shounen']", Movie,2010,8.3
58,Gankutsuou,24,"['Gonzo', 'Geneon Universal Entertainment', 'GDH', 'TV Asahi', 'FUNimation Entertainment', 'Media Factory']","['Drama', 'Mystery', 'Sci-Fi', 'Supernatural', 'Thriller']", TV,2004,8.32
59,Neon Genesis Evangelion,26,"['Gainax', 'TV Tokyo', 'ADV Films', 'Kadokawa Shoten', 'NAS']","['Action', 'Dementia', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi']", TV,1995,8.32
60,Kaiba,12,"['Madhouse', 'VAP', 'WOWOW']","['Adventure', 'Mystery', 'Romance', 'Sci-Fi']", TV,2008,8.31
61,Hajime no Ippo: Mashiba vs. Kimura,1,['Madhouse'],"['Comedy', 'Shounen', 'Sports']", OVA,2003,8.3
62,Nodame Cantabile Paris Hen,11,"['J.C.Staff', 'Fuji TV', 'Asmik Ace Entertainment', 'Sony Music Entertainment']","['Comedy', 'Josei', 'Music', 'Romance', 'Slice of Life']", TV,2008,8.31
63,Gyakkyou Burai Kaiji: Hakairoku Hen,26,"['Madhouse', 'VAP', 'Nippon Television Network Corporation']","['Game', 'Psychological', 'Seinen', 'Thriller']", TV,2011,8.31
64,xxxHOLiC Rou,2,"['Production I.G', 'Kodansha']","['Mystery', 'Supernatural']", OVA,2010,8.3
65,Zankyou no Terror,11,"['Aniplex', 'Dentsu', 'FUNimation Entertainment', 'Fuji TV', 'MAPPA', 'Tohokushinsha Film Corporation']","['Psychological', 'Thriller']", TV,2014,8.31
66,Kaichou wa Maid-sama!,26,"['J.C.Staff', 'Geneon Universal Entertainment', 'TBS', 'Hakusensha', 'Half H.P Studio', 'Sentai Filmworks']","['Comedy', 'Romance', 'School', 'Shoujo']", TV,2010,8.3
67,Darker than Black: Kuro no Keiyakusha,25,"['Bones', 'Aniplex', 'Square Enix', 'FUNimation Entertainment', 'Mainichi Broadcasting', 'Movic']","['Action', 'Mystery', 'Sci-Fi', 'Super Power']", TV,2007,8.3
68,Akatsuki no Yona,24,"['Studio Pierrot', 'FUNimation Entertainment', 'Hakusensha', 'AT-X', 'Marvelous AQL', 'Tokyo MX']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Shoujo']", TV,2014,8.29
69,Cardcaptor Sakura Movie 2: The Sealed Card,1,"['Madhouse', 'Bandai Visual', 'Kodansha', 'Shelty', 'Nelvana', 'NHK Enterprises', 'Amber Film Works']","['Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Shoujo']", Movie,2000,8.29
70,Gintama: Shinyaku Benizakura-hen Special,1,['Sunrise'],"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']", Special,2010,8.29
71,Saint Seiya: Meiou Hades Juuni Kyuu-hen,13,['Toei Animation'],"['Adventure', 'Sci-Fi', 'Shounen']", OVA,2002,8.29
72,Tsukimonogatari,4,"['Aniplex', 'Shaft']","['Comedy', 'Mystery', 'Supernatural']", TV,2014,8.29
73,Baby Steps 2nd Season,25,"['Studio Pierrot', 'NHK', 'NHK Enterprises']","['Romance', 'School', 'Shounen', 'Sports']", TV,2015,8.28
74,Detective Conan Movie 05: Countdown to Heaven,1,"['TMS Entertainment', 'FUNimation Entertainment', 'Kyokuichi Tokyo Movie Shinsha']","['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']", Movie,2001,8.28
75,Diamond no Ace,75,"['Production I.G', 'Madhouse', 'TV Tokyo', 'Pony Canyon', 'Kodansha', 'AT-X', 'DAX Production']","['Comedy', 'School', 'Shounen', 'Sports']", TV,2013,8.28
76,Initial D Final Stage,4,"['Avex Entertainment', 'SynergySP']","['Cars', 'Seinen', 'Sports']", TV,2014,8.28
77,Kaze Tachinu,1,['Studio Ghibli'],"['Drama', 'Historical', 'Romance']", Movie,2013,8.28
78,Kill la Kill,24,"['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Mainichi Broadcasting', 'Movic', 'Aniplex of America', 'Ultra Super Pictures', 'Trigger', 'Lucent Pictures Entertainment']","['Action', 'Comedy', 'School', 'Super Power']", TV,2013,8.28
79,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,1,"['Toei Animation', 'Fuji TV']","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Super Power']", Special,2012,8.28
80,Shijou Saikyou no Deshi Kenichi,50,"['TV Tokyo', 'Tokyo Movie Shinsha', 'TMS Entertainment', 'FUNimation Entertainment']","['Action', 'Comedy', 'Martial Arts', 'School', 'Shounen']", TV,2006,8.28
81,Yuusha-Ou GaoGaiGar Final,8,['Sunrise'],"['Adventure', 'Drama', 'Mecha', 'Sci-Fi', 'Shounen']", OVA,2000,8.28
82,Tsubasa: Shunraiki,2,"['Production I.G', 'FUNimation Entertainment', 'Kodansha']","['Action', 'Adventure', 'Drama', 'Fantasy', 'Magic', 'Mystery', 'Romance', 'Shounen', 'Supernatural']", OVA,2009,8.28
83,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,1,['Tokuma Shoten'],"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']", Movie,1993,8.27
84,LovelyComplex,24,"['Toei Animation', 'TBS', 'TAP', 'Discotek', 'Sony Music Entertainment']","['Comedy', 'Romance', 'Shoujo']", TV,2007,8.27
85,Noragami Aragoto,  Unknown,"['Bones', 'FUNimation Entertainment', 'Ai Addiction', 'Avex Pictures']","['Action', 'Adventure', 'Shounen', 'Supernatural']", TV,2015,8.26
86,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,1,"['Aniplex', 'A-1 Pictures', 'Aniplex of America']","['Drama', 'Slice of Life', 'Supernatural']", Movie,2013,8.27
87,Full Metal Panic? Fumoffu,12,"['Kyoto Animation', 'ADV Films', 'FUNimation Entertainment']","['Action', 'Comedy', 'School']", TV,2003,8.26
88,Detective Conan,  Unknown,"['TMS Entertainment', 'Yomiuri Telecasting Corporation', 'FUNimation Entertainment', 'Animax', 'YTV', 'TMS-Kyokuchi']","['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']", TV,1996,8.26
89,Detective Conan Movie 08: Magician of the Silver Sky,1,['TMS Entertainment'],"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']", Movie,2004,8.26
90,Mobile Suit Gundam 00,25,"['Sunrise', 'Sotsu Agency', 'Asatsu DK', 'Mainichi Broadcasting', 'Bandai Entertainment', 'Sony Music Entertainment']","['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']", TV,2007,8.27
91,"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari",24,"['Artland', 'Kitty Films', 'Tokuma Shoten']","['Action', 'Military', 'Sci-Fi', 'Space']", OVA,1998,8.26
92,Maison Ikkoku,96,"['Studio Deen', 'Kitty Films']","['Comedy', 'Drama', 'Romance', 'Slice of Life']", TV,1986,8.26
93,Gosick,24,"['Bones', 'TV Tokyo', 'Kadokawa Shoten', 'The Klock Worx', 'Memory-Tech', 'NTT Docomo']","['Drama', 'Historical', 'Mystery', 'Romance']", TV,2011,8.26
94,Kara no Kyoukai 3: Tsuukaku Zanryuu,1,"['ufotable', 'Aniplex of America', 'Notes']","['Action', 'Drama', 'Mystery', 'Supernatural', 'Thriller']", Movie,2008,8.26
95,Kuragehime,11,"['FUNimation Entertainment', 'Brains Base', 'Fuji TV', 'Asmik Ace Entertainment', 'Sony Music Entertainment', 'Sakura Create', 'Fuji Pacific Music Publishing']","['Comedy', 'Josei', 'Slice of Life']", TV,2010,8.26
96,Majo no Takkyuubin,1,"['Studio Ghibli', 'Studio Hibari', 'Walt Disney Studios', 'GKids']","['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance']", Movie,1989,8.26
97,Mobile Suit Gundam: The Origin,4,['Sunrise'],"['Action', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']", OVA,2015,8.26
98,Ookiku Furikabutte: Natsu no Taikai Hen,13,"['Aniplex', 'A-1 Pictures', 'Mainichi Broadcasting', 'TBS', 'Kodansha', 'Movic', 'Rakuonsha', 'Right Stuf']","['Comedy', 'Sports']", TV,2010,8.26
99,Sakasama no Patema,1,"['Studio Rikka', 'Directions', 'Asmik Ace Entertainment', 'Purple Cow Studio Japan', 'Good Smile Company']","['Sci-Fi', 'Seinen']", Movie,2013,8.26
100,Seirei no Moribito,26,"['Production I.G', 'Viz Media', 'Media Blasters', 'NHK Enterprises', 'Atelier Musa']","['Action', 'Adventure', 'Fantasy', 'Historical']", TV,2007,8.26
101,Zoku Natsume Yuujinchou,13,"['Aniplex', 'Brains Base', 'NIS America, Inc.']","['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']", TV,2009,8.66
102,Kiseijuu: Sei no Kakuritsu,24,"['Madhouse', 'VAP', 'Sentai Filmworks', 'Nippon Television Network Corporation']","['Action', 'Drama', 'Horror', 'Psychological', 'Sci-Fi', 'Seinen']", TV,2014,8.65
103,Rainbow: Nisha Rokubou no Shichinin,26,"['Madhouse', 'VAP', 'FUNimation Entertainment', 'Nippon Television Network Corporation']","['Drama', 'Historical', 'Seinen', 'Thriller']", TV,2010,8.65
104,Hellsing Ultimate,10,"['Madhouse', 'Geneon Universal Entertainment', 'Satelight', 'FUNimation Entertainment', 'StudioRF Inc.', 'Graphinica']","['Action', 'Horror', 'Military', 'Seinen', 'Supernatural', 'Vampire']", OVA,2006,8.64
105,Steins;Gate: Fuka Ryouiki no Dj vu,1,"['Frontier Works', 'FUNimation Entertainment', 'Media Factory', 'Movic', 'AT-X', 'White Fox', 'Kadokawa Pictures Japan', 'Mages']","['Sci-Fi', 'Thriller']", Movie,2013,8.64
106,Yojouhan Shinwa Taikei,11,"['Madhouse', 'Dentsu', 'FUNimation Entertainment', 'Kadokawa Shoten', 'Fuji TV', 'Toho Company', 'Asmik Ace Entertainment', 'Sony Music Entertainment', 'Fuji Pacific Music Publishing']","['Mystery', 'Psychological', 'Romance']", TV,2010,8.65
107,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),1,"['ufotable', 'Aniplex of America', 'Notes']","['Action', 'Mystery', 'Romance', 'Supernatural', 'Thriller']", Movie,2009,8.62
108,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,24,"['Yomiko Advertising', 'David Production', 'Warner Bros.', 'The Klock Worx']","['Action', 'Adventure', 'Shounen']", TV,2015,8.62
109,One Punch Man,12,"['Madhouse', 'TV Tokyo', 'Viz Media']","['Action', 'Comedy', 'Parody', 'Sci-Fi', 'Seinen', 'Super Power', 'Supernatural']", TV,2015,8.63
110,Major S5,25,"['NHK', 'SynergySP']","['Comedy', 'Drama', 'Romance', 'Sports']", TV,2009,8.61
111,Uchuu Kyoudai,99,"['Aniplex', 'Dentsu', 'A-1 Pictures', 'YTV', 'Sentai Filmworks', 'Japan Aerospace Exploration Agency', 'Trinity Sound']","['Comedy', 'Sci-Fi', 'Seinen', 'Slice of Life', 'Space']", TV,2012,8.62
112,Gintama Movie: Shinyaku Benizakura-hen,1,"['Sunrise', 'TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Sentai Filmworks', 'Warner Bros.']","['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']", Movie,2010,8.6
113,Evangelion: 2.0 You Can (Not) Advance,1,"['Gainax', 'Studio Khara', 'FUNimation Entertainment', 'The Klock Worx']","['Action', 'Mecha', 'Sci-Fi']", Movie,2009,8.62
114,One Piece,  Unknown,"['Toei Animation', 'FUNimation Entertainment', 'Fuji TV', '4Kids Entertainment', 'TAP']","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Super Power']", TV,1999,8.62
115,Hotaru no Haka,1,"['Studio Ghibli', 'ADV Films', 'Central Park Media', 'Sentai Filmworks']","['Drama', 'Historical']", Movie,1988,8.6
116,Kingdom 2nd Season,39,"['Studio Pierrot', 'NHK']","['Action', 'Historical', 'Military', 'Seinen']", TV,2013,8.6
117,Uchuu Senkan Yamato 2199,26,"['Xebec', 'AIC']","['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']", OVA,2012,8.6
118,Baccano!,13,"['Aniplex', 'FUNimation Entertainment', 'Brains Base', 'Aniplex of America', 'Sakura Create', 'Happinet Pictures']","['Action', 'Comedy', 'Historical', 'Mystery', 'Seinen', 'Supernatural']", TV,2007,8.59
119,Nana,47,"['Madhouse', 'VAP', 'Viz Media', 'Nippon Television Network Corporation']","['Comedy', 'Drama', 'Music', 'Romance', 'Shoujo', 'Slice of Life']", TV,2006,8.59
120,Usagi Drop,11,"['Production I.G', 'Fuji TV', 'NIS America, Inc.', 'Sony Music Entertainment', 'Sakura Create', 'Fuji Pacific Music Publishing']","['Josei', 'Slice of Life']", TV,2011,8.59
121,Cross Game,50,"['TV Tokyo', 'Shogakukan Productions', 'SynergySP']","['Comedy', 'Drama', 'Romance', 'School', 'Sports']", TV,2009,8.58
122,Fate/Zero,13,"['Aniplex', 'ufotable', 'Nitroplus', 'Aniplex of America', 'seikaisha', 'Notes']","['Action', 'Fantasy', 'Supernatural']", TV,2011,8.57
123,Ghost in the Shell: Stand Alone Complex 2nd GIG,26,"['Production I.G', 'Bandai Visual', 'Dentsu', 'Victor Entertainment', 'Bandai Entertainment', 'Tokuma Shoten']","['Action', 'Mecha', 'Military', 'Mystery', 'Police', 'Sci-Fi', 'Seinen']", TV,2004,8.57
124,Mahou Shoujo MadokaMagica,12,"['Aniplex', 'Shaft', 'Mainichi Broadcasting', 'Movic', 'Nitroplus', 'Aniplex of America', 'Madoka Partners', 'Houbunsha']","['Drama', 'Magic', 'Psychological', 'Thriller']", TV,2011,8.57
125,Chihayafuru 2,25,"['Madhouse', 'VAP', 'Nippon Television Network Corporation']","['Drama', 'Game', 'Josei', 'Slice of Life', 'Sports']", TV,2013,8.56
126,Gintama: Yorinuki Gintama-san on Theater 2D,2,['Sunrise'],"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']", Movie,2012,8.56
127,Magi: The Kingdom of Magic,25,"['Aniplex', 'Dentsu', 'A-1 Pictures', 'Shogakukan Productions', 'Mainichi Broadcasting', 'Movic', 'Aniplex of America']","['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']", TV,2013,8.56
128,Major: World Series,2,['SynergySP'],"['Comedy', 'Drama', 'Sports']", OVA,2011,8.56
129,Bakuman. 2,25,"['J.C.Staff', 'NHK', 'Media Blasters', 'NHK Enterprises']","['Comedy', 'Drama', 'Romance', 'Shounen']", TV,2011,8.55
130,Mahou Shoujo MadokaMagica Movie 3: Hangyaku no Monogatari,1,"['Aniplex', 'Shaft', 'Mainichi Broadcasting', 'Movic', 'Nitroplus', 'Aniplex of America', 'Madoka Partners', 'Houbunsha']","['Drama', 'Magic', 'Psychological', 'Thriller']", Movie,2013,8.56
131,Kuroko no Basket,25,"['Production I.G', 'Bandai Visual', 'Lantis', 'NAS', 'Mainichi Broadcasting', 'Banpresto']","['Comedy', 'School', 'Shounen', 'Sports']", TV,2012,8.55
132,JoJo no Kimyou na Bouken (TV),26,"['Yomiko Advertising', 'David Production', 'Warner Bros.', 'The Klock Worx']","['Action', 'Adventure', 'Shounen', 'Supernatural']", TV,2012,8.55
133,Slam Dunk,101,"['Toei Animation', 'TV Asahi', 'FUNimation Entertainment', 'Animax']","['Comedy', 'Drama', 'School', 'Shounen', 'Sports']", TV,1993,8.56
134,Mahou Shoujo MadokaMagica Movie 2: Eien no Monogatari,1,"['Aniplex', 'Shaft', 'Mainichi Broadcasting', 'Movic', 'Nitroplus', 'Aniplex of America', 'Madoka Partners', 'Houbunsha']","['Drama', 'Magic', 'Psychological', 'Thriller']", Movie,2012,8.55
135,No Game No Life,12,"['Madhouse', 'Media Factory', 'Sentai Filmworks']","['Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Game', 'Supernatural']", TV,2014,8.55
136,Shingeki no Kyojin: Kuinaki Sentaku,2,['Wit Studio'],"['Action', 'Fantasy', 'Shoujo', 'Supernatural']", OVA,2014,8.53
137,Barakamon,12,"['VAP', 'FUNimation Entertainment', 'Kinema Citrus', 'Nippon Television Network Corporation']","['Comedy', 'Slice of Life']", TV,2014,8.53
138,Mushishi Zoku Shou: Odoro no Michi,1,"['Artland', 'Aniplex']","['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']", Special,2014,8.54
139,Nichijou,26,"['Kyoto Animation', 'Lantis', 'Kadokawa Shoten', 'Movic', 'Rakuonsha', 'Bandai Entertainment', 'Kadokawa Pictures Japan', 'The Klock Worx', 'Animation Do']","['Comedy', 'School', 'Slice of Life']", TV,2011,8.53
140,Fate/stay night: Unlimited Blade Works (TV),12,"['Aniplex', 'ufotable', 'Aniplex of America', 'Notes']","['Action', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']", TV,2014,8.52
141,Shinsekai yori,25,"['Aniplex', 'TV Asahi', 'A-1 Pictures', 'Pony Canyon', 'Sentai Filmworks']","['Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Supernatural']", TV,2012,8.55
