id,title,category,brand,modelno,price,proddescrlong
11,draper high contrast grey targa electric screen - widescreen 182 diagonal,electronics - general,draper,116263,1730.95,dr5377targa electric projection screen. ideal for auditoriums and lecture halls hospitals hotels churches boardrooms and conference rooms. the motor is mounted inside the roller for a trim balanced appearance. pentagonal steel case is scratch-resistant white polyester finish with matching endcaps. features now available in 16 10 and 15 9 laptop presentation formats screen operates instantly at the touch of a button and stops automatically in the up and down positions. viewing surface can be lowered to any position at the touch of a switch. ntsc hdtv and widescreen format screens have black borders on all four sides available with a ceiling trim kit for ceiling recessed installation. with control options it can be operated from any remote location. depending on surface available in sizes through 16 x 16 and 240 ntsc. custom sizes available. warranted for one year against defects in materials and workmanship. screen material high contrast grey grey textile backed surface offers excellent resolution while enhancing the blacks of lcd and dlp projected images even as whites and lighter colors are maintained. performs well in ambient light condition. high contrast grey s lower gain of 0.8 allows use with even the brightest projectors viewing cone of 180 . available on most non-tensioned motorized and manual screens seamless in sizes up to 8 in height. peak gain of 0.8.
12,draper at1200 access multiview series e acoustically transparent screen - 106 diagonal hdtv to ntsc format,electronics - general,draper,106018,4375.95,dr7989the access multiview series e offers total flexibility. one screen two formats. ceiling-recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection. features ceiling-recessed motorized projection screen with independently motorized masking system installed in the same case for dual format projection. flat black mask on second motor-in-roller converts the projection screen to a 4 3 ntsc format by masking the right and left sides of the viewing surface. height of viewing surface remains constant. custom sizes available screen material at1200 innovative and versatile acoustically transparent screen material. similar in gain performance to standard matt white. acoustical properties comparable to the finest speaker grille cloth. peak gain of 1.0.
13,stanley 500 watt power inverter,electronics - general,stanley,pc509,34.88,500 watts of continuous power 2 110 power outlets and a usb outlet 4 position mounting grommets includes battery clamps and dc plug
14,gear head quick 1.3mp webcam with night vision red black,electronics - general,gear head,wc1200red,15.98,gear head 1.3mp webcam up to 1.3 megapixel image capture 640 x 480 video resolution built-in snapshot and microphone night vision led technology desktop or laptop mount includes 6 usb cable interpolation software cd user manual and warranty information system requirements windows 2000 xp vista or 7 available usb port cd-rom drive for software installation
15,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack,stationery &amp; office machinery,avery,5029,21.47,avery self-adhesive filing labels clear 1 3 cut filing labels create as custom look clear labels virtually disappear on tabs labels come in a pack of 450 labels are 3-7 16
16,xfx radeon hd6850 pcie 1gb ddr5 graphics card,electronics - general,xfx,hd685xzndc,195.0,amd radeon hd6850 pcie 1gb ddr5 graphics card 800 mhz gpu core clock 4200 mhz memory speed 2gb gddr5 amd hd3d technology amd crossfirex multi-gpu support pci-e 2.1 bus support microsoft directx 11 support amd eyefinity technology capable of up to 3 displays 40 nanometer process technology 3rd generation terascale engine amd powerplay technology enhanced unified video decoder enhanced internet browser application support enhanced microsoft office 2010 support hdmi 1.4a with support for stereoscopic 3d deep color and xvycc extended gamut built-in displayport 1.2
17,skb cases ph series pull handle case 11 1 2 h x 21 5 8 w x 16 3 8 d outside,electronics - general,skb cases,3skb-1914mr,214.99,sk1027telescoping retractable pull-handle convenience combined with maximum strength and durability help this line of skb transit cases set a new industry standard. molded of high density polyethylene with designed-in roller-blade style wheels. molded-in bumpers defend these cases from impact damage. features -cases are molded of durable impact resistent high-density polyethylene -convenient retractable pull-handle -quiet durable roller-blade style wheels -molded in protective bumpers protect case hardware -heavy-duty buckle latch system -comfortable spring loaded side handles dimensions -outside dimensions 11 1 2 h x 21 5 8 w x 16 3 8 d -inside dimensions 10 h x 19 3 8 w x 14 d -lid depth 4 -base depth 6 about skb cases in 1977 the first skb case was manufactured in a small anaheim california garage. today skb engineers provide cases for hundreds of companies involved in many diverse industries. we enter the new millennium with a true sense of accomplishment for the 2 decades of steady growth and for our adherence to quality standards that make us industry leaders. we never lose sight of the fact that our customers give us the opportunity to excel and their challenges allow us to develop and grow. we are grateful for their trust and loyalty and we remain dedicated to the assurance that every case with an skb logo has been manufactured with an unconditional commitment to unsurpassed quality. the million mile guaranty - every skb hardshell case is unconditionally guaranteed forever. that means if you break it we will repair or replace it at no cost to you. skb cases have been on the road since 1977 and have spent a good deal of time flying equipment for military combat operations. these are tough cases built for a lifetime of service. the manufacturing process the evolution components and construction of skb cases. the unique styling construction materials and engineering of skb cases were the result of many years of research and development by the principle owners of the company. today dave sanderson and steve kottman run skb corporation s more than 550 employees in 3 manufacturing facilities around the clock in order to meet the global demands. currently skb manufactures cases for military industrial purposes the music pro audio industry and sports cases. - skb cases are manufactured of ultra-high molecular weight polyethylene. this unique material was originally specified by the military for use in weapons cases due to the fact that it is impervious to solvents fuels or toxic liquids. it is essentially indestructible molds easily under heat and forms an impenetrable shield thereby protecting whatever it is contains. - skb also utilizes aluminum valance material for its strength and lightweight characteristics on all closures with a special slot for a custom fitted neoprene gasket that assists in sealing out moisture. skb does all this valance bending in house to assure a perfect fit. - all riveting on skb cases utilizes steel backing plates to prevent pulling through the plastic material. this is an skb invention. this attention to detail is one of many factors that make skb cases superior to all others. - handles wheels d-rings exterior feet cam-action locking latches and butterfly clamps are all heavy duty variety and are also covered under the exclusive skb lifetime warranty unless abused. some of the handles and latches are manufactured by skb from plastic regrind . plus skb has their own investment casting facility for making latches and hardware. - rack mount cases utilize aluminum rack frames and include specially designed rack clips and mounting screws for installation of equip
18,innovera cd dvd pocket with built-in label tab clear 25 pack,storage,innovera,39701,5.28,innovera 25pk cd dvd pocket with built-in label tab clear cd pocket with built-in tab for adhesive id labels tuck-in flap keeps cds secure fits most standard cd storage units durable construction deters moisture and dust and helps keep cds clean 30 adhesive labels included
19,hp 80 ink printhead printhead cleaner black c4890a,stationery &amp; office machinery,hp,c4890a,268.79,hp 80 ink printhead printhead cleaner print cartridge printhead and printhead cleaner available in black cyan magenta and yellow printing technology inkjet for use with hp designjet 1050c and 1055cm printers yields up to 4400 pages
20,mead spiral bound notebook college rule,stationery &amp; office machinery,mead,6622,3.88,mead spiral bound notebook 3-hole punched college rule sheet size 8 100 sheets pad assorted color covers
21,iogear 2-port miniview micro usb plus kvm switch,networking,iogear,gcs632uw6,37.57,iogear 2-port miniview micro usb plus kvm switch 2 x usb ports 6 molded-in cables simplify setup full support for mac and sun systems port selection through hot keys usb sniffing technology for error-free boot-up plug and play monitor support built-in autoscan mode
22,quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame,stationery &amp; office machinery,quartet,2305,91.44,quartet cork bulletin board self-healing cork durable frame with heavy-duty mounting system perfect for school home or office use
23,avery shipping labels for color laser copier 3-3 4 x 4-3 4 matte white 100 pack,stationery &amp; office machinery,avery,,16.67,avery shipping labels for color laser and copier matte white 300 set matte white mailing labels provide vivid color and sharp text for brilliant high-resolution color images guaranteed printer performance in hp canon epson and other popular printers set of 300 labels
24,aluratek deluxe leather travel case for the libre ebook reader pro,mp3 accessories,aluratek,2782753,23.1,aluratek deluxe leather travel case for the libre ebook reader pro premium quality hand-stitched leather held securely with outside magnetic clasp securely holds the ebook reader in place with flexible straps on top and bottom lightweight and compact for easy travel sturdy and stylish black leather exterior protects the libre soft suede interior protects screen from scratches built-in pockets in inside flap compatible with aluratek libre pro
25,hp ce278a black laserjet print cartridge,printers,hp,hp ce278a,69.84,hp ce278a black laserjet print cartridge 1 print cartridge color black printing technology laserjet compatibility pc page yield about 2100 standard pages
26,cyber power pfc 1000va lcd sinewave adaptive intelligent ups,electronics - general,cyberpower,cp1000pfclcd,151.0,cyber power pfc 1000va lcd sinewave adaptive intelligent ups intelligent lcd diagnostic display automatic voltage regulation reduced energy costs and reduced heat ultra-quiet tamper-proof power button usb connectivity emi rfi filters audible alarms
27,tribeca dallas cowboys 15 sleeve for macbook pros,electronics - general,tribeca,fva2868,31.88,tribeca dallas cowboys 15 laptops shock absorbing neoprene front storage pockets team dallas cowboys
28,tablemate plastic dinnerware 6 inch plates 125pk,house wares,,6644wh,18.97,6 inch white disposable dinnerware sturdy
29,vantec nexstar mx dual 3.5 sata hard drive enclosure,electronics - general,vantec,nst-400mx-s2,49.71,vantec nexstar mx dual 3.5 sata hard drive enclosure supports dual sata i ii hard drives up to 2.0tb of storage supports 4 different configuration modes jbod individual raid 0 and raid 1 usb 2.0 interface allows you to transfer data up to 480mbps esata interface allows you to transfer data up to 3gbps front ventilation and rear fan provide better air circulation and cooling stylish aluminum case to draw away the heat arcsoft totalmedia backup software
30,fujifilm instax mini twin pack film,film cameras,fuji,mini film 2pk,20.28,fujifilm instax mini twin pack film film speed iso 800 30 degrees color daylight type 5500k number of photos per pack 10 film size 86mm x 108mm image size 62mm x 99mm finish glossy compatible with the fujifilm instax mini 7s
31,chicago bears camera case,electronics - general,tribeca,fva2782,19.99,capture that special moment and slip your camera in this chicago bears camera case before the next big play. made of high soft lining protects camera optics and lcd pockets for memory cards and accessories belt loop and removable shoulder strap officially licensed by the nfl
32,da-lite da-mat deluxe fast fold complete front projection screen - 68 x 68,electronics - general,da-lite,88604,829.99,dl8469 fast-fold deluxe screen system features deluxe fast-fold frame and legs are constructed of sturdy 1.25 square aluminum tubing available with da fold surfaces for easy substitution all viewing surfaces up to 16 high will be seamless complete screen also includes a rugged carrying case with wheels and is available in sizes from 54 x 54 up to 10 6 x 14 fast-fold deluxe with da-mat fabric is standard with a foldable black backed material. this exclusive feature allows for the portability of a fast-fold screen with the superior image quality and opacity of a black backed material. black anodized frame option is available
33,sunpak 72-in-one card reader with sim slot,photography - general,sunpak,72-in-1-cr,0.0,sunpak 72-in-one card reader with sim slot 72-in-1 card reader can read cf sd sdhc mmc xd memory stick sim micro sd and more
34,hp 45 black inkjet cartridge 51645a,printers,hp,51645a,35.78,pigment-based inks provide denser more waterfast and fade-resistant printouts specially designed to work with hp inkjet specialty papers transparencies or plain paper estimated page yield 833 pages compatible with hp deskjets 1000c 1000c 1100c 1120c 1120c 1120c 1125c 1220c 1220c 1600c 1600cm 1600cn 710c 712c 720c 722c 820c 820c 830c 832c 850c 855c 855c 870c 870c 880c 882c 890c 890c 895c 895c 930c 932c 935c 950c 952c 970c 970c 990c 990c. hp officejets g55 g55xi g85 g85xi g95 pro 1150c pro 1150c pro 1170c pro 1170c pro 1170c pro 1175c pro 1175c pro 1175c r40 r40xi r45 r60 r65 r80 r80xi t45 t45xi t65 t65xi. hp photosmart 1000 1100 1100xi 1215 1215vm 1218 1218xi
35,tomtom xxl 550,gps,tomtom,1ep001901,169.95,tomtom xxl 550 5 touchscreen presents information clearly and brightly for optimal navigation includes us canada and mexico using tomtom s premium maps on demand updates with the latest maps announces street names lifetime traffic and map updates skip the traffic jams battery lasts up to 3 hours includes gps easy port mount adhesive disk usb traffic receiver and home charging cable
36,iluv desktop alarm clock with bed shaker for your iphone ipod - pink,portable audio,iluv,imm153pnk,54.88,am fm radio with pll digital tuning and dual alarm clock in-bed shaker for vibrating alarm wake to ipod fm radio vibration or buzzer and sleep to ipod or fm radio large lcd display with 10-step dimmer level control aux-input for any audio devices with 3.5mm jack plays and charges ipod iphone while docked compatible with all dockable ipods excluding 1g 2g 3g includes ac adapter
37,roocase multi-angle folio leather case stylus for acer iconia tab a500,electronics - general,roocase,222043,47.99,this roocase leather case features adjustable stand and allow access to all ports and controls. product weight 0.70 lbs. genuine leather with microfiber interior adjustable stand for viewing between 45-90 degree magnetic flap closure access to all ports and controls stylus lightweight aluminum pen body that weighs in at only 0.4 oz stylus length 114mm convenient cap attachment to 3.5mm audio jack clip can attach to shirt or pants pocket
38,peerless smartmount universal tilt mount 32 - 60 screens,computers,peerless,st660-s,112.99,versatile functionality and solid engineering makes this universal tilting lcd plasma mount and intelligent choice for boardrooms digital signage or home theaters. smartmount universal tilt wall mounts come with everything you need for a quick and easy installation flat panels engage with an audible click to simple-to-align universal brackets. 15 degrees of forward tilt gives unobstructed access to cables and an open-design wall plate allows easy access to junction boxes and cable management. plus the peerless sorted-for-you fastener pack eliminates guesswork during installation by making all screen attachment hardware easy to find. this tilt mount is compatible with most 32 to 60 flat panels offers up to 15 degrees of forward tilt and holds the screen under 3 from the wall. best of all this mount is guaranteed to be in stock. any orders placed before 1 00pm est will ship out same day note this mount is not compatible with every 32 to 60 display. if you have questions about your specific tv please call us. features available in silver or black scratch-resistant fused epoxy universal brackets will fit most 32 -60 flat panels universal brackets hook onto wall plate for quick and easy installation one-touch tilt adjustment of 15 -15 degrees without the use of tools tilt lock of 15 10 5 0 -5 degrees optional horizontal adjustment of up to 12 depending on screen size includes hardware for installation to wood studs concrete and cinder block mounts on two studs with 16 20 or 24 centers this mount can be mounted directly into a metal stud by using the acc 415 metal stud fastener kit security screws require special wrench for removal included phillips-head screws can be removed with any standard screwdriver ul tested adjustable mounting pattern 17.67 h x 32.75 w distance from wall 2.6 weight capacity 200 lbs need professional installation use the or the give us a call with any questions
39,iomega 34508 dvr expander hard drive,hard drives,iomega,34508,99.98,1tb storage capacity external form factor esata host interface 8mb buffer
40,da-lite 93163 model b manual wall and ceiling projection screen,electronics - general,da-lite,93163,149.88,manual projection screen wall or ceiling mount seamless easy pull-down system locks at intervals nylon bearings for smooth quiet operation
41,kingston ktd-dm8400a 1g 1gb ddr2 sdram memory module,memory,kingston,ktd-dm8400a/1g,22.92,1gb sdram memory module compatible with dell - desktop - dimension 4700 533mhz fsb 4700c 533mhz fsb 5000 533mhz fsb 8400 533 mhz fsb dimension xps gen 3 g3 xps gen 4 g4 optiplex gx280 gx280 - mini-tower gx280 - small form factor 240-pin form factor 533mhz memory speed
42,sony mdrex35lp vb colorful headphone with case - violet blue,mp3 accessories,sony,mdrex35lp/vb,13.54,impedance 16 ohms at 1 khz 9 mm driver units frequency response 6-23 000hz neodymium magnets for outstanding bass performance material hybrid silicone cord length 1.2 m three sizes s m l color violet blue
43,siig soundwave 5.1 channel pci sound card,electronics - general,siig,ic-510012-s2,19.84,key features supports multi-channel music games and dvds 5.1 channel surround sound compliant with sound blaster sound blaster pro and directsound frequency response 20hz-20khz
44,draper m1300 access series v electric screen - hdtv 119 diagonal,electronics - general,draper,102300,2107.95,dr2793motorized ceiling-recessed tab-tensioned front projection screen. sleek white extruded aluminum case installs above ceiling. trim flange finishes the ceiling opening. tab-tensioned viewing surface and roller can be installed at the same time or can be added quickly and easily without tools at a later time. features now available in 16 10 and 15 9 laptop presentation formats install an access case first and the screen later. motor-in-roller operation. 12 extra drop is standard depending on surface available in sizes through 12 x 12 and 200 ntsc. custom sizes available. warranted for one year against defects in materials and workmanship. screen material m1300 the perfect matt white diffusing surface. extremely broad light dispersion and spectral uniformity. panoramic viewing angle and true color rendition. recommended for use with any type of projector in rooms where the light level can be reasonably controlled. washable
45,draper flexible matte white cinefold replacement surface portable screen - 10 6 x 14 ntsc format,electronics - general,draper,218033,615.0,dr6821cineflex rear projection surface only
46,read right keyboardkleen kit 2.5 oz. pump spray,electronics - general,read right,,12.88,read right keyboardkleen kit 2.5 oz. pump spray quick-drying formula no harmful residue safely and easily removes dust and dirt includes 1 oz pump spray cleaning solution 8 cleaning swabs and 2- 1 2 oz nonflammable gas duster
47,quartet ultima presentation dry erase easel melamine 27 x 34 white black frame,stationery &amp; office machinery,quartet,101el,233.05,quartet ultima 27 high full-length rail marker optional carrying case sold separately perfect for classrooms conference rooms and presentations
48,dp video 7 touchscreen double din in-dash multimedia receiver dbd805,car stereos,dp video,dbd805,199.99,dp video 7 touchscreen display dvd player supports dvd-r vcd mp3 jpg wma cd and more fully motorized with angle adjustment usb and sd card inputs power output 45w x 4 channels front rear and subwoofer output backup camera ready full function remote control included
49,targus impax sleeve for 15 macbook pro red,electronics - general,targus,tss28802us,35.0,targus impax sleeve for 15 in size soft to the touch material designed to help prevent scratches on sensitive accessories reverse zipper provides a strong airtight seal to keep water droplets out
50,avery economy vinyl round ring view binder,stationery &amp; office machinery,avery,5706,7.91,economy reference view binder color white customizable front cover back cover and spine pages lie flat against back cover 2 inside pockets for additional storage
51,wilson jones d-ring vinyl view binder,stationery &amp; office machinery,wilson jones,38544b,16.4,wilson jones d-ring vinyl view binder heavy-duty d-ring view binder with no-gap rings and print-won t-stick covers special no-gap d-ring design keeps rings tightly closed without gaps d-rings hold 40 percent more sheets than same size round rings ink and toner transfer from printed papers is a thing of the past with these high-quality print-won t-stick covers make your own custom front cover and spine inserts quickly and easily using templates found at www.templates.wilsonjones.com two inside pockets for storing additional loose documents pvc-free pvc-free
52,link depot 3 ethernet enhanced cat6 networking cable gray,networking,link depot,c6m-3-gyb,2.98,link depot 3 ethernet enhanced cat6 networking cable category 6 enhanced 550 mhz tia eia 568b.2 utp unshielded twisted pair pvc jacket 24 awg 4 pairs supports 10 100 1000gbps length 3 color gray
53,da-lite da-plex base rear projection screen - 57 3 4 x 77 video format,electronics - general,da-lite,27528,2608.99,dl8140da-lite offers a wide range of rigid rear projection screen systems for any need ranging from corporate boardrooms to home theaters. with da-lite rear projection screens viewers can enjoy bright high resolution images without turning the lights off. base factory installed frame mitered corners eliminate rear light leaks without caulking black anodized finish. constructed of lightweight extruded aluminum u-channel frame insert size equals screen viewing area plus 2-1 2
54,canon imageformula dr-2010c compact color scanner,electronics - general,canon,dr-2010c,479.98,canon imageformula dr-2010c compact color scanner technical information image sensor 1-line sensor scan resolution optical 600 dpi bit depth 24-bit color 8-bit grayscale scan speed black and white 20 ppm simplex 40 ipm duplex grayscale 20 ppm simplex 40 ipm duplex color 24-bit 20 ppm simplex 40 ipm duplex additional features rapid recovery system ultra compact desktop design automatic color detection scan documents up to 39.2 with long document mode
55,dreamgear i.sound stand for ipad,mp3 accessories,dreamgear,dgipad-4541,56.09,dreamgear i.sound stand for ipad aluminum stand holds ipad in many positions heavily weighted with non-slip surface padded edge prevents scratches ideal angles for web surfing typing viewing and more color aluminum 1-year limit warranty
56,edge tech proshot 4gb sdhc class 6 memory card,usb drives,edge tech,pe209780,10.88,edge tech proshot 4gb sdhc class 6 memory card storage capacity 4gb technology flash form factor secure digital high capacity sdhc compatible with pcs digital cameras pdas and more
57,vantec nexstar se 2.5 sata hard drive rack,electronics - general,vantec,mrk-515st,10.74,vantec nexstar se 2.5 sata hard drive rack 1 x sata cable 1 x sata power cable user manual and installation screws
58,sennheiser sh 350 ip binaural headset with noise canceling microphone,electronics - general,sennheiser,sh350ip,150.0,sennheiser sh 350 ip binaural headset with noise canceling microphone delivers natural high definition sound for superior voice clarity blocks background noise allowing total concentration for increased productivity 300-degree adjustable microphone boom for personalized mic placement teflon washer for optimal stability and durability independently adjustable dual-padded headband and ball-mounted speakers ensure a perfect fit noise-canceling microphone filters out ambient sounds for clearer speech activegard technology protects against acoustic shock and sudden sound surges
59,samsung tl205 refurbished 12.2mp black digital camera 6.3-18.9mm f 3.2 3x zoom lens 2.7 dual lcd vga movie recording w 50 bonus prints,digital cameras,samsung,rbtl205,79.0,samsung tl205 refurbished 12.2mp black digital camera 6.3-18.9mm f1.8 3x zoom lens 2.7 tft lcd display enjoy easy focus selection and photo viewing avi movie file format record movies in hd format on this compact camera 13 scene modes provide creative options for taking eye-catching photos with accurate color memory card specifications compatible sd sdhc memory cards internal memory 5mb 1 sd sdhc slot upon purchase of this item you will receive a promotional email for bonus prints from walmart.com. go to the url provided in the email anytime between 7 16 11 and 8 31 11. if you do not already have a walmart.com photo account please create one so you can be credited for your prints. enter the 16-digit code on your trial offer select the photo s of your choice and continue to checkout. your redeemed credits will be applied upon an online purchase of 50 one-hour photo 4 x 6 print s available for pickup in your local walmart store. each trial offer code can only be used once and must be redeemed prior to the offer expiration deadline of 12 31 11. if you have any questions please contact walmart.com customer service at photo walmart.com.
60,draper m2500 clarion fixed frame screen - 124 x 124 diagonal av format,electronics - general,draper,252031,1883.99,dr7452clarion permanently tensioned projection screen. viewing surface is flat for perfect picture quality. viewing surface is stretched tightly behind a beveled black aluminum frame. new design for quick assembly and flatter viewing surface--no snaps z-clip wall mounting brackets included to simplify installation. features now available in 16 10 and 15 9 laptop presentation formats viewing surface is flat and that means perfect picture quality. the clarion s aluminum frame forms an attractive 2 border for a clean theatre-like appearance. switch instantly between two projection formats with the optional eclipse masking system. the fabric attaches to the frame without snaps or tools forming a perfectly smooth viewing surface. z-clip wall mounting brackets included to simplify installation. standard black frame may be covered with velvety black vel-tex which virtually eliminates all reflections on the frame. depending on surface available in sizes through 10 x 10 or 120 x 120 or 15 ntsc. custom sizes available. warranted for one year against defects in materials and workmanship. screen material m2500 higher gain surface provides good black retention with accurate light colors and whites. m2500 is black-backed and tolerates a higher ambient light level in the audience area than many front projection screen surfaces. on-axis gain of 1.5.
61,kensington 82024 memory foam seat backrests,furniture,kensington,82024,29.88,seat rest features washable color black
62,blackberry leather sleeve for playbook tablet black,electronics - general,blackberry,acc-39311-301,29.88,blackberry leather sleeve for playbook premium grade leather exceptional protection charge or listen to music with distinctive style reinforced panels for an extra layer of protection
63,arclyte mobilestyle mini usb car charger jet black electric blue,mp3 accessories,arclyte,arclyte era02142,25.0,arclyte mobilestyle mini usb car charger ac input 12v-24v compatible with ipad blackberry ipod itouch and more color jet black electric blue
64,los angeles lakers iphone 3g duo case,electronics - general,tribeca,fva4005,24.99,give your iphone some team flavor with the los angeles lakers iphone 3g duo case the duo 3g 3gs features a laser engraved logo over a protective hard plastic with a rubberized finish. the open t wear off rubberized finish hides fingerprints and improves grip officially licensed by the nba
65,epson t020201 color ink cartridge,printers,epson,t020201,27.0,prints up to 150 pages 5 percent coverage at 360 dpi on a4-size paper engineered to give you high resolution and color saturation
66,q-see professional indoor dome camera qsd360,garden - general,q-see,qsd360,99.82,ideal for monitoring or videotaping connect the camera to any tv vcr and start viewing or taping immediately video resolution 480 lines illumination 0.1 lux day and night optical zoom 2.25 x input voltage 12 volts dc -.5 volts includes a 60-ft. cable for installation flexibility
67,microsoft vx-5000 lifecam webcam red,electronics - general,microsoft,rka00014,27.82,key features windows live call button for use with windows live messenger universal attachment base bend fold and shape the flexible base for the best angle on laptop screens flat panels and traditional monitors
68,xerox travel scanner 100 scanner,electronics - general,visioneer,xerox travel scanner 100,188.82,scan speed black white 200 dpi up to 6 ppm including conversion into pdf document pages scan speed colour 150 dpi up to 4 ppm including conversion into pdf document pages optical resolution 600 dpi interface usb 2.0 1.1 compatible duty cycle 500 pages day kofax vrs technology yes light source 3 colour led dimensions 290 x 38 x 50 mm width x depth x height weight 0.3 kg contents travel scanner 100 with travel bag usb 2.0 cable quick install card calibration and cleaning sheets technical support card dvd-rom
69,lorex simulated bullet style surveillance camera,garden - general,lorex,sg-610,12.84,ir leds for authentic look and feel metal body construction for durability ideal for indoor or outdoor applications includes mounting bracket and cable
70,panasonic stereo earbud headphones rp-hv21 green,electronics - general,panasonic,rphv21g,10.49,
71,canon faxphone l170 laser printer fax,printers,canon,l170,269.0,printer print color monochrome print technology laser maximum mono print speed 19 ppm maximum print resolution 600 x 600 dpi fax fax color monochrome transmission speed 3 seconds per page modem speed 33.6kbps fax memory capacity 7.2mb memory holds 450 pages fax resolution 406 x 391 dpi ultra fine mode 203 x 391 dpi superfine mode 203 x 196 dpi fine mode 203 x 98 dpi standard mode 32 speed dials and 100 coded speed dials fax compliant super g3 media type plain paper media size a4 letter legal additional features interface usb 2.0 usb media handling 250-sheet cassette 50-sheet automatic document feeder cartridge 104 standard black toner included includes telephone handset compatible with windows computers energy star-compliant
72,kensington k62816us memory foam mouse wrist pillow,electronics - general,kensington,k62816us,13.98,hypoallergenic black lycra cover temperature and pressure-sensitive foam works with all keyboard widths and styles
73,hp ce250a black toner cartridge,printers,hp,ce250a,187.04,compatibility hp color laserjet cp3535 cm3530 mfp series printer duty cycle 5000 pages color black toner
74,cables to go digital audio explorer toslink selector switch,electronics - general,cables to go,28734,24.88,compatible devices dvd player home theater gaming console cd player recorder minidisc player sound card receiver dvd player home theater gaming console cd player recorder minidisc player sound card receiver connects up to three optical components to one unit compact design fits anywhere easy to use locking rotary switch add flexibility to your existing system expand input output options for optical audio equipment prevents wear on cables and jacks resulting from disconnecting and reconnecting
75,edge 2gb pc3-8500 ddr3 204-pin sodimm notebook memory module,memory,edge,pe219413,22.92,all ram modules from edge are backed by a lifetime warranty and each is individually tested to ensure highest product quality and reliability. our friendly and knowledgeable technical support team is available toll-free should you have any questions or problems with your memory upgrade. if your memory module ever fails to work perfectly due to defects in materials or workmanship edge will repair or replace it at no charge. we offer free shipping on all memory orders over 50 edge is an iso 9001 2000 certified company and has been selling memory since 1986
