id,title,author,numAuthors,binding,publisher,isbn,pubYear,pubMonth,pubDay,editionNum,pages,volume,lang,editionDescr,series,upc
9780002184625,AAA Runner's Guide,,0,Trade Cloth,Trafalgar Square Publishing,9780002184625,,,,,192,,ENG,,,
9780002192385,Cage and Aviary Birds,"Martin, M. P.",1,Paperback,HarperCollins Publishers,9780002192385,1980,1,,,256,,ENG,,,
9780002250313,Country Cooks,,0,Trade Cloth,HarperCollins Publishers,9780002250313,1994,1,,,,,ENG,,,
9780002251884,Snoopy : Not Your Average Dog,"Schulz, Charles M.",1,Trade Cloth,HarperCollins Publishers,9780002251884,1996,1,,,80,,ENG,,,
9780002257619,Bread and Chocolate,"Gregory, Philippa",1,Trade Cloth,HarperCollins Publishers,9780002257619,2000,,,,247,,ENG,,,
9780002259477,In This Block There Lives a Slag,"Broady, Bill",1,Paperback,HarperCollins Publishers Limited,9780002259477,2001,,,,242,,ENG,,,
9780002551656,Lemons : A Country Garden Cookbook,"Idone, Christopher",1,Trade Cloth,HarperCollins Publishers,9780002551656,1993,4,08,,96,,ENG,,Country Garden Cookbook Ser.,
9780002558716,New Dictionary of Modern Thought,"Guvnor, Bullock",1,Trade Cloth,HarperCollins Publishers,9780002558716,1999,,,3,"xxiv, 933",,ENG,,,
9780002570893,Last Jet-Engine Laugh,"Joshi, Ruchir",1,Trade Cloth,Zondervan,9780002570893,2003,2,,,384,,ENG,,,
9780002572101,Dangerous Ground,"Cook, Roger",1,Trade Cloth,HarperCollins Publishers Limited,9780002572101,,,,2,320,,ENG,Revised,,
9780002740739,Murder at the Altar,"Heley, Veronica",1,Trade Cloth,Zondervan,9780002740739,2000,2,,,290,,ENG,,,
9780003701043,Reading Comprehension Passages Bk. 4 : Text,John,1,Paperback,"Addison-Wesley Longman, Incorporated",9780003701043,1991,1,,,,,ENG,,,
9780003750294,Cobuild English Language Dictionary : Helping Learners with Real English,Collins Staff,1,Trade Cloth,HarperCollins Publishers,9780003750294,1996,5,24,2,1728,,ENG,,,
9780003830460,Design for Structural Stability,"Nethercot, D. A. Kirby, P. A.",2,Paperback,"Wiley & Sons, Incorporated, John",9780003830460,1991,1,15,,180,,ENG,,,
9780003831535,Composite Stuctures of Steel and Concrete : Bridges,"Johnson, R. P. Buckby, R. J.",2,Trade Cloth,"Sheridan House, Incorporated",9780003831535,1986,1,,2,420,2,ENG,,,
9780004490540,Argentina and Chile Pocket Map,HarperCollins Publishers Ltd. Staff,1,Other,HarperCollins Publishers Limited,9780004490540,2004,8,24,,,,ENG,,Independent Travel Ser.,
9780004490960,Indian Subcontinent Pocket Map,HarperCollins Publishers Ltd. Staff,1,Other,HarperCollins Publishers Limited,9780004490960,2004,1,01,,,,ENG,,Independent Travel Ser.,022402761648
9780004585482,Collins Gem Greek Dictionary,"Hionides, Harry T.",1,Paperback,HarperCollins Publishers,9780004585482,1990,7,,,640,,"Greek,ENG",,Collins Gems Bilingual Dictionaries Ser.,
9780004593395,Collins Gem German Verb Tables and Grammar,"Sinclair, Lorna MacLean, Ilse",2,Paperback,HarperCollins Publishers,9780004593395,1992,8,,,256,,"German,ENG",,,
9780004701097,Collins Biographical Dictionary of Scientists,"Williams, Trevor",1,Trade Cloth,HarperCollins Publishers,9780004701097,1995,4,,4,80,,ENG,,,
9780004707662,"Collins Gem French Dictionary : French-English, English-French",Collins Staff,1,Paperback,HarperCollins Publishers,9780004707662,2000,4,,5,640,,"ENG,FRE",,Collins Gem Ser.,
9780004724645,Edinburgh the Best,"Irvine, Peter",1,Trade Cloth,HarperCollins Publishers Limited,9780004724645,2000,6,01,2,128,,ENG,,,
9780005000243,Beatification Sister Faustina,Faustina,1,"""Video, VHS Format""",Vision Video,9780005000243,1993,1,,,,,ENG,,,
9780005018026,Gospel Truth,,0,Compact Disc,Lillenas Publishing Company,9780005018026,1993,2,01,,,,ENG,,,765762000025
9780005101353,Christening Bible : King James Version,,0,Trade Cloth,HarperCollins Publishers Limited,9780005101353,2000,7,01,,1056,,ENG,Gift,,
9780005114131,Discerning of Spirits,,0,Paperback,"Arrow Publications, Incorporated",9780005114131,1996,5,,,,,ENG,,,
9780005124161,Hymns Sunny Side up-volume 2 Advanced Solo Piano,,0,Paperback,"Leonard Corporation, Hal",9780005124161,2004,0,,,,,ENG,,,025986071776
9780005200827,If God Be for Us : A Musical Service Calling America Back to God,,0,Compact Disc,Allegis Publications,9780005200827,1996,2,18,,,,ENG,,,765762017306
9780005231043,Greek Four Gospels,,0,Trade Cloth,American Bible Society,9780005231043,1997,2,,,,,Greek,,,
9780005322925,Hymns - Portrait of Christ,,0,"""Video, VHS Format""",Chordant Distribution Group,9780005322925,1992,1,,,,,ENG,,,
9780005993101,Spiritual Life of Children,"Coles, Robert",1,Trade Cloth,"Continuum International Publishing Group, Limited",9780005993101,1990,,,,360,,ENG,Reprint,,
9780006176756,Sheikh and the Dustbin,"Fraser, George MacDonald",1,Paperback,HarperCollins Publishers Limited,9780006176756,1996,1,01,,192,,ENG,,,
9780006275190,Awareness,"De Mello, Anthony",1,Paperback,Zondervan,9780006275190,1990,2,,,192,,ENG,,,025986275198
9780006280989,Oral History of Christianity : Eye Witness Accounts of the Dramatic Turning Points in the Story of the Church,"Backhouse, Robert Collins, Owen",2,Paperback,HarperCollins Publishers Limited,9780006280989,1998,1,,,474,,ENG,,,
9780006281597,Through the Year with the Catholic Faith,"Cresswell, Norman",1,Paperback,HarperCollins Publishers Limited,9780006281597,2000,0,,,"xiii, 369",,ENG,,,
9780006333395,"Politics and the Nation 1450-1660 : Obedience, Resistance and Public Order","Loades, D. M.",1,Trade Cloth,HarperCollins Publishers,9780006333395,1974,,,,"484 ",,ENG,,Fontana Library of English History,
9780006377092,Whitewash : Exposing the Health and Environmental Dangers of Women's Sanitary Products and Disposable Diapers - What You Can Do about It,"Scott, Adrienne Armstrong, Liz",2,Paperback,"HarperCollins Canada, Limited",9780006377092,1993,5,,,194,,ENG,,,
9780006377443,Inside Memory : Pages from a Writer's Workbook,"Findley, Timothy",1,Paperback,HarperCollins Publishers,9780006377443,1994,4,,,324,,ENG,,,
9780006380382,Life's Little Inspiration Book,"Powers, Margaret Fishback",1,Paperback,HarperCollins Publishers,9780006380382,1995,3,31,,144,,ENG,,,
9780006380535,Farther Shore,"Degler, Teri Kason, Yvonne",2,Paperback,HarperCollins Publishers,9780006380535,1996,4,,,352,,ENG,Revised,,
9780006530732,Lost Lion of Empire : The Life of 'Cape-to-Cairo' Grogan,"Paice, Edward",1,Paperback,HarperCollins Publishers Limited,9780006530732,2002,2,01,,496,,ENG,,,
9780006918028,New House at the Chalet School,"Brent-Dyer, Elinor M.",1,Trade Cloth,Zondervan,9780006918028,2001,3,,,300,,ENG,,Chalet School Ser.,
9780007104062,Stop Smoking in One Hour : Play the CD ... Just Once ... and Never Smoke Again!,"Hepburn, Susan",1,Paperback,HarperCollins Publishers Limited,9780007104062,2000,2,04,,144,,ENG,,,
9780007107902,Street Bible,"Lacey, Robert",1,Paperback,Zondervan,9780007107902,2003,5,,,528,,ENG,,,025986107901
9780007109371,Unexplained,,0,Paperback,Zondervan,9780007109371,2001,3,,,192,,ENG,,Gem Ser.,
9780007112586,Emotional Healing in Minutes : Simple Acupressure Techniques for Your Emotions,"Lynch, Valerie Lynch, Paul",2,Paperback,HarperCollins Publishers Limited,9780007112586,2002,1,,,240,,ENG,,,
9780007114474,Mind the Gap,"James, Simon",1,Paperback,HarperCollins Publishers Limited,9780007114474,2001,8,,,154,,ENG,,,
9780007120291,Know the Truth : A Memoir,"Carey, George",1,Paperback,HarperCollins Publishers Limited,9780007120291,2005,0,01,,384,,ENG,,,
9780007131082,Aromatherapy,"Lawless, Julia",1,Paperback,HarperCollins Publishers Limited,9780007131082,2002,2,,,224,,ENG,,,
9780007140411,Homeopathy : In a Nutshell,"Marks, Cassandra",1,Trade Cloth,HarperCollins Publishers Limited,9780007140411,2002,5,,,64,,ENG,,,
9780007140466,"International Rugby Yearbook, 2002-2003",Cleary,1,Paperback,HarperCollins Publishers Limited,9780007140466,2002,0,,2,464,,ENG,,,
9780007140510,Nostradamus,"Hogue, John",1,Trade Cloth,HarperCollins Publishers Limited,9780007140510,2003,0,,,488,,ENG,,,
9780007144365,Complete Works of Oscar Wilde,"Wilde, Oscar",1,Paperback,HarperCollins Publishers Limited,9780007144365,2003,8,04,5,1216,,ENG,,Collins Classics Ser.,
9780007156115,Man about Town,"Merlis, Mark",1,Trade Cloth,HarperCollins Publishers,9780007156115,2003,4,29,,368,,ENG,,,
9780007158867,Making a Splash,"Olsen, Ashley Olsen, Mary-Kate",2,UK-B Format Paperback,HarperCollins Publishers Australia,9780007158867,2005,6,29,,112,,ENG,,,
9780007163045,Seven Wonders of Industrial World,"Cadbury, Deborah",1,Paperback,HarperCollins Publishers,9780007163045,2003,,,,368,,ENG,,,
9780007163069,"Dreams of Iron and Steel : Seven Wonders of the Nineteenth Century, from the Building of the London Sewers to the Panama Canal","Cadbury, Deborah",1,Trade Cloth,HarperCollins Publishers,9780007163069,2004,1,06,,320,,ENG,,,
9780007165568,Dictionary of Twentieth Century,,0,Paperback,Zondervan,9780007165568,,,,,672,,ENG,,,
9780007170777,Tattooed Girl : A Novel,"Oates, Joyce Carol",1,Trade Cloth,HarperCollins Publishers,9780007170777,2004,,,,307,,ENG,,,
9780007174850,How to Pray Without Being Religious : Finding Your Spiritual Path,"Moon, Janell",1,Trade Cloth,HarperCollins Publishers Limited,9780007174850,2004,4,,,224,,ENG,,,
9780007176038,Gem DIY Tips,HarperCollins Publishers Ltd. Staff,1,Paperback,HarperCollins Publishers Limited,9780007176038,2004,4,,,192,,ENG,,Collins Gem Ser.,
9780007181834,Sun Guide to the Jumps 2004-5,,0,Paperback,HarperCollins Publishers Limited,9780007181834,2004,0,01,,160,,ENG,,,
9780007183456,Antarctica : Exploring a Fragile Eden,"Scott, Angela Scott, Jonathan",2,Trade Cloth,HarperCollins Publishers Limited,9780007183456,2008,0,01,,256,,ENG,,,
9780007183890,Flower Guide,"Streeter, David",1,Paperback,HarperCollins Publishers Limited,9780007183890,2010,6,01,,704,,ENG,,,
9780007203789,What Works : Success in Stressful Times,"McRae, Hamish",1,UK-B Format Paperback,HarperCollins Publishers Limited,9780007203789,2011,8,04,,356,,ENG,,,
9780007204755,Fogging Over : Mission - Take a Trip down Under,"Dalton, Annie",1,Paperback,HarperCollins Publishers Limited,9780007204755,2008,6,01,,160,,ENG,,Mel Beeby Agent Angel Ser.,
9780007224623,Fortune Cookie,"Ure, Jean",1,Paperback,HarperCollins Publishers Limited,9780007224623,2009,1,05,,192,,ENG,,,
9780007240944,Instant Entertaining,"Hay, Donna",1,Trade Cloth,HarperCollins Publishers Australia,9780007240944,2006,2,05,,192,,ENG,,,
9780007243037,Times Good University Guide 2008,Times Staff,1,Paperback,HarperCollins Publishers Limited,9780007243037,2007,9,,,512,,ENG,,,
9780007247424,Southern England : The Geology and Scenery of Lowland England,"Friend, Peter",1,Trade Cloth,HarperCollins Publishers Limited,9780007247424,2008,0,06,,320,,ENG,,Collins New Naturalist Ser.,
9780007252619,Using the Plot : Tales of an Allotment Chef,"Merrett, Paul",1,Trade Cloth,HarperCollins Publishers Limited,9780007252619,2008,5,01,,320,,ENG,,,
9780007257560,London Pocket Atlas,Collins UK Publishing Staff,1,Paperback,HarperCollins Publishers Limited,9780007257560,2008,4,07,,144,,ENG,,,
9780007264605,Turkish Phrasebook and Dictionary,Collins Publishers Staff,1,Paperback,HarperCollins Publishers Limited,9780007264605,2009,9,01,,192,,"Turkish,ENG",,Collins Gem Ser.,
9780007270330,Victory and the All-Stars Academy,"Gregg, Stacy",1,UK-Paperback,HarperCollins Publishers Limited,9780007270330,2009,9,03,,288,,ENG,,Pony Club Secrets Ser.,
9780007273454,Developing Your Watercolours : Techniques to Improve Your Painting,"Bellamy, David",1,Paperback,HarperCollins Publishers Limited,9780007273454,2008,0,01,,128,,ENG,,,
9780007287581,"Spanish Club Bk. 1 : Fun, Active Learning","Sharp, Ruth McNab, Rosi",2,Paperback,HarperCollins Publishers Limited,9780007287581,2009,9,01,,48,,"SPA,ENG",,,
9780007317615,Coco Chanel : The Legend and the Life,"Picardie, Justine",1,Trade Cloth,HarperCollins Publishers,9780007317615,2009,,,,336,,ENG,,,
9780007319671,Su Doku,,0,,HarperCollins Publishers Limited,9780007319671,,,,,320,3,,,,
9780007327218,It's Not What You Think,"Evans, Chris",1,Trade Cloth,HarperCollins Publishers Limited,9780007327218,2010,2,01,,352,,ENG,,,
9780007333448,Showjumpers,"Gregg, Stacy",1,Paperback,HarperCollins Publishers Limited,9780007333448,2010,9,30,,272,2,ENG,,Pony Club Rivals Ser.,
9780007357963,Last Veteran : Harry Patch and the Legacy of War,"Parker, Peter",1,UK-B Format Paperback,HarperCollins Publishers Limited,9780007357963,2010,0,28,,336,,ENG,,,
9780007414116,"Collins Gem Italian, 8th",HarperCollins Publishers Ltd. Staff,1,Paperback,HarperCollins Publishers,9780007414116,2011,4,19,,640,,ENG,,Collins Language Ser.,
9780007424252,Newton's Fire,"Adams, Will",1,E-Book,Unknown Publisher,9780007424252,,,,,512,,ENG,,,
9780007458653,Departures : Seven Stories from Heathrow,"Parsons, Tony",1,UK-B Format Paperback,HarperCollins Publishers Limited,9780007458653,2011,0,27,,144,,ENG,,,
9780007468607,Collins Britain 2013,Collins UK Publishing Staff,1,Spiral,HarperCollins Publishers Limited,9780007468607,,,,,,,ENG,,International Road Atlases Ser.,
9780007653744,Life Lines,,0,Trade Cloth,HarperCollins Publishers Limited,9780007653744,2002,0,,,256,,ENG,,,
9780007699360,Collins Portuguese Phrase Book,,0,Paperback,HarperCollins Publishers Limited,9780007699360,2005,3,,2,192,,"Portuguese,ENG",New Edition,,
9780012135136,Welcome Holy Spirit Cassette,"Meyer, Joyce",1,Audio Cassette,"Life in the Word, Incorporated/Joyce Meyer Ministries",9780012135136,2004,1,,,,,ENG,,,
9780012525104,How to Live in God's Plan,"Loman, Maria",1,E-Book,MLR Enterprises,9780012525104,2010,2,29,,,,ENG,,,
9780013510758,"Municipal Needs, Services and Financing : Readings on Municipal Expenditures",,0,Trade Cloth,Center for Urban Policy Research (CUPR Press),9780013510758,1974,2,31,,360,,ENG,,,
9780014320530,Acta Neuropathologica,,0,E-Book,Springer Berlin / Heidelberg,9780014320530,,,,,,,ENG,,,
9780014712410,Bmc Ophthalmology,,0,E-Book,BioMed Central Ltd.,9780014712410,,,,,,,ENG,,,
9780015737467,Artificial Intelligence Review,,0,E-Book,Springer Dordrecht,9780015737467,,,,,,,ENG,,,
9780018625358,Advances in Data Analysis and Classification,,0,E-Book,Springer Berlin / Heidelberg,9780018625358,,,,,,,ENG,,,
9780018753082,Advances in Silicon Science,,0,E-Book,Metapress,9780018753082,,,,,,,ENG,,,
9780019303804,Academy of Management Review (Amr),,0,E-Book,Academy of Management,9780019303804,,,,,,,ENG,,,
9780019317566,Brain Imaging and Behavior,,0,E-Book,Springer,9780019317566,,,,,,,ENG,,,
9780020010159,Intellect : Mind over Matter,"Adler, Mortimer J.",1,Paperback,Scribner,9780020010159,1993,0,18,,205,,ENG,,,
9780020018001,Great upon the Mountain : Crazy Horse,"Brown, Vinson",1,Trade Cloth,"Collier Macmillan Canada, Incorporated",9780020018001,1975,,,,,,ENG,,,
9780020103516,Afternoon Tea Book,"Smith, Michael",1,Paperback,"Wiley & Sons, Incorporated, John",9780020103516,1989,6,29,,304,,ENG,,,785555033757
9780020199052,Joshua and the Children,"Girzone, Joseph F.",1,Paperback,Simon & Schuster,9780020199052,1991,0,,,240,,ENG,,,
9780020281108,Joy of Snorkeling,"Blount, Steve",1,Paperback,"Macmillan Publishing Company, Incorporated",9780020281108,1984,6,,,,,ENG,,,
9780020283409,Competitive Runners Training Book,"Dellinger, Bill Freeman, Bill",2,Paperback,"Macmillan Publishing Company, Incorporated",9780020283409,1984,0,,,160,,ENG,,,
9780020306306,Weird Wonderful America,"Bergheim, Laura A.",1,Paperback,Simon & Schuster,9780020306306,1988,4,28,,288,,ENG,,,
9780020355403,Classical King's Indian,"Nunn, John",1,Paperback,"Macmillan Publishing Company, Incorporated",9780020355403,1990,9,,,96,,ENG,,Macmillan Chess Library,
9780020356202,Renumerating General Practitioners in Western Europe,"Pangborn, Edgar",1,Paperback,"Macmillan Publishing Company, Incorporated",9780020356202,1990,1,,,266,,ENG,,Collier Nucleus Fantasy and Science Fiction Ser.,
9780020360551,Prisoner's Dilemma,"Powers, Richard",1,Paperback,"Macmillan Publishing Company, Incorporated",9780020360551,1989,9,,,348,,ENG,,,
9780020360858,Piece of Cake,"Purdy, Susan G.",1,Trade Cloth,"Macmillan Publishing Company, Incorporated",9780020360858,1993,9,,,512,,ENG,,,
9780020427704,Sword of the Spirits Trilogy,"Christopher, John",1,Paperback,Simon & Schuster Books For Young Readers,9780020427704,1980,0,,,,,ENG,,,
9780020430209,All-Star Book of Baseball Fun,"Earle, Vana",1,Paperback,"Macmillan Publishing Company, Incorporated",9780020430209,1982,4,,,32,,ENG,,,
9780020430414,Far Side of Evil,"Engdahl, Sylvia",1,Paperback,"Macmillan Publishing Company, Incorporated",9780020430414,1989,4,,2,288,,ENG,Reprint,,
9780020434900,"M. C. Higgins, the Great","Hamilton, Virginia",1,Mass Market,Simon Pulse,9780020434900,1987,0,31,,288,,ENG,Reprint,,
9780020447900,"Granny, the Baby, and the Big Gray Thing","Parish, Peggy",1,Paperback,"Macmillan Publishing Company, Incorporated",9780020447900,1974,9,,,40,,ENG,Reprint,Ready-to-Read Handbook Ser.,
9780020452119,Salazar Blinks,"Slavitt, David R.",1,Paperback,"Macmillan Publishing Company, Incorporated",9780020452119,1990,5,,,176,,ENG,,,
9780020461685,Bmc Biophysics,,0,E-Book,BioMed Central Ltd.,9780020461685,,,,,,,ENG,,,
9780020523505,"New York on $1,000 a Day* : *before Lunch","Margulies, Ferne Begelman, Gladyce Kirtland, Kathleen",3,Paperback,"Collier Macmillan Canada, Incorporated",9780020523505,1981,,,,"x, 239",,ENG,,,
9780020698005,God's Measurements,"Lieberman, Laurence",1,Paperback,"Macmillan Publishing Company, Incorporated",9780020698005,1980,3,,,93,,ENG,,,
9780020812500,Plumbing for Dummies,"Fredrikson, Don",1,Paperback,"Macmillan Publishing Company, Incorporated",9780020812500,1985,5,,,,,ENG,Reprint,,
9780020840008,"Jesus, God and Man","Brown, Raymond E.",1,Paperback,"Macmillan Publishing Company, Incorporated",9780020840008,1967,2,,,,,ENG,,Impact Bks.,
9780020893608,Where judaism Differed,Silver,1,Children's Board Books,Simon & Schuster,9780020893608,1972,0,,,370,,ENG,,,
9780021074419,"Math Connects, Grades K-1, Spanish Math Songs CD",Macmillan/McGraw-Hill,1,Compact Disc,Macmillan/McGraw-Hill School Division,9780021074419,2008,8,09,,,,SPA,,,
9780021102464,Repaso Rapido : Student and Teacher Support Resources,,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021102464,1999,1,,,,,"ENG,SPA",,Matematicas en Mi Mundo Ser.,
9780021107162,Libro del Estudiante,,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021107162,1999,1,,,,,"ENG,SPA",,Matematicas en Mi Mundo Ser.,
9780021470716," : Graphic Organizer Transparencies",,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021470716,1997,1,,,,,"ENG,SPA",Supplement,Aventuras A Traves Del Tiempo Ser.,
9780021479139,Mapas Laminadas : Aqui Estoy!,,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021479139,2000,1,,,,,"ENG,SPA",,Aventuras A Traves Del Tiempo Ser.,
9780021484911,Audiocasete de la Antologia : Comunidades,,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021484911,2000,1,,,,,"ENG,SPA",,Aventuras A Traves Del Tiempo Ser.,
9780021486731,cuento de Abuelo : Aventuras (Adventure Books),,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021486731,2000,1,,,,,"ENG,SPA",,Aventuras A Traves Del Tiempo Ser.,
9780021486748,ocasion de Compartir : Libros Aventuras (Adventure Books),,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021486748,2000,1,,,,,"ENG,SPA",,MacMillan/McGraw-Hill. Estudios Sociales Ser.: Spanish Social Studies,
9780021487271,ferrocarril en la montana Dorado : Libros Aventuras (Adventure Books),,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021487271,2000,1,,,,,"ENG,SPA",,MacMillan/McGraw-Hill. Estudios Sociales Ser.: Spanish Social Studies,
9780021490486,Aventuras Books Deluxe Classroom Set : Aventuras (Adventure Books),,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021490486,2000,1,,,,,"ENG,SPA",,Aventuras A Traves Del Tiempo Ser.,
9780021494545,Cuaderno de practica y Actividades : Student and Teacher Support Resources,,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021494545,2003,1,,,,,"ENG,SPA",,MacMillan/McGraw-Hill. Estudios Sociales Ser.: Spanish Social Studies,
9780021494613,Cuaderno de Evaluacion : Student and Teacher Support Resources,,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021494613,2003,1,,,,,"ENG,SPA",,MacMillan/McGraw-Hill. Estudios Sociales Ser.: Spanish Social Studies,
9780021499618,Libro del Estudiante : Vivimos Juntos,,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021499618,2003,1,,,,,"ENG,SPA",,MacMillan/McGraw-Hill. Estudios Sociales Ser.: Spanish Social Studies,
9780021500178,"Aprenda preparacion y practica, Teacher's Edition : Assessment",,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021500178,2003,1,,,,,"ENG,SPA",,MacMillan/McGraw-Hill. Estudios Sociales Ser.: Spanish Social Studies,
9780021500185,Aprenda Preparacion y Practica : Assessment,,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021500185,2003,1,,,,,"ENG,SPA",,MacMillan/McGraw-Hill. Estudios Sociales Ser.: Spanish Social Studies,
9780021517190,"OH TimeLinks : Grade 3, Communities Student Edition",Macmillan/McGraw-Hill,1,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021517190,2008,5,06,,,,ENG,,,
9780021517206,"OH TimeLinks : Grade 5, the United States, Early Years Student Edition",Macmillan/McGraw-Hill,1,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021517206,2008,5,01,,,,ENG,,,
9780021523979,All Together,Macmillan/McGraw-Hill,1,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021523979,2007,8,29,,,,ENG,,,
9780021525287,All Together,Macmillan/McGraw-Hill,1,Other,Macmillan/McGraw-Hill School Division,9780021525287,2007,0,19,,,,ENG,,Social Studies,
9780021527281,All Together,Macmillan/McGraw-Hill,1,Other,Macmillan/McGraw-Hill School Division,9780021527281,2007,2,31,,,,ENG,,Social Studies,
9780021528073,Story of the Cherokee,Macmillan/McGraw-Hill,1,Other,Macmillan/McGraw-Hill School Division,9780021528073,2008,1,08,,,,ENG,,Social Studies,
9780021528110,All Together,Macmillan/McGraw-Hill,1,Other,Macmillan/McGraw-Hill School Division,9780021528110,2008,1,07,,,,ENG,,Social Studies,
9780021529049,All Together,Macmillan/McGraw-Hill,1,Other,Macmillan/McGraw-Hill School Division,9780021529049,2008,3,04,,,,ENG,,,
9780021529360,All Together,Macmillan/McGraw-Hill,1,Paperback,Macmillan/McGraw-Hill School Division,9780021529360,2007,2,07,,,,ENG,,,
9780021845972,Insects Teacher's Guide,"Trussell-Cullen, Alan",1,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021845972,1998,1,,,,,ENG,,Spotlight on Transition Ser.,
9780021848485,Unidad 2 Guia del Maestro,,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021848485,2001,1,,,,,"ENG,SPA",,McGraw-Hill. Lectura Ser.,
9780021860852,Fonetica/Conciencia Fonemica : Phonics/Vocabulary,,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021860852,2001,1,,,,,"ENG,SPA",,McGraw-Hill. Lectura Ser.,
9780021881178,Todo el mundo se queja siempre del Tiempo 20 : Leveled Books,,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021881178,2001,1,,,,,"ENG,SPA",,McGraw-Hill. Lectura Ser.,
9780021881499,Amigote 4 : Leveled Books,,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021881499,2001,1,,,,,"ENG,SPA",,McGraw-Hill. Lectura Ser.,
9780021882304,jardineros de la Sra Mills 6 : Leveled Books,,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021882304,2001,1,,,,,"ENG,SPA",,McGraw-Hill. Lectura Ser.,
9780021882663,Apicultores 18 : Leveled Books,,0,Trade Cloth,Macmillan/McGraw-Hill School Division,9780021882663,2001,1,,,,,"ENG,SPA",,McGraw-Hill. Lectura Ser.,
9780021883899,Audioteca : Technology,,0,Compact Disc,Macmillan/McGraw-Hill School Division,9780021883899,2001,1,,,,,"ENG,SPA",,McGraw-Hill. Lectura Ser.,
9780021890200,Aventures Du Petit Nicholas,"Sempe, J.",1,Trade Cloth,"Macmillan Publishing Company, Incorporated",9780021890200,1966,,,,,,ENG,,,
9780021991082,"Tesoros de Lectura, a Spanish Reading/Language Arts Program, Grade K, Unit 3",Macmillan/McGraw-Hill,1,"""Book, Other""",Macmillan/McGraw-Hill School Division,9780021991082,2008,2,27,,,,ENG,,,
9780021991303,"Tesoros de lectura, A Spanish Reading/Language Arts Program, Grade K, Unit 3, Teacher's Edition",Macmillan/McGraw-Hill,1,"""Book, Other""",Macmillan/McGraw-Hill School Division,9780021991303,2008,7,29,,,,ENG,,,
