_id,ltable_id,rtable_id,ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,gold
56,conf/sigmod/FreireHRRS02,564726,StatiX: making XML count,"Jayant R. Haritsa, Juliana Freire, Maya Ramanath, Prasan Roy, Jrme Simon",2002,Efficient algorithms for minimizing tree pattern queries,Prakash Ramanan,2002,0
57,conf/sigmod/FungSG02,767131,COUGAR: the network is the database,"Wai Fu Fung, David Sun, Johannes Gehrke",2002,A template model for multidimensional inter-transactional association rules,"Ling Feng, Jeffrey Xu Yu, Hongjun Lu, Jiawei Han",2002,0
58,conf/sigmod/GarofalakisGR02,564794,Querying and mining data streams: you only get one look a tutorial,"Minos N. Garofalakis, Rajeev Rastogi, Johannes Gehrke",2002,Querying and mining data streams: you only get one look a tutorial,"Minos Garofalakis, Johannes Gehrke, Rajeev Rastogi",2002,1
59,conf/sigmod/GeorgeH97,253362,Secure Transaction Processing in Firm Real-Time Database Systems,"Binto George, Jayant R. Haritsa",1997,Secure transaction processing in firm real-time database systems,"Binto George, Jayant Haritsa",1997,1
60,conf/sigmod/GibbsBT94,191856,Data Modeling of Time-Based Media,"Simon J. Gibbs, Christian Breiteneder, Dennis Tsichritzis",1994,Data modeling of time-based media,"Simon Gibbs, Christian Breiteneder, Dennis Tsichritzis",1994,1
61,conf/sigmod/Golding95,223865,Things Every Update Replication Customer Should Know,Rob Golding,1995,Things every update replication customer should know (abstract),Rob Goldring,1995,1
62,conf/sigmod/GraySSU03,872873,The Lowell Report,"Hans-Jrg Schek, Michael Stonebraker, Jim Gray, Jeffrey D. Ullman",2003,The Lowell report,"Jim Gray, Hans Schek, Michael Stonebraker, Jeff Ullman",2003,1
63,conf/sigmod/GriffinL95,223849,Incremental Maintenance of Views with Duplicates,"Leonid Libkin, Timothy Griffin",1995,Incremental maintenance of views with duplicates,"Timothy Griffin, Leonid Libkin",1995,1
64,conf/sigmod/GuhaRS98,276312,CURE: An Efficient Clustering Algorithm for Large Databases,"Sudipto Guha, Rajeev Rastogi, Kyuseok Shim",1998,CURE: an efficient clustering algorithm for large databases,"Sudipto Guha, Rajeev Rastogi, Kyuseok Shim",1998,1
65,conf/sigmod/HaasH01,375800,Online Query Processing,"Peter J. Haas, Joseph M. Hellerstein",2001,Online query processing: a tutorial,"Peter J. Haas, Joseph M. Hellerstein",2001,1
66,conf/sigmod/HaasH99,304208,Ripple Joins for Online Aggregation,"Peter J. Haas, Joseph M. Hellerstein",1999,Ripple joins for online aggregation,"Peter J. Haas, Joseph M. Hellerstein",1999,1
67,conf/sigmod/HacigumusILM02,564717,Executing SQL over encrypted data in the database-service-provider model,"Hakan Hacigms, Chen Li, Sharad Mehrotra, Balakrishna R. Iyer",2002,Executing SQL over encrypted data in the database-service-provider model,"Hakan Hacigümüş, Bala Iyer, Chen Li, Sharad Mehrotra",2002,1
68,conf/sigmod/HanFWCZK96,280356,DBMiner: Interactive Mining of Multiple-Level Knowledge in Relational Databases,"Wei Wang, Krzysztof Koperski, Yongjian Fu, Osmar R. Zaane, Jenny Chiang, Jiawei Han",1996,DBMiner: interactive mining of multiple-level knowledge in relational databases,"Jaiwei Han, Youngjian Fu, Wei Wang, Jenny Chiang, Osmar R. Zaïane, Krzysztof Koperski",1996,1
69,conf/sigmod/HellersteinA00,335420,Eddies: Continuously Adaptive Query Processing,"Ron Avnur, Joseph M. Hellerstein",2000,Eddies: continuously adaptive query processing,"Ron Avnur, Joseph M. Hellerstein",2000,1
70,conf/sigmod/HristidisKP01,673466,PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,"Yannis Papakonstantinou, Vagelis Hristidis, Nick Koudas",2001,Filter Trees for Managing Spatial Data over a Range of Size Granularities,"Kenneth C. Sevcik, Nick Koudas",1996,0
71,conf/sigmod/HsiaoCY94,765551,On Parallel Execution of Multiple Pipelined Hash Joins,"Philip S. Yu, Hui-I Hsiao, Ming-Syan Chen",1994,On applying hash filters to improving the execution of multi-join queries,"Ming-Syan Chen, Hui-I Hsiao, Philip S. Yu",1997,0
72,conf/sigmod/IoannidisLANT97,673496,ZOO: A Desktop Emperiment Management Environment,"Anastassia Ailamaki, Andrew Therber, Yannis E. Ioannidis, Anand Narayanan, Miron Livny",1997,ZOO: A Desktop Experiment Management Environment,"Yannis E. Ioannidis, Miron Livny, S. Gupta, Nagavamsi Ponnekanti",1996,0
73,conf/sigmod/KeoghCMP01,375680,Locally Adaptive Dimensionality Reduction for Indexing Large Time Series Databases,"Kaushik Chakrabarti, Sharad Mehrotra, Eamonn J. Keogh, Michael J. Pazzani",2001,Locally adaptive dimensionality reduction for indexing large time series databases,"Eamonn Keogh, Kaushik Chakrabarti, Michael Pazzani, Sharad Mehrotra",2001,1
74,conf/sigmod/KotidisR98,672174,An Alternative Storage Organization for ROLAP Aggregate Views Based on Cubetrees,"Yannis Kotidis, Nick Roussopoulos",1998,Surfing Wavelets on Streams: One-Pass Summaries for Approximate Aggregate Queries,"Anna C. Gilbert, Yannis Kotidis, S. Muthukrishnan, Martin Strauss",2001,0
75,conf/sigmod/LakhamrajuRSS00,335381,On-line Reorganization in Object Databases,"S. Sudarshan, Rajeev Rastogi, S. Seshadri, Mohana Krishna Lakhamraju",2000,On-line reorganization in object databases,"Mohana K. Lakhamraju, Rajeev Rastogi, S. Seshadri, S. Sudarshan",2000,1
76,conf/sigmod/LakshmananPZ03a,383894,SOCQET: Semantic OLAP with Compressed Cube and Summarization,"Yan Zhao, Laks V. S. Lakshmanan, Jian Pei",2003,Flexible support for multiple access control policies,"Sushil Jajodia, Pierangela Samarati, Maria Luisa Sapino, V. S. Subrahmanian",2001,0
77,conf/sigmod/LangS01,276353,Modeling High-Dimensional Index Structures using Sampling,"Christian A. Lang, Ambuj K. Singh",2001,High-dimensional index structures database support for next decade's applications (tutorial),"Stefan Berchtold, Daniel A. Keim",1998,0
78,conf/sigmod/LeeWMS01,375709,Dynamic Buffer Allocation in Video-on-Demand Systems,"Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song, Sang Ho Lee",2001,Dynamic buffer allocation in video-on-demand systems,"Sang-Ho Lee, Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song",2001,1
79,conf/sigmod/LiGS02,564711,Skew handling techniques in sort-merge join,"Richard T. Snodgrass, Wei Li, Dengfeng Gao",2002,Skew handling techniques in sort-merge join,"Wei Li, Dengfeng Gao, Richard Thomas Snodgrass",2002,1
80,conf/sigmod/LiVCAHMWBCHIKSS99,564774,"PowerBookmarks: A System for Personalizable Web Information Organization, Sharing, and Management","Kazuyuki Shimazu, Sougata Mukherjea, Yi-Leh Wu, Divyakant Agrawal, Kyoji Hirata, Yukiyoshi Saito, Quoc Vu, Corey Bufi, Wen-Syan Li, Kevin Chen-Chuan Chang, Edward Y. Chang, Reiko Ito, Yoshinori Hara, Yutaka Kimura",1999,"COMMIX: towards effective web information extraction, integration and query answering","Tengjiao Wang, Shiwei Tang, Dongqing Yang, Jun Gao, Yuqing Wu, Jian Pei",2002,0
81,conf/sigmod/LiefkeS00,362138,XMILL: An Efficient Compressor for XML Data,"Hartmut Liefke, Dan Suciu",2000,Metadata standards for data warehousing: open information model vs. common warehouse metadata,"Thomas Vetterli, Anca Vaduva, Martin Staudt",2000,0
82,conf/sigmod/LometW98,276345,Efficient and Transparent Application Recovery in Client-Server Information Systems,"David B. Lomet, Gerhard Weikum",1998,Efficient transparent application recovery in client-server information systems,"David Lomet, Gerhard Weikum",1998,1
83,conf/sigmod/MaddenFHH03,959083,The Design of an Acquisitional Query Processor For Sensor Networks,"Samuel Madden, Wei Hong, Joseph M. Hellerstein, Michael J. Franklin",2003,Report on the 5th international workshop on the design and management of data warehouses (DMDW'03),"Hans J. Lenz, Panos Vassiliadis, Manfred Jeusfeld, Martin Staudt",2003,0
84,conf/sigmod/MassariPSC95,673142,QBI: Query By Icons,"Antonio Massari, Panos K. Chrysanthis, Lorenzo Saladini, Stefano Pavani",1995,Towards a Cooperative Transaction Model - The Cooperative Activity Model,"Marek Rusinkiewicz, Wolfgang Klas, Thomas Tesch, Jürgen Wäsch, Peter Muth",1995,0
85,conf/sigmod/MatiasVW98,276344,Wavelet-Based Histograms for Selectivity Estimation,"Jeffrey Scott Vitter, Yossi Matias, Min Wang",1998,Wavelet-based histograms for selectivity estimation,"Yossi Matias, Jeffrey Scott Vitter, Min Wang",1998,1
86,conf/sigmod/MelnikRB03,872782,Rondo: A Programming Platform for Generic Model Management,"Philip A. Bernstein, Erhard Rahm, Sergey Melnik",2003,Rondo: a programming platform for generic model management,"Sergey Melnik, Erhard Rahm, Philip A. Bernstein",2003,1
87,conf/sigmod/MinPC03,872775,XPRESS: A Queriable Compression for XML Data,"Myung-Jae Park, Jun-Ki Min, Chin-Wan Chung",2003,XPRESS: a queriable compression for XML data,"Jun-Ki Min, Myung-Jae Park, Chin-Wan Chung",2003,1
88,conf/sigmod/Mohan94,672835,A Survey and Critique of Advanced Transaction Models,C. Mohan,1994,Optimization Algorithms for Exploiting the Parallelism-Communication Tradeoff in Pipelined Parallelism,"Waqar Hasan, Rajeev Motwani",1994,0
89,conf/sigmod/Mohan96,280350,State of the Art in Workflow Management Research and Products,C. Mohan,1996,State of the art in workflow management research and products,C. Mohan,1996,1
90,conf/sigmod/NgLHM99,304575,Exploratory Mining via Constrained Frequent Set Queries,"Jiawei Han, Teresa Mah, Laks V. S. Lakshmanan, Raymond T. Ng",1999,Exploratory mining via constrained frequent set queries,"Raymond Ng, Laks V. S. Lakshmanan, Jiawei Han, Teresa Mah",1999,1
91,conf/sigmod/NguyenACP01,375723,Monitoring XML Data on the Web,"Benjamin Nguyen, Serge Abiteboul, Gregory Cobena, Mihai Preda",2001,Monitoring XML data on the Web,"Benjamin Nguyen, Serge Abiteboul, Grégory Cobena, Mihaí Preda",2001,1
92,conf/sigmod/OhHP00,223895,Efficient and Cost-effective Techniques for Browsing and Indexing Large Video Databases,"Kien A. Hua, Jung-Hwan Oh",2000,VisDB: a system for visualizing large databases,"Daniel A. Keim, Hans-Peter Kriegel",1995,0
93,conf/sigmod/OlstonWACELSS98,276377,DataSplash,"Vuk Ercegovac, Allison Woodruff, Michael Stonebraker, Mark Lin, Mybrid Spalding, Alexander Aiken, Chris Olston, Michael Chu",1998,DataSplash,"Chris Olston, Allison Woodruff, Alexander Aiken, Michael Chu, Vuk Ercegovac, Mark Lin, Mybrid Spalding, Michael Stonebraker",1998,1
94,conf/sigmod/OrdonezC00,335468,SQLEM: Fast Clustering in SQL using the EM Algorithm,"Paul Cereghini, Carlos Ordonez",2000,SQLEM: fast clustering in SQL using the EM algorithm,"Carlos Ordonez, Paul Cereghini",2000,1
95,conf/sigmod/OriaOILY00,381881,DISIMA: A Distributed and Interoperable Image Database System,"Vincent Oria, Benjamin Bin Yao, Shu Lin, Paul Iglinski, M. Tamer zsu",2000,DeeDS towards a distributed and active real-time database system,"S. F. Andler, J. Hansson, J. Eriksson, J. Mellin, M. Berndtsson, B. Eftring",1996,0
96,conf/sigmod/OzdenRSS96,233322,Fault-tolerant Architectures for Continuous Media Servers,"Abraham Silberschatz, Rajeev Rastogi, Banu zden, Prashant J. Shenoy",1996,Fault-tolerant architectures for continuous media servers,"Banu Özden, Rajeev Rastogi, Prashant Shenoy, Avi Silberschatz",1996,1
97,conf/sigmod/PadmanabhanBMCH03,872835,Multi-Dimensional Clustering: A New Data Layout Scheme in DB2,"Bishwaranjan Bhattacharjee, Sriram Padmanabhan, Matthew Huras, Leslie Cranston, Timothy Malkemus",2003,Multi-dimensional clustering: a new data layout scheme in DB2,"Sriram Padmanabhan, Bishwaranjan Bhattacharjee, Tim Malkemus, Leslie Cranston, Matthew Huras",2003,1
98,conf/sigmod/PalmerF00,671345,Density Biased Sampling: An Improved Method for Data Mining and Clustering,"Christopher R. Palmer, Christos Faloutsos",2000,Active Storage for Large-Scale Data Mining and Multimedia,"Erik Riedel, Garth A. Gibson, Christos Faloutsos",1998,0
