id,name,addr,city,type
212-355-7555,dawat,210 e. 58th st.,new york,asian
212-758-1479,felidia,243 e. 58th st.,new york,italian
212-754-9494,four seasons grill room,99 e. 52nd st.,new york,american
212-620-4020,gotham bar & grill,12 e. 12th st.,new york,american
212-477-0777,gramercy tavern,42 e. 20th st.  between park ave. s and broadway,new york,american
212-765-1737,island spice,402 w. 44th st.,new york,tel caribbean
212-223-5656,jo jo,160 e. 64th st.,new york,american
212-586-4252,la caravelle,33 w. 55th st.,new york,french
212-688-6525,la cote basque,60 w. 55th st.  between 5th and 6th ave.,new york,french
212-489-1515,le bernardin,155 w. 51st st.,new york,french
212-484-5113,les celebrites,160 central park s,new york,french
212-339-6719,lespinasse,2 e. 55th st.,new york,american
212-752-2225,lutece,249 e. 50th st.,new york,french
212-371-7777,manhattan ocean club,57 w. 58th st.,new york,seafood
212-754-6272,march,405 e. 58th st.,new york,american
212-807-7400,mesa grill,102 5th ave.  between 15th and 16th sts.,new york,american
212-627-8273,mi cocina,57 jane st.  off hudson st.,new york,mexican
212-219-2777,montrachet,239 w. broadway  between walker and white sts.,new york,french
212-759-5941,oceana,55 e. 54th st.,new york,seafood
212-644-1900,park avenue cafe,100 e. 63rd st.,new york,american
212-245-2214,petrossian,182 w. 58th st.,new york,french
212-724-8585,picholine,35 w. 64th st.,new york,mediterranean
212-260-6660,pisces,95 ave. a at 6th st.,new york,seafood
212-632-5000,rainbow room,30 rockefeller plaza,new york,or 212/632-5100 american
718-522-5200,river cafe,1 water st. at the east river,brooklyn,american
212-265-5959,san domenico,240 central park s,new york,italian
212-677-0606,second avenue deli,156 2nd ave. at 10th st.,new york,delicatessen
212-980-9393,seryna,11 e. 53rd st.,new york,asian
212-371-8844,shun lee west,43 w. 65th st.,new york,asian
212-861-8080,sign of the dove,1110 3rd ave. at 65th st.,new york,american
212-753-1530,smith & wollensky,201 e. 49th st.,new york,american
212-873-3200,tavern on the green,in central park at 67th st.,new york,american
212-315-1726,uncle nick's,747 9th ave.  between 50th and 51st sts.,new york,mediterranean
212-243-4020,union square cafe,21 e. 16th st.,new york,american
212-921-9494,virgil's,152 w. 44th st.,new york,american
702-733-8899,chin's,3200 las vegas blvd. s,las vegas,asian
702-891-7349,coyote cafe,3799 las vegas blvd. s,las vegas,southwestern
702-732-5111,le montrachet,3000 w. paradise rd.,las vegas,continental
702-385-3232,second street grille,200 e. fremont st.,las vegas,seafood
702-731-4036,tillerman,2245 e. flamingo rd.,las vegas,seafood
404-261-8186,abruzzi,2355 peachtree rd.  peachtree battle shopping center,atlanta,italian
404-365-0410,bacchanalia,3125 piedmont rd.  near peachtree rd.,atlanta,international
404-237-2663,bone's,3130 piedmont road,atlanta,american
404-266-1440,brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,atlanta,french
404-262-3336,buckhead diner,3073 piedmont road,atlanta,american
404-874-7600,ciboulette,1529 piedmont ave.,atlanta,french
404-681-2909,delectables,1 margaret mitchell sq.,atlanta,american
404-352-3517,georgia grille,2290 peachtree rd.  peachtree square shopping center,atlanta,american
404-233-7673,hedgerose heights inn,490 e. paces ferry rd.,atlanta,international
404-876-4408,heera of india,595 piedmont ave.  rio shopping mall,atlanta,asian
404-876-0676,indigo coastal grill,1397 n. highland ave.,atlanta,caribbean
404-231-1368,la grotta,2637 peachtree rd.  peachtree house condominium,atlanta,italian
404-876-1800,mary mac's tea room,224 ponce de leon ave.,atlanta,southern
404-221-6362,nikolai's roof,255 courtland st.  at harris st.,atlanta,continental
404-261-3662,pano's and paul's,1232 w. paces ferry rd.,atlanta,international
404-659-0400,restaurant  ritz-carlton  atlanta,181 peachtree st.,atlanta,continental
404-351-9533,toulouse,b peachtree rd.,atlanta,french
404-875-8424,veni vidi vici,41 14th st.,atlanta,italian
415-387-0408,alain rondelli,126 clement st.,san francisco,french
415-956-9662,aqua,252 california st.,san francisco,seafood
415-543-6084,boulevard,1 mission st.,san francisco,american
415-392-3505,cafe claude,7 claude la.,san francisco,french
415-955-5555,campton place,340 stockton st.,san francisco,american
415-775-7036,chez michel,804 northpoint,san francisco,french
415-673-7779,fleur de lys,777 sutter st.,san francisco,french
415-543-0573,fringale,570 4th st.,san francisco,french
415-777-9779,hawthorne lane,22 hawthorne st.,san francisco,american
415-668-6654,khan toke thai house,5937 geary blvd.,san francisco,asian
415-776-5577,la folie,2316 polk st.,san francisco,french
415-495-5775,lulu,816 folsom st.,san francisco,mediterranean
415-989-7154,masa's,648 bush st.,san francisco,french
415-922-0337,mifune japan center  kintetsu building,1737 post st.,san francisco,asian
415-563-4755,plumpjack cafe,3201 fillmore st.,san francisco,mediterranean
415-776-7825,postrio,545 post st.,san francisco,american
415-296-7465,ritz-carlton restaurant and dining room,600 stockton st.,san francisco,american
415-399-0499,rose pistola,532 columbus ave.,san francisco,italian
