id,name,addr,city,type
404-237-2700,ritz-carlton dining room (buckhead), 3434 peachtree rd. ne, atlanta, american (new)
404-659-0400,ritz-carlton restaurant, 181 peachtree st., atlanta, french (classic)
404-351-9533,toulouse, 293-b peachtree rd., atlanta, french (new)
404-875-8424,veni vidi vici, 41 14th st., atlanta, italian
415-387-0408,alain rondelli, 126 clement st., san francisco, french (new)
415-956-9662,aqua, 252 california st., san francisco, american (new)
415-543-6084,boulevard, 1 mission st., san francisco, american (new)
415-392-3505,cafe claude, 7 claude ln., san francisco, french bistro
415-955-5555,campton place, 340 stockton st., san francisco, american (new)
415-775-7036,chez michel, 804 north point st., san francisco, californian
415-673-7779,fleur de lys, 777 sutter st., san francisco, french (new)
415-543-0573,fringale, 570 fourth st., san francisco, french bistro
415-777-9779,hawthorne lane, 22 hawthorne st., san francisco, californian
415-668-6654,khan toke thai house, 5937 geary blvd., san francisco, thai
415-776-5577,la folie, 2316 polk st., san francisco, french (new)
415-495-5775,lulu restaurant-bis-cafe, 816 folsom st., san francisco, mediterranean
415-989-7154,masa's, 648 bush st., san francisco, french (new)
415-922-0337,mifune, 1737 post st., san francisco, japanese
415-563-4755,plumpjack cafe, 3127 fillmore st., san francisco, american (new)
415-776-7825,postrio, 545 post st., san francisco, californian
415-296-7465,ritz-carlton dining room (san francisco), 600 stockton st., san francisco, french (new)
415-399-0499,rose pistola, 532 columbus ave., san francisco, italian
310-475-3585,apple pan  the, 10801 w. pico blvd., west la, american
310-479-2231,asahi ramen, 2027 sawtelle blvd., west la, noodle shops
805-498-4049,baja fresh, 3345 kimber dr., westlake village, mexican
310-788-2306,belvedere  the, 9882 little santa monica blvd., beverly hills, pacific new wave
310-458-2889,benita's frites, 1433 third st. promenade, santa monica, fast food
213-612-1580,bernard's, 515 s. olive st., los angeles, continental
818-795-2478,bistro 45, 45 s. mentor ave., pasadena, californian
818-886-5679,brent's deli, 19565 parthenia ave., northridge, delis
310-276-7732,brighton coffee shop, 9600 brighton way, beverly hills, coffee shops
310-643-5229,bristol farms market cafe, 1570 rosecrans ave. s., pasadena, californian
310-397-5703,bruno's, 3838 centinela ave., mar vista, italian
310-399-1955,cafe '50s, 838 lincoln blvd., venice, american
310-888-0108,cafe blanc, 9777 little santa monica blvd., beverly hills, pacific new wave
213-480-8668,cassell's, 3266 w. sixth st., la, hamburgers
310-540-1222,chez melange, 1716 pch, redondo beach, eclectic
310-854-1111,diaghilev, 1020 n. san vicente blvd., w. hollywood, russian
310-209-1422,don antonio's, 1136 westwood blvd., westwood, italian
310-652-3100,duke's, 8909 sunset blvd., w. hollywood, coffee shops
310-208-4444,falafel king, 1059 broxton ave., westwood, middle eastern
310-475-0400,feast from the east, 1949 westwood blvd., west la, chinese
213-933-0358,gumbo pot  the, 6333 w. third st., la, cajun/creole
213-467-7678,hollywood hills coffee shop, 6145 franklin ave., hollywood, coffee shops
310-815-1290,indo cafe, 10428 1/2 national blvd., la, indonesian
213-651-2866,jan's family restaurant, 8424 beverly blvd., la, coffee shops
310-917-6671,jiraffe, 502 santa monica blvd, santa monica, californian
310-306-1995,jody maroni's sausage kingdom, 2011 ocean front walk, venice, hot dogs
310-399-5811,joe's, 1023 abbot kinney blvd., venice, american (new)
310-204-0692,john o'groats, 10516 w. pico blvd., west la, coffee shops
310-397-6654,johnnie's pastrami, 4017 s. sepulveda blvd., culver city, delis
310-423-7327,johnny reb's southern smokehouse, 4663 long beach blvd., long beach, southern/soul
213-651-3361,johnny rockets (la), 7507 melrose ave., la, american
818-508-1570,killer shrimp, 4000 colfax ave., studio city, seafood
213-933-0773,kokomo cafe, 6333 w. third st., la, american
213-655-9045,koo koo roo, 8393 w. beverly blvd., la, chicken
310-470-4992,la cachette, 10506 little santa monica blvd., century city, french (new)
310-456-6299,la salsa (la), 22800 pch, malibu, mexican
213-265-2887,la serenata de garibaldi, 1842 e. first, st. boyle hts., mexican/tex-mex
213-483-8050,langer's, 704 s. alvarado st., la, delis
818-706-7706,local nochol, 30869 thousand oaks blvd., westlake village, health food
310-475-7564,main course  the, 10509 w. pico blvd., rancho park, american
213-938-8800,mani's bakery & espresso bar, 519 s. fairfax ave., la, desserts
310-376-7786,martha's, 22nd street grill 25 22nd, st. hermosa beach, american
310-306-7829,maxwell's cafe, 13329 washington blvd., marina del rey, american
310-451-0843,michael's (los angeles), 1147 third st., santa monica, californian
213-782-0181,mishima, 8474 w. third st., la, noodle shops
213-935-5280,mo better meatty meat, 7261 melrose ave., la, hamburgers
818-906-8881,mulberry st., 17040 ventura blvd., encino, pizza
310-452-5728,ocean park cafe, 3117 ocean park blvd., santa monica, american
818-308-2128,ocean star, 145 n. atlantic blvd., monterey park, seafood
213-627-6879,original pantry bakery, 875 s. figueroa st. downtown, la, diners
818-795-1001,parkway grill, 510 s. arroyo pkwy., pasadena, californian
213-626-5530,pho hoa, 642 broadway, chinatown, vietnamese
213-931-4223,pink's famous chili dogs, 709 n. la brea ave., la, hot dogs
818-563-2252,poquito mas, 2635 w. olive ave., burbank, mexican
213-687-7178,r-23, 923 e. third st., los angeles, japanese
310-828-7937,rae's, 2901 pico blvd., santa monica, diners
818-905-6515,rubin's red hots, 15322 ventura blvd., encino, hot dogs
818-796-7829,ruby's (la), 45 s. fair oaks ave., pasadena, diners
310-596-9556,russell's burgers, 1198 pch, seal beach, hamburgers
310-859-8744,ruth's chris steak house (los angeles), 224 s. beverly dr., beverly hills, steakhouses
818-799-4774,shiro, 1505 mission st. s., pasadena, pacific new wave
818-508-7017,sushi nozawa, 11288 ventura blvd., studio city, japanese
213-653-7145,sweet lady jane, 8360 melrose ave., la, desserts
310-207-7782,taiko, 11677 san vicente blvd., brentwood, noodle shops
213-389-9060,tommy's, 2575 beverly blvd., la, hamburgers
310-545-5177,uncle bill's pancake house, 1305 highland ave., manhattan beach, diners
213-891-0900,water grill, 544 s. grand ave., los angeles, seafood
818-244-1937,zankou chicken, 1415 e. colorado st., glendale, middle eastern
212-307-1612,afghan kebab house, 764 ninth ave., new york city, afghan
212-223-2900,arcadia, 21 e. 62nd st., new york city, american (new)
212-254-2054,benny's burritos, 93 ave. a, new york city, mexican
212-595-7000,cafe con leche, 424 amsterdam ave., new york city, cuban
212-242-9502,corner bistro, 331 w. fourth st., new york city, hamburgers
212-242-0636,cucina della fontana, 368 bleecker st., new york city, italian
212-260-6800,cucina di pesce, 87 e. fourth st., new york city, seafood
212-432-7227,darbar, 44 w. 56th st., new york city, indian
212-473-5555,ej's luncheonette, 432 sixth ave., new york city, diners
212-840-5000,edison cafe, 228 w. 47th st., new york city, diners
718-932-1510,elias corner, 24-02 31st st., queens, greek
212-496-0163,good enough to eat, 483 amsterdam ave., new york city, american
212-799-0243,gray's papaya, 2090 broadway, new york city, hot dogs
212-673-3783,il mulino, 86 w. third st., new york city, italian
718-672-1232,jackson diner, 37-03 74th st., queens, indian
718-539-3838,joe's shanghai, 9 pell st., queens, chinese
212-721-7001,john's pizzeria, 48 w. 65th st., new york city, pizza
212-228-1212,kelley & ping, 127 greene st., new york city, pan-asian
212-674-4040,kiev, 117 second ave., new york city, ukrainian
212-317-2802,kuruma zushi, 2nd fl., new york city, japanese
212-874-2780,la caridad, 2199 broadway, new york city, cuban
212-752-1495,la grenouille, 3 e. 52nd st., new york city, french (classic)
718-399-7100,lemongrass grill, 61a seventh ave., brooklyn, thai
212-941-7994,lombardi's, 32 spring st., new york city, pizza
212-741-3214,marnie's noodle shop, 466 hudson st., new york city, asian
212-247-1585,menchanko-tei, 39 w. 55th st., new york city, japanese
212-989-1367,mitali east-west, 296 bleecker st., new york city, indian
212-580-8686,monsoon (ny), 435 amsterdam ave., new york city, thai
718-852-5555,moustache, 405 atlantic ave., brooklyn, middle eastern
212-219-0500,nobu, 105 hudson st., new york city, japanese
212-228-0822,one if by land  tibs, 17 barrow st., new york city, continental
212-490-6650,oyster bar, lower level, new york city, seafood
212-687-2953,palm, 837 second ave., new york city, steakhouses
212-697-5198,palm too, 840 second ave., new york city, steakhouses
718-858-4300,patsy's pizza, 19 old fulton st., brooklyn, pizza
718-387-7400,peter luger steak house, 178 broadway, brooklyn, steakhouses
212-533-5011,rose of india, 308 e. sixth st., new york city, indian
212-213-2288,sam's noodle shop, 411 third ave., new york city, chinese
212-410-7335,sarabeth's, 1295 madison ave., new york city, american
212-687-4855,sparks steak house, 210 e. 46th st., new york city, steakhouses
718-937-3030,stick to your ribs, 5-16 51st ave., queens, bbq
212-755-1780,sushisay, 38 e. 51st st., new york city, japanese
212-996-0660,sylvia's, 328 lenox ave., new york city, southern/soul
212-535-5223,szechuan hunan cottage, 1588 york ave., new york city, chinese
212-249-4615,szechuan kitchen, 1460 first ave., new york city, chinese
718-520-2910,teresa's, 80 montague st., queens, polish
212-334-1085,thai house cafe, 151 hudson st., new york city, thai
212-349-3132,thailand restaurant, 106 bayard st., new york city, thai
212-228-9682,veselka, 144 second ave., new york city, ukrainian
212-245-0800,westside cottage, 689 ninth ave., new york city, chinese
212-524-7000,windows on the world, 107th fl., new york city, eclectic
212-753-0444,wollensky's grill, 205 e. 49th st., new york city, steakhouses
212-475-0969,yama, 122 e. 17th st., new york city, japanese
212-644-6740,zarela, 953 second ave., new york city, mexican
702-385-5016,andre's french restaurant, 401 s. 6th st., las vegas, french (classic)
702-894-7350,buccaneer bay club, 3300 las vegas blvd. s., las vegas, continental
702-252-7697,buzio's in the rio, 3700 w. flamingo rd., las vegas, seafood
702-891-7374,emeril's new orleans fish house, 3799 las vegas blvd. s., las vegas, seafood
702-252-7702,fiore rotisserie & grille, 3700 w. flamingo rd., las vegas, italian
702-385-4011,hugo's cellar, 202 e. fremont st., las vegas, continental
702-894-7111,madame ching's, 3300 las vegas blvd. s., las vegas, asian
702-870-8432,mayflower cuisinier, 4750 w. sahara ave., las vegas, chinese
702-737-7111,michael's (las vegas), 3595 las vegas blvd. s., las vegas, continental
702-733-4524,monte carlo, 3145 las vegas blvd. s., las vegas, french (new)
702-791-7352,moongate, 3400 las vegas blvd. s., las vegas, chinese
702-893-0703,morton's of chicago (las vegas), 3200 las vegas blvd. s., las vegas, steakhouses
702-792-9900,nicky blair's, 3925 paradise rd., las vegas, italian
702-369-2305,piero's restaurant, 355 convention center dr., las vegas, italian
702-369-6300,spago (las vegas), 3500 las vegas blvd. s., las vegas, californian
702-382-1600,steakhouse  the, 128 e. fremont st., las vegas, steakhouses
702-385-7111,stefano's, 129 fremont st., las vegas, italian
702-739-4651,sterling brunch, 3645 las vegas blvd. s., las vegas, eclectic
702-891-7331,tre visi, 3799 las vegas blvd. s., las vegas, italian
404-233-5993,103 west, 103 w. paces ferry rd., atlanta, continental
404-724-0444,alon's at the terrace, 659 peachtree st., atlanta, sandwiches
404-223-5039,baker's cajun cafe, 1134 euclid ave., atlanta, cajun/creole
404-766-9906,barbecue kitchen, 1437 virginia ave., atlanta, bbq
404-231-5733,bistro  the, 56 e. andrews dr. nw, atlanta, french bistro
404-876-3872,bobby & june's kountry kitchen, 375 14th st., atlanta, southern/soul
404-261-7015,bradshaw's restaurant, 2911 s. pharr court, atlanta, southern/soul
404-231-5907,brookhaven cafe, 4274 peachtree rd., atlanta, vegetarian
404-256-1675,cafe sunflower, 5975 roswell rd., atlanta, health food
770-432-2663,canoe, 4199 paces ferry rd., atlanta, american (new)
770-422-8042,carey's, 1021 cobb pkwy. se, marietta, hamburgers
770-933-0909,carey's corner, 1215 powers ferry rd., marietta, hamburgers
404-262-2675,chops, 70 w. paces ferry rd., atlanta, steakhouses
404-255-4868,chopstix, 4279 roswell rd., atlanta, chinese
404-523-1929,deacon burton's soulfood restaurant, 1029 edgewood ave. se, atlanta, southern/soul
404-888-9149,eats, 600 ponce de leon ave., atlanta, italian
404-687-8888,flying biscuit  the, 1655 mclendon ave., atlanta, eclectic
404-892-8226,frijoleros, 1031 peachtree st. ne, atlanta, tex-mex
770-992-5383,greenwood's, 1087 green st., roswell, southern/soul
404-627-9268,harold's barbecue, 171 mcdonough blvd., atlanta, bbq
404-636-4094,havana sandwich shop, 2905 buford hwy., atlanta, cuban
770-955-9444,house of chan, 2469 cobb pkwy., smyrna, chinese
100-813-8212,indian delights, 3675 satellite blvd., duluth, indian
404-876-6161,java jive, 790 ponce de leon ave., atlanta, coffee shops
770-955-6068,johnny rockets (at), 2970 cobb pkwy., atlanta, american
404-325-3733,kalo's coffee house, 1248 clairmont rd., decatur, coffeehouses
404-303-8201,la fonda latina, 4427 roswell rd., atlanta, spanish
770-418-9969,lettuce souprise you (at), 3525 mall blvd., duluth, cafeterias
404-875-0276,majestic, 1031 ponce de leon ave., atlanta, diners
404-577-4366,morton's of chicago (atlanta), 303 peachtree st. ne, atlanta, steakhouses
404-636-4280,my thai, 1248 clairmont rd., atlanta, thai
404-240-1984,nava, 3060 peachtree rd., atlanta, southwestern
404-352-9009,nuevo laredo cantina, 1495 chattahoochee ave. nw, atlanta, mexican
404-237-4116,original pancake house (at), 4330 peachtree rd., atlanta, american
404-814-1955,palm  the (atlanta), 3391 peachtree rd. ne, atlanta, steakhouses
404-633-3538,rainbow restaurant, 2118 n. decatur rd., decatur, vegetarian
404-659-0400,ritz-carlton cafe (atlanta), 181 peachtree st., atlanta, american (new)
404-262-7112,riviera, 519 e. paces ferry rd., atlanta, mediterranean
404-874-1388,silver skillet  the, 200 14th st. nw, atlanta, coffee shops
404-233-2005,soto, 3330 piedmont rd., atlanta, japanese
404-688-5855,thelma's kitchen, 764 marietta st. nw, atlanta, cafeterias
404-892-0193,tortillas, 774 ponce de leon ave. ne, atlanta, tex-mex
770-993-1156,van gogh's restaurant & bar, 70 w. crossville rd., roswell, american (new)
404-231-3111,veggieland, 220 sandy springs circle, atlanta, vegetarian
404-237-7601,white house restaurant, 3172 peachtree rd. ne, atlanta, diners
404-768-2705,zab-e-lee, 4837 old national hwy., college park, thai
415-221-5262,bill's place, 2315 clement st., san francisco, hamburgers
415-621-8579,cafe flore, 2298 market st., san francisco, californian
415-397-6261,caffe greco, 423 columbus ave., san francisco, continental
415-433-9623,campo santo, 240 columbus ave., san francisco, mexican
415-386-5758,cha cha cha's, 1805 haight st., san francisco, caribbean
415-921-2149,doidge's, 2217 union st., san francisco, american
415-885-2767,dottie's true blue cafe, 522 jones st., san francisco, diners
415-826-4639,dusit thai, 3221 mission st., san francisco, thai
415-566-1770,ebisu, 1283 ninth ave., san francisco, japanese
415-673-1155,emerald garden restaurant, 1550 california st., san francisco, vietnamese
415-282-0919,eric's chinese restaurant, 1500 church st., san francisco, chinese
415-626-1985,hamburger mary's, 1582 folsom st., san francisco, hamburgers
415-362-4454,kelly's on trinity, 333 bush st., san francisco, californian
415-863-8205,la cumbre, 515 valencia st., san francisco, mexican
415-431-7210,la mediterranee, 288 noe st., san francisco, mediterranean
415-285-7117,la taqueria, 2889 mission st., san francisco, mexican
415-776-8226,mario's bohemian cigar store cafe, 2209 polk st., san francisco, italian
415-665-9500,marnee thai, 2225 irving st., san francisco, thai
415-387-2244,mel's drive-in, 3355 geary st., san francisco, hamburgers
415-788-3779,mo's burgers, 1322 grant st., san francisco, hamburgers
415-775-5979,phnom penh cambodian restaurant, 631 larkin st., san francisco, cambodian
415-550-9213,roosevelt tamale parlor, 2817 24th st., san francisco, mexican
415-626-6006,sally's cafe & bakery, 300 de haro st., san francisco, american
415-431-8956,san francisco bbq, 1328 18th st., san francisco, thai
415-861-8032,slanted door, 584 valencia st., san francisco, vietnamese
415-673-1101,swan oyster depot, 1517 polk st., san francisco, seafood
415-431-2526,thep phanom, 400 waller st., san francisco, thai
415-252-7373,ti couz, 3108 16th st., san francisco, french
415-563-2248,trio cafe, 1870 fillmore st., san francisco, american
415-626-0927,tu lan, 8 sixth st., san francisco, vietnamese
415-863-2382,vicolo pizzeria, 201 ivy st., san francisco, pizza
415-775-1055,wa-ha-ka oaxaca mexican grill, 2141 polk st., san francisco, mexican
