id,name,addr,city,type
404-351-9533,toulouse,293-b peachtree rd.,atlanta,french (new)
404-875-8424,veni vidi vici,41 14th st.,atlanta,italian
415-387-0408,alain rondelli,126 clement st.,san francisco,french (new)
415-956-9662,aqua,252 california st.,san francisco,american (new)
415-543-6084,boulevard,1 mission st.,san francisco,american (new)
415-392-3505,cafe claude,7 claude ln.,san francisco,french bistro
415-955-5555,campton place,340 stockton st.,san francisco,american (new)
415-775-7036,chez michel,804 north point st.,san francisco,californian
415-673-7779,fleur de lys,777 sutter st.,san francisco,french (new)
415-543-0573,fringale,570 fourth st.,san francisco,french bistro
415-777-9779,hawthorne lane,22 hawthorne st.,san francisco,californian
415-668-6654,khan toke thai house,5937 geary blvd.,san francisco,thai
415-776-5577,la folie,2316 polk st.,san francisco,french (new)
415-495-5775,lulu restaurant-bis-cafe,816 folsom st.,san francisco,mediterranean
415-989-7154,masa's,648 bush st.,san francisco,french (new)
415-922-0337,mifune,1737 post st.,san francisco,japanese
415-563-4755,plumpjack cafe,3127 fillmore st.,san francisco,american (new)
415-776-7825,postrio,545 post st.,san francisco,californian
415-296-7465,ritz-carlton dining room (san francisco),600 stockton st.,san francisco,french (new)
415-399-0499,rose pistola,532 columbus ave.,san francisco,italian
