id,name,addr,city,type
212-758-1479,felidia, 243 e. 58th st., new york, italian
212-754-9494,four seasons grill room, 99 e. 52nd st., new york, american
212-620-4020,gotham bar & grill, 12 e. 12th st., new york, american
212-477-0777,gramercy tavern, 42 e. 20th st.  between park ave. s and broadway, new york, american
212-765-1737,island spice, 402 w. 44th st., new york, tel caribbean
212-223-5656,jo jo, 160 e. 64th st., new york, american
212-586-4252,la caravelle, 33 w. 55th st., new york, french
212-688-6525,la cote basque, 60 w. 55th st.  between 5th and 6th ave., new york, french
212-489-1515,le bernardin, 155 w. 51st st., new york, french
212-484-5113,les celebrites, 160 central park s, new york, french
212-339-6719,lespinasse, 2 e. 55th st., new york, american
212-752-2225,lutece, 249 e. 50th st., new york, french
212-371-7777,manhattan ocean club, 57 w. 58th st., new york, seafood
212-754-6272,march, 405 e. 58th st., new york, american
212-807-7400,mesa grill, 102 5th ave.  between 15th and 16th sts., new york, american
212-627-8273,mi cocina, 57 jane st.  off hudson st., new york, mexican
212-219-2777,montrachet, 239 w. broadway  between walker and white sts., new york, french
212-759-5941,oceana, 55 e. 54th st., new york, seafood
212-644-1900,park avenue cafe, 100 e. 63rd st., new york, american
212-245-2214,petrossian, 182 w. 58th st., new york, french
212-724-8585,picholine, 35 w. 64th st., new york, mediterranean
212-260-6660,pisces, 95 ave. a at 6th st., new york, seafood
212-632-5000,rainbow room, 30 rockefeller plaza, new york, or 212/632-5100 american
718-522-5200,river cafe, 1 water st. at the east river, brooklyn, american
212-265-5959,san domenico, 240 central park s, new york, italian
212-677-0606,second avenue deli, 156 2nd ave. at 10th st., new york, delicatessen
212-980-9393,seryna, 11 e. 53rd st., new york, asian
212-371-8844,shun lee west, 43 w. 65th st., new york, asian
212-861-8080,sign of the dove, 1110 3rd ave. at 65th st., new york, american
212-753-1530,smith & wollensky, 201 e. 49th st., new york, american
212-873-3200,tavern on the green, in central park at 67th st., new york, american
212-315-1726,uncle nick's, 747 9th ave.  between 50th and 51st sts., new york, mediterranean
212-243-4020,union square cafe, 21 e. 16th st., new york, american
212-921-9494,virgil's, 152 w. 44th st., new york, american
702-733-8899,chin's, 3200 las vegas blvd. s, las vegas, asian
702-891-7349,coyote cafe, 3799 las vegas blvd. s, las vegas, southwestern
702-732-5111,le montrachet, 3000 w. paradise rd., las vegas, continental
702-731-7547,palace court, 3570 las vegas blvd. s, las vegas, continental
702-385-3232,second street grille, 200 e. fremont st., las vegas, seafood
702-734-0410,steak house, 2880 las vegas blvd. s, las vegas, steak houses
702-731-4036,tillerman, 2245 e. flamingo rd., las vegas, seafood
404-261-8186,abruzzi, 2355 peachtree rd.  peachtree battle shopping center, atlanta, italian
404-365-0410,bacchanalia, 3125 piedmont rd.  near peachtree rd., atlanta, international
404-237-2663,bone's, 3130 piedmont road, atlanta, american
404-266-1440,brasserie le coze, 3393 peachtree rd.  lenox square mall  near neiman marcus, atlanta, french
404-262-3336,buckhead diner, 3073 piedmont road, atlanta, american
404-874-7600,ciboulette, 1529 piedmont ave., atlanta, french
404-681-2909,delectables, 1 margaret mitchell sq., atlanta, american
404-352-3517,georgia grille, 2290 peachtree rd.  peachtree square shopping center, atlanta, american
404-233-7673,hedgerose heights inn, 490 e. paces ferry rd., atlanta, international
404-876-4408,heera of india, 595 piedmont ave.  rio shopping mall, atlanta, asian
404-876-0676,indigo coastal grill, 1397 n. highland ave., atlanta, caribbean
404-231-1368,la grotta, 2637 peachtree rd.  peachtree house condominium, atlanta, italian
404-876-1800,mary mac's tea room, 224 ponce de leon ave., atlanta, southern
404-221-6362,nikolai's roof, 255 courtland st.  at harris st., atlanta, continental
404-261-3662,pano's and paul's, 1232 w. paces ferry rd., atlanta, international
404-237-2700,cafe  ritz-carlton  buckhead, 3434 peachtree rd., atlanta, ext 6108 international
404-237-2700,dining room  ritz-carlton  buckhead, 3434 peachtree rd., atlanta, international
404-659-0400,restaurant  ritz-carlton  atlanta, 181 peachtree st., atlanta, continental
404-351-9533,toulouse, b peachtree rd., atlanta, french
404-875-8424,veni vidi vici, 41 14th st., atlanta, italian
415-387-0408,alain rondelli, 126 clement st., san francisco, french
415-956-9662,aqua, 252 california st., san francisco, seafood
415-543-6084,boulevard, 1 mission st., san francisco, american
415-392-3505,cafe claude, 7 claude la., san francisco, french
415-955-5555,campton place, 340 stockton st., san francisco, american
415-775-7036,chez michel, 804 northpoint, san francisco, french
415-673-7779,fleur de lys, 777 sutter st., san francisco, french
415-543-0573,fringale, 570 4th st., san francisco, french
415-777-9779,hawthorne lane, 22 hawthorne st., san francisco, american
415-668-6654,khan toke thai house, 5937 geary blvd., san francisco, asian
415-776-5577,la folie, 2316 polk st., san francisco, french
415-495-5775,lulu, 816 folsom st., san francisco, mediterranean
415-989-7154,masa's, 648 bush st., san francisco, french
415-922-0337,mifune japan center  kintetsu building, 1737 post st., san francisco, asian
415-563-4755,plumpjack cafe, 3201 fillmore st., san francisco, mediterranean
415-776-7825,postrio, 545 post st., san francisco, american
415-296-7465,ritz-carlton restaurant and dining room, 600 stockton st., san francisco, american
415-399-0499,rose pistola, 532 columbus ave., san francisco, italian
310-475-9807,adriano's ristorante, 2930 beverly glen circle, los angeles, italian
310-777-5877,barney greengrass, 9570 wilshire blvd., beverly hills, american
310-456-5733,beaurivage, 26025 pacific coast hwy., malibu, french
310-550-3900,bistro garden, 176 n. canon dr., los angeles, californian
310-451-1655,border grill, 4th st., los angeles, mexican
310-451-0616,broadway deli, 3rd st. promenade, santa monica, american
213-938-2863,ca'brea, 346 s. la brea ave., los angeles, italian
818-985-4669,ca'del sol, 4100 cahuenga blvd., los angeles, italian
213-239-6500,cafe pinot, 700 w. fifth st., los angeles, californian
310-275-1101,california pizza kitchen, 207 s. beverly dr., los angeles, californian
213-651-2030.,canter's, 419 n. fairfax ave., los angeles, american
213-658-8898,cava, 3rd st., los angeles, mediterranean
213-664-7723,cha cha cha, 656 n. virgil ave., los angeles, caribbean
213-467-1052,chan dara, 310 n. larchmont blvd., los angeles, asian
818-356-0959,clearwater cafe, 168 w. colorado blvd., los angeles, health food
310-275-5200,dining room, 9500 wilshire blvd., los angeles, californian
310-788-,dive!, 10250 santa monica blvd., los angeles, dive american
310-828-1585,drago, 2628 wilshire blvd., santa monica, italian
310-358-8585,drai's, 730 n. la cienega blvd., los angeles, french
310-208-8765,dynasty room, 930 hilgard ave., los angeles, continental
310-724-5959,eclipse, 8800 melrose ave., los angeles, californian
310-659-1952,ed debevic's, 134 n. la cienega, los angeles, american
213-734-2773,el cholo, 1121 s. western ave., los angeles, mexican
310-392-3901,gilliland's, 2424 main st., santa monica, american
310-454-3474,gladstone's, 4 fish 17300 pacific coast hwy. at sunset blvd., pacific palisades, american
310-276-7605,hard rock cafe, 8600 beverly blvd., los angeles, american
310-277-2333,harry's bar & american grill, 2020 ave. of the stars, los angeles, italian
310-550-8330,il fornaio cucina italiana, 301 n. beverly dr., los angeles, italian
310-837-6662,jack sprat's grill, 10668 w. pico blvd., los angeles, health food
310-273-5578,jackson's farm, 439 n. beverly drive, los angeles, californian
310-552-2394,jimmy's, 201 moreno dr., los angeles, continental
310-276-1886,joss, 9255 sunset blvd., los angeles, asian
310-289-0660,le colonial, 8783 beverly blvd., los angeles, asian
310-659-6919,le dome, 8720 sunset blvd., los angeles, french
213-667-0777,louise's trattoria, 4500 los feliz blvd., los angeles, italian
213-628-6717,mon kee seafood restaurant, 679 n. spring st., los angeles, asian
310-276-5205,morton's, 8764 melrose ave., los angeles, american
310-274-0101,nate 'n' al's, 414 n. beverly dr., los angeles, american
213-485-0927,nicola, 601 s. figueroa st., los angeles, american
310-394-5669,ocean avenue, 1401 ocean ave., santa monica, american
310-479-4187,orleans, 11705 national blvd., los angeles, cajun
213-483-6000,pacific dining car, 6th st., los angeles, american
818-761-9126,paty's, 10001 riverside dr., toluca lake, american
213-461-8800,pinot hollywood, 1448 n. gower st., los angeles, californian
818-784-4400,posto, 14928 ventura blvd., sherman oaks, italian
310-277-7346,prego, 362 n. camden dr., los angeles, italian
310-274-7427,rj's the rib joint, 252 n. beverly dr., los angeles, american
310-393-6545,remi, 3rd st. promenade, santa monica, italian
213-680-9355,restaurant horikawa, 111 s. san pedro st., los angeles, asian
213-466-9329,roscoe's house of chicken 'n' waffles, 1514 n. gower st., los angeles, american
310-399-4800,schatzi on main, 3110 main st., los angeles, continental
213-651-0346,sofi, 3rd st., los angeles, mediterranean
213-653-5858,swingers, 8020 beverly blvd., los angeles, american
213-658-6340,tavola calda, 7371 melrose ave., los angeles, italian
310-859-0926,the mandarin, 430 n. camden dr., los angeles, asian
213-937-5733,tommy tang's, 7313 melrose ave., los angeles, asian
310-456-0169,tra di noi, 3835 cross creek rd., los angeles, italian
310-276-6345,trader vic's, 9876 wilshire blvd., los angeles, asian
213-660-4446,vida, 1930 north hillhurst ave., los feliz, american
310-823-5396,west beach cafe, 60 n. venice blvd., los angeles, american
212-964-0380,20 mott, 20 mott st.  between bowery and pell st., new york, asian
212-989-1220,9 jones street, 9 jones st., new york, american
212-903-3918,adrienne, 700 5th ave. at 55th st., new york, french
212-473-2602,agrotikon, 322 e. 14 st.  between 1st and 2nd aves., new york, mediterranean
212-473-8388,aja, 937 broadway at 22nd st., new york, american
212-759-0590,alamo, 304 e. 48th st., new york, mexican
212-627-8899,alley's end, 311 w. 17th st., new york, american
212-702-5014,ambassador grill, 1 united nations plaza at 44th st., new york, american
212-684-2122,american place, 2 park ave. at 32nd st., new york, american
212-308-0112,anche vivolo, 222 e. 58th st.  between 2nd and 3rd aves., new york, italian
212-838-0440,arizona, 206 206 e. 60th st., new york, american
212-677-3820,arturo's, 106 w. houston st.  off thompson st., new york, italian
212-385-0313,au mandarin, 200-250 vesey st. world financial center, new york, asian
212-355-1112,bar anise, 1022 3rd ave.  between 60th and 61st sts., new york, mediterranean
212-246-9171,barbetta, 321 w. 46th st., new york, italian
212-581-8888,ben benson's, 123 w. 52nd st., new york, american
212-206-0059,big cup, 228 8th ave.  between 21st and 22nd sts., new york, coffee bar
212-753-1870,billy's, 948 1st ave.  between 52nd and 53rd sts., new york, american
212-473-0108,boca chica, 13 1st ave.  near 1st st., new york, latin american
212-228-2200,bolo, 23 e. 22nd st., new york, mediterranean
212-249-8484,boonthai, 1393a 2nd ave.  between 72nd and 73rd sts., new york, asian
212-758-0323,bouterin, 420 e. 59th st.  off 1st ave., new york, french
212-727-2775,brothers bar-b-q, 225 varick st. at clarkston st., new york, american
212-688-4190,bruno, 240 e. 58th st., new york, italian
212-840-6500,bryant park grill  roof restaurant and bp cafe, 25 w. 40th st.  between 5th and 6th aves., new york, american
212-254-1200,c3, 103 waverly pl.  near washington sq., new york, american
212-995-8500,ct, 111 e. 22nd st.  between park ave. s and lexington ave., new york, french
212-988-2655,cafe bianco, 1486 2nd ave.  between 77th and 78th sts., new york, coffee bar
212-484-5120,cafe botanica, 160 central park s, new york, french
212-724-5846,cafe la fortuna, 69 w. 71st st., new york, coffee bar
212-873-7411,cafe luxembourg, 200 w. 70th st., new york, french
212-940-8185,cafe pierre, 2 e. 61st st., new york, french
212-818-1222,cafe centro, 200 park ave.  between 45th st. and vanderbilt ave., new york, french
212-924-7653,cafe fes, 246 w. 4th st. at charles st., new york, mediterranean
212-982-5275,caffe dante, 81 macdougal st.  between houston and bleeker sts., new york, coffee bar
212-645-4431,caffe dell'artista, 46 greenwich ave., new york, coffee bar
212-473-2642,caffe lure, 169 sullivan st.  between houston and bleecker sts., new york, french
212-475-9557,caffe reggio, 119 macdougal st.  between 3rd and bleecker sts., new york, coffee bar
212-226-8413,caffe roma, 385 broome st. at mulberry, new york, coffee bar
212-691-7538,caffe vivaldi, 32 jones st. at bleecker st., new york, coffee bar
212-691-8136,caffe bondi ristorante, 7 w. 20th st., new york, italian
212-966-4900,capsouto freres, 451 washington st.  near watts st., new york, french
212-697-9538,captain's table, 860 2nd ave. at 46th st., new york, seafood
212-505-0005,casa la femme, 150 wooster st.  between houston and prince sts., new york, middle eastern
212-343-9012,cendrillon asian grill & marimba bar, 45 mercer st.  between broome and grand sts., new york, asian
212-505-0727,chez jacqueline, 72 macdougal st.  between w. houston and bleecker sts., new york, french
212-371-2323,chiam, 160 e. 48th st., new york, asian
212-333-7788,china grill, 60 w. 53rd st., new york, american
212-956-7100,cite, 120 w. 51st st., new york, french
212-794-0205,coco pazzo, 23 e. 74th st., new york, italian
212-421-0334,columbus bakery, 53rd sts., new york, coffee bar
212-753-5100,corrado cafe, 1013 3rd ave.  between 60th and 61st sts., new york, coffee bar
212-465-1530,cupcake cafe, 522 9th ave. at 39th st., new york, coffee bar
212-343-1212,da nico, 164 mulberry st.  between grand and broome sts., new york, italian
212-254-8776,dean & deluca, 121 prince st., new york, coffee bar
212-941-9024,diva, 341 w. broadway  near grand st., new york, italian
212-645-8023,dix et sept, 181 w. 10th st., new york, french
212-986-8080,docks, 633 3rd ave. at 40th st., new york, seafood
212-732-5555,duane park cafe, 157 duane st.  between w. broadway and hudson st., new york, american
212-941-7070,el teddy's, 219 w. broadway  between franklin and white sts., new york, mexican
212-996-1212,emily's, 1325 5th ave. at 111th st., new york, american
212-725-1333,empire korea, 6 e. 32nd st., new york, asian
212-496-1588,ernie's, 2150 broadway  between 75th and 76th sts., new york, american
212-744-3266,evergreen cafe, 1288 1st ave. at 69th st., new york, asian
212-226-4621,f. ille ponte ristorante, 39 desbrosses st.  near west st., new york, italian
212-431-0021,felix, 340 w. broadway at grand st., new york, french
212-772-9000,ferrier, 29 e. 65th st., new york, french
212-758-5757,fifty seven fifty seven, 57 e. 57th st., new york, american
212-262-2525,film center cafe, 635 9th ave.  between 44th and 45th sts., new york, american
212-595-5330,fiorello's roman cafe, 1900 broadway  between 63rd and 64th sts., new york, italian
212-595-3139,firehouse, 522 columbus ave.  between 85th and 86th sts., new york, american
212-674-3823,first, 87 1st ave.  between 5th and 6th sts., new york, american
212-874-3474,fishin eddie, 73 w. 71st st., new york, seafood
212-355-2020,fleur de jour, 348 e. 62nd st., new york, coffee bar
212-691-8888,flowers, 21 west 17th st.  between 5th and 6th aves., new york, american
212-691-6359,follonico, 6 w. 24th st., new york, italian
212-269-0144,fraunces tavern, 54 pearl st. at broad st., new york, american
212-533-2233,french roast, 458 6th ave. at 11th st., new york, french
212-799-1533,french roast cafe, 2340 broadway at 85th st., new york, coffee bar
212-564-7272,frico bar, 402 w. 43rd st.  off 9th ave., new york, italian
212-769-1144,fujiyama mama, 467 columbus ave.  between 82nd and 83rd sts., new york, asian
212-961-0574,gabriela's, 685 amsterdam ave. at 93rd st., new york, mexican
212-245-5336,gallagher's, 228 w. 52nd st., new york, american
212-608-7300,gianni's, 15 fulton st., new york, seafood
212-752-3054,girafe, 208 e. 58th st.  between 2nd and 3rd aves., new york, italian
212-477-8427,global, 33 93 2nd ave.  between 5th and 6th sts., new york, american
212-941-0911,golden unicorn, 18 e. broadway at catherine st., new york, asian
212-777-5922,grand ticino, 228 thompson st.  between w. 3rd and bleecker sts., new york, italian
212-468-8888,halcyon, 151 w. 54th st.  in the rihga royal hotel, new york, american
212-489-6565,hard rock cafe, 221 w. 57th st., new york, american
212-249-3600,hi-life restaurant and lounge, 1340 1st ave. at 72nd st., new york, american
212-243-9579,home, 20 cornelia st.  between bleecker and w. 4th st., new york, american
212-786-1500,hudson river club, 4 world financial center, new york, american
212-481-7372,i trulli, 122 e. 27th st.  between lexington and park aves., new york, italian
212-226-6060,il cortile, 125 mulberry st.  between canal and hester sts., new york, italian
212-753-8450,il nido, 251 e. 53rd st., new york, italian
212-966-3371,inca grill, 492 broome st.  near w. broadway, new york, latin american
212-505-5111,indochine, 430 lafayette st.  between 4th st. and astor pl., new york, asian
212-614-0747,internet cafe, 82 e. 3rd st.  between 1st and 2nd aves., new york, coffee bar
212-730-5848,ipanema, 13 w. 46th st., new york, latin american
212-751-2323,jean lafitte, 68 w. 58th st., new york, french
212-869-5544,jewel of india, 15 w. 44th st., new york, asian
212-682-5678,jimmy sung's, 219 e. 44th st.  between 2nd and 3rd aves., new york, asian
212-581-6464,joe allen, 326 w. 46th st., new york, american
212-582-5252,judson grill, 152 w. 52nd st., new york, american
212-794-4950,l'absinthe, 227 e. 67th st., new york, french
212-288-8791,l'auberge, 1191 1st ave.  between 64th and 65th sts., new york, middle eastern
212-242-4705,l'auberge du midi, 310 w. 4th st.  between w. 12th and bank sts., new york, french
212-388-0978,l'udo, 432 lafayette st.  near astor pl., new york, french
212-247-2993,la reserve, 4 w. 49th st., new york, french
212-674-7014,lanza restaurant, 168 1st ave.  between 10th and 11th sts., new york, italian
212-315-0980,lattanzi ristorante, 361 w. 46th st., new york, italian
212-431-0700,layla, 211 w. broadway at franklin st., new york, middle eastern
212-751-2931,le chantilly, 106 e. 57th st., new york, french
212-752-0808,le colonial, 149 e. 57th st., new york, asian
212-254-4678,le gamin, 50 macdougal st.  between houston and prince sts., new york, coffee bar
212-343-9599,le jardin, 25 cleveland pl.  near spring st., new york, french
212-727-8022,le madri, 168 w. 18th st., new york, italian
212-869-0900,le marais, 150 w. 46th st., new york, american
212-755-6244,le perigord, 405 e. 52nd st., new york, french
212-875-1993,le select, 507 columbus ave.  between 84th and 85th sts., new york, american
212-679-4111,les halles, 411 park ave. s  between 28th and 29th sts., new york, french
212-721-8271,lincoln tavern, 51 w. 64th st., new york, american
212-675-6700,lola, 30 west 22nd st.  between 5th and 6th ave., new york, american
212-941-0479,lucky strike, 59 grand st.  between wooster st. and w. broadway, new york, or 212/941-0772 american
212-787-0202,mad fish, 2182 broadway  between 77th and 78th sts., new york, seafood
212-873-5025,main street, 446 columbus ave.  between 81st and 82nd sts., new york, american
212-956-3976,mangia e bevi, 800 9th ave. at 53rd st., new york, italian
212-888-6556,manhattan cafe, 1161 1st ave.  between 63rd and 64th sts., new york, american
212-777-6314,manila garden, 325 e. 14th st.  between 1st and 2nd aves., new york, asian
212-370-1866,marichu, 342 e. 46th st.  between 1st and 2nd aves., new york, french
212-229-9313,marquet patisserie, 15 e. 12th st.  between 5th ave. and university pl., new york, coffee bar
212-906-9173,match, 160 mercer st.  between houston and prince sts., new york, american
212-838-4343,matthew's, 1030 3rd ave. at 61st st., new york, american
212-679-5535,mavalli palace, 46 e. 29th st., new york, asian
212-807-1801,milan cafe and coffee bar, 120 w. 23rd st., new york, coffee bar
212-838-2600,monkey bar, 60 e. 54th st., new york, american
212-421-4433,montien, 1134 1st ave.   between 62nd and 63rd sts., new york, asian
212-972-3315,morton's, 551 5th ave. at 45th st., new york, american
212-581-8030,motown cafe, 104 w. 57th st.  near 6th ave., new york, american
212-947-8482,new york kom tang soot bul house, 32 w. 32nd st., new york, asian
212-349-0923,new york noodletown, 28 1/2 bowery at bayard st., new york, asian
212-255-3996,newsbar, 2 w. 19th st., new york, coffee bar
212-233-0507,odeon, 145 w. broadway at thomas st., new york, american
212-489-7212,orso, 322 w. 46th st., new york, italian
212-944-3643,osteria al droge, 142 w. 44th st., new york, italian
212-223-7575,otabe, 68 e. 56th st., new york, asian
212-941-4168,pacifica, 138 lafayette st.  between canal and howard sts., new york, asian
212-245-4850,palio, 151 w. 51st. st., new york, italian
212-644-9258,pamir, 1065 1st ave.  at 58th st., new york, middle eastern
212-288-2391,parioli romanissimo, 24 e. 81st st., new york, italian
212-777-6211,patria, 250 park ave. s at 20th st., new york, latin american
212-872-4895,peacock alley, 301 park ave.  between 49th and 50th sts., new york, french
212-682-8660,pen & pencil, 205 e. 45th st., new york, american
212-274-8883,penang soho, 109 spring st.  between greene and mercer sts., new york, asian
212-535-1100,persepolis, 1423 2nd ave.  between 74th and 75th sts., new york, middle eastern
212-333-7827,planet hollywood, 140 w. 57th st., new york, american
212-956-3055,pomaire, 371 w. 46th st.  off 9th ave., new york, latin american
212-595-8555,popover cafe, 551 amsterdam ave.  between 86th and 87th sts., new york, american
212-935-2888,post house, 28 e. 63rd st., new york, american
212-501-0776,rain, 100 w. 82nd st., new york, asian
212-734-4893,red tulip, 439 e. 75th st., new york, eastern european
212-581-4242,remi, 145 w. 53rd st., new york, italian
212-627-7172,republic, 37a union sq. w  between 16th and 17th sts., new york, asian
212-674-4140,roettelle a. g, 126 e. 7th st.  between 1st ave. and ave. a, new york, continental
212-753-7407,rosa mexicano, 1063 1st ave. at 58th st., new york, mexican
212-245-9600,ruth's chris, 148 w. 51st st., new york, american
212-925-3120,s.p.q.r, 133 mulberry st.  between hester and grand sts., new york, italian
212-982-9030,sal anthony's, 55 irving pl., new york, italian
212-673-0330,sammy's roumanian steak house, 157 chrystie st. at delancey st., new york, east european
212-753-9015,san pietro, 18 e. 54th st., new york, italian
212-570-2211,sant ambroeus, 1000 madison ave.  between 77th and 78th sts., new york, coffee bar
212-496-6280,sarabeth's kitchen, 423 amsterdam ave.  between 80th and 81st sts., new york, american
212-332-7610,sea grill, 19 w. 49th st., new york, seafood
212-838-3531,serendipity, 3 225 e. 60th st., new york, american
212-744-4107,seventh regiment mess and bar, 643 park ave. at 66th st., new york, american
212-873-3700,sfuzzi, 58 w. 65th st., new york, american
212-977-8400,shaan, 57 w. 48th st., new york, asian
212-734-2676,sofia fabulous pizza, 1022 madison ave.  near 79th st., new york, italian
212-966-0290,spring street natural restaurant & bar, 62 spring st. at lafayette st., new york, american
212-245-7850,stage deli, 834 7th ave.  between 53rd and 54th sts., new york, delicatessen
212-501-7515,stingray, 428 amsterdam ave.  between 80th and 81st sts., new york, seafood
212-334-8088,sweet'n'tart cafe, 76 mott st. at canal st., new york, asian
212-925-3700,t salon, 143 mercer st. at prince st., new york, coffee bar
212-956-6888,tang pavillion, 65 w. 55th st., new york, asian
212-397-3737,tapika, 950 8th ave. at 56th st., new york, american
212-228-0604,teresa's, 103 1st ave.  between 6th and 7th sts., new york, east european
212-666-9490,terrace, 400 w. 119th st.  between amsterdam and morningside aves., new york, continental
212-265-3566,the coffee pot, 350 9th ave. at 49th st., new york, coffee bar
212-496-1066,the savannah club, 2420 broadway at 89th st., new york, american
212-245-9800,trattoria dell'arte, 900 7th ave.  between 56th and 57th sts., new york, italian
212-472-4488,triangolo, 345 e. 83rd st., new york, italian
212-941-3900,tribeca grill, 375 greenwich st.  near franklin st., new york, american
212-988-4858,trois jean, 154 e. 79th st.  between lexington and 3rd aves., new york, coffee bar
212-688-5447,tse yang, 34 e. 51st st., new york, asian
212-679-1810,turkish kitchen, 386 3rd ave.  between 27th and 28th sts., new york, middle eastern
212-799-0400,two two two, 222 w. 79th st., new york, american
212-674-7264,veniero's pasticceria, 342 e. 11th st.  near 1st ave., new york, coffee bar
212-260-5454,verbena, 54 irving pl. at 17th st., new york, american
212-586-7714,victor's cafe, 52 236 w. 52nd st., new york, latin american
212-721-0068,vince & eddie's, 70 w. 68th st., new york, american
212-486-9592,vong, 200 e. 54th st., new york, american
212-683-3333,water club, 500 e. 30th st., new york, american
212-246-6363,west, 63rd street steakhouse 44 w. 63rd st., new york, american
212-614-0620,xunta, 174 1st ave.  between 10th and 11th sts., new york, mediterranean
212-614-9291,zen palate, 34 union sq. e at 16th st., new york, and 212/614-9345 asian
212-966-6722,zoe, 90 prince st.  between broadway and mercer st., new york, american
404-876-8532,abbey, 163 ponce de leon ave., atlanta, international
404-525-2062,aleck's barbecue heaven, 783 martin luther king jr. dr., atlanta, barbecue
404-264-9546,annie's thai castle, 3195 roswell rd., atlanta, asian
404-262-7379,anthonys, 3109 piedmont rd.  just south of peachtree rd., atlanta, american
404-262-3165,atlanta fish market, 265 pharr rd., atlanta, american
404-264-1334,beesley's of buckhead, 260 e. paces ferry road, atlanta, continental
404-233-2333,bertolini's, 3500 peachtree rd.  phipps plaza, atlanta, italian
404-724-0901,bistango, 1100 peachtree st., atlanta, mediterranean
770-441--0291,cafe renaissance, 7050 jimmy carter blvd.  norcross, atlanta, american
404-872-7203,camille's, 1186 n. highland ave., atlanta, italian
404-365-8100,cassis, 3300 peachtree rd.  grand hyatt, atlanta, mediterranean
404-524-2489,city grill, 50 hurt plaza, atlanta, international
404-364-0212,coco loco, 40  buckhead crossing mall on the sidney marcus blvd., atlanta, caribbean
404-874-5642,colonnade restaurant, 1879 cheshire bridge rd., atlanta, southern
404-266-1600,dante's down the hatch  buckhead, 3380 peachtree rd., atlanta, continental
404-577-1800,dante's down the hatch, underground underground mall  underground atlanta, atlanta, continental
404-607-1622,fat matt's rib shack, 1811 piedmont ave.  near cheshire bridge rd., atlanta, barbecue
404-875-2489,french quarter food shop, 923 peachtree st.  at 8th st., atlanta, southern
770-242-3984,holt bros. bar-b-q, 6359 jimmy carter blvd.  at buford hwy.  norcross, atlanta, barbecue
404-255-7277,horseradish grill, 4320 powers ferry rd., atlanta, southern
404-659-2788,hsu's gourmet, 192 peachtree center ave.  at international blvd., atlanta, asian
404-351-0870,imperial fez, 2285 peachtree rd.  peachtree battle condominium, atlanta, mediterranean
404-841-0314,kamogawa, 3300 peachtree rd.  grand hyatt, atlanta, asian
770-395-9925,la grotta at ravinia dunwoody rd., holiday inn/crowne plaza at ravinia  dunwoody, atlanta, italian
770-451-0192,little szechuan, c buford hwy.  northwoods plaza  doraville, atlanta, asian
404-255-5160,lowcountry barbecue, 6301 roswell rd.  sandy springs plaza  sandy springs, atlanta, barbecue
404-355-5993,luna si, 1931 peachtree rd., atlanta, continental
404-874-2626,mambo restaurante cubano, 1402 n. highland ave., atlanta, caribbean
404-237-1313,mckinnon's louisiane, 3209 maple dr., atlanta, southern
770-393-1333,mi spia dunwoody rd., park place  across from perimeter mall  dunwoody, atlanta, italian
404-842-0334,nickiemoto's: a sushi bar, 247 buckhead ave.  east village sq., atlanta, fusion
404-350-6755,palisades, 1829 peachtree rd., atlanta, continental
404-874-3223,pleasant peasant, 555 peachtree st.  at linden ave., atlanta, american
