Sno,Album_Name,Album_Price,Artist_Name,CopyRight,Customer_Rating,Genre,Price,Released,Song_Name,Time
11,Radio Disney Music Awards,$9.99 ,Olly Murs, 2015 Walt Disney Records,4.14286,"Pop,Music",Album Only,21-Apr-15,Wrapped Up (Live),3:01
12,Title,$9.99 ,Meghan Trainor," 2014, 2015 Epic Records, a division of Sony Music Entertainment",4.04699,"Pop,Music,Pop/Rock,Dance,Rock,Teen Pop",$1.29 ,9-Jan-15,Lips Are Movin,3:01
13,Title,$9.99 ,Meghan Trainor," 2014, 2015 Epic Records, a division of Sony Music Entertainment",4.04699,"Pop,Music,Pop/Rock,Dance,Rock,Teen Pop",$1.29 ,9-Jan-15,Lips Are Movin,3:01
14,Chilled House Session 2015 - Ministry of Sound,$9.99 ,I Am Oak, 2015 Ministry of Sound Recordings Ltd,4,"Dance,Music",Album Only,1-Feb-15,On Trees and Birds and Fire (CHS6 Edit) [Sam Feldt & Bloombox Remix],3:33
15,Summertime Sadness (Lana Del Rey vs. Cedric Gervais) [Cedric Gervais Remix] - Single,$1.29 ,Lana Del Rey & Cedric Gervais, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.17343,"Dance,Music,Rock,Adult Alternative,Electronic",$1.29 ,11-Jul-13,Summertime Sadness (Lana Del Rey vs. Cedric Gervais) [Cedric Gervais Remix],3:34
16,Defected Presents Most Rated 2015,$7.99 ,Krankbrother, 2014 Defected Records Limited,4.5,"Dance,Music",$1.29 ,23-Nov-14,Thank You Baby,6:58
17,Ride (Remixes),$5.99 ,Lana Del Rey, 2012 Polydor Ltd. (UK),4.11111,"Alternative,Music,Rock",$1.29 ,19-Nov-12,Ride (Lyla's Surprise) [James Lavelle Remix],8:13
18,West Coast (Remix EP),$3.99 ,Lana Del Rey, 2014 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.40909,"Alternative,Music,Rock",$1.29 ,13-Jul-14,West Coast (MK Remix),5:26
19,Young and Beautiful [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix Radio Edit) - Single,$1.29 ,Lana Del Rey & Cedric Gervais, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.21495,"Alternative,Music,Rock",$1.29 ,29-Oct-13,Young and Beautiful [Lana Del Rey vs. Cedric Gervais] [Cedric Gervais Remix Radio Edit],3:47
20,Tropico - Single,$2.99 ,Lana Del Rey, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.70393,"Alternative,Music",Album Only,6-Dec-13,Tropico,27:07:00
21,Blue Jeans (Remixes) - EP,$5.99 ,Lana Del Rey, 2012 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.46237,"Alternative,Music,Rock,Adult Alternative",$1.29 ,1-May-12,Blue Jeans (Penguin Prison Remix),5:36
22,Blue Jeans (Remixes) - EP,$5.99 ,Lana Del Rey, 2012 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.46237,"Alternative,Music,Rock,Adult Alternative",$1.29 ,1-May-12,Blue Jeans (Penguin Prison Remix),5:36
23,Hed Kandi Ibiza 2013,$9.99 ,Joey Negro, 2013 Hed Kandi Records,3.78261,"Dance,Music",$1.29 ,15-Jul-13,I Need Somebody Tonight (feat. Thelma Houston) [Audiowhores Remix],3:08
24,Born To Die,$7.99 ,Lana Del Rey, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.58261,"Alternative,Music,Rock,Adult Alternative",$1.29 ,6-Aug-13,This Is What Makes Us Girls,4:00
25,Born To Die,$7.99 ,Lana Del Rey, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.58261,"Alternative,Music,Rock,Adult Alternative",$1.29 ,6-Aug-13,This Is What Makes Us Girls,4:00
26,Summertime Sadness (Lana Del Rey vs. Cedric Gervais) [Cedric Gervais Extended Remix] - Single,$1.29 ,Lana Del Rey & Cedric Gervais, 2014 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.55,"Alternative,Music,Dance,Rock,Adult Alternative,Electronic",$1.29 ,25-Feb-14,Summertime Sadness (Lana Del Rey vs. Cedric Gervais) [Cedric Gervais Extended Remix],6:52
27,Blue Jeans (Remixes) - EP,$5.99 ,Lana Del Rey, 2012 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.46237,"Alternative,Music,Rock,Adult Alternative",$1.29 ,1-May-12,Blue Jeans (Penguin Prison Remix),5:36
28,Ultraviolence (Hook N Sling Remix) - Single,$1.29 ,Lana Del Rey, 2015 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.11111,"Alternative,Music",$1.29 ,15-Feb-15,Ultraviolence (Hook N Sling Remix),5:29
29,Blue Jeans (Remixes) - EP,$5.99 ,Lana Del Rey, 2012 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.46237,"Alternative,Music,Rock,Adult Alternative",$1.29 ,1-May-12,Blue Jeans (Penguin Prison Remix),5:36
30,West Coast (Remix EP),$3.99 ,Lana Del Rey, 2014 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.40909,"Alternative,Music,Rock",$1.29 ,13-Jul-14,West Coast (MK Remix),5:26
31,Hed Kandi Tropical House,$9.99 ,Olympique, 2015 Hed Kandi Records/Ministry of Sound Recordings Ltd,4.47368,"Dance,Music",$1.29 ,3-May-15,Face Down Earth (HK Tropical House Edit) [Urban Contact Remix],3:26
32,Video Games Remixes - EP,$3.99 ,Lana Del Rey, 2012 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.28813,"Alternative,Music,Rock,Adult Alternative",$0.99 ,28-Feb-12,Video Games (We DonŠ—Èt Belong In Pacha Remix),5:19
33,Video Games Remixes - EP,$3.99 ,Lana Del Rey, 2012 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.28813,"Alternative,Music,Rock,Adult Alternative",$0.99 ,28-Feb-12,Video Games (We DonŠ—Èt Belong In Pacha Remix),5:19
34,Born To Die,$7.99 ,Lana Del Rey, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.58261,"Alternative,Music,Rock,Adult Alternative",$1.29 ,6-Aug-13,This Is What Makes Us Girls,4:00
35,Born To Die,$7.99 ,Lana Del Rey, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.58261,"Alternative,Music,Rock,Adult Alternative",$1.29 ,6-Aug-13,This Is What Makes Us Girls,4:00
36,Born To Die,$7.99 ,Lana Del Rey, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.58261,"Alternative,Music,Rock,Adult Alternative",$1.29 ,6-Aug-13,This Is What Makes Us Girls,4:00
37,West Coast (Remix EP),$3.99 ,Lana Del Rey, 2014 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.40909,"Alternative,Music,Rock",$1.29 ,13-Jul-14,West Coast (MK Remix),5:26
38,Born To Die,$7.99 ,Lana Del Rey, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.58261,"Alternative,Music,Rock,Adult Alternative",$1.29 ,6-Aug-13,This Is What Makes Us Girls,4:00
39,Born To Die,$7.99 ,Lana Del Rey, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.58261,"Alternative,Music,Rock,Adult Alternative",$1.29 ,6-Aug-13,This Is What Makes Us Girls,4:00
40,Hed Kandi: Deep Disco,$9.99 ,Lucas Nord, 2014 Hed Kandi Records/Ministry of Sound Recordings Ltd,4,"Dance,Music",$1.29 ,25-Jan-15,Wasting Time (HK Deep Disco Edit),4:04
41,Hed Kandi Miami 2015,$9.99 ,DJ Eibhlin, 2015 Hed Kandi Records/Ministry of Sound Recordings Ltd,5,"Dance,Music",$1.29 ,22-Feb-15,Bring Me Joy (HK Miami 2015 Edit),4:44
42,Blue Jeans (Remixes) - EP,$5.99 ,Lana Del Rey, 2012 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.46237,"Alternative,Music,Rock,Adult Alternative",$1.29 ,1-May-12,Blue Jeans (Penguin Prison Remix),5:36
43,Blue Jeans Omid 16B Remixes,$2.99 ,Lana Del Rey, 2013 Alola Records,4.4,"Dance,Music,Rock,Adult Alternative",$1.29 ,21-Jan-13,Video Games (Omid 16B Instrumental Reprise),2:35
44,Born To Die,$7.99 ,Lana Del Rey, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.58261,"Alternative,Music,Rock,Adult Alternative",$1.29 ,6-Aug-13,This Is What Makes Us Girls,4:00
45,Born To Die,$7.99 ,Lana Del Rey, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.58261,"Alternative,Music,Rock,Adult Alternative",$1.29 ,6-Aug-13,This Is What Makes Us Girls,4:00
46,Tropico - Single,$2.99 ,Lana Del Rey, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.70393,"Alternative,Music",Album Only,6-Dec-13,Tropico,27:07:00
47,Ride (Remixes),$5.99 ,Lana Del Rey, 2012 Polydor Ltd. (UK),4.11111,"Alternative,Music,Rock",$1.29 ,19-Nov-12,Ride (Lyla's Surprise) [James Lavelle Remix],8:13
48,Ride (Remixes),$5.99 ,Lana Del Rey, 2012 Polydor Ltd. (UK),4.11111,"Alternative,Music,Rock",$1.29 ,19-Nov-12,Ride (Lyla's Surprise) [James Lavelle Remix],8:13
49,Blue Jeans Omid 16B Remixes,$2.99 ,Lana Del Rey, 2013 Alola Records,4.4,"Dance,Music,Rock,Adult Alternative",$1.29 ,21-Jan-13,Video Games (Omid 16B Instrumental Reprise),2:35
50,Blue Jeans Omid 16B Remixes,$2.99 ,Lana Del Rey, 2013 Alola Records,4.4,"Dance,Music,Rock,Adult Alternative",$1.29 ,21-Jan-13,Video Games (Omid 16B Instrumental Reprise),2:35
51,Blue Jeans Omid 16B Remixes,$2.99 ,Lana Del Rey, 2013 Alola Records,4.4,"Dance,Music,Rock,Adult Alternative",$1.29 ,21-Jan-13,Video Games (Omid 16B Instrumental Reprise),2:35
52,Blue Jeans Omid 16B Remixes,$2.99 ,Lana Del Rey, 2013 Alola Records,4.4,"Dance,Music,Rock,Adult Alternative",$1.29 ,21-Jan-13,Video Games (Omid 16B Instrumental Reprise),2:35
53,Blue Jeans Omid 16B Remixes,$2.99 ,Lana Del Rey, 2013 Alola Records,4.4,"Dance,Music,Rock,Adult Alternative",$1.29 ,21-Jan-13,Video Games (Omid 16B Instrumental Reprise),2:35
54,Blue Jeans Omid 16B Remixes,$2.99 ,Lana Del Rey, 2013 Alola Records,4.4,"Dance,Music,Rock,Adult Alternative",$1.29 ,21-Jan-13,Video Games (Omid 16B Instrumental Reprise),2:35
55,Miami Sessions 2013 - Ministry of Sound,$9.99 ,Kink & Marc Romboy, 2013 Ministry of Sound Recordings Limited,2.16667,"Dance,Music",$1.29 ,10-Mar-13,Over and Out (Miami Sessions 2013 Edit) [Instrumental Mix],6:42
56,Ibiza Sessions 2013 - Ministry of Sound,$9.99 ,M.A.N.D.Y., 2013 Ministry of Sound Recordings Limited,3.60606,"Dance,Music",$1.29 ,9-Jun-13,Twisted Sister (Ibiza Sessions 2013 Edit) [DJ Hell's Dehousing Berlin Mix],4:53
57,Hed Kandi Beach House 2013,$9.99 ,Lana Del Rey, 2013 Hed Kandi Records,3.63636,"Dance,Music",$1.29 ,16-Jun-13,Summertime Sadness (MK Lee Foss Cold Blooded Remix),5:40
58,Born To Die,$7.99 ,Lana Del Rey, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.58261,"Alternative,Music,Rock,Adult Alternative",$1.29 ,6-Aug-13,This Is What Makes Us Girls,4:00
59,Born To Die,$7.99 ,Lana Del Rey, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.58261,"Alternative,Music,Rock,Adult Alternative",$1.29 ,6-Aug-13,This Is What Makes Us Girls,4:00
60,Born To Die,$7.99 ,Lana Del Rey, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.58261,"Alternative,Music,Rock,Adult Alternative",$1.29 ,6-Aug-13,This Is What Makes Us Girls,4:00
61,Ibiza Annual 2013 - Ministry of Sound,$9.99 ,Discopolis, 2013 Ministry of Sound Recordings Ltd.,4.48387,"Dance,Music",Album Only,2-Sep-13,Falling (Commited To Sparkle Motion) [Ibiza Annual 2013 Edit] [Axwell Radio Edit],3:05
62,Tropico - Single,$2.99 ,Lana Del Rey, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.70393,"Alternative,Music",Album Only,6-Dec-13,Tropico,27:07:00
63,"Eat, Sleep, Rave, Repeat - Ministry of Sound",$9.99 ,Breach, 2014 Ministry of Sound Recordings Ltd,3.8,"Dance,Music",Album Only,10-Feb-14,Everything You Never Had (We Had It All) [ESRR Edit] [feat. Andreya Triana],2:43
64,West Coast (Remix EP),$3.99 ,Lana Del Rey, 2014 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.40909,"Alternative,Music,Rock",$1.29 ,13-Jul-14,West Coast (MK Remix),5:26
65,The Morning After the Night Before - Ministry of Sound,$9.99 ,Jon Hopkins, 2014 Ministry of Sound Recordings Ltd,3.8,"Dance,Music,Electronic",$1.29 ,28-Sep-14,Abandon Window (TMATNB Edit),4:54
66,"Now Party Anthems, Vol. 2",$9.99 ,John Legend," This compilation (P) 2014 UMG Recordings, Inc. and Sony Music Entertainment",3.6875,"Pop,Music",Album Only,5-Aug-14,All of Me (Ti’âsto's Birthday Treatment Remix - Radio Edit),4:10
67,Gimme Shelter (Original Soundtrack Album),$9.99 ,C’©line Dion," 2014 Day Twenty-Eight Films Apple, Llc Under Exclusive License To Milan Entertainment Inc.",5,"Soundtrack,Music",Album Only,11-Mar-14,A Mother's Prayer,3:41
68,NOW That's What I Call a Workout 3,$9.99 ,Armin van Buuren," 2013 UMG Recordings, Inc. and Sony Music Entertainment",3.50588,"Fitness & Workout,Music",Album Only,17-Dec-13,This Is What It Feels Like (feat. Trevor Guthrie),3:23
69,Defected Presents House Masters - MK (Second Edition),$6.99 ,K.E.L.S.E.Y., 2013 Defected Records Limited,4.6,"Dance,Music",$1.29 ,15-Nov-13,Boy (Mk Deep Dub),7:08
70,Soul Music,$13.99 ,Special Request, 2013 Houndstooth,4,"Dance,Music,Electronic,Rock,Jungle/Drum'n'bass",$1.29 ,21-Oct-13,Deflowered (Hieroglyphic Being Remix),6:56
71,EDM Euphoria 2013,$9.99 ,Wideboys, 2013 Euphoria,4,"Dance,Music",$1.29 ,16-Sep-13,Addicted 2 the Bass (EDM Euphoria 2013 Edit) [Daahype's Trap VIP],3:11
72,Pump It Up - Ultimate Dance Workout - Ministry of Sound,$9.99 ,Tritonal, 2013 Ministry of Sound Recordings Ltd.,3.4,"Fitness & Workout,Music",$1.29 ,8-Sep-13,Bullet That Saved Me (Pump It Up Edit) [feat. Underdown] [Festival Mix],3:50
73,Chilled House Ibiza 2013 - Ministry of Sound,$9.99 ,Clarian & Guy Gerber, 2013 Ministry of Sound Recordings Limited,5,"Dance,Music",$1.29 ,21-Jul-13,Claire,6:59
74,Running Trax Summer 2013 - Ministry of Sound,$9.99 ,Jessie Ware, 2013 Ministry of Sound Recordings Limited,3.85714,"Fitness & Workout,Music,Pop",$1.29 ,8-Jul-13,Night Light (Running Trax Summer 60 Min Mix) [Joe Goddard Remix],5:31
75,Chapter One,$9.99 ,RAC, 2012 RAC Records,4.89412,"Electronic,Music,Dance",Album Only,6-Nov-12,RAC Radio (Continuous DJ Mix),1:01:40
76,Hed Kandi Nu Disco,$11.99 ,Candi Staton, 2012 Hed Kandi Records,4.61537,"Dance,Music",Album Only,23-Sep-12,Hallelujah Anyway (Larse Vocal Edit),3:03
77,Video Games Remixes - EP,$3.99 ,Lana Del Rey, 2012 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.28813,"Alternative,Music,Rock,Adult Alternative",$0.99 ,28-Feb-12,Video Games (We DonŠ—Èt Belong In Pacha Remix),5:19
78,Video Games Remixes - EP,$3.99 ,Lana Del Rey, 2012 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.28813,"Alternative,Music,Rock,Adult Alternative",$0.99 ,28-Feb-12,Video Games (We DonŠ—Èt Belong In Pacha Remix),5:19
79,Video Games Remixes - EP,$3.99 ,Lana Del Rey, 2012 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.28813,"Alternative,Music,Rock,Adult Alternative",$0.99 ,28-Feb-12,Video Games (We DonŠ—Èt Belong In Pacha Remix),5:19
80,Blue Jeans (Remixes) - EP,$5.99 ,Lana Del Rey, 2012 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.46237,"Alternative,Music,Rock,Adult Alternative",$1.29 ,1-May-12,Blue Jeans (Penguin Prison Remix),5:36
81,The Chillout Session - Ministry of Sound,$9.99 ,Wretch 32, 2012 Ministry of Sound Recordings Limited,4,"Pop,Music",$1.29 ,2-Sep-12,DonŠ—Èt Go (feat. Josh Kumra),3:57
82,Ride (Remixes),$5.99 ,Lana Del Rey, 2012 Polydor Ltd. (UK),4.11111,"Alternative,Music,Rock",$1.29 ,19-Nov-12,Ride (Lyla's Surprise) [James Lavelle Remix],8:13
83,Ride (Remixes),$5.99 ,Lana Del Rey, 2012 Polydor Ltd. (UK),4.11111,"Alternative,Music,Rock",$1.29 ,19-Nov-12,Ride (Lyla's Surprise) [James Lavelle Remix],8:13
84,Ride (Remixes),$5.99 ,Lana Del Rey, 2012 Polydor Ltd. (UK),4.11111,"Alternative,Music,Rock",$1.29 ,19-Nov-12,Ride (Lyla's Surprise) [James Lavelle Remix],8:13
85,Maleficent (Original Motion Picture Soundtrack),$9.99 ,Lana Del Rey, 2014 Walt Disney Records,4.58125,"Soundtrack,Music",$1.29 ,27-May-14,Once Upon a Dream,3:20
86,Revival (Deluxe),$11.99 ,Selena Gomez, 2015 Interscope Records,4.392,"Pop,Music,Rock",Album Only,,Perfect,4:02
87,Revival (Deluxe),$11.99 ,Selena Gomez, 2015 Interscope Records,4.392,"Pop,Music,Rock",Album Only,,Perfect,4:02
88,Revival (Deluxe),$11.99 ,Selena Gomez, 2015 Interscope Records,4.392,"Pop,Music,Rock",Album Only,,Perfect,4:02
89,Revival (Deluxe),$11.99 ,Selena Gomez, 2015 Interscope Records,4.392,"Pop,Music,Rock",Album Only,,Perfect,4:02
90,Revival (Deluxe),$11.99 ,Selena Gomez, 2015 Interscope Records,4.392,"Pop,Music,Rock",Album Only,,Perfect,4:02
91,Revival (Deluxe),$11.99 ,Selena Gomez, 2015 Interscope Records,4.392,"Pop,Music,Rock",Album Only,,Perfect,4:02
92,Revival (Deluxe),$11.99 ,Selena Gomez, 2015 Interscope Records,4.392,"Pop,Music,Rock",Album Only,,Perfect,4:02
93,Revival (Deluxe),$11.99 ,Selena Gomez, 2015 Interscope Records,4.392,"Pop,Music,Rock",Album Only,,Perfect,4:02
94,Revival (Deluxe),$11.99 ,Selena Gomez, 2015 Interscope Records,4.392,"Pop,Music,Rock",Album Only,,Perfect,4:02
95,Revival (Deluxe),$11.99 ,Selena Gomez, 2015 Interscope Records,4.392,"Pop,Music,Rock",Album Only,,Perfect,4:02
96,Revival,$9.99 ,Selena Gomez, 2015 Interscope Records,4.84848,"Pop,Music,Rock",Album Only,,Rise,3:03
97,Revival,$9.99 ,Selena Gomez, 2015 Interscope Records,4.84848,"Pop,Music,Rock",Album Only,,Rise,3:03
98,Revival,$9.99 ,Selena Gomez, 2015 Interscope Records,4.84848,"Pop,Music,Rock",Album Only,,Rise,3:03
99,Revival,$9.99 ,Selena Gomez, 2015 Interscope Records,4.84848,"Pop,Music,Rock",Album Only,,Rise,3:03
100,Revival,$9.99 ,Selena Gomez, 2015 Interscope Records,4.84848,"Pop,Music,Rock",Album Only,,Rise,3:03
101,Revival,$9.99 ,Selena Gomez, 2015 Interscope Records,4.84848,"Pop,Music,Rock",Album Only,,Rise,3:03
102,Revival,$9.99 ,Selena Gomez, 2015 Interscope Records,4.84848,"Pop,Music,Rock",Album Only,,Rise,3:03
103,Revival,$9.99 ,Selena Gomez, 2015 Interscope Records,4.84848,"Pop,Music,Rock",Album Only,,Rise,3:03
104,Revival,$9.99 ,Selena Gomez, 2015 Interscope Records,4.84848,"Pop,Music,Rock",Album Only,,Rise,3:03
105,NOW That's What I Call a Workout 3,$9.99 ,Armin van Buuren," 2013 UMG Recordings, Inc. and Sony Music Entertainment",3.50588,"Fitness & Workout,Music",Album Only,17-Dec-13,This Is What It Feels Like (feat. Trevor Guthrie),3:23
106,VHS,$7.99 ,X Ambassadors, 2015 KIDinaKORNER/Interscope Records,4.54839,"Alternative,Music,Rock,Adult Alternative",$1.29 ,30-Jun-15,VHS Outro (Interlude),1:25
107,VHS,$7.99 ,X Ambassadors, 2015 KIDinaKORNER/Interscope Records,4.54839,"Alternative,Music,Rock,Adult Alternative",$1.29 ,30-Jun-15,VHS Outro (Interlude),1:25
108,VHS,$7.99 ,X Ambassadors, 2015 KIDinaKORNER/Interscope Records,4.54839,"Alternative,Music,Rock,Adult Alternative",$1.29 ,30-Jun-15,VHS Outro (Interlude),1:25
109,VHS,$7.99 ,X Ambassadors, 2015 KIDinaKORNER/Interscope Records,4.54839,"Alternative,Music,Rock,Adult Alternative",$1.29 ,30-Jun-15,VHS Outro (Interlude),1:25
110,VHS,$7.99 ,X Ambassadors, 2015 KIDinaKORNER/Interscope Records,4.54839,"Alternative,Music,Rock,Adult Alternative",$1.29 ,30-Jun-15,VHS Outro (Interlude),1:25
111,VHS,$7.99 ,X Ambassadors, 2015 KIDinaKORNER/Interscope Records,4.54839,"Alternative,Music,Rock,Adult Alternative",$1.29 ,30-Jun-15,VHS Outro (Interlude),1:25
112,Chilled House Session 2014 - Ministry of Sound,$9.99 ,Good Guy Mikesh, 2014 Ministry of Sound Recordings Ltd,4.66667,"Dance,Music",$1.29 ,16-Feb-14,Place of Love (feat. Filburt) [MP Edit],5:42
113,Ibiza Annual 2013 - Ministry of Sound,$9.99 ,Discopolis, 2013 Ministry of Sound Recordings Ltd.,4.48387,"Dance,Music",Album Only,2-Sep-13,Falling (Commited To Sparkle Motion) [Ibiza Annual 2013 Edit] [Axwell Radio Edit],3:05
114,Addicted To Bass Winter 2013 - Ministry of Sound,$9.99 ,Friend Within, 2013 Ministry of Sound Recordings Ltd.,3.71429,"Dance,Music",Album Only,30-Sep-13,The Renegade (Addicted To Bass Winter 2013 Edit),2:18
115,Never Be Your Woman (Naughty Boy Presents) [feat. Emeli Sand’©] Š—– EP,$4.99 ,Wiley & Naughty Boy,  2010 The copyright in this sound recording is owned by Virgin Records Ltd,3.5,"Dance,Music",$1.29 ,26-Feb-10,Never Be Your Woman (Solo UK Š—…Loves GarageŠ—È Remix) [feat. Emeli Sand’©],4:02
116,Never Be Your Woman (Naughty Boy Presents) [feat. Emeli Sand’©] Š—– EP,$4.99 ,Wiley & Naughty Boy,  2010 The copyright in this sound recording is owned by Virgin Records Ltd,3.5,"Dance,Music",$1.29 ,26-Feb-10,Never Be Your Woman (Solo UK Š—…Loves GarageŠ—È Remix) [feat. Emeli Sand’©],4:02
117,Never Be Your Woman (Naughty Boy Presents) [feat. Emeli Sand’©] Š—– EP,$4.99 ,Wiley & Naughty Boy,  2010 The copyright in this sound recording is owned by Virgin Records Ltd,3.5,"Dance,Music",$1.29 ,26-Feb-10,Never Be Your Woman (Solo UK Š—…Loves GarageŠ—È Remix) [feat. Emeli Sand’©],4:02
118,Never Be Your Woman (Naughty Boy Presents) [feat. Emeli Sand’©] Š—– EP,$4.99 ,Wiley & Naughty Boy,  2010 The copyright in this sound recording is owned by Virgin Records Ltd,3.5,"Dance,Music",$1.29 ,26-Feb-10,Never Be Your Woman (Solo UK Š—…Loves GarageŠ—È Remix) [feat. Emeli Sand’©],4:02
119,Never Be Your Woman (Naughty Boy Presents) [feat. Emeli Sand’©] Š—– EP,$4.99 ,Wiley & Naughty Boy,  2010 The copyright in this sound recording is owned by Virgin Records Ltd,3.5,"Dance,Music",$1.29 ,26-Feb-10,Never Be Your Woman (Solo UK Š—…Loves GarageŠ—È Remix) [feat. Emeli Sand’©],4:02
