ID,Title,UsedPrice,NewPrice,Author,ISBN10,ISBN13,Publisher,Publication_Date,Pages,Dimensions
HC0050,The Witch of Blackbird Pond,$5.98,,Elizabeth George Speare,0440495962,9780440495963,Yearling Books,"Feb. 15th, 1972",256,5.24 x 7.64 x 0.65 inches
HC0051,The Lightning Thief(Percy Jackson & the Olympians (Paperback)),$3.98,$13.49,Rick Riordan,142313494X,9781423134947,Hyperion Books,"Jan. 31st, 2010",377,7.32 x 7.64 x 0.93 inches
HC0052,Percy Jackson Pbk 5-Book Boxed Set,$34.83,,Rick Riordan,1423136802,9781423136804,Hyperion Books,"Aug. 30th, 2011",1824,5.40 x 7.80 x 4.50 inches
HC0053,Seedfolks(Joanna Colter Books),$3.98,$8.98,Paul Fleischman,0064472078,9780064472074,HarperTrophy,"Mar. 24th, 1999",80,4.18 x 6.80 x 0.31 inches
HC0054,"The Kane Chronicles, The, Book One(Kane Chronicles Kane Chronicles)",$3.98,$10.97,Rick Riordan,1423113454,9781423113454,Hyperion Books,"Aug. 16th, 2011",544,5.10 x 7.60 x 1.20 inches
HC0055,The Revealers,$5.79,$5.79,Doug Wilhelm,0374462437,9780374462437,Farrar Straus Giroux,"Apr. 30th, 2005",224,5.48 x 7.62 x 0.55 inches
HC0056,The Scorch Trials(Maze Runner Trilogy (Paperback)),$9.61,$10.00,James Dashner,0385738765,9780385738767,Ember,"Sep. 13th, 2011",361,5.50 x 8.10 x 0.90 inches
HC0057,Beautiful Creatures(Beautiful Creatures),$3.98,,Kami Garcia,0316231673,9780316231671,"Little, Brown Books for Young Readers","Nov. 27th, 2012",592,
HC0058,The Hobbit,$3.98,,J. R. R. Tolkien,0618002219,9780618002214,Houghton Mifflin Harcourt (HMH),"Sep. 15th, 1999",320,5.47 x 8.14 x 0.72 inches
HC0059,It's Kind of a Funny Story,$8.28,$10.90,Ned Vizzini,078685197X,9780786851973,Miramax Books,"Apr. 3rd, 2007",444,5.68 x 8.14 x 0.94 inches
HC0060,The Breadwinner,$5.48,$9.12,Deborah Ellis,0888994168,9780888994165,Groundwood Books,"Oct. 25th, 2001",170,5.06 x 7.41 x 0.45 inches
HC0061,Uglies(Uglies Trilogy),$3.98,$12.29,Scott Westerfeld,1442419814,9781442419810,Simon Pulse,"May. 3rd, 2011",406,5.50 x 8.20 x 1.20 inches
HC0062,Monster,$5.79,$10.71,Walter Dean Myers,0064407314,9780064407311,Amistad Press,"May. 8th, 2001",288,4.93 x 7.17 x 0.88 inches
HC0063,The Titan's Curse(Percy Jackson & the Olympians (Paperback)),$3.98,,Rick Riordan,1423101480,9781423101482,Hyperion Books for Children,"Apr. 1st, 2008",312,5.23 x 7.63 x 0.83 inches
HC0064,Delirium(Delirium (Paperback)),$7.16,,Lauren Oliver,0061726834,9780061726835,Harper,"Feb. 7th, 2012",441,5.40 x 8.00 x 1.40 inches
HC0065,"The Percy Jackson and the Olympians, Book Five(Percy Jackson & the Olympians (Paperback))",$3.98,$9.27,Rick Riordan,1423101502,9781423101505,Hyperion Books,"Jan. 25th, 2011",416,5.33 x 7.96 x 0.99 inches
HC0066,"I, Q: Book Three(I, Q (Paperback))",$7.25,$9.19,Roland Smith,1585366048,9781585366040,Sleeping Bear Press,"Sep. 1st, 2012",256,
HC0067,The Graveyard Book,$4.98,$9.88,Neil Gaiman,0060530944,9780060530945,HarperCollins,"Sep. 28th, 2010",312,5.28 x 7.65 x 0.99 inches
HC0068,The City of Ember(Book of Ember (Paperback)),$3.98,$8.98,Jeanne DuPrau,0375822747,9780375822742,Yearling Books,"May. 25th, 2004",288,5.16 x 7.73 x 0.71 inches
HC0069,Between Shades of Gray,$3.98,$10.62,Ruta Sepetys,014242059X,9780142420591,Speak,"Apr. 3rd, 2012",352,5.40 x 8.20 x 1.20 inches
HC0070,The Battle of the Labyrinth(Percy Jackson & the Olympians (Paperback)),$5.48,$9.29,Rick Riordan,1423101499,9781423101499,Hyperion Books,"Apr. 7th, 2009",361,5.20 x 7.30 x 1.10 inches
HC0071,Stargirl,$5.79,$8.54,Jerry Spinelli,0440416779,9780440416777,Laurel Leaf Library,"May. 11th, 2004",186,4.08 x 7.11 x 0.57 inches
HC0072,The Westing Game(Puffin Classics (Paperback)),$5.79,$8.65,Ellen Raskin,014240120X,9780142401200,Puffin Books,"Apr. 12th, 2004",182,4.90 x 6.90 x 0.60 inches
HC0073,The Ruins of Gorlan(Ranger's Apprentice (Quality)),$3.98,$9.97,John Flanagan,0142406635,9780142406632,Puffin Books,"Jun. 8th, 2006",249,5.06 x 7.76 x 0.72 inches
HC0074,The Watsons Go to Birmingham - 1963,$5.79,$9.15,Christopher Paul Curtis,0440414121,9780440414124,Yearling Books,"Sep. 8th, 1997",224,5.16 x 7.60 x 0.61 inches
HC0075,The Giver,$5.79,$120.66,Lois Lowry,0385732554,9780385732550,Delacorte Press Books for Young Readers,"Jan. 24th, 2006",179,5.32 x 8.00 x 0.58 inches
HC0076,The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making,$4.48,$10.06,Catherynne M. Valente,1250010195,9781250010193,Square Fish,"May. 8th, 2012",247,5.25 x 7.62 x 0.77 inches
HC0077,Chains,$5.79,$9.88,Laurie Halse Anderson,1416905863,9781416905868,Atheneum Books,"Jan. 5th, 2010",316,5.10 x 7.60 x 1.00 inches
HC0078,Touching Spirit Bear,$3.98,$8.45,Ben Mikaelsen,038080560X,9780380805600,HarperCollins,"Apr. 30th, 2002",256,5.19 x 7.61 x 0.59 inches
HC0079,Hatchet,$3.98,$8.69,Gary Paulsen,1416936467,9781416936466,Simon Pulse,"Jan. 1st, 2007",189,4.26 x 7.02 x 0.57 inches
HC0080,Tears of a Tiger,$3.98,$8.68,Sharon M. Draper,0689806981,9780689806988,Simon Pulse,"Feb. 1st, 1996",192,4.20 x 7.05 x 0.56 inches
HC0081,"Will Grayson, Will Grayson",$5.79,$10.64,John Green,0142418471,9780142418475,Speak,"Apr. 5th, 2011",310,5.40 x 8.10 x 0.90 inches
HC0082,Farewell to Manzanar,$5.79,$9.72,Jeanne Wakatsuki Houston,0307976076,9780307976079,Ember,"Feb. 14th, 2012",208,5.40 x 8.00 x 0.70 inches
HC0083,Holes,$3.98,$7.25,Louis Sachar,044022859X,9780440228592,Laurel Leaf Library,"Aug. 14th, 2001",256,4.36 x 6.93 x 1.06 inches
HC0084,Bystander,$3.98,$9.26,James Preller,031254796X,9780312547967,Square Fish,"May. 10th, 2011",226,5.10 x 7.60 x 0.70 inches
HC0085,Warriors Don't Cry,$3.98,$8.69,Melba Patillo Beals,1416948821,9781416948827,Simon Pulse,"Jul. 24th, 2007",226,4.97 x 7.06 x 0.67 inches
HC0086,Fever 1793,$3.98,$9.89,Laurie Halse Anderson,0689848919,9780689848919,Aladdin Paperbacks,"Mar. 1st, 2002",256,5.12 x 7.73 x 0.74 inches
HC0087,Whirligig,$3.98,,Paul Fleischman,0440228352,9780440228356,Laurel Leaf Library,"Nov. 30th, 1999",144,4.24 x 6.82 x 0.41 inches
HC0088,The 7 Habits of Highly Effective Teens Personal Workbook,$3.98,$10.19,Sean Covey,0743250982,9780743250986,Fireside Books,"Feb. 24th, 2004",216,6.15 x 9.12 x 0.61 inches
HC0089,Beastly,$5.79,,Alex Flinn,006087418X,9780060874186,Harper Teen,"Oct. 31st, 2008",304,4.86 x 7.32 x 0.76 inches
HC0090,Artemis Fowl(Artemis Fowl (Quality)),$3.98,$9.97,Eoin Colfer,1423124529,9781423124528,Hyperion Books,"Jun. 1st, 2009",277,5.38 x 7.48 x 0.80 inches
HC0091,I Am Number Four(I Am Number Four (Paperback)),$5.80,$10.97,Pittacus Lore,0061969575,9780061969577,Harper,"Aug. 23rd, 2011",440,5.34 x 8.09 x 1.23 inches
HC0092,Alice's Adventures in Wonderland(Dover Thrift Editions),$5.79,$5.99,Lewis Carroll,0486275434,9780486275437,Dover Publications,"May. 20th, 1993",96,5.19 x 8.24 x 0.26 inches
HC0093,The Icebound Land(Ranger's Apprentice (Quality)),$3.98,$9.98,John Flanagan,0142410756,9780142410752,Puffin Books,"Feb. 5th, 2008",266,5.10 x 7.78 x 0.75 inches
HC0094,Warriors #1(Warriors (Avon Paperback)),$7.48,,Erin Hunter,0060525509,9780060525507,HarperCollins,"Jan. 6th, 2004",288,5.20 x 7.62 x 0.63 inches
HC0095,Harry Potter and the Chamber of Secrets(Harry Potter (Paperback)),$6.48,$11.09,J. K. Rowling,0439064872,9780439064873,Scholastic,"Sep. 1st, 2000",341,5.26 x 7.62 x 0.90 inches
HC0096,Graceling(Graceling (Paperback)),$3.98,$11.01,Kristin Cashore,0547258305,9780547258300,Graphia Books,"Sep. 7th, 2009",471,5.55 x 8.27 x 1.28 inches
HC0097,Black Ships Before Troy,$4.48,$8.43,Rosemary Sutcliff,055349483X,9780553494839,Laurel Leaf Library,"Dec. 13th, 2005",151,4.20 x 6.80 x 0.50 inches
HC0098,Soldier's Heart,$3.98,$8.42,Gary Paulsen,0440228387,9780440228387,Laurel Leaf Library,"Sep. 12th, 2000",128,4.26 x 6.82 x 0.38 inches
HC0099,Living Up the Street,$3.98,$8.43,Gary Soto,0440211700,9780440211709,Laurel Leaf Library,"Feb. 1st, 1992",176,4.34 x 7.06 x 0.49 inches
HC0100,Freedom Walkers,$9.68,$14.37,Russell Freedom,0823421953,9780823421954,Holiday House,"Mar. 1st, 2009",114,7.40 x 9.20 x 0.40 inches
HC0101,"Roll of Thunder, Hear My Cry",$6.48,$9.55,Mildred D. Taylor,0140384510,9780140384512,Speak,"Feb. 1st, 1997",276,5.23 x 7.68 x 0.77 inches
HC0102,Farewell to Manzanar,$3.98,,Jeanne Wakatsuki Houston,0553272586,9780553272581,Laurel Leaf Library,"Mar. 31st, 1983",224,4.16 x 6.90 x 0.65 inches
HC0103,The Hobbit,$3.98,$11.59,J. R. R. Tolkien,061815082X,9780618150823,Graphia Books,"Sep. 25th, 2001",352,5.06 x 7.75 x 0.89 inches
HC0104,A Tale Dark & Grimm,$3.98,$9.17,Adam Gidwitz,0142419672,9780142419670,Puffin Books,"Aug. 18th, 2011",256,5.72 x 7.41 x 0.75 inches
HC0105,"The Hobbit, Or, There and Back Again",$3.98,$11.32,J. R. R. Tolkien,0618260307,9780618260300,Houghton Mifflin Harcourt (HMH),"Aug. 15th, 2002",320,5.20 x 7.71 x 0.96 inches
HC0106,Wizard of Earthsea(Earthsea Trilogy (Paperback)),$3.98,,Ursula K. Le Guin,0553262505,9780553262506,Spectra Books,"Apr. 1st, 1984",192,4.42 x 6.88 x 0.57 inches
HC0107,Bad Boy,$3.98,$10.66,Walter Dean Myers,0064472884,9780064472883,Amistad Press,"May. 7th, 2002",224,5.00 x 7.32 x 0.51 inches
HC0108,The Adventures of Ulysses,$5.79,$128.93,Bernard Evslin,0590425994,9780590425995,Scholastic,"Jan. 1st, 1980",179,4.24 x 6.60 x 0.55 inches
HC0109,Nothing But the Truth,$3.98,$8.25,Avi,0545174155,9780545174152,Scholastic Paperbacks,"Jan. 1st, 2010",177,5.26 x 7.63 x 0.50 inches
HC0110,The Alchemyst(Secrets of the Immortal Nicholas Flamel (Paperback)),$5.98,$10.64,Michael Scott,0385736002,9780385736008,Delacorte Press,"Jun. 24th, 2008",375,5.18 x 8.08 x 0.85 inches
HC0111,The Mysterious Benedict Society and the Perilous Journey(Mysterious Benedict Society (Paperback)),$4.98,$9.56,Trenton Lee Stewart,0316036730,9780316036733,"Little, Brown Young Readers","May. 1st, 2009",440,5.20 x 7.50 x 1.20 inches
HC0112,Harry Potter and the Prisoner of Azkaban(Harry Potter (Paperback)),$5.98,$11.12,J. K. Rowling,0439136369,9780439136365,Scholastic,"Oct. 1st, 2001",435,5.32 x 7.52 x 1.07 inches
HC0113,The Wave,$3.98,$8.51,Todd Strasser,0440993717,9780440993711,Laurel Leaf Library,"Sep. 15th, 1981",144,4.66 x 6.74 x 0.40 inches
HC0114,Nightjohn,$3.98,$8.42,Gary Paulsen,0440219361,9780440219361,Laurel Leaf Library,"Jan. 1st, 1995",112,4.20 x 6.94 x 0.32 inches
HC0115,The Cay,$5.79,$8.51,Theodore Taylor,044022912X,9780440229124,Laurel Leaf Library,"Apr. 8th, 2003",144,4.10 x 6.70 x 0.30 inches
HC0116,Blood on the River,$3.98,$8.47,Elisa Carbone,0142409324,9780142409329,Puffin Books,"Nov. 1st, 2007",237,5.10 x 7.70 x 0.70 inches
HC0117,Chew on This,$3.98,$10.97,Eric Schlosser,0618593942,9780618593941,Houghton Mifflin Harcourt (HMH),"Apr. 23rd, 2007",318,5.40 x 8.20 x 0.90 inches
HC0118,A Young People's History of the United States,$13.48,$14.45,Howard Zinn,1583228691,9781583228692,Seven Stories Press,"Jun. 2nd, 2009",464,5.40 x 7.80 x 1.30 inches
HC0119,"Tomorrow, When the War Began(Tomorrow)",$5.79,$10.43,John Marsden,0439829100,9780439829106,Scholastic Paperbacks,"Jun. 1st, 2006",277,5.20 x 8.00 x 0.60 inches
HC0120,Cinder(Lunar Chronicles),$5.79,$11.29,Marissa Meyer,1250007208,9781250007209,Square Fish,"Jan. 8th, 2013",448,
HC0121,"The Omnivore's Dilemma, Young Readers Edition",$4.98,,Michael Pollan,0803735006,9780803735002,Dial Books,"Oct. 15th, 2009",298,6.52 x 9.02 x 0.94 inches
HC0122,The Dangerous Days of Daniel X(Daniel X),$5.79,$5.79,James Patterson,0316002933,9780316002936,"Little, Brown Young Readers","Dec. 31st, 2008",238,5.10 x 7.30 x 0.90 inches
HC0123,Red Scarf Girl,$5.79,$8.48,Ji-Li Jiang,0064462080,9780064462082,HarperTrophy,"Sep. 4th, 1998",320,5.03 x 7.77 x 0.66 inches
HC0124,Stormbreaker(Alex Rider Adventures (Paperback)),$3.98,$9.88,Anthony Horowitz,0142406112,9780142406113,Puffin Books,"Feb. 16th, 2006",234,5.10 x 7.70 x 0.90 inches
HC0125,Al Capone Does My Shirts,$5.79,$9.16,Gennifer Choldenko,0142403709,9780142403709,Puffin Books,"Apr. 20th, 2006",225,5.10 x 7.77 x 0.69 inches
HC0126,The Skin I'm In,$9.83,$9.83,Sharon G. Flake,1423103858,9781423103851,Jump at the Sun,"Aug. 1st, 2007",171,5.62 x 8.24 x 0.38 inches
HC0127,Specials(Uglies Trilogy),$3.98,$7.99,Scott Westerfeld,1416947957,9781416947950,Simon Pulse,"Sep. 30th, 2007",372,5.08 x 6.98 x 1.08 inches
HC0128,La Linea,$5.79,$9.86,Ann Jaramillo,0312373546,9780312373542,Square Fish,"Jul. 22nd, 2008",135,5.54 x 8.20 x 0.43 inches
HC0129,The House of the Scorpion,$6.48,$11.69,Nancy Farmer,0689852231,9780689852237,Simon Pulse,"Apr. 27th, 2004",380,5.51 x 8.13 x 1.07 inches
HC0130,Harry Potter and the Order of the Phoenix(Harry Potter (Paperback)),$5.79,$12.93,J. K. Rowling,0439358078,9780439358071,Scholastic,"Sep. 1st, 2004",870,5.34 x 7.60 x 1.85 inches
HC0131,Out from Boneville(Bone (Graphix Paperback)),$3.98,$12.52,Jeff Smith,0439706408,9780439706407,Graphix,"Feb. 1st, 2005",138,6.16 x 8.98 x 0.39 inches
HC0132,The 6 Most Important Decisions You'll Ever Make,$3.98,$18.26,Sean Covey,0743265041,9780743265041,Fireside Books,"Sep. 1st, 2006",324,6.12 x 9.12 x 0.68 inches
HC0133,The Hunger Games(Hunger Games (Quality)),$5.79,$12.37,Suzanne Collins,0545425115,9780545425117,Scholastic Inc.,"Feb. 7th, 2012",374,5.20 x 7.90 x 0.90 inches
HC0134,Code Talker,$3.98,$8.61,Joseph Bruchac,0142405965,9780142405963,Puffin Books,"Jul. 6th, 2006",231,5.50 x 8.20 x 0.70 inches
HC0135,Gathering Blue,$3.98,,Lois Lowry,0440229499,9780440229490,Laurel Leaf Library,"Sep. 10th, 2002",224,4.22 x 7.22 x 0.73 inches
HC0136,Harry Potter and the Goblet of Fire(Harry Potter (Paperback)),$5.79,$12.67,J. K. Rowling,0439139600,9780439139601,Scholastic Paperbacks,"Sep. 1st, 2002",752,5.30 x 7.61 x 1.77 inches
HC0137,My Brother Sam Is Dead,$3.98,$8.25,James Lincoln Collier,0439783607,9780439783606,Scholastic Paperbacks,"Apr. 1st, 2005",216,5.33 x 7.63 x 0.57 inches
HC0138,Iqbal,$5.79,$8.43,Francesco D'Adamo,1416903291,9781416903291,Aladdin Paperbacks,"Jul. 5th, 2005",120,5.25 x 7.75 x 0.49 inches
HC0139,Freedom's Children,$3.98,$8.62,Ellen Levine,0698118707,9780698118706,Puffin Books,"Dec. 1st, 2000",192,6.03 x 9.02 x 0.54 inches
HC0140,We Beat the Street,$5.79,$9.16,Sampson Davis,0142406279,9780142406274,Puffin Books,"Apr. 20th, 2006",192,5.40 x 8.20 x 0.60 inches
HC0141,The Running Dream,$4.48,$9.99,Wendelin Van Draanen,0375866280,9780375866289,Ember,"Jan. 10th, 2012",352,5.40 x 8.10 x 0.90 inches
HC0142,Harry Potter and the Deathly Hallows(Harry Potter (Paperback)),$9.08,$14.02,J. K. Rowling,0545139708,9780545139700,Arthur A. Levine Books,"Jul. 7th, 2009",759,5.31 x 7.56 x 1.66 inches
HC0143,Twilight(Twilight Saga (Paperback)),$8.48,$14.44,Stephenie Meyer,0316015849,9780316015844,Megan Tingley Books,"Sep. 1st, 2006",498,5.40 x 8.20 x 1.40 inches
HC0144,Found(Missing (Aladdin)),$4.98,$9.16,Margaret Peterson Haddix,141695421X,9781416954217,Simon & Schuster Children's Publishing,"Apr. 21st, 2009",314,5.34 x 7.52 x 0.89 inches
HC0145,Bronx Masquerade,$5.79,$8.43,Nikki Grimes,0142501891,9780142501894,Speak,"Dec. 29th, 2003",167,4.30 x 6.78 x 0.46 inches
HC0146,Webster's Dictionary(Webster's Classic Reference Library),$3.98,$5.98,School Specialty Publishing,0769615910,9780769615912,Brighter Child,"May. 1st, 2000",224,5.24 x 7.64 x 0.61 inches
HC0147,Rookie Yearbook One,$15.41,$22.20,Tavi Gevinson,1770461124,9781770461123,Drawn & Quarterly,"Sep. 4th, 2012",352,
HC0148,Opal(Lux Novel),$6.48,$12.31,Jennifer L. Armentrout,1620610094,9781620610091,Entangled Select,"Dec. 11th, 2012",452,
HC0149,The Black Stallion(Black Stallion (Paperback)),$3.98,,Walter Farley,0679813438,9780679813439,Random House Children's Books,"Aug. 20th, 1991",224,5.14 x 7.76 x 0.56 inches
HC0150,Eragon(Inheritance Cycle (Paperback)),$3.98,$10.95,Christopher Paolini,0375826696,9780375826696,Alfred A. Knopf Books for Young Readers,"Apr. 26th, 2005",528,5.50 x 8.20 x 1.20 inches
