ID,Title,Price,Author,ISBN13,Publisher,Publication_Date,Pages,Dimensions
BN0038,Breaking Dawn,$11.47 ,Stephenie Meyer,9780316067935,"Little, Brown Books for Young Readers",8/3/10,768,5.40(w) x 8.20(h) x 2.20(d)
BN0039,Monsters of Men (Reissue with bonus short story) (Chaos Walking Series #3),$8.47 ,Patrick Ness,9780763676193,Candlewick Press,7/22/14,643,5.30(w) x 8.50(h) x 1.90(d)
BN0040,Winger,$11.00 ,Andrew Smith,9781442444935,Simon & Schuster Books For Young Readers,9/2/14,464,5.50(w) x 8.10(h) x 1.30(d)
BN0041,A Wrinkle in Time (Time Quintet Series #1),$6.99 ,Madeleine L'Engle,9780312367541,Square Fish,5/1/07,256,5.32(w) x 7.74(h) x 0.67(d)
BN0042,Paper Towns,$9.99 ,John Green,9780142414934,Penguin Young Readers Group,9/22/09,336,5.48(w) x 8.28(h) x 0.84(d)
BN0043,The Book Thief,$7.92 ,Markus Zusak,9780375842207,Random House Children's Books,9/11/07,576,5.10(w) x 7.90(h) x 1.40(d)
BN0044,Thirteen Reasons Why,$6.92 ,Jay Asher,9781595141880,Penguin Young Readers Group,6/14/11,336,5.40(w) x 8.20(h) x 1.00(d)
BN0045,Throne of Glass (Throne of Glass Series #1),$6.83 ,Sarah J. Maas,9781619630345,Bloomsbury USA,5/7/13,432,5.50(w) x 8.20(h) x 1.20(d)
BN0046,The House on Mango Street,$6.54 ,Sandra Cisneros,9780679734772,Knopf Doubleday Publishing Group,1/28/84,144,5.30(w) x 8.06(h) x 0.44(d)
BN0047,The Absolutely True Diary of a Part-Time Indian,$10.01 ,Sherman Alexie,9780316013697,"Little, Brown Books for Young Readers",4/1/09,288,5.40(w) x 8.20(h) x 0.80(d)
BN0048,The 7 Habits of Highly Effective Teens,$10.12 ,Sean Covey,9781476764665,Touchstone,5/27/14,288,6.20(w) x 9.04(h) x 0.62(d)
BN0049,Crown of Midnight (Throne of Glass Series #2),$9.41 ,Sarah J. Maas,9781619630642,Bloomsbury USA,9/2/14,448,5.50(w) x 8.20(h) x 1.30(d)
BN0050,A Separate Peace,$7.73 ,John Knowles,9780743253970,Scribner,10/7/03,208,5.50(w) x 8.40(h) x 0.60(d)
BN0051,The Maze Runner (Maze Runner Series #1),$6.49 ,James Dashner,9780385737951,Random House Children's Books,8/24/10,400,8.54(w) x 11.04(h) x 0.87(d)
BN0052,An Abundance of Katherines,$9.99 ,John Green,9780142410707,Penguin Young Readers Group,10/16/08,272,5.40(w) x 8.20(h) x 0.80(d)
BN0053,If I Stay,$6.96 ,Gayle Forman,9780142415436,Penguin Young Readers Group,4/6/10,320,5.92(w) x 7.84(h) x 0.88(d)
BN0054,The Handmaid's Tale,$8.92 ,Margaret Atwood,9780385490818,Knopf Doubleday Publishing Group,3/28/98,320,5.20(w) x 7.90(h) x 0.80(d)
BN0055,The Hobbit,$8.46 ,J. R. R. Tolkien,9780547928227,Houghton Mifflin Harcourt,9/18/12,320,5.40(w) x 8.20(h) x 1.00(d)
BN0056,Insurgent (B&N Exclusive Edition) (Divergent Series #2),$10.41 ,Veronica Roth,9780062388452,HarperCollins Children's Books,1/20/15,592,5.20(w) x 7.90(h) x 1.50(d)
BN0057,Number the Stars,$7.99 ,Lois Lowry,9780547577098,Houghton Mifflin Harcourt,5/2/11,156,5.13(w) x 7.63(h) x 0.40(d)
BN0058,End of Days (Penryn and the End of Days Series #3),$9.99 ,Susan Ee,9781477829707,Amazon Childrens Publishing,5/12/15,331,5.40(w) x 8.20(h) x 1.00(d)
BN0059,Hatchet (Brian's Saga Series #1),$7.99 ,Gary Paulsen,9781416936473,Simon & Schuster Books For Young Readers,1/23/07,192,5.12(w) x 7.62(h) x 0.50(d)
BN0060,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia Series #2)",$6.99 ,C. S. Lewis,9780064471046,HarperCollins Publishers,3/28/02,224,4.10(w) x 6.70(h) x 0.60(d)
BN0061,Catch-22,$10.72 ,Joseph Heller,9781451626650,Simon & Schuster,4/5/11,544,5.50(w) x 8.20(h) x 1.40(d)
BN0062,Ender's Game (Ender Quintet Series #1),$7.99 ,Orson Scott Card,9780812550702,Tom Doherty Associates,7/15/94,352,6.70(w) x 4.10(h) x 1.10(d)
BN0063,"Will Grayson, Will Grayson",$7.96 ,John Green,9780142418475,Penguin Young Readers Group,4/5/11,352,5.36(w) x 8.16(h) x 0.90(d)
BN0064,Me and Earl and the Dying Girl (Movie Tie-in Edition),$9.95 ,Jesse Andrews,9781419719462,Amulet Paperbacks,5/26/15,336,5.40(w) x 8.20(h) x 1.10(d)
BN0065,Persepolis: The Story of a Childhood,$9.79 ,Marjane Satrapi,9780375714573,Knopf Doubleday Publishing Group,6/1/04,160,6.01(w) x 8.85(h) x 0.45(d)
BN0066,"The Selection Series Box Set: The Selection, The Elite, The One",$23.11 ,Kiera Cass,9780062402660,HarperCollins Publishers,5/5/15,1056,5.50(w) x 8.20(h) x 2.80(d)
BN0067,Cinder (Lunar Chronicles Series #1),$9.99 ,Marissa Meyer,9781250007209,Square Fish,1/8/13,448,5.66(w) x 8.04(h) x 1.17(d)
BN0068,The One (Selection Series #3),$9.99 ,Kiera Cass,9780062060006,HarperCollins Publishers,5/5/15,368,5.30(w) x 7.90(h) x 1.00(d)
BN0069,Heir of Fire (Throne of Glass Series #3),$9.05 ,Sarah J. Maas,9781619630673,Bloomsbury USA,9/1/15,592,5.50(w) x 8.40(h) x 1.50(d)
BN0070,The Hunger Games (Hunger Games Series #1),$7.37 ,Suzanne Collins,9780439023528,"Scholastic, Inc.",7/1/10,384,8.14(w) x 5.40(h) x 0.76(d)
BN0071,John Green Box Set,$26.43 ,John Green,9780147515001,Penguin Young Readers Group,10/2/14,,5.60(w) x 8.40(h) x 3.60(d)
BN0072,I Know Why the Caged Bird Sings,$7.99 ,Maya Angelou,9780345514400,Random House Publishing Group,4/21/09,304,4.10(w) x 6.80(h) x 1.00(d)
BN0073,Aristotle and Dante Discover the Secrets of the Universe,$9.45 ,Benjamin Alire S��enz,9781442408937,Simon & Schuster Books For Young Readers,4/1/14,368,5.40(w) x 8.20(h) x 1.10(d)
BN0074,The Elite (Selection Series #2),$9.99 ,Kiera Cass,9780062059970,HarperCollins Publishers,5/6/14,352,5.20(w) x 7.90(h) x 1.00(d)
BN0075,Cress (Lunar Chronicles Series #3),$8.27 ,Marissa Meyer,9781250007223,Square Fish,1/27/15,592,5.40(w) x 8.20(h) x 1.70(d)
BN0076,Speak,$9.99 ,Laurie Halse Anderson,9780312674397,Square Fish,5/10/11,224,5.40(w) x 8.10(h) x 0.70(d)
BN0077,Macbeth (No Fear Shakespeare Series),$5.95 ,SparkNotes,9781586638467,Spark,4/15/03,240,5.20(w) x 7.40(h) x 0.80(d)
BN0078,Harry Potter and the Chamber of Secrets (Harry Potter Series #2),$7.20 ,J. K. Rowling,9780439064873,"Scholastic, Inc.",8/28/00,352,5.20(w) x 7.50(h) x 1.10(d)
BN0079,The Selection (Selection Series #1),$9.99 ,Kiera Cass,9780062059949,HarperCollins Publishers,3/26/13,327,5.20(w) x 7.90(h) x 1.00(d)
BN0080,The Boy in the Striped Pajamas,$9.99 ,John Boyne,9780385751537,Random House Children's Books,10/23/07,240,5.17(w) x 8.04(h) x 0.53(d)
BN0081,Beloved,$9.52 ,Toni Morrison,9781400033416,Knopf Doubleday Publishing Group,6/8/04,352,5.10(w) x 7.90(h) x 0.90(d)
BN0082,The Fault in Our Stars,$7.92 ,John Green,9780142424179,Penguin Young Readers Group,4/8/14,336,5.40(w) x 8.20(h) x 1.10(d)
BN0083,City of Fallen Angels (The Mortal Instruments Series #4),$9.06 ,Cassandra Clare,9781442403550,Margaret K. McElderry Books,10/2/12,448,5.68(w) x 8.04(h) x 1.16(d)
BN0084,City of Lost Souls (The Mortal Instruments Series #5),$9.24 ,Cassandra Clare,9781442416871,Margaret K. McElderry Books,3/4/14,560,5.50(w) x 8.20(h) x 1.60(d)
BN0085,City of Bones (The Mortal Instruments Series #1),$8.89 ,Cassandra Clare,9781416955078,Margaret K. McElderry Books,2/19/08,528,5.40(w) x 8.10(h) x 1.40(d)
BN0086,Unwind (Unwind Dystology Series #1),$7.59 ,Neal Shusterman,9781416912057,Simon & Schuster Books For Young Readers,6/2/09,352,5.50(w) x 8.25(h) x 1.00(d)
BN0087,Treasure Island (Barnes & Noble Classics Series),$6.25 ,Robert Louis Stevenson,9781593082475,Barnes & Noble,3/1/05,304,5.20(w) x 7.90(h) x 0.90(d)
BN0088,Dorothy Must Die (Dorothy Must Die Series #1),$9.99 ,Danielle Paige,9780062280688,HarperCollins Publishers,3/31/15,480,5.30(w) x 8.00(h) x 1.10(d)
BN0089,Really Professional Internet Person,$11.99 ,Jenn McAllister,9780545861120,"Scholastic, Inc.",8/25/15,240,6.90(w) x 8.90(h) x 0.50(d)
BN0090,The Bluest Eye,$9.34 ,Toni Morrison,9780307278449,Knopf Doubleday Publishing Group,5/8/07,224,5.20(w) x 8.00(h) x 0.60(d)
BN0091,Vampire Academy Box Set 1-6,$35.36 ,Richelle Mead,9781595147585,Penguin Young Readers Group,12/31/13,2784,7.70(w) x 8.50(h) x 5.60(d)
BN0092,Scarlet (Lunar Chronicles Series #2),$9.99 ,Marissa Meyer,9781250007216,Square Fish,2/4/14,512,5.50(w) x 8.20(h) x 1.60(d)
BN0093,Harry Potter and the Prisoner of Azkaban (Harry Potter Series #3),$6.82 ,J. K. Rowling,9780439136365,"Scholastic, Inc.",9/11/01,448,5.66(w) x 7.86(h) x 1.04(d)
BN0094,The Chronicles of Narnia (Boxed Set) (Collector's Edition),$39.28 ,C. S. Lewis,9780064409391,HarperCollins Publishers,8/1/00,,5.25(w) x 7.93(h) x 5.62(d)
BN0095,Shatter Me (Shatter Me Series #1),$9.99 ,Tahereh Mafi,9780062085504,HarperCollins Publishers,10/2/12,368,5.20(w) x 7.90(h) x 0.90(d)
BN0096,The Bell Jar,$12.26 ,Sylvia Plath,9780061148514,HarperCollins Publishers,6/11/13,288,5.50(w) x 8.25(h) x 0.72(d)
BN0097,Flowers for Algernon,$7.70 ,Daniel Keyes,9780156030304,Houghton Mifflin Harcourt,5/1/05,324,5.31(w) x 8.00(h) x 0.85(d)
BN0098,Since You've Been Gone,$9.99 ,Morgan Matson,9781442435018,Simon & Schuster Books For Young Readers,5/5/15,480,8.20(w) x 5.50(h) x 1.20(d)
BN0099,City of Ashes (The Mortal Instruments Series #2),$10.44 ,Cassandra Clare,9781416972242,Margaret K. McElderry Books,3/24/09,512,5.56(w) x 8.30(h) x 1.29(d)
BN0100,"The Mortal Instruments Series (5 books): City of Bones; City of Ashes; City of Glass; City of Fallen Angels, City of Lost Souls",$42.11 ,Cassandra Clare,9781481400831,Margaret K. McElderry Books,3/4/14,2592,6.90(w) x 8.50(h) x 5.70(d)
BN0101,Light (Gone Series #6),$9.99 ,Michael Grant,9780061449208,HarperCollins Publishers,4/8/14,448,5.20(w) x 7.90(h) x 1.00(d)
BN0102,Adventures of Tom Sawyer (Barnes & Noble Classics Series),$6.25 ,Mark Twain,9781593081393,Barnes & Noble,3/1/08,256,7.94(w) x 5.32(h) x 0.71(d)
BN0103,The Assassin's Blade: The Throne of Glass Novellas,$8.44 ,Sarah J. Maas,9781619635173,Bloomsbury USA,3/3/15,464,5.40(w) x 8.10(h) x 1.30(d)
BN0104,Lola and the Boy Next Door,$7.68 ,Stephanie Perkins,9780142422014,Penguin Young Readers Group,7/9/13,368,5.78(w) x 8.08(h) x 0.98(d)
BN0105,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide Series #1),$7.99 ,Douglas Adams,9780345391803,Random House Publishing Group,9/28/95,224,6.90(w) x 10.92(h) x 0.62(d)
BN0106,The Hunger Games Trilogy Boxset (Paperback Classic Collection),$22.27 ,Suzanne Collins,9780545670319,"Scholastic, Inc.",6/24/14,,5.40(w) x 8.20(h) x 2.50(d)
BN0107,Anna and the French Kiss,$8.77 ,Stephanie Perkins,9780142419403,Penguin Young Readers Group,8/4/11,400,5.60(w) x 8.20(h) x 1.30(d)
BN0108,The Eye of Minds (Mortality Doctrine Series #1),$9.99 ,James Dashner,9780385741408,Random House Children's Books,7/22/14,336,5.50(w) x 8.20(h) x 0.90(d)
BN0109,City of Glass (The Mortal Instruments Series #3),$10.38 ,Cassandra Clare,9781416972259,Margaret K. McElderry Books,8/3/10,576,5.56(w) x 8.24(h) x 1.46(d)
BN0110,Hidden (House of Night Series #10),$9.99 ,P. C. Cast,9781250041746,St. Martin's Press,3/25/14,320,5.40(w) x 8.20(h) x 1.00(d)
BN0111,It's Kind of a Funny Story,$9.99 ,Ned Vizzini,9780786851973,Disney-Hyperion,4/3/07,464,5.40(w) x 8.20(h) x 1.00(d)
BN0112,Gathering Blue,$9.99 ,Lois Lowry,9780547904146,Houghton Mifflin Harcourt,3/5/13,241,5.40(w) x 8.20(h) x 0.70(d)
BN0113,The Ultimate Hitchhiker's Guide to the Galaxy,$11.90 ,Douglas Adams,9780345453747,Random House Publishing Group,4/30/02,832,6.11(w) x 9.17(h) x 1.40(d)
BN0114,Asylum (Asylum Series #1),$9.99 ,Madeleine Roux,9780062220974,HarperCollins Publishers,8/26/14,336,5.20(w) x 7.90(h) x 1.00(d)
BN0115,The Dead (Enemy Series #2),$9.99 ,Charlie Higson,9781484721452,Disney-Hyperion,5/20/14,512,5.40(w) x 8.20(h) x 1.30(d)
BN0116,Stargirl,$6.99 ,Jerry Spinelli,9780440416777,Random House Children's Books,5/11/04,208,4.25(w) x 6.88(h) x 0.55(d)
BN0117,Alice's Adventures in Wonderland and Through the Looking Glass (Barnes & Noble Classics Series),$7.15 ,Lewis Carroll,9781593080150,Barnes & Noble,1/1/04,320,4.13(w) x 6.75(h) x 0.80(d)
BN0118,People Puzzler: BIG Book of Puzzles!,$5.38 ,Editors of People Magazine,9780594652380,"Time Home Entertainment, Inc",11/27/12,416,9.80(w) x 7.90(h) x 0.70(d)
BN0119,Champion (Marie Lu's Legend Series #3),$9.99 ,Marie Lu,9780147512284,Penguin Young Readers Group,9/9/14,400,5.40(w) x 8.20(h) x 1.30(d)
BN0120,"Inheritance Cycle 4-Book Trade Paperback Boxed Set (Eragon, Eldest, Brisingr, Inheritance)",$31.58 ,Christopher Paolini,9780449813225,Random House Children's Books,10/23/12,880,6.00(w) x 8.30(h) x 5.75(d)
BN0121,The Fill-In Boyfriend,$9.99 ,Kasie West,9780062336385,HarperCollins Publishers,5/5/15,352,5.31(w) x 8.00(h) x 0.72(d)
BN0122,Prodigy (Marie Lu's Legend Series #2),$9.99 ,Marie Lu,9780142427552,Penguin Young Readers Group,4/8/14,400,5.40(w) x 8.20(h) x 1.20(d)
BN0123,Clockwork Princess (Infernal Devices Series #3),$10.65 ,Cassandra Clare,9781416975915,Margaret K. McElderry Books,11/11/14,608,5.40(w) x 8.10(h) x 1.70(d)
BN0124,Hunt for Jade Dragon (Michael Vey Series #4),$9.07 ,Richard Paul Evans,9781481424394,Simon Pulse/Mercury Ink,5/5/15,336,5.90(w) x 9.00(h) x 0.90(d)
BN0125,Clockwork Angel (The Infernal Devices Series #1),$10.17 ,Cassandra Clare,9781416975878,Margaret K. McElderry Books,10/4/11,512,5.50(w) x 8.26(h) x 1.32(d)
BN0126,The 100 (The 100 Series #1),$8.04 ,Kass Morgan,9780316234498,"Little, Brown Books for Young Readers",3/18/14,336,5.50(w) x 8.25(h) x 1.00(d)
BN0127,The Twilight Saga White Collection,$38.68 ,Stephenie Meyer,9780316243988,"Little, Brown Books for Young Readers",12/4/12,2720,7.60(w) x 8.50(h) x 5.60(d)
BN0128,The Princess Bride: S. Morgenstern's Classic Tale of True Love and High Adventure,$8.95 ,William Goldman,9780156035217,Houghton Mifflin Harcourt,10/8/07,512,4.20(w) x 6.90(h) x 1.40(d)
BN0129,Nickel and Dimed: On (Not) Getting By in America,$9.87 ,Barbara Ehrenreich,9780312626686,Picador,8/2/11,256,8.04(w) x 5.62(h) x 0.72(d)
BN0130,I Am Number Four (Lorien Legacies Series #1),$9.99 ,Pittacus Lore,9780061969577,HarperCollins Publishers,8/23/11,496,5.20(w) x 7.80(h) x 1.30(d)
BN0131,The Beginning of Everything,$9.99 ,Robyn Schneider,9780062217141,HarperCollins Publishers,7/29/14,352,5.20(w) x 7.80(h) x 0.90(d)
BN0132,Crime and Punishment (Barnes & Noble Classics Series),$8.60 ,Fyodor Dostoevsky,9781593080815,Barnes & Noble,2/1/07,576,5.19(w) x 8.00(h) x 1.44(d)
BN0133,The House of the Scorpion,$6.70 ,Nancy Farmer,9780689852237,Atheneum Books for Young Readers,4/27/04,400,5.50(w) x 8.20(h) x 1.10(d)
BN0134,If I Stay Collection,$15.46 ,Gayle Forman,9780147515025,Penguin Young Readers Group,7/1/14,,5.60(w) x 8.40(h) x 1.80(d)
BN0135,Uglies (Uglies Series #1),$7.45 ,Scott Westerfeld,9781442419810,Simon Pulse,5/3/11,432,8.04(w) x 5.58(h) x 1.16(d)
BN0136,The Kiss of Deception (Remnant Chronicles Series #1),$8.44 ,Mary E. Pearson,9781250063151,Square Fish,6/2/15,512,5.40(w) x 8.20(h) x 1.00(d)
BN0137,The Testing (The Testing Trilogy Series #1),$9.99 ,Joelle Charbonneau,9780544336230,Houghton Mifflin Harcourt,1/6/15,352,5.40(w) x 8.20(h) x 1.10(d)
BN0138,In the Time of the Butterflies,$11.53 ,Julia Alvarez,9781565129764,Algonquin Books of Chapel Hill,1/12/10,352,5.40(w) x 8.10(h) x 1.10(d)
BN0139,Every Day,$9.99 ,David Levithan,9780307931894,Random House Children's Books,9/10/13,384,5.78(w) x 8.04(h) x 0.82(d)
BN0140,Angela's Ashes: A Memoir,$10.11 ,Frank McCourt,9780684842677,Scribner,5/25/99,368,5.50(w) x 8.30(h) x 0.90(d)
BN0141,The Fear (Enemy Series #3),$9.99 ,Charlie Higson,9781484721445,Disney-Hyperion,5/20/14,496,5.40(w) x 8.10(h) x 1.10(d)
BN0142,Ice Kissed (Kanin Chronicles Series #2),$9.99 ,Amanda Hocking,9781250049872,St. Martin's Press,5/5/15,320,5.40(w) x 8.20(h) x 1.00(d)
BN0143,The Unbecoming of Mara Dyer (Mara Dyer Trilogy Series #1),$8.07 ,Michelle Hodkin,9781442421776,Simon & Schuster Books For Young Readers,10/23/12,456,5.60(w) x 8.04(h) x 1.25(d)
BN0144,Homecoming (The 100 Series #3),$10.47 ,Kass Morgan,9780316381963,"Little, Brown Books for Young Readers",2/24/15,352,5.40(w) x 8.20(h) x 1.00(d)
BN0145,"Dorothy Must Die Stories: No Place Like Oz, The Witch Must Burn, The Wizard Returns",$9.99 ,Danielle Paige,9780062280794,HarperCollins Publishers,3/3/15,416,5.31(w) x 8.00(h) x 0.93(d)
BN0146,Revealed (House of Night Series #11),$9.99 ,P. C. Cast,9781250061409,St. Martin's Press,1/20/15,320,5.40(w) x 8.20(h) x 1.00(d)
BN0147,The Cellar,$9.99 ,Natasha Preston,9781492600978,Sourcebooks,3/1/14,368,5.50(w) x 8.25(h) x 0.95(d)
BN0148,Monster,$9.99 ,Walter Dean Myers,9780064407311,HarperCollins Publishers,12/28/04,304,4.93(w) x 7.17(h) x 0.88(d)
BN0149,I Am the Messenger,$6.70 ,Markus Zusak,9780375836671,Random House Children's Books,5/9/06,368,5.25(w) x 8.00(h) x 0.80(d)
BN0150,The Lost World,$6.14 ,Michael Crichton,9780345538994,Random House Publishing Group,10/30/12,432,4.19(w) x 7.52(h) x 1.00(d)
BN0151,Unhinged (Splintered Series #2),$8.95 ,A. G. Howard,9781419713736,Amulet Books,1/6/15,416,5.40(w) x 8.10(h) x 1.30(d)
BN0152,"The Mortal Instruments, the Complete Collection: City of Bones; City of Ashes; City of Glass; City of Fallen Angels; City of Lost Souls; City of Heavenly Fire",$54.11 ,Cassandra Clare,9781481444439,Margaret K. McElderry Books,9/1/15,3488,8.70(w) x 9.10(h) x 5.70(d)
BN0153,World After (Penryn and the End of Days Series #2),$7.99 ,Susan Ee,9781477817285,Amazon Childrens Publishing,11/19/13,320,5.40(w) x 8.20(h) x 0.90(d)
BN0154,Watership Down,$12.60 ,Richard Adams,9780743277709,Scribner,11/1/05,496,5.20(w) x 7.90(h) x 1.10(d)
BN0155,Nothing But the Truth: A Documentary Novel,$6.99 ,Avi,9780545174152,"Scholastic, Inc.",1/1/10,208,5.20(w) x 7.40(h) x 0.70(d)
BN0156,Unravel Me (Shatter Me Series #2),$9.99 ,Tahereh Mafi,9780062085542,HarperCollins Publishers,12/31/13,496,5.30(w) x 7.80(h) x 1.50(d)
BN0157,The Fall of Five (Lorien Legacies Series #4),$9.99 ,Pittacus Lore,9780061974632,HarperCollins Publishers,7/22/14,416,5.20(w) x 7.90(h) x 1.20(d)
BN0158,The Color Purple,$10.04 ,Alice Walker,9780156028356,Houghton Mifflin Harcourt,3/17/03,300,5.30(w) x 7.90(h) x 0.80(d)
BN0159,Ignite Me (Shatter Me Series #3),$9.99 ,Tahereh Mafi,9780062085580,HarperCollins Publishers,12/30/14,416,5.20(w) x 7.90(h) x 1.20(d)
BN0160,The Program (Program Series #1),$8.70 ,Suzanne Young,9781442445819,Simon Pulse,3/4/14,432,5.50(w) x 8.20(h) x 1.20(d)
BN0161,The Treatment (Program Series #2),$10.52 ,Suzanne Young,9781442445840,Simon Pulse,3/24/15,368,5.40(w) x 8.20(h) x 1.10(d)
