Label,Beer Name,Brew Factory Name,Style,ABV
B1024,Sherwood Mistress Jades Hemp Ale ,Sherwood Brewing Company,American Pale Ale,6%
B1025,Cumberland Red Tape Pale Ale,Cumberland Brewing &#40;BC&#41;,American Pale Ale,5.50%
B1026,Birrificio CitaBiunda Cinnamon Girl,Birrificio CitaBiunda,Premium Bitter/ESB,5.70%
B1027,Blue Elephant Red Devil,Blue Elephant Craft Brew House,Amber Ale,5.10%
B1028,Fairhope I Drink Therefore I Amber,Fairhope Brewing Company,Amber Ale,5.90%
B1029,Revolution Battle of Wil_s,Revolution Brewing Company,Amber Ale,5.30%
B103,MacTarnahans Amber Ale &#40;Macs Ale&#41;,Portland Brewing Company &#40;Pyramid - North American Breweries&#41;,Amber Ale,5.10%
B1030,Beryl_s Firecatcher,Beryl_s Beer Company,Foreign Stout,7.50%
B1031,Back Street Rita Red Ale,Back Street Brewery,Amber Ale,-
B1032,Exile Chill Clinton Double Hemp Amber Ale,Exile Brewing Company,Spice/Herb/Vegetable,8%
B1034,Backwoods Big Cedar I.R.A,Backwoods Brewing Company,Amber Ale,6.50%
B1036,Durham Red Dragon,County Durham Brewing,Amber Ale,4.70%
B104,Palmetto Amber Ale,Palmetto Brewing Company,Amber Ale,5.30%
B1040,Constantine Red Rooster Irish Ale,Constantine Brewing Company,Irish Ale,6.30%
B1041,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20%
B1042,Big Bear Mountain Red Ant Hill Red Ale,Big Bear Mountain Brewery,Amber Ale,5%
B1043,Veterans United Scout Dog 44,Veterans United Craft Brewery,Amber Ale,5.40%
B1044,Black Lotus Red Tao,Black Lotus Brewing Company,Amber Lager/Vienna,5.50%
B1045,Out of Bounds Rusted Butte Red Ale,Out of Bounds Brewing Company,Amber Ale,5.80%
B1046,Persimmon Hollow Paddle Wheeler Red Ale,Persimmon Hollow Brewing Company,Amber Ale,6%
B1047,Chy_e Sierra Amber Ale,Zamecky Pivovar Chy_e,Amber Ale,5.30%
B1048,Rock Art Stowe Mountain Lodge Hourglass Ale,Rock Art Brewery,Amber Ale,6%
B1049,Motorworks Roll Cage Red Ale,Motorworks Brewing,Irish Ale,6.50%
B105,Back Yard Rainmaker Ale,Back Yard Brewing Company,Smoked,-
B1050,Abbeydale Absolution,Abbeydale,Golden Ale/Blond Ale,5.30%
B1051,Argilla Amber Ale,Argilla Brewing Company,Amber Ale,5%
B1052,Bays Topsail,Bays,Bitter,4%
B1054,Cannonball Creek Victorville Red,Cannonball Creek Brewing Company,Amber Ale,7.10%
B1055,RJ King Wingwalker Winter Brew &#40;-2007&#41;,City Brewery &#40;Melanie Brewing Co&#41;,Amber Ale,-
B1056,Breakside Mocha Salted Caramel Stout,Breakside Brewery,Sweet Stout,6.80%
B1057,Legends Bistro Plucky Rooster Ale,Legends Bistro,Specialty Grain,5.80%
B1058,23 Brewing Company #1 Pale Ale &#40;#1&#28129;&#33394;&#33406;&#29246;&#41;,23 Brewing Company,American Pale Ale,5.50%
B1059,Legends of the Bay Giant_s Tomb,Hockley Valley Brewing & Malting Company,Amber Ale,5%
B106,Half Acre Ginger Twin India Red Ale,Half Acre Beer Company,India Pale Ale &#40;IPA&#41;,7%
B1062,Oakshire Ride Your Bike Double Red Ale,Oakshire Brewing,Amber Ale,8.60%
B1063,Begyle Pancake Junkie,Begyle Brewing Company,Amber Ale,7.20%
B1064,Naked City Screening Room Red,Naked City Brewing,India Pale Ale &#40;IPA&#41;,7%
B1065,Block 15 Ridgeback Red,Block 15 Brewery,Amber Ale,6.50%
B1067,Du Lac Saint-Jean Boutefeu,Microbrasserie du Lac Saint-Jean,Amber Ale,5.10%
B1068,Generations Pretzel City Amber,Generations Brewing Company,Amber Ale,5.10%
B107,Marble Imperial Red Ale,Marble Brewery,American Strong Ale,9%
B1070,Wynwood Fox Imperial Red Ale,Wynwood Brewing Company,American Strong Ale,7.70%
B1071,8th Wonder Coffee Mocha Feight,8th Wonder Brewery,Amber Ale,-
B1072,Old Rail Rusted Rail Ale,Old Rail Brewing Company,Amber Ale,5.40%
B1073,Black Rock Anthracite Ale,Black Rock Brewing Company,American Pale Ale,-
B1075,Paradox Red Ale,Paradox Brewery,Amber Ale,5%
B1076,Brewers Art Scarlet Fever,The Brewers Art,Sour/Wild Ale,3.25%
B1077,Bricktown 46 Star Oklahoma Amber Ale,Bricktown Brewery,Amber Ale,-
B1078,Franklins Rubber Chicken Red Ale,Brewery & General Store,Amber Ale,5%
B108,Falling Sky Retrograde Red,Falling Sky Brewing,Amber Ale,6.30%
B1080,18th Street Barrel Aged Cock Fight,18th Street Brewery,Belgian Ale,5.50%
B1081,Anderson Valley Pinchy Jeek Barl,Anderson Valley Brewing Company,Spice/Herb/Vegetable,8.50%
B1083,Ladyface Reyes Adobe Imperial Red,Ladyface Ale Companie,American Strong Ale,10.80%
B1084,Town Hall Festivus 2014,Minneapolis Town Hall Brewery,Irish Ale,6.10%
B1087,Colorado Mountain Ole 59er Amber Ale,Colorado Mountain Brewery,Amber Ale,5.20%
B1088,Echo Indian Red Ale,Echo Brewing Company,Irish Ale,-
B1089,Mother Earth Righteously Hopped Red IPA,Mother Earth Brew Company,India Pale Ale &#40;IPA&#41;,6%
B109,Bike Dog Lost and Found,Bike Dog Brewing Company,Black IPA,4.90%
B1091,Big Bear Grizzly Red Ale,Big Bear Brewing Company,Amber Ale,5.80%
B1092,Middleton Bobcat Imperial Red,Middleton Brewing,American Strong Ale,8.10%
B1093,City Star Red Necktar,City Star Brewing,Amber Ale,6%
B1094,Brass Cannon Muzzle Flash Amber Ale,Brass Cannon Brewing,Amber Ale,5.80%
B1095,Five Points Hook Island Red,Five Points Brewing Company,Amber Ale,6%
B1096,Beaus Haters Gonna Hate ,Beaus All Natural Brewing Co.,Kölsch,8%
B1097,American Sky Bomber Series # 3 - Red Tail Oktoberfest,Hudson Brewing Company,Oktoberfest/Märzen,5.60%
B1098,Ocho Reales Ale,Sierra Madre Brewing Co. (Mexico),Brown Ale,5%
B1099,American Sky Amber Salute,Hudson Brewing Company,Amber Ale,5.50%
B11,Lagunitas Imperial Red Ale,Lagunitas Brewing Company &#40;Heineken&#41;,American Strong Ale,7.80%
B110,Blue Moon Spiced Amber Ale,Coors Brewing Company &#40;MillerCoors&#41;,Spice/Herb/Vegetable,5.60%
B1101,Burnside Too Sticky to Roll,Burnside Brewing Company &#40;OR&#41;,India Pale Ale &#40;IPA&#41;,6.20%
B1103,Angry Chair Let My Peaches Be,Angry Chair Brewing,Sour/Wild Ale,5%
B1105,River City &#40;CA&#41; Woodenhead Ale,River City &#40;CA&#41; Brewing,Amber Ale,7.20%
B1107,Uncle Billys Hill Country Organic Amber,Uncle Billys Brew & Que Smokehouse & Brewery,Amber Ale,5.10%
B1109,Chama River Sunset Red,Chama River Brewing Company,Amber Ale,6.10%
B111,Three Heads Loopy Oatmeal Red Ale,Custom Brewcrafters,Amber Ale,6.60%
B1112,Anacortes Especial Red Ale,Rockfish Grill & Anacortes Brewery,Amber Ale,4.20%
B1113,Liberty High Point Rocket_s Red Ale,Liberty Brewery & Grill - High Point,Irish Ale,-
B1114,Blue Dog Red Collar Mead,Blue Dog Mead Company,Mead,12%
B1115,Crooked Can Captain McSwaggers,Crooked Can Brewing Company,Stout,5%
B1116,Dragonmead Crooked Door Amber Ale,Dragonmead Brewery,Amber Ale,5%
B1117,Lilys Reggies French River Red Ale,Lilys Seafood Restaurant & Brewery,Amber Ale,5.80%
B1118,Avery Red Table Common,Avery Brewing Company,California Common,5.10%
B112,Bristol Skull & Bones Flanders Red,Bristol Brewing Company,Sour Red/Brown,-
B1120,Barley Forge El Paisano,Barley Forge Brewing Company,Amber Ale,5.70%
B1122,Alpine Dog Hogback Amber Ale,Alpine Dog Brewery,Amber Ale,5.25%
B1125,Gold Camp Georgia_s Agave Amber Ale,Gold Camp Brewing Company,Amber Ale,5.50%
B1126,Area 51 Planet Red Ale ,Area 51 Craft Brewery,German Hefeweizen,5.50%
B1127,Columbus Kashmir,Columbus Brewing Company,Amber Ale,5.50%
B1128,Bull City Reel Amber,Bull City Burger and Brewery,Amber Ale,-
B1129,Solvang Dansk Amber Ale,Solvang Brewing Company,Amber Ale,6.20%
B113,Peak Organic Espresso Amber Ale,Shipyard Brewing Company,Amber Ale,6.80%
B1130,Adirondack Bobcat Blonde Lager,Adirondack Pub and Brewery,Golden Ale/Blond Ale,3.80%
B1131,San Luis Valley Alamosa Amber,San Luis Valley Brewing Company,Amber Ale,5%
B1133,Roundabout Rusted Route Amber Ale,Roundabout Brewery,Amber Ale,5.10%
B1134,Iron Hill Big Rye Wibby,Iron Hill Lancaster,American Strong Ale,7%
B1135,4 Hands Vigilante,4 Hands Brewing Company,Amber Lager/Vienna,5%
B1137,Boxing Cat Dragons Fire Doppelbock,Boxing Cat Brewery,Doppelbock,8%
B1138,Hamburg House Dressing,Hamburg Brewing Company,Amber Ale,5%
B1139,Green Man Blood of My Enemies,Green Man Brewery,Amber Ale,7%
B114,Allendale Evening Chronicle Christmas Beer,Allendale,Bitter,3.60%
B1140,14th Star Maple Session Brown Ale,14th Star Brewing Company,Brown Ale,4.50%
B1141,Laguna Beach Grateful Red Imperial Red Ale,Laguna Beach Brewing,American Strong Ale,11%
B1143,Kettle House Lake Missoula Amber,Kettle House Brewing Company,Amber Ale,5.50%
B1145,5 Seasons North Ossabaw Island Ale,5 Seasons North,Belgian Strong Ale,-
B1146,Yeastie Boys Hud-a-wa_ Strong,Invercargill Brewery,Scottish Ale,6.80%
B1148,Haymarket Jananna Dance Red Headed Ale,Haymarket Pub & Brewery,Amber Ale,5.50%
B1149,Independence Brewing ROOD,Independence Brewing Co.,India Pale Ale &#40;IPA&#41;,6%
B115,Abbeydale Moonshine,Abbeydale,Golden Ale/Blond Ale,4.30%
B1150,Lawson_s Finest Equinox Extra XPA,Lawson_s Finest Liquids,American Strong Ale,7.10%
B1151,Woodcock Brothers Amber Ale #1,Woodcock Brothers Brewing Company,Amber Ale,4.10%
B1152,Blind Tiger Little Red Corvette,Blind Tiger,Amber Ale,6.40%
B1153,Modus Operandi Former Tenant,Modus Operandi Brewing Co.,India Pale Ale &#40;IPA&#41;,7.10%
B1155,Glasstown Founders Ale,Glasstown Brewing Company,American Strong Ale,6.90%
B1156,Mountain Toad Apex Amber,Mountain Toad Brewing,Amber Ale,6.60%
B1157,DaDo Bier Red Ale,DaDo Bier,Belgian Ale,5.30%
B1158,Coalition Simple India Style Session Ale,Coalition Brewing,Session IPA,4%
B1159,Downtown Joes Tail Waggin Amber Ale,Downtown Joes Restaurant & Brewery,Amber Ale,5.60%
B116,Alexander Keiths Red &#40;Amber Ale&#41;,Oland Brewery &#40;AB-InBev&#41;,Amber Ale,5%
B1160,Denizens Big Red Norm,Denizens Brewing Company,Amber Ale,7.60%
B1161,Coastal Empire Southern Delight,Coastal Empire Beer Co.,Amber Ale,5.20%
B1162,Big Island / Caldera Red Sea Imperial Red Gose,Big Island Brewhaus,American Strong Ale,8.80%
B1163,Blue Pants Big & Tall #2: Barrel Aged Belgian Red,Blue Pants Brewery,Amber Ale,9%
B1164,Roosters Brewing Two-Bit Amber,Roosters Brewing Co. &#40;US&#41;,Amber Ale,4%
B1165,51st Ward Conscious Sedation,Church Street Brewing Company,Brown Ale,8%
B1168,Great Baraboo Snake Eye Canyon Red Ale,Great Baraboo Brewing Company,Amber Ale,5.20%
B1169,Bold City European Street Cafe Lamp Post Ale,Bold City Brewery,Amber Ale,-
B117,River Horse Special Ale,River Horse Brewing Company,Amber Ale,5.50%
B1170,Adkin Alfred_s Galaxy,Adkin,Golden Ale/Blond Ale,4%
B1171,Boxing Cat Ringside Red,Boxing Cat Brewery,Amber Lager/Vienna,5%
B1172,Cucamonga Jacked Up Red,Cucamonga Brewing Company,American Strong Ale,8%
B1173,North Star Horizons Amber Ale,North Star Craft Brewery,Amber Ale,5.50%
B1174,3 Stars Lime Basil Saison &#40;Coconut&#41;,3 Stars Brewing Company,Saison,4.20%
B1175,White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-
B1176,Elk Rock Velvet Antler Amber Ale,Portland Brewing Company &#40;Pyramid - North American Breweries&#41;,Amber Ale,4%
B1177,Abita Mint Julep Turbodog,Abita Brewing Company,Brown Ale,7%
B1179,Sockeye Angels Perch Amber,Sockeye Brewing,Amber Ale,4.50%
B118,Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,Amber Ale,5.20%
B1180,Double Barley Give _Em Hell,Double Barley Brewing,American Strong Ale,10.40%
B1181,Old Schoolhouse Blazing Amber,Old Schoolhouse Brewery,Amber Ale,6.80%
B1182,Pizza Boy Journeymen,Pizza Boy Brewing,Amber Ale,4.50%
B1183,Adnams / Devils Backbone American Amber ,Adnams,Amber Ale,4.80%
B1184,350 El Scorcho Belgian Amber,350 Brewing Company,Belgian Ale,6.60%
B1185,Kingdom Round Barn Red,Kingdom Brewing,Amber Ale,5.50%
B1186,Kassiks Orion_s Quest Red Ale,Kassiks Brewery,Amber Ale,6.80%
B1187,Lynnwood Bill & Ted_s Excellent Amber,Lynnwood Grill & Brewing Concern,Amber Ale,5%
B1188,Lakewood Manimal,Lakewood Brewing Company,Amber Ale,6.50%
B1189,Fair Winds Running Light Red,Fair Winds Brewing Company,Belgian Ale,6%
B119,Blind Tiger Holy Grail Pale Ale,Blind Tiger,American Pale Ale,-
B1190,Prescott Manzanita Red,Prescott Brewing Company,Amber Ale,5.10%
B1191,Tahoe Mountain Ranch Dog Red,Tahoe Mountain Brewing Company,Amber Ale,7%
B1192,Vancouver Island High Trail Honey Ale,Vancouver Island Brewery,Amber Ale,5%
B1193,Bottle Logic Imperial REDioactive,Bottle Logic Brewing,American Strong Ale,8.60%
B1194,Books & Brews Shogun Soba Ale,Books & Brews,Specialty Grain,5.10%
B1195,Island Hoppin_ Old Madrona,Island Hoppin_ Brewery,American Strong Ale,8%
B1197,Modern Times Mega Blazing World,Modern Times Beer,Imperial IPA,8.50%
B1198,5 Seasons Big Horn Bock,5 Seasons Brewing Company,Dunkler Bock,-
B1199,Squatters Respect Your Mother Organic Amber Ale,Squatters Craft Beers,Amber Ale,4%
B12,Birrificio Trunasse Zoe,ZOE - Birrificio Trunasse,Golden Ale/Blond Ale,5.50%
B120,Coronado Monk In Tha Trunk,Coronado Brewing Company,Belgian Ale,4.80%
B1200,Jackie O_s Smoke Ya Oats,Jackie O_s Pub & Brewery,Smoked,6.30%
B1201,Bog Iron Slap Happy Rye Amber,Bog Iron Brewing,Amber Ale,5.80%
B1204,Harvest Moon OQ Coffee Porter &#40;Frangelico Coffee w/ Hazelnut&#41;,Harvest Moon Brewery &#40;NJ&#41;,Porter,-
B1207,Amnesia Crystal Red Ale,Amnesia Brewing,Amber Ale,6%
B1208,Twelve Bar Brews Turnaround Northwest Red Ale,Twelve Bar Brews,Amber Ale,5.70%
B1209,Wicked Weed Wicked Tea Party,Wicked Weed Brewing,Amber Ale,4.80%
B121,Tap Room No. 21 Moe_s Backroom Amber Ale,Genesee Brewing Company &#40;North American Breweries&#41;,Amber Ale,5.70%
B1210,Brodies Shoreditch Sunshine,Brodies,Golden Ale/Blond Ale,3.80%
B1212,Bloodline Through Silver In Blood Red Ale,Bloodline Brewing Company,Amber Ale,6%
B1213,8 Wired Mighty Imperial Ale,Renaissance Brewing,American Strong Ale,11%
B1214,Coombe Martin Hangmans Bitter,Combe Martin,Premium Bitter/ESB,4.50%
B1215,Seven Brides Emily_s Ember,Seven Brides Brewing Company,Amber Ale,4.50%
B1216,Founders Barrel Aged Red_s Rye,Founders Brewing Company,Specialty Grain,9.20%
B1217,Bagby Hop Whompus,Bagby Beer Company,American Strong Ale,9.50%
B1219,Crank Arm Reflector,Crank Arm Brewing,Irish Ale,5.30%
B122,Kirkland Signature Amber Ale,F.X. Matt Brewing Company,Amber Ale,5.70%
B1220,Banks Amber Ale ,Banks Barbados Brewery,Golden Ale/Blond Ale,5%
B1221,Glutenberg 8,Glutenberg Craft Brewery,Specialty Grain,5%
B1222,JoBoy_s Manheim Red,JoBoy_s Brew Pub,Amber Ale,5.20%
B1223,7 Seas Ballz Deep Double IPA,7 Seas Brewing,Imperial IPA,8%
B1224,Firestorm Red Angel,WharfeBank,Amber Ale,5%
B1225,Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company,Amber Ale,5%
B1226,Il Vicino Dougie Style Amber,Canteen Brewhouse &#40;was Il Vicino Pizzeria and Brewery&#41;,Amber Ale,5.90%
B1227,Red Duck Hoppy Amber,Purrumbete Brewing,Amber Ale,5.60%
B1228,Imperial Oak Roil Red,Imperial Oak Brewing,Amber Ale,6.20%
B1229,Black Forest Brau Keller Grateful Red,Black Forest Brau Keller,Amber Ale,5%
B123,Parallel 49 Gypsy Tears Ruby Ale,Parallel 49 Brewing Company,Amber Ale,6%
B1232,Brew Bus Rollin Dirty Red Ale - Cedar Aged ,Cigar City Brewing,Irish Ale,5%
B1235,Fuggles & Warlock Hyper Combo Red Rye IPA,Dead Frog Brewery,American Strong Ale,8%
B1238,American Honor Declaration Ale,Lion Brewery,American Pale Ale,5.40%
B1239,Bilbos Dragon Red Ale,Bilbos Pizza In A Pan,Irish Ale,-
B124,Americas American Red Ale,Americas Brewpub,Amber Ale,-
B1240,Phat Matt_s Red Ale,Phat Matt_s Brewing Company,Amber Ale,6.50%
B1241,Seabright Sacrilicious Ale,Seabright Brewery,American Strong Ale,6.80%
B1242,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40;IPA&#41;,7.80%
B1243,Black Sky Imperial Petal to the Metal,Black Sky Brewery,Spice/Herb/Vegetable,9%
B1244,Phillips Double Dragon Imperial Red Ale,Phillips Brewing Co.,American Strong Ale,8.20%
B1246,Blue Corn &#40;Santa Fe&#41; Atalaya Amber Ale,Blue Corn Brewery &#40;Santa Fe&#41;,Amber Ale,5.20%
B1247,Fitgers Daisy Ale,Fitgers Brewhouse,Amber Ale,6.10%
B1248,Council Rock Sleeping Lion Red Ale,Council Rock Brewery,Irish Ale,6%
B1249,Kootenay True Ale,Columbia Brewery &#40;Labatt-InBev&#41;,Amber Ale,5%
B1250,Gonzo_s BiggDogg Burning Sun Redd,Gonzo_s BiggDogg Brewing,Amber Ale,5%
B1252,Ballast Point Calico Amber Ale - Coffee,Ballast Point Brewing Company,Amber Ale,5.50%
B1254,Abbey Cardinal Sin,Abbey Ales,English Strong Ale,6%
B1256,Alameda Brickhouse Brown,Alameda Brewing Co.,Brown Ale,5.20%
B1258,101 Hook Tender Honey Brown Ale,101 Brewery & Twana Roadhouse,Brown Ale,5.50%
B1259,Amsterdam X Indie Alehouse Shapeshifter,Amsterdam Brewing Company,American Strong Ale,9%
B1260,Anacapa Santa Rosa Red,Anacapa Brewing Company,Amber Ale,6.20%
B1261,Kuhnhenn Irreverent,Kuhnhenn Brewing,Belgian Strong Ale,10%
B1262,Spoonwood Cold Drip City,Spoonwood Brewery,Amber Ale,5.80%
B1264,L_Olmaia La 9,L_Olmaia,Belgian Ale,6.50%
B1265,Pisgah Ryan_s Red Ale,Pisgah Brewing Company,Irish Ale,5%
B1266,BARTS Cardinal Red Ale,BARTS Brewpub,Amber Ale,5.50%
B1268,The Brew Gentlemen Business Casual,The Brew Gentlemen Beer Company,American Strong Ale,8.40%
B1269,Angelic Big Red Ale,Angelic Brewing Company,Irish Ale,-
B1270,Park Tavern Olmsted Amber,Park Tavern Brewery,Amber Ale,-
B1272,Les Brasseurs du Hameau d_Ham-Sud Rousse Bitter,Les Brasseurs du Hameau,Bitter,5.50%
B1273,B.O.B. Crimson King,The B.O.B.s House of Brews,Amber Ale,5%
B1274,Deep Cove Small Victories,Deep Cove Brewers,Belgian Strong Ale,9%
B1275,Claremont Craft Ales Dis-Roble_d,Claremont Craft Ales,Amber Ale,6.50%
B1276,Black Swan Cherrywood Smoked Porter,Black Swan Brewpub,Porter,5.10%
B1277,Central Coast Topless Amber,Central Coast Brewing,Bitter,4.20%
B1278,Broken Tooth Northern Lights Amber,Broken Tooth Brewing Company,Amber Ale,4.70%
B128,Alpine Dog Black Rye Session Pale Ale,Alpine Dog Brewery,Specialty Grain,4.50%
B1280,Cigar City IWCB Unite,Cigar City Brewing,Amber Ale,6.20%
B1281,_ La Fût La Rousse Rustre,_ La Fût,Amber Ale,4.80%
B1282,5 Seasons Westside The Huntsman,5 Seasons Westside,Bitter,-
B1283,Stallhagen US Red Ale,Stallhagen,Amber Ale,6%
B1286,Assawoman Bay Coastal Edge Copper,Assawoman Bay Brewing Company,Amber Ale,6.04%
B1287,75th Street Red Eye Rye,75th Street Brewery,Specialty Grain,5.50%
B1289,Siren Batch 200 Liquid Monstrous,Siren,Imperial IPA,8.20%
B129,Cambridge Red God IPA,Cambridge Brewing Company,Imperial IPA,9%
B1290,Cool Springs Fatback Amber Ale,Cool Springs Brewing Company,Amber Ale,-
B1291,Gilgamesh Pumphouse Copper Ale,Gilgamesh Brewing,Amber Ale,4.50%
B1292,Karl Strauss Red Trolley Ale,Karl Strauss Brewing Company,Irish Ale,5.80%
B1293,Broken Bow Red Ale,Broken Bow Brewery,Irish Ale,5.50%
B1294,Breakwater Railslide Red,Breakwater Brewing Company,Amber Ale,5.70%
B1295,1933 Oktoberfest,1933 Brewing Company,Oktoberfest/Märzen,6%
B1296,La Jolla Brewhouse Blue Whale Pale Ale,La Jolla Brewhouse,American Pale Ale,5.20%
B1297,House Ales Crack of Noon ,House Ales,Stout,7%
B1298,Squam Asquam Amber Ale,Squam Brewing,Amber Ale,5%
B130,Jumping Cow Amber Ale,August Schell Brewing Company,Amber Ale,5.50%
B1300,Big Wood Stump Splitter: Dates & Ginger,Big Wood Brewery,Belgian Ale,5.60%
B1301,Baja Peliroja,Baja Brewing Co.,Amber Ale,5.50%
B1302,Angus MacDougals Scottish Red Ale,Cold Spring Brewery,Scottish Ale,5.20%
B1303,Bonfire Vulcans Vienna Ale,Bonfire Bistro and Brewery,Amber Lager/Vienna,-
B1304,Brady_s Absolutely Amber,Brady_s Brewhouse,Amber Ale,-
B1305,Les Bières de la Nouvelle-France Nouvelle-France Rouge,Les Bières de la Nouvelle-France,Amber Ale,4.50%
B1306,Cascade Lakes Angus MacDougals Amber,Cascade Lakes Brewing Co.,Scottish Ale,5.70%
B1308,Big Al Amber &#40;Tutta Bella&#41;,Big Al Brewing,Amber Ale,5.70%
B131,AC Golden Colorado Native Amber Lager,Coors Brewing Company &#40;MillerCoors&#41;,Amber Lager/Vienna,5.50%
B1310,Casa Bruja Sir Francis Red Ale,Casa Bruja Brewing Co.,Amber Ale,5.50%
B1311,Bird Dog Maggie_s Cider Ale,Bird Dog Brewing,Cider,6.70%
B1312,Goldstone Old Charmer,Goldstone,Golden Ale/Blond Ale,4.10%
B1313,Budge Brothers Spokamber 509 Amber Ale,Budge Brothers Brewery,Amber Ale,4.50%
B1314,Alaskan Taku River Red,Alaskan Brewing Company,Amber Ale,-
B1315,Odell Mean Street Pumpkin Ale,Odell Brewing Company,Spice/Herb/Vegetable,5.40%
B1318,Borderlands La Morena Brown Ale,Borderlands Brewing Company,Brown Ale,4.50%
B1319,Fogbelt Hyperion Red Ale,Fogbelt Brewing Company,Amber Ale,7.20%
B132,Rush River The Unforgiven Amber Ale,Rush River Brewing Company,Amber Ale,5.50%
B1322,Grist House Camp Slap Red,Grist House Brewing,Amber Ale,6.20%
B1323,Amager Hr. Frederiksen &#40;Colorado Whiskey Edition&#41;,Amager Bryghus,Imperial Stout,11%
B1327,Ballast Point Calico Amber Ale - Rum Barrel Aged,Ballast Point Brewing Company,Amber Ale,5%
B1329,Blue Tractor Smokehouse Amber,Blue Tractor BBQ & Brewery,Amber Ale,5%
B1331,Uncle Billys Bitchin Camaro,Uncle Billys Brew & Que Smokehouse & Brewery,Amber Ale,-
B1336,Aarhus Cains Triple A American Amber Ale,Aarhus Bryghus,Amber Ale,5.50%
B1337,Deschutes Fire King IRA,Deschutes Brewery,Irish Ale,6.40%
B1338,Lenny Boy No-Show Amber ,Lenny Boy Brewing Company,Amber Ale,6%
B134,Adirondack Bear Naked Ale,Adirondack Pub and Brewery,Amber Ale,5%
B1340,Mudhook Live Bait Amber Ale,Mudhook Brewing Company,Amber Ale,6%
B1341,Auburn Alehouse Scarlet Harlot,Auburn Alehouse &#40;CA&#41;,Amber Ale,6.80%
B1342,Sigtuna Red Ale,Sigtuna Brygghus,Amber Ale,6%
B1343,Americas Aurora Amber Ale ,Americas Brewpub,Amber Ale,4.99%
B1344,Tahquamenon Falls Tannin Red,Tahquamenon Falls Brewery,Amber Ale,-
B1345,Ladyface Agoura Ale,Ladyface Ale Companie,Amber Ale,6.70%
B1346,Mornington Peninsula Imperial Amber,Mornington Peninsula Brewery,American Strong Ale,7.50%
B1348,De Dochter van de Korenaar Noblesse Very Special Old Pale &#40;VSOP&#41;,De Dochter van de Korenaar,Belgian Ale,5.50%
B1349,John Harvards Colonial Red,John Harvards Brewhouse Lake Grove,Amber Ale,-
B135,Carters Roundhouse Red Ale,Carters Brewing Co.,Amber Ale,5.50%
B1350,CraftHaus Unite Smokey Red,CraftHaus Brewery,Smoked,6%
B1352,Bottle Logic Sunspear Saison,Bottle Logic Brewing,Saison,7%
B1354,Triple C Imperial Smoked Amber,Triple C Brewing Company,Smoked,8.20%
B1355,Alpha Golden Nugget Pale Ale,Alpha Brewing Company,American Pale Ale,5%
B1356,Legends Jack Rabbit Red Ale,Legends Brewhouse & Eatery,Amber Ale,-
