Label,Beer Name,Brew Factory Name,Style,ABV
A80,Blue Moon Rising Moon Spring Ale,Coors Brewing Company,American Amber / Red Ale,5.40%
A81,Evil Twin,Heretic Brewing Company,American Amber / Red Ale,6.80%
A82,Buckshot Amber Ale,Natty Greene's Pub & Brewing Co.,American Amber / Red Ale,4.90%
A83,Hemp Hop Rye,O'Fallon Brewery,American Amber / Red Ale,5.50%
A84,Revelry,Two Brothers Brewing Company,American Amber / Red Ale,9.50%
A85,Pinstripe Red Ale,Ska Brewing Co.,American Amber / Red Ale,5.15%
A86,Newport Storm Hurricane Amber Ale,Coastal Extreme Brewing Co.,American Amber / Red Ale,5.20%
A87,Redhook Late Harvest Autumn Ale,Redhook Ale Brewery,American Amber / Red Ale,5.90%
A88,XS Imperial Red,Rogue Ales,American Amber / Red Ale,9.00%
A89,The Men's Room Ale,Elysian Brewing Company,American Amber / Red Ale,5.60%
A90,Lobster Ale,Belfast Bay Brewing Co.,American Amber / Red Ale,5.00%
A91,Mayflower Spring Hop,Mayflower Brewing Company,American Amber / Red Ale,5.30%
A92,Giddy Up!,New Belgium Brewing,American Amber / Red Ale,6.00%
A93,Revel Red,Stoudts Brewing Co.,American Amber / Red Ale,6.20%
A94,Old Yankee Ale,Cottrell Brewing Co.,American Amber / Red Ale,5.00%
A95,Dawn Of The Red I.R.A. Ale,Ninkasi Brewing Company,American Amber / Red Ale,7.00%
A96,Centennial Red (Brewmaster Series),Long Trail Brewing Co.,American Amber / Red Ale,7.90%
A97,Ouisconsing Red Ale,Central Waters Brewing Co.,American Amber / Red Ale,4.80%
A98,Ashland Amber,Caldera Brewing Company,American Amber / Red Ale,5.40%
A99,Firefly Amber Ale,Jackie O's Pub & Brewery,American Amber / Red Ale,4.50%
A100,Reprise Centennial Red,4 Hands Brewing Co.,American Amber / Red Ale,6.00%
A101,ESB Amber Ale,Flying Fish Brewing Company,American Amber / Red Ale,5.50%
A102,Alaskan Imperial Red Ale (Pilot Series),Alaskan Brewing Co.,American Amber / Red Ale,8.50%
A103,MacTarnahan's Amber Ale,Portland Brewing Company,American Amber / Red Ale,5.10%
A104,Palmetto Amber,Palmetto Brewing Company,American Amber / Red Ale,5.50%
A105,Rainmaker,Steel Toe Brewing,American Amber / Red Ale,6.50%
A106,Ginger Twin,Half Acre Beer Company,American Amber / Red Ale,6.50%
A107,Marble Red Ale,Marble Brewery,American Amber / Red Ale,6.50%
A108,Retro Red,The Fort Collins Brewery,American Amber / Red Ale,5.20%
A109,Lost Dog,Napa Smith Brewery,American Amber / Red Ale,7.20%
A110,Blue Moon Spiced Amber Ale,Coors Brewing Company,American Amber / Red Ale,5.60%
A111,Loopy Oatmeal Red Ale,Three Heads Brewing,American Amber / Red Ale,6.60%
A112,Red Skull,Revolution Brewing Company,American Amber / Red Ale,8.80%
A113,Peak Organic Espresso Amber Ale,Peak Organic Brewing Company,American Amber / Red Ale,7.00%
A114,Chronic Ale,Pizza Port Solana Beach,American Amber / Red Ale,4.95%
A115,Shine On Ale,Central Waters Brewing Co.,American Amber / Red Ale,-
A116,Alexander Keith's Red Amber Ale,Alexander Keith's,American Amber / Red Ale,5.00%
A117,River Horse Special Ale,River Horse Brewing Co.,American Amber / Red Ale,4.50%
A118,Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,5.25%
A120,Monk In The Trunk,Inlet Brewing Co.,American Amber / Red Ale,5.50%
A121,Tap Room No. 21 Amber Ale,World Brews,American Amber / Red Ale,4.80%
A122,Kirkland Signature Amber Ale,Kirkland Signature / Costco Wholesale Corporation,American Amber / Red Ale,5.70%
A123,Gypsy Tears Ruby Ale,Parallel 49 Brewing Company,American Amber / Red Ale,6.00%
A124,American Red Ale,Rock Art Brewery,American Amber / Red Ale,4.80%
A125,Bonehead Imperial Red,Fat Head's Brewery & Saloon,American Amber / Red Ale,9.40%
A126,Austin Amber Ale,Independence Brewing Co.,American Amber / Red Ale,4.80%
A127,Shark Bite Red Ale,Port Brewing,American Amber / Red Ale,6.00%
A128,Black Dog Ale,Spanish Peaks Brewing Co.,American Amber / Red Ale,5.20%
A129,Red God,Cambridge Brewing Company,American Amber / Red Ale,9.00%
A130,Jumping Cow Amber Ale,Steinhaus Brewing Co.,American Amber / Red Ale,5.50%
A131,Native Amber,Coop Ale Works,American Amber / Red Ale,6.10%
A132,The Unforgiven Amber Ale,Rush River Brewing Company,American Amber / Red Ale,5.80%
A133,Henry Weinhard's Redwood Flats Amber Ale,Blitz-Weinhard Brewing Co.,American Amber / Red Ale,5.20%
A134,Bear Naked Ale,Adirondack Pub & Brewery,American Amber / Red Ale,5.20%
A136,New Holland Red Tulip Ale,New Holland Brewing Company,American Amber / Red Ale,-
A137,Rexx,Clown Shoes,American Amber / Red Ale,12.00%
A138,North Peak Siren Amber,North Peak Brewing Company,American Amber / Red Ale,5.00%
A139,Amber Ale,Grand Teton Brewing Co.,American Amber / Red Ale,5.30%
A140,Rusty Chain,Flying Bison Brewing Company,American Amber / Red Ale,5.00%
A141,Train Wreck Ale,Mountain Town Brewing Co.,American Amber / Red Ale,8.20%
A142,Wachusett Octoberfest Ale,Wachusett Brewing Company,American Amber / Red Ale,5.20%
A143,Double Dread Imperial Red Ale,Mad River Brewing Company,American Amber / Red Ale,8.60%
A144,Rustic Ale,Lost Nation Brewing,American Amber / Red Ale,5.40%
A145,The Libertine,Fulton Beer,American Amber / Red Ale,8.50%
A146,Aorta Ale (Double Red Ale),Short's Brewing Company,American Amber / Red Ale,8.30%
A147,Finnegans Irish Amber,Finnegans Inc.,American Amber / Red Ale,4.75%
A148,Rowhouse Red,Philadelphia Brewing Company,American Amber / Red Ale,5.00%
A149,Peak Organic King Crimson,Peak Organic Brewing Company,American Amber / Red Ale,9.50%
A150,Louie's Demise,Milwaukee Ale House,American Amber / Red Ale,4.80%
A151,West Sixth Amber,West Sixth Brewing Company,American Amber / Red Ale,5.50%
A152,Happy Amber,MadTree Brewing,American Amber / Red Ale,6.00%
A153,Thomas Creek Appalachian Amber Ale,Thomas Creek Brewery,American Amber / Red Ale,6.80%
A154,Cape Cod Red,Cape Cod Beer,American Amber / Red Ale,5.50%
A155,Bucolia,Bissell Brothers Brewing Co.,American Amber / Red Ale,5.60%
A156,Runabout Red Ale,Sebago Brewing Company,American Amber / Red Ale,4.40%
A157,Sam Vs. Unicorn,Pipeworks Brewing Company,American Amber / Red Ale,9.00%
A158,Red Marker Ale,AleWerks Brewing Company,American Amber / Red Ale,5.00%
A159,Sierra Blanca Roswell Alien Amber,Sierra Blanca Brewing Company (Rio Grande),American Amber / Red Ale,5.20%
A160,Rise Up Red,Hopworks Urban Brewery,American Amber / Red Ale,5.80%
A161,Peak Organic Fall Summit Ale,Peak Organic Brewing Company,American Amber / Red Ale,5.70%
A162,Ard Ri,Upland Brewing Company,American Amber / Red Ale,9.50%
A163,Ridgeback Ale,No Label Brewing Company,American Amber / Red Ale,6.10%
A164,Betrayal Imperial Red,Speakeasy Ales & Lagers,American Amber / Red Ale,8.20%
A165,Bromigo Smoked Maple Amber,Three Heads Brewing,American Amber / Red Ale,6.50%
A166,Great Lakes Rally Drum Red Ale,Great Lakes Brewing Co.,American Amber / Red Ale,5.80%
A167,Free Range Red,Laurelwood Public House & Brewery,American Amber / Red Ale,6.10%
A168,Bitto Honey,Prism Brewing Company,American Amber / Red Ale,6.50%
A169,Buffalo Bayou 1836,Buffalo Bayou Brewing Co,American Amber / Red Ale,5.90%
A170,Rail Yard Ale,Wynkoop Brewing Company,American Amber / Red Ale,5.20%
A171,Deveiled,Magic Hat Brewing Company,American Amber / Red Ale,5.20%
A172,Red Rock Amber Ale,OPA-OPA Steakhouse & Brewery,American Amber / Red Ale,6.00%
A173,Carrack,Mission Brewery,American Amber / Red Ale,10.20%
A174,Hoppy Red,Boston Beer Company (Samuel Adams),American Amber / Red Ale,5.70%
A175,All-In Amber,Full Pint Brewing Company,American Amber / Red Ale,5.80%
A176,Imperial Red Ale,Epic Brewing Company,American Amber / Red Ale,7.70%
A177,The Imperial Texan,Martin House Brewing Company,American Amber / Red Ale,8.00%
A178,Perfect Tin Amber,Tin Roof Brewing Company,American Amber / Red Ale,4.50%
A179,Thirsty Goat Amber,Thirsty Planet Brewing Company,American Amber / Red Ale,6.80%
A180,Goose Autumn Ale,Goose Island Beer Co.,American Amber / Red Ale,6.70%
A181,Peak Organic Amber Ale,Peak Organic Brewing Company,American Amber / Red Ale,4.90%
A182,Red Rambler Ale,Peace Tree Brewing Co.,American Amber / Red Ale,5.80%
A183,6th Anniversary Ale (Dirty Hippie Imperial Red Ale),Kern River Brewing Company,American Amber / Red Ale,8.00%
A184,Red Jacket Amber Ale,Keweenaw Brewing Company,American Amber / Red Ale,5.10%
A185,Red Giant,Element Brewing Company,American Amber / Red Ale,8.25%
A186,Hello My Name Is Amber,Flat 12 Bierwerks,American Amber / Red Ale,5.80%
A187,Dank Imperial Red,O'so Brewing Company & Tap House,American Amber / Red Ale,9.20%
A188,Sundance Amber Ale,Boulder Beer / Wilderness Pub,American Amber / Red Ale,4.85%
A189,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50%
A190,Buffalo Butt,Rahr & Sons Brewing Company,American Amber / Red Ale,4.50%
A191,Counter Culture,Flying Dog Brewery,American Amber / Red Ale,6.00%
A192,El Rojo Red Ale,Griffin Claw Brewing Company,American Amber / Red Ale,6.50%
A193,Ma,Tree House Brewing Company,American Amber / Red Ale,7.30%
A194,Elector Imperial Red Ale,New Albanian Brewing Company - Pizzeria and Public House,American Amber / Red Ale,7.00%
A195,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,American Amber / Red Ale,7.00%
A196,Fish Tale Amber Ale,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale,5.50%
A197,Red Mo Ale,Otto's Pub and Brewery,American Amber / Red Ale,5.00%
A198,Diablo Rojo,Boneyard Beer Company,American Amber / Red Ale,7.00%
A199,Rollin' Dirty Red Ale,Cigar City Brewing,American Amber / Red Ale,-
A200,Indiana Amber,Oaken Barrel Brewing Company,American Amber / Red Ale,5.50%
A201,Switchback Roasted Red Ale,Switchback Brewing Company,American Amber / Red Ale,5.60%
A202,Impey Barbicane's Moongun,Cigar City Brewing,American Amber / Red Ale,5.00%
A203,Epicenter Amber,SanTan Brewing Co.,American Amber / Red Ale,5.50%
A204,Thirsty Beaver Amber Ale,Tree Brewing,American Amber / Red Ale,5.00%
A205,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60%
A206,Tyranny Hoppy Red Ale,Wicked Weed Brewing,American Amber / Red Ale,7.20%
A207,Auburn Ale,Cameron's Brewing Co.,American Amber / Red Ale,5.00%
A208,Rusty Red,O'so Brewing Company & Tap House,American Amber / Red Ale,6.00%
A209,Louie's Resurrection,Milwaukee Brewing Company,American Amber / Red Ale,10.20%
A210,Simcoe SamuRYE,Al's of Hampden / Pizza Boy Brewing,American Amber / Red Ale,6.00%
A211,Griffon Red Ale,McAuslan Brewing,American Amber / Red Ale,4.50%
A212,Boont Barl Bourbon Barrel Amber Ale,Anderson Valley Brewing Company,American Amber / Red Ale,6.00%
A213,War Of 1812 Ale,Sackets Harbor Brewing Co.,American Amber / Red Ale,5.20%
A214,Amsterdam Big Wheel Deluxe Amber,Amsterdam Brewing Company,American Amber / Red Ale,5.00%
A215,Valor Ale,14th Star Brewing Co.,American Amber / Red Ale,5.40%
A216,Northern Hawk Owl,Right Brain Brewery,American Amber / Red Ale,5.80%
A217,Narragansett Lovecraft Series - Honey Ale,Narragansett Brewing Co.,American Amber / Red Ale,7.00%
A218,Odin's Gift,Odin Brewing Company,American Amber / Red Ale,5.40%
A219,Scuttlebutt Amber,Scuttlebutt Brewing Company,American Amber / Red Ale,5.10%
A220,Kona Brown,Perrin Brewery,American Amber / Red Ale,5.50%
A221,Sabre-Toothed Squirrel,Smog City Brewing,American Amber / Red Ale,7.00%
A223,Shakparo (Fire-Brewed African Style-Ale),Sprecher Brewing Company,American Amber / Red Ale,5.70%
A224,Sleeman Original Dark (50*),Sleeman Breweries Ltd.,American Amber / Red Ale,5.50%
A225,Offshore Amber Ale,Offshore Ale Company,American Amber / Red Ale,5.30%
A226,Hop Buggy,Lancaster Brewing Company,American Amber / Red Ale,5.60%
A227,McNeill's Firehouse Amber Ale,McNeill's Brewery,American Amber / Red Ale,5.60%
A228,Mississippi Fire Ant,Southern Prohibition Brewing,American Amber / Red Ale,8.00%
A229,Rude Boy,Burley Oak Brewery,American Amber / Red Ale,8.00%
A230,Rad Red Amber Ale,Upland Brewing Company,American Amber / Red Ale,5.60%
A231,Rebel Kent The First,3 Sheeps Brewing,American Amber / Red Ale,5.00%
A232,Hoppocalypse,Apocalypse Ale Works,American Amber / Red Ale,8.00%
A233,Misfit Red,DuClaw Brewing Company,American Amber / Red Ale,5.10%
A234,Red Cockaded Ale,Southern Star Brewing Company,American Amber / Red Ale,8.50%
A235,Rapscallion Blessing,Rapscallion,American Amber / Red Ale,8.00%
A236,Wasatch Evolution Amber Ale,Utah Brewers Cooperative,American Amber / Red Ale,4.00%
A237,Dean Pacific Northwest Mahogany Ale,SingleCut Beersmiths,American Amber / Red Ale,6.00%
A238,Lavaman Red Ale,Kona Brewing Co.,American Amber / Red Ale,5.60%
A239,Boréale Rousse,Brasseurs Du Nord Inc.,American Amber / Red Ale,5.00%
A240,Ipswich Harvest Ale,Ipswich Ale Brewery,American Amber / Red Ale,6.90%
A241,Saluki Dunkeldog,Big Muddy Brewing,American Amber / Red Ale,5.40%
A242,Windvane,Bad Weather Brewing Company,American Amber / Red Ale,6.00%
A243,Nimbus Rillito Red Ale,Nimbus Brewing Company,American Amber / Red Ale,5.00%
A244,Cambridge Amber,Cambridge Brewing Company,American Amber / Red Ale,4.90%
A245,Ultra High Frequency,Solemn Oath Brewery,American Amber / Red Ale,7.50%
A246,Hale's Red Menace Big Amber,Hale's Ales Brewery & Pub,American Amber / Red Ale,4.60%
A247,Ramble On Red,NoDa Brewing Company,American Amber / Red Ale,5.00%
A248,Spark House Red Ale,Lake of Bays Brewing Company,American Amber / Red Ale,5.00%
A249,Expedition Ale,Drake's Brewing Co.,American Amber / Red Ale,7.00%
A250,Mass Transit Ale,Bristol Brewing Company,American Amber / Red Ale,5.00%
A251,American Ale,Thimble Island Brewing Company,American Amber / Red Ale,5.00%
A252,Wavemaker Amber Ale,Big Storm Brewing Company,American Amber / Red Ale,6.00%
A254,Rye'd Piper,Ale Industries,American Amber / Red Ale,5.80%
A255,Plowman's Ale,Grand River Brewing,American Amber / Red Ale,4.70%
A256,Lighthouse Ale,Fire Island Beer Company,American Amber / Red Ale,5.20%
A257,Scarlet Fire,Tighthead Brewing Company,American Amber / Red Ale,5.60%
A258,Ridgetop Red,Silver City Brewing Co.,American Amber / Red Ale,6.00%
A259,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40%
A260,Carlsbad Chronic,Pizza Port Solana Beach,American Amber / Red Ale,5.80%
A261,McCarthy's Bane,Knee Deep Brewing Company,American Amber / Red Ale,8.00%
A262,Kroovy,Rushing Duck Brewing Company,American Amber / Red Ale,9.00%
A263,Tyrant Double Red,Wicked Weed Brewing,American Amber / Red Ale,8.50%
A264,Back East Ale,Back East Brewing Company,American Amber / Red Ale,5.00%
A265,Duce,Lucid Brewing,American Amber / Red Ale,7.50%
A266,Common Sense,Upstate Brewing Company,American Amber / Red Ale,5.30%
A267,Panama Limited Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,-
A268,Louie's Demise Immort-Ale,Milwaukee Brewing Company,American Amber / Red Ale,4.80%
A269,Red Fox Amber Ale,Rogue Ales,American Amber / Red Ale,-
A270,Sunset Amber Ale,Grand Canyon Brewing Company,American Amber / Red Ale,5.40%
A271,El Toro Poppy Jasper,El Toro Brewing Co.,American Amber / Red Ale,5.30%
A272,Redemption Red Ale,ReaperAle,American Amber / Red Ale,6.60%
A273,Block Party,Karben4 Brewing,American Amber / Red Ale,5.60%
A274,Bone Warmer Imperial Amber Ale,Grand Teton Brewing Co.,American Amber / Red Ale,8.20%
A275,1881 Sacramento,Ruhstaller,American Amber / Red Ale,5.60%
A276,Red Nun Red Ale,O'Connor Brewing Co.,American Amber / Red Ale,5.50%
A277,Homework Series # 1 - Hoppy Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,7.00%
A278,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50%
A279,Carnie Fire,COAST Brewing Company,American Amber / Red Ale,5.00%
A280,Squatters Big Cottonwood,Utah Brewers Cooperative,American Amber / Red Ale,5.75%
A281,Remnant Of Dragon,Greenbush Brewing Company,American Amber / Red Ale,9.00%
A283,Saranac Amber Ale,Matt Brewing Company / Saranac Brewery,American Amber / Red Ale,5.60%
A284,McNeill's Ruby Ale,McNeill's Brewery,American Amber / Red Ale,5.70%
A285,Oak Creek Amber Ale,Oak Creek Brewery and Grill,American Amber / Red Ale,5.50%
A286,Dark Horse Rod,Dark Horse Brewing Company,American Amber / Red Ale,-
A287,Struise Rosse,De Struise Brouwers,American Amber / Red Ale,6.00%
A288,Bulldog Amber Ale,Half Pints Brewing Company,American Amber / Red Ale,5.40%
A289,Man Vs. Internet,Solemn Oath Brewery,American Amber / Red Ale,9.50%
A290,Frankenmuth Christmas Town Ale,Frankenmuth Brewery,American Amber / Red Ale,6.70%
A291,Empire Amber Ale,Empire Brewing Company,American Amber / Red Ale,5.50%
A292,Great Lakes Independence Ale,Great Lakes Brewing Co.,American Amber / Red Ale,6.00%
A293,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20%
A294,Exile Red,Evolution Craft Brewing Company,American Amber / Red Ale,5.90%
A295,Flying Monkey Amber Ale,Flying Monkey Brewing Company,American Amber / Red Ale,4.60%
A296,Boston Red,Boston Beer Works - Canal Street,American Amber / Red Ale,5.20%
A297,Revival Red Ale,Marshall Brewing Company,American Amber / Red Ale,6.50%
A298,Drop Kick Ale,Weston Brewing Company & O'Malley's Pub,American Amber / Red Ale,-
A299,Oakshire Amber,Oakshire Brewing,American Amber / Red Ale,5.40%
A300,Dock Street Philadelphia Amber,Dock Street Brewery & Restaurant,American Amber / Red Ale,6.00%
A301,Arbor Brewing Red Snapper Special Bitter,Arbor Brewing Company,American Amber / Red Ale,4.90%
A302,Boohai Red Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,6.00%
A303,Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,7.50%
A304,Tornado Alley Amber Ale,Charleville Vineyard Microbrewery,American Amber / Red Ale,5.60%
A305,El Centro,Cigar City Brewing,American Amber / Red Ale,6.20%
A306,Reclaimed Rye,Creature Comforts,American Amber / Red Ale,5.50%
A307,Bed And Breakfast,Brouwerij De Molen,American Amber / Red Ale,4.40%
A308,R.J. King Wingwalker Amber Ale,World Brews,American Amber / Red Ale,4.50%
A309,Rat Tail Ale,Cellar Rats Brewery,American Amber / Red Ale,6.00%
A310,Fred Red Ale,Blue & Gray Brewing Co.,American Amber / Red Ale,6.80%
A311,Tall Poppy,8 Wired Brewing Co.,American Amber / Red Ale,7.00%
A312,Twisted Pine Amber Ale,Twisted Pine Brewing Company,American Amber / Red Ale,5.30%
A313,Dad,Rhinegeist Brewery,American Amber / Red Ale,6.00%
A314,BJ's Jeremiah Red,BJ's Restaurant & Brewhouse,American Amber / Red Ale,7.30%
A315,Yukon Red Amber Ale (Arctic Red),Yukon Brewing Company,American Amber / Red Ale,5.50%
A316,Sequoia Red,Kern River Brewing Company,American Amber / Red Ale,5.20%
A317,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10%
A318,Race Rocks Ale,Lighthouse Brewing Company,American Amber / Red Ale,5.20%
A319,Sciaenhops,Swamp Head Brewery,American Amber / Red Ale,8.30%
A320,Freetail Ale,Freetail Brewing Company,American Amber / Red Ale,6.00%
A321,Cable Car Small Batch Amber Ale,World Brews,American Amber / Red Ale,4.50%
A322,Rogue Farms Chipotle Ale,Rogue Ales,American Amber / Red Ale,-
A323,Misdemeanor,Jailhouse Brewing Company,American Amber / Red Ale,5.50%
A324,Killians Irish Red,Coors Brewing Company,American Amber / Red Ale,4.90%
A325,Fall Festivus,Cricket Hill Brewing Co.,American Amber / Red Ale,4.80%
A326,Axe Scar Pig,Solemn Oath Brewery,American Amber / Red Ale,6.00%
A327,Hoppy Face Amber Ale,Hoppy Brewing Co.,American Amber / Red Ale,6.10%
A328,Tall Ship Amber Ale,Garrison Brewing Company,American Amber / Red Ale,4.60%
A329,Liquid Mistress,Siren Craft Brew,American Amber / Red Ale,5.80%
A330,Pike Pale Heirloom Amber Ale,The Pike Brewing Company,American Amber / Red Ale,5.30%
A331,Moosehead Boundary Ale,Moosehead Breweries Ltd.,American Amber / Red Ale,5.30%
A332,Almost Heaven Amber Ale,Mountain State Brewing Co.,American Amber / Red Ale,5.20%
A333,Ruddy Rye,The Brew Kettle Taproom & Smokehouse / Production Works,American Amber / Red Ale,5.50%
A334,Death Becomes You,Los Muertos Brewing,American Amber / Red Ale,5.50%
A335,Nero_�s Apecchio Red Ale,Amarcord Birra Artigianale Italiana,American Amber / Red Ale,6.50%
A336,Looping Owl,Right Brain Brewery,American Amber / Red Ale,8.00%
